date,protocol,asset,chain,best_apy_reward,tvl
2024-06-06,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,22.95503,297043
2024-06-07,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,228.44383,39948
2024-06-08,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,217.3337,21180
2024-06-09,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,71.55699,194675
2024-06-10,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,64.16476,207639
2024-06-11,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.70097,191424
2024-06-12,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,66.94816,236134
2024-06-13,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.82981,155511
2024-06-14,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,49.19609,245870
2024-06-15,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,50.42829,270473
2024-06-16,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,48.78126,147990
2024-06-17,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,55.99872,249680
2024-06-18,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,58.13289,249966
2024-06-19,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,57.32926,249933
2024-06-20,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,37.91934,337953
2024-06-21,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,32.49682,383445
2024-06-22,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,33.11634,383442
2024-06-23,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,29.05038,441456
2024-06-24,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,24.16154,597648
2024-06-25,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,23.97463,598106
2024-06-26,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,23.67108,551413
2024-06-27,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,15.86016,753883
2024-06-28,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,14.94493,753950
