date,tvl,apy,apy_base,apy_reward
2024-06-06,905996,2.87001,2.87001,0
2024-06-07,912265,2.83571,2.83571,0
2024-06-08,929455,2.80613,2.80613,0
2024-06-09,921962,2.81875,2.81875,0
2024-06-10,932115,2.80167,2.80167,0
2024-06-11,869984,2.91872,2.91872,0
2024-06-12,845954,2.96367,2.96367,0
2024-06-13,878469,2.88386,2.88386,0
2024-06-14,871913,2.89838,2.89838,0
2024-06-15,866594,2.91253,2.91253,0
2024-06-16,856812,2.93047,2.93047,0
2024-06-17,850160,2.94547,2.94547,0
2024-06-18,728181,3.19118,3.19118,0
2024-06-19,726537,3.19995,3.19995,0
2024-06-20,903585,2.85132,2.85132,0
2024-06-21,855692,2.94175,2.94175,0
2024-06-22,839231,2.97335,2.97335,0
2024-06-23,819922,3.01088,3.01088,0
2024-06-24,827600,2.99041,2.99041,0
2024-06-25,846311,2.9624,2.9624,0
2024-06-26,808751,3.03923,3.03923,0
2024-06-27,799823,3.0589,3.0589,0
2024-06-28,750960,3.15838,3.15838,0
2024-06-29,777471,3.10789,3.10789,0
2024-06-30,781652,3.09648,3.09648,0
2024-07-01,782776,3.09691,3.09691,0
2024-07-02,691223,3.29485,3.29485,0
2024-07-03,693950,3.29132,3.29132,0
2024-07-04,706272,3.26315,3.26315,0
2024-07-05,752788,3.05957,3.05957,0
2024-07-06,751689,2.7613,2.7613,0
2024-07-07,707890,2.84371,2.84371,0
2024-07-08,719930,2.80711,2.80711,0
2024-07-09,730965,2.80092,2.80092,0
2024-07-10,730335,2.81826,2.81826,0
2024-07-11,719656,2.85117,2.85117,0
2024-07-12,730884,2.83083,2.83083,0
2024-07-13,727377,2.84374,2.84374,0
2024-07-14,714150,2.88169,2.88169,0
2024-07-15,718873,2.89266,2.89266,0
2024-07-16,717256,2.90195,2.90195,0
2024-07-17,702636,2.93626,2.93626,0
2024-07-18,713633,2.91645,2.91645,0
2024-07-19,725725,2.90389,2.90389,0
2024-07-20,722513,2.91273,2.91273,0
2024-07-21,719064,2.9195,2.9195,0
2024-07-22,725918,2.90765,2.90765,0
2024-07-23,723574,2.91279,2.91279,0
2024-07-24,736620,2.88605,2.88605,0
2024-07-25,772130,2.79521,2.79521,0
2024-07-26,779117,2.75546,2.75546,0
2024-07-27,778011,2.75521,2.75521,0
2024-07-28,789065,2.73775,2.73775,0
2024-07-29,791936,2.73157,2.73157,0
2024-07-30,841314,2.63133,2.63133,0
2024-07-31,883430,2.48389,2.48389,0
2024-08-01,874092,2.43358,2.43358,0
2024-08-02,896634,2.37062,2.37062,0
2024-08-03,907479,2.2503,2.2503,0
2024-08-04,994686,2.07903,2.07903,0
2024-08-05,1131134,1.81418,1.81418,0
2024-08-06,1153890,1.78378,1.78378,0
2024-08-07,1180521,1.75043,1.75043,0
2024-08-08,1218054,1.70899,1.70899,0
2024-08-09,1201592,1.72532,1.72532,0
2024-08-10,1203155,1.72432,1.72432,0
2024-08-11,1238585,1.682,1.682,0
2024-08-12,1239672,1.68131,1.68131,0
2024-08-13,1239754,1.68131,1.68131,0
2024-08-14,1228123,1.50839,1.50839,0
2024-08-15,1228113,1.50885,1.50885,0
2024-08-16,1234214,1.50343,1.50343,0
2024-08-17,1244257,1.49371,1.49371,0
2024-08-18,1251626,1.4852,1.4852,0
2024-08-19,1251992,1.47862,1.47862,0
2024-08-20,1272209,1.45697,1.45697,0
2024-08-21,1275810,1.4539,1.4539,0
2024-08-22,1275554,1.4539,1.4539,0
2024-08-23,1290348,1.25726,1.25726,0
2024-08-24,1295927,1.25575,1.25575,0
2024-08-25,1295935,1.25587,1.25587,0
2024-08-26,1289677,1.26037,1.26037,0
2024-08-27,1289485,1.26188,1.26188,0
2024-08-28,1290928,1.26085,1.26085,0
2024-08-29,1300103,1.25329,1.25329,0
2024-08-30,1298498,1.25477,1.25477,0
2024-08-31,1298065,1.25474,1.25474,0
2024-09-01,1296068,1.25484,1.25484,0
2024-09-02,1285870,1.26615,1.26615,0
2024-09-03,1289389,1.262,1.262,0
2024-09-04,1291429,1.25975,1.25975,0
2024-09-05,1243109,1.30221,1.30221,0
2024-09-06,1257511,1.28335,1.28335,0
2024-09-07,1258766,1.28344,1.28344,0
