date,tvl,apy,apy_base,apy_reward
2024-06-06,2532239,0.23896,0.23896,0
2024-06-07,2261275,0.25851,0.25851,0
2024-06-08,2150303,0.26733,0.26733,0
2024-06-09,2795020,0.22583,0.22583,0
2024-06-10,2762604,0.22801,0.22801,0
2024-06-11,1457934,1.25245,1.25245,0
2024-06-12,1519553,1.13899,1.13899,0
2024-06-13,1380624,1.40189,1.40189,0
2024-06-14,1492550,1.18714,1.18714,0
2024-06-15,1638934,0.92545,0.92545,0
2024-06-16,1426986,1.27182,1.27182,0
2024-06-17,1296481,1.52568,1.52568,0
2024-06-18,1522177,1.05441,1.05441,0
2024-06-19,1480482,1.13078,1.13078,0
2024-06-20,1455680,1.18255,1.18255,0
2024-06-21,1271842,1.52879,1.52879,0
2024-06-22,1037464,2.06904,2.06904,0
2024-06-23,1041017,2.02709,2.02709,0
2024-06-24,1479784,1.06823,1.06823,0
2024-06-25,1116038,1.84292,1.84292,0
2024-06-26,1076282,1.93234,1.93234,0
2024-06-27,967557,2.17129,2.17129,0
2024-06-28,922747,2.25211,2.25211,0
2024-06-29,934147,2.22056,2.22056,0
2024-06-30,838334,2.48984,2.48984,0
2024-07-01,894561,2.36194,2.36194,0
2024-07-02,851119,2.48646,2.48646,0
2024-07-03,960537,2.1598,2.1598,0
2024-07-04,1356373,1.01433,1.01433,0
2024-07-05,1840756,0.2664,0.2664,0
2024-07-06,2039801,0.25004,0.25004,0
2024-07-07,2095333,0.24574,0.24574,0
2024-07-08,2237422,0.23454,0.23454,0
2024-07-09,2216931,0.2368,0.2368,0
2024-07-10,2239374,0.00068,0.00068,0
2024-07-11,2208750,0.00068,0.00068,0
2024-07-12,2229320,0.00068,0.00068,0
2024-07-13,3628108,0.00046,0.00046,0
2024-07-14,3469389,0.00048,0.00048,0
2024-07-15,3062852,0.00053,0.00053,0
2024-07-16,2944742,0.00055,0.00055,0
2024-07-17,2837194,0.00057,0.00057,0
2024-07-18,2706343,0.00059,0.00059,0
2024-07-19,2750053,0.00058,0.00058,0
2024-07-20,2739376,0.00058,0.00058,0
2024-07-21,2765155,0.00058,0.00058,0
2024-07-22,2775943,0.00058,0.00058,0
2024-07-23,2854419,0.00056,0.00056,0
2024-07-24,2728228,0.00058,0.00058,0
2024-07-25,2537774,0.00062,0.00062,0
2024-07-26,3005714,0.00054,0.00054,0
2024-07-27,3448699,0.00048,0.00048,0
2024-07-28,3672262,0.00046,0.00046,0
2024-07-29,2945216,0.00055,0.00055,0
2024-07-30,2538516,0.00062,0.00062,0
2024-07-31,3007996,0.00054,0.00054,0
2024-08-01,1815238,0.00078,0.00078,0
2024-08-02,1596806,0.00139,0.00139,0
2024-08-03,1884145,0.00076,0.00076,0
2024-08-04,2252630,0.00067,0.00067,0
2024-08-05,3072615,0.00051,0.00051,0
2024-08-06,2953156,0.00053,0.00053,0
2024-08-07,2956313,0.00053,0.00053,0
2024-08-08,4423067,0.00036,0.00036,0
2024-08-09,3646419,0.00044,0.00044,0
2024-08-10,3648535,0.00044,0.00044,0
2024-08-11,3462072,0.00046,0.00046,0
2024-08-12,3103567,0.00054,0.00054,0
2024-08-13,3217757,0.00052,0.00052,0
2024-08-14,3232799,0.00052,0.00052,0
2024-08-15,2900554,0.00058,0.00058,0
2024-08-16,3189355,0.00053,0.00053,0
2024-08-17,3239281,0.00053,0.00053,0
2024-08-18,3404772,0.0005,0.0005,0
2024-08-19,3170419,0.00054,0.00054,0
2024-08-20,3160336,0.00054,0.00054,0
2024-08-21,2982856,0.00057,0.00057,0
2024-08-22,3275715,0.00055,0.00055,0
2024-08-23,2909420,0.00061,0.00061,0
2024-08-24,2732928,0.00064,0.00064,0
2024-08-25,2699656,0.00065,0.00065,0
2024-08-26,3105017,0.00058,0.00058,0
2024-08-27,2773286,0.00064,0.00064,0
2024-08-28,2889066,0.00062,0.00062,0
2024-08-29,2503334,0.00069,0.00069,0
2024-08-30,2674420,0.00066,0.00066,0
2024-08-31,2946820,0.00061,0.00061,0
2024-09-01,2918806,0.00061,0.00061,0
2024-09-02,3002244,0.0006,0.0006,0
2024-09-03,2833357,0.00063,0.00063,0
2024-09-04,2693091,0.00066,0.00066,0
2024-09-05,2430353,0.00071,0.00071,0
2024-09-06,2023367,0.0008,0.0008,0
2024-09-07,1851849,0.00085,0.00085,0
2024-09-08,2149676,0.00077,0.00077,0
2024-09-09,2535946,0.00068,0.00068,0
