date,tvl,apy,apy_base,apy_reward
2024-06-06,15008331,9.83337,9.83337,0
2024-06-07,22911342,3.516,3.516,0
2024-06-08,22241371,3.54287,3.54287,0
2024-06-09,20118059,3.62976,3.62976,0
2024-06-10,20573553,3.60717,3.60717,0
2024-06-11,16275481,7.78951,7.78951,0
2024-06-12,16784242,7.20255,7.20255,0
2024-06-13,15390765,8.89802,8.89802,0
2024-06-14,20685801,3.59695,3.59695,0
2024-06-15,17261888,6.26456,6.26456,0
2024-06-16,17192867,6.31696,6.31696,0
2024-06-17,16781025,6.81768,6.81768,0
2024-06-18,16603812,7.03625,7.03625,0
2024-06-19,16288332,7.43564,7.43564,0
2024-06-20,16702566,6.89322,6.89322,0
2024-06-21,17582639,5.86033,5.86033,0
2024-06-22,17338114,6.164,6.164,0
2024-06-23,16342641,8.28267,8.28267,0
2024-06-24,16845328,6.7801,6.7801,0
2024-06-25,16849331,6.73061,6.73061,0
2024-06-26,16994509,6.5663,6.5663,0
2024-06-27,14569582,9.82599,9.82599,0
2024-06-28,15241694,9.00345,9.00345,0
2024-06-29,14463669,10.10201,10.10201,0
2024-06-30,26215926,3.3515,3.3515,0
2024-07-01,39984153,2.80012,2.80012,0
2024-07-02,39944761,2.80194,2.80194,0
2024-07-03,39803930,2.80554,2.80554,0
2024-07-04,41209900,2.74822,2.74822,0
2024-07-05,52369355,2.37319,2.37319,0
2024-07-06,51778842,2.12315,2.12315,0
2024-07-07,47362735,2.22541,2.22541,0
2024-07-08,46298142,2.25342,2.25342,0
2024-07-09,45765349,2.26791,2.26791,0
2024-07-10,43535936,2.32447,2.32447,0
2024-07-11,42621238,2.34867,2.34867,0
2024-07-12,36884312,2.50403,2.50403,0
2024-07-13,36711333,2.51486,2.51486,0
2024-07-14,35978436,2.53201,2.53201,0
2024-07-15,39264091,2.42943,2.42943,0
2024-07-16,37873189,2.48354,2.48354,0
2024-07-17,36696839,2.51984,2.51984,0
2024-07-18,35978470,2.54363,2.54363,0
2024-07-19,21033043,3.03557,3.03557,0
2024-07-20,20641099,3.0512,3.0512,0
2024-07-21,19960758,3.07788,3.07788,0
2024-07-22,18942623,3.11776,3.11776,0
2024-07-23,19751448,3.08948,3.08948,0
2024-07-24,18999690,3.11441,3.11441,0
2024-07-25,16807257,2.32476,2.32476,0
2024-07-26,17120693,2.31313,2.31313,0
2024-07-27,14411388,4.55105,4.55105,0
2024-07-28,14144087,4.92791,4.92791,0
2024-07-29,13251495,6.08716,6.08716,0
2024-07-30,12671215,6.89031,6.89031,0
2024-07-31,13394647,5.86259,5.86259,0
2024-08-01,12496753,7.0192,7.0192,0
2024-08-02,14022331,4.85503,4.85503,0
2024-08-03,23107538,2.12224,2.12224,0
2024-08-04,30830357,1.91151,1.91151,0
2024-08-05,45583899,1.48239,1.48239,0
2024-08-06,40834900,1.60277,1.60277,0
2024-08-07,40666775,1.60709,1.60709,0
2024-08-08,39300829,1.6538,1.6538,0
2024-08-09,33817567,1.77627,1.77627,0
2024-08-10,33731611,1.77825,1.77825,0
2024-08-11,31385982,1.84733,1.84733,0
2024-08-12,26360117,1.73407,1.73407,0
2024-08-13,25538065,1.75325,1.75325,0
2024-08-14,24474191,1.78248,1.78248,0
2024-08-15,18161485,1.96221,1.96221,0
2024-08-16,14456419,3.53842,3.53842,0
2024-08-17,9460211,9.83237,9.83237,0
2024-08-18,11920845,6.80222,6.80222,0
2024-08-19,12329256,6.25989,6.25989,0
2024-08-20,21676523,1.8831,1.8831,0
2024-08-21,12577221,4.73601,4.73601,0
2024-08-22,12599175,4.71889,4.71889,0
2024-08-23,13013107,4.21497,4.21497,0
2024-08-24,13010900,4.2319,4.2319,0
2024-08-25,13159701,4.09184,4.09184,0
2024-08-26,13300994,3.92576,3.92576,0
2024-08-27,13889206,3.288,3.288,0
2024-08-28,15345045,1.83588,1.83588,0
2024-08-29,15512779,1.75289,1.75289,0
