date,tvl,apy,apy_base,apy_reward
2024-06-06,1802300,0.34297,0.34297,0
2024-06-07,1523261,0.60407,0.60407,0
2024-06-08,1777762,0.35924,0.35924,0
2024-06-09,1799732,0.3388,0.3388,0
2024-06-10,1817133,0.32171,0.32171,0
2024-06-11,1598425,0.51138,0.51138,0
2024-06-12,2141125,0.14554,0.14554,0
2024-06-13,1955995,0.18501,0.18501,0
2024-06-14,1864003,0.18168,0.18168,0
2024-06-15,1686750,0.34328,0.34328,0
2024-06-16,1829848,0.16297,0.16297,0
2024-06-17,1756810,0.23972,0.23972,0
2024-06-18,1981682,0.14623,0.14623,0
2024-06-19,1891857,0.14969,0.14969,0
2024-06-20,1692928,0.3262,0.3262,0
2024-06-21,1587427,0.434,0.434,0
2024-06-22,1757704,0.27141,0.27141,0
2024-06-23,1719429,0.32006,0.32006,0
2024-06-24,1752401,0.23886,0.23886,0
2024-06-25,1927839,0.14849,0.14849,0
2024-06-26,2026642,0.14534,0.14534,0
2024-06-27,1403594,0.61035,0.61035,0
2024-06-28,1096976,0.96418,0.96418,0
2024-06-29,1159050,0.88454,0.88454,0
2024-06-30,1179540,0.84987,0.84987,0
2024-07-01,1441824,0.54216,0.54216,0
2024-07-02,1268493,0.73852,0.73852,0
2024-07-03,1311547,0.68729,0.68729,0
2024-07-04,2029309,0.13738,0.13738,0
2024-07-05,2744326,0.11356,0.11356,0
2024-07-06,2961042,0.10617,0.10617,0
2024-07-07,2949401,0.10646,0.10646,0
2024-07-08,2891547,0.10796,0.10796,0
2024-07-09,3170532,0.10106,0.10106,0
2024-07-10,3190143,0.00058,0.00058,0
2024-07-11,3243866,0.00057,0.00057,0
2024-07-12,3390616,0.00055,0.00055,0
2024-07-13,2694377,0.00066,0.00066,0
2024-07-14,2926638,0.00062,0.00062,0
2024-07-15,3564556,0.00053,0.00053,0
2024-07-16,3487336,0.00054,0.00054,0
2024-07-17,3438480,0.00055,0.00055,0
2024-07-18,3372934,0.00056,0.00056,0
2024-07-19,3499981,0.00054,0.00054,0
2024-07-20,3487576,0.00054,0.00054,0
2024-07-21,3423536,0.00055,0.00055,0
2024-07-22,3183403,0.00058,0.00058,0
2024-07-23,3283611,0.00056,0.00056,0
2024-07-24,3014654,0.0006,0.0006,0
2024-07-25,2656816,0.00065,0.00065,0
2024-07-26,2507706,0.00068,0.00068,0
2024-07-27,2612214,0.00067,0.00067,0
2024-07-28,2349758,0.00071,0.00071,0
2024-07-29,2445821,0.00069,0.00069,0
2024-07-30,2460714,0.00069,0.00069,0
2024-07-31,2243864,0.00073,0.00073,0
2024-08-01,1969805,0.00079,0.00079,0
2024-08-02,1920027,0.0008,0.0008,0
2024-08-03,1981489,0.00078,0.00078,0
2024-08-04,2217784,0.00073,0.00073,0
2024-08-05,3562727,0.0005,0.0005,0
2024-08-06,3604086,0.0005,0.0005,0
2024-08-07,3517242,0.00051,0.00051,0
2024-08-08,2648145,0.00063,0.00063,0
2024-08-09,3079586,0.00056,0.00056,0
2024-08-10,2999910,0.00057,0.00057,0
2024-08-11,2963190,0.00058,0.00058,0
2024-08-12,2806667,0.00064,0.00064,0
2024-08-13,2715094,0.00066,0.00066,0
2024-08-14,2487855,0.0007,0.0007,0
2024-08-15,2464912,0.0007,0.0007,0
2024-08-16,2413849,0.00071,0.00071,0
2024-08-17,2326114,0.00073,0.00073,0
2024-08-18,1989497,0.0008,0.0008,0
2024-08-19,2149463,0.00077,0.00077,0
2024-08-20,2162060,0.00076,0.00076,0
2024-08-21,2265504,0.00074,0.00074,0
2024-08-22,2056249,0.00083,0.00083,0
2024-08-23,2665020,0.00071,0.00071,0
2024-08-24,2716934,0.0007,0.0007,0
2024-08-25,2763804,0.00069,0.00069,0
2024-08-26,2296140,0.00078,0.00078,0
2024-08-27,2003597,0.00085,0.00085,0
2024-08-28,2091756,0.00083,0.00083,0
2024-08-29,2239043,0.00079,0.00079,0
2024-08-30,2006210,0.00086,0.00086,0
2024-08-31,1886722,0.00089,0.00089,0
2024-09-01,1764442,0.00092,0.00092,0
2024-09-02,1694797,0.00094,0.00094,0
2024-09-03,1672317,0.00094,0.00094,0
2024-09-04,3474492,0.00058,0.00058,0
2024-09-05,2488310,0.00074,0.00074,0
2024-09-06,1667579,0.00093,0.00093,0
2024-09-07,1692251,0.00092,0.00092,0
2024-09-08,1754932,0.0009,0.0009,0
2024-09-09,1915460,0.00086,0.00086,0
2024-09-10,1967715,0.00085,0.00085,0
2024-09-11,2036764,0.00083,0.00083,0
2024-09-12,2202962,0.00079,0.00079,0
2024-09-13,2382834,0.0008,0.0008,0
2024-09-14,2699553,0.00074,0.00074,0
2024-09-15,2839128,0.00069,0.00069,0
2024-09-16,1883765,0.00091,0.00091,0
2024-09-17,2093041,0.00085,0.00085,0
2024-09-18,2090823,0.00085,0.00085,0
2024-09-19,2329113,0.00079,0.00079,0
2024-09-20,2325590,0.00079,0.00079,0
2024-09-21,2327454,0.00079,0.00079,0
2024-09-22,2323524,0.00079,0.00079,0
2024-09-23,2122110,0.00084,0.00084,0
2024-09-24,2112319,0.00084,0.00084,0
2024-09-25,1819583,0.00092,0.00092,0
2024-09-26,1885784,0.0009,0.0009,0
2024-09-27,1935315,0.00091,0.00091,0
2024-09-28,1940564,0.00091,0.00091,0
2024-09-29,1901675,0.00097,0.00097,0
2024-09-30,1553501,0.00107,0.00107,0
2024-10-01,1577137,0.00107,0.00107,0
2024-10-02,1778505,0.001,0.001,0
2024-10-03,1744133,0.00101,0.00101,0
2024-10-04,1666173,0.00104,0.00104,0
2024-10-05,1730729,0.00102,0.00102,0
2024-10-06,1626953,0.00105,0.00105,0
2024-10-07,1534521,0.00108,0.00108,0
2024-10-08,1423518,0.0014,0.0014,0
2024-10-09,1312882,0.00205,0.00205,0
2024-10-10,1100895,0.00343,0.00343,0
2024-10-11,1436300,0.00131,0.00131,0
2024-10-12,1495486,0.00109,0.00109,0
2024-10-13,1508655,0.00109,0.00109,0
2024-10-14,1376928,0.00168,0.00168,0
2024-10-15,1687630,0.00102,0.00102,0
2024-10-16,1686365,0.00102,0.00102,0
2024-10-17,1651096,0.00103,0.00103,0
2024-10-18,1630223,0.00104,0.00104,0
2024-10-19,1670793,0.00103,0.00103,0
2024-10-20,1411855,0.00141,0.00141,0
2024-10-21,1435189,0.00118,0.00118,0
2024-10-22,1340041,0.00173,0.00173,0
2024-10-23,1083432,0.00346,0.00346,0
2024-10-24,1201571,0.00264,0.00264,0
2024-10-25,939921,0.00445,0.00445,0
2024-10-26,1102951,0.00322,0.00322,0
2024-10-27,1160179,0.00282,0.00282,0
2024-10-28,1471593,0.00114,0.00114,0
2024-10-29,1777990,0.00103,0.00103,0
2024-10-30,1855628,0.00101,0.00101,0
2024-10-31,1150691,0.0029,0.0029,0
2024-11-01,1465610,0.00114,0.00114,0
2024-11-02,1527653,0.00112,0.00112,0
2024-11-03,1530776,0.00112,0.00112,0
2024-11-04,1434147,0.00115,0.00115,0
2024-11-05,1778618,0.00103,0.00103,0
2024-11-06,3140112,0.00072,0.00072,0
2024-11-07,2205550,0.001,0.001,0
2024-11-08,2169250,0.00101,0.00101,0
2024-11-09,1589523,0.0015,0.0015,0
2024-11-10,1823000,0.0011,0.0011,0
2024-11-11,2238022,0.00099,0.00099,0
2024-11-12,2134035,0.001,0.001,0
2024-11-13,2081585,0.00102,0.00102,0
2024-11-14,1363222,0.00252,0.00252,0
2024-11-15,1482933,0.00186,0.00186,0
2024-11-16,1647538,0.00114,0.00114,0
2024-11-17,1676136,0.00114,0.00114,0
2024-11-18,1949880,0.00105,0.00105,0
2024-11-19,2088712,0.00102,0.00102,0
2024-11-20,2107318,0.00101,0.00101,0
2024-11-21,2486600,0.00092,0.00092,0
2024-11-22,2551112,0.00091,0.00091,0
2024-11-23,2588680,0.0009,0.0009,0
2024-11-24,2171431,0.001,0.001,0
2024-11-25,1671837,0.00114,0.00114,0
2024-11-26,1071158,0.00425,0.00425,0
2024-11-27,2652756,0.00087,0.00087,0
2024-11-28,2238935,0.00096,0.00096,0
2024-11-29,2469706,0.00091,0.00091,0
2024-11-30,2184824,0.00098,0.00098,0
2024-12-01,2231306,0.00097,0.00097,0
2024-12-02,1883049,0.00106,0.00106,0
2024-12-03,1889802,0.00106,0.00106,0
2024-12-04,2503526,0.0009,0.0009,0
2024-12-05,2603026,0.00088,0.00088,0
2024-12-06,2664123,0.00087,0.00087,0
2024-12-07,2352964,0.00094,0.00094,0
2024-12-08,2172773,0.00099,0.00099,0
2024-12-09,1643514,0.00114,0.00114,0
2024-12-10,2023224,0.00103,0.00103,0
2024-12-11,2496916,0.00091,0.00091,0
2024-12-12,1946516,0.00105,0.00105,0
2024-12-13,1792657,0.0011,0.0011,0
2024-12-14,1720546,0.00112,0.00112,0
2024-12-15,1088764,0.00421,0.00421,0
2024-12-16,2168499,0.00102,0.00102,0
2024-12-17,115034,0.01344,0.01344,0
2024-12-18,1237,0.01488,0.01488,0
2024-12-19,673622,0.00536,0.00536,0
2024-12-20,891066,0.00325,0.00325,0
2024-12-21,903888,0.00315,0.00315,0
2024-12-22,671042,0.00536,0.00536,0
2024-12-23,659410,0.0055,0.0055,0
2024-12-24,969203,0.00246,0.00246,0
2024-12-25,882265,0.00317,0.00317,0
2024-12-26,747859,0.00444,0.00444,0
2024-12-27,686390,0.00504,0.00504,0
2024-12-28,573054,0.0063,0.0063,0
2024-12-29,607622,0.00589,0.00589,0
2024-12-30,662563,0.0053,0.0053,0
2024-12-31,582217,0.0062,0.0062,0
2025-01-01,670218,0.00513,0.00513,0
2025-01-02,888324,0.00304,0.00304,0
2025-01-03,1343245,0.00106,0.00106,0
2025-01-04,1535769,0.00099,0.00099,0
2025-01-05,1417521,0.00103,0.00103,0
2025-01-06,2286038,0.00076,0.00076,0
2025-01-07,1288730,0.00109,0.00109,0
2025-01-08,1538461,0.00099,0.00099,0
2025-01-09,1237102,0.00161,0.00161,0
2025-01-10,907944,0.00404,0.00404,0
2025-01-11,669557,0.00617,0.00617,0
2025-01-12,497418,0.008,0.008,0
2025-01-13,559819,0.00732,0.00732,0
2025-01-14,512186,0.00783,0.00783,0
2025-01-15,1381225,0.00113,0.00113,0
2025-01-16,723280,0.00575,0.00575,0
2025-01-17,1210987,0.00182,0.00182,0
2025-01-18,8655,0.01476,0.01476,0
2025-01-21,1027277,0.00305,0.00305,0
2025-01-22,549814,0.00741,0.00741,0
2025-01-23,1475179,0.00109,0.00109,0
2025-01-24,953311,0.00361,0.00361,0
2025-01-25,707094,0.00577,0.00577,0
2025-01-26,767233,0.0052,0.0052,0
2025-01-27,311357,0.01026,0.01026,0
2025-01-28,39955,0.01424,0.01424,0
2025-01-29,691436,0.00595,0.00595,0
2025-01-30,892438,0.00412,0.00412,0
2025-01-31,296803,0.01046,0.01046,0
2025-02-01,254029,0.01104,0.01104,0
2025-02-02,426511,0.00885,0.00885,0
2025-02-03,988929,0.00318,0.00318,0
2025-02-04,1286619,0.00115,0.00115,0
2025-02-05,719347,0.00555,0.00555,0
2025-02-06,969857,0.00335,0.00335,0
2025-02-07,547948,0.00797,0.00797,0
2025-02-08,364331,0.01,0.01,0
2025-02-09,342560,0.01027,0.01027,0
2025-02-10,581098,0.00757,0.00757,0
2025-02-11,218676,0.01177,0.01177,0
2025-02-12,503239,0.00841,0.00841,0
2025-02-13,279618,0.01101,0.01101,0
2025-02-14,479831,0.00868,0.00868,0
2025-02-15,562153,0.00783,0.00783,0
2025-02-16,410384,0.00943,0.00943,0
2025-02-17,491677,0.00852,0.00852,0
2025-02-18,161776,0.01229,0.01229,0
2025-02-19,648377,0.00613,0.00613,0
2025-02-20,764214,0.00499,0.00499,0
2025-02-21,77490,0.01359,0.01359,0
2025-02-22,845040,0.00389,0.00389,0
2025-02-23,1163478,0.00135,0.00135,0
2025-02-24,788407,0.0044,0.0044,0
2025-02-25,673710,0.00456,0.00456,0
2025-02-26,617323,0.00511,0.00511,0
2025-02-27,730492,0.00385,0.00385,0
2025-02-28,991262,0.00153,0.00153,0
2025-03-01,1087155,0.00113,0.00113,0
2025-03-02,1453316,0.00097,0.00097,0
2025-03-03,850910,0.00273,0.00273,0
2025-03-04,768812,0.00409,0.00409,0
2025-03-05,358277,0.0085,0.0085,0
2025-03-06,788031,0.00338,0.00338,0
2025-03-07,474662,0.00696,0.00696,0
2025-03-08,434782,0.0075,0.0075,0
2025-03-09,759118,0.00366,0.00366,0
2025-03-10,238632,0.01038,0.01038,0
2025-03-11,919205,0.00126,0.00126,0
2025-03-12,818091,0.00213,0.00213,0
2025-03-13,649586,0.00394,0.00394,0
2025-03-14,1042275,0.00109,0.00109,0
2025-03-15,1080804,0.00107,0.00107,0
2025-03-16,1098583,0.00106,0.00106,0
2025-03-17,869812,0.00163,0.00163,0
2025-03-18,726592,0.00307,0.00307,0
2025-03-19,1028836,0.0011,0.0011,0
2025-03-20,612772,0.00437,0.00437,0
2025-03-21,619858,0.0043,0.0043,0
2025-03-22,745142,0.00288,0.00288,0
2025-03-23,899683,0.00137,0.00137,0
2025-03-24,1197998,0.00101,0.00101,0
2025-03-25,1219648,0.00099,0.00099,0
2025-03-26,1141938,0.00103,0.00103,0
2025-03-27,834237,0.00175,0.00175,0
2025-03-28,567441,0.00478,0.00478,0
2025-03-29,735812,0.00275,0.00275,0
2025-03-30,864916,0.00144,0.00144,0
2025-03-31,846050,0.00163,0.00163,0
2025-04-01,938242,0.00113,0.00113,0
2025-04-02,1088656,0.00105,0.00105,0
2025-04-03,718449,0.00292,0.00292,0
2025-04-04,641084,0.00382,0.00382,0
2025-04-05,630767,0.00394,0.00394,0
2025-04-06,644579,0.0036,0.0036,0
2025-04-07,738853,0.00222,0.00222,0
2025-04-08,637341,0.00304,0.00304,0
2025-04-09,836561,0.00113,0.00113,0
2025-04-10,687668,0.00242,0.00242,0
2025-04-11,875159,0.00111,0.00111,0
2025-04-12,978168,0.00105,0.00105,0
2025-04-13,928669,0.00108,0.00108,0
2025-04-14,1350800,0.00104,0.00104,0
2025-04-15,1132469,0.00097,0.00097,0
2025-04-16,1180240,0.00094,0.00094,0
2025-04-17,1187369,0.00094,0.00094,0
2025-04-18,1052718,0.00101,0.00101,0
2025-04-19,1000916,0.00104,0.00104,0
2025-04-20,1096109,0.00098,0.00098,0
2025-04-21,1075798,0.001,0.001,0
2025-04-22,1609308,0.00076,0.00076,0
2025-04-23,1501541,0.0008,0.0008,0
2025-04-24,1543070,0.00078,0.00078,0
2025-04-25,1706201,0.00073,0.00073,0
2025-04-26,1389290,0.00085,0.00085,0
2025-04-27,1479072,0.00081,0.00081,0
2025-04-28,1483669,0.00081,0.00081,0
2025-04-29,1458195,0.00082,0.00082,0
2025-04-30,1360433,0.00086,0.00086,0
2025-05-01,1726868,0.00072,0.00072,0
2025-05-02,1405053,0.00084,0.00084,0
2025-05-03,1407320,0.00084,0.00084,0
2025-05-04,1345361,0.00086,0.00086,0
2025-05-05,869374,0.00111,0.00111,0
2025-05-06,1066866,0.001,0.001,0
2025-05-07,1312292,0.00088,0.00088,0
2025-05-08,1405188,0.00084,0.00084,0
2025-05-09,1402051,0.00084,0.00084,0
2025-05-10,1438247,0.00083,0.00083,0
2025-05-11,1385924,0.00085,0.00085,0
2025-05-12,1351354,0.00086,0.00086,0
2025-05-13,1556902,0.00078,0.00078,0
2025-05-14,1369411,0.00085,0.00085,0
2025-05-15,1591720,0.00077,0.00077,0
2025-05-16,1581911,0.00077,0.00077,0
2025-05-17,1625240,0.00075,0.00075,0
2025-05-18,1849513,0.00068,0.00068,0
2025-05-19,1560994,0.00078,0.00078,0
2025-05-20,1647294,0.00075,0.00075,0
2025-05-21,1718704,0.00072,0.00072,0
2025-05-22,1825725,0.00067,0.00067,0
2025-05-23,1707232,0.0007,0.0007,0
2025-05-24,1637282,0.00073,0.00073,0
2025-05-25,1659737,0.00072,0.00072,0
2025-05-26,1698044,0.00069,0.00069,0
2025-05-27,1889767,0.00063,0.00063,0
2025-05-28,1718823,0.00068,0.00068,0
2025-05-29,1621768,0.00072,0.00072,0
2025-05-30,1646172,0.00071,0.00071,0
2025-05-31,1696423,0.00069,0.00069,0
2025-06-01,1848910,0.00064,0.00064,0
2025-06-02,1900740,0.00063,0.00063,0
2025-06-03,2185715,0.00055,0.00055,0
2025-06-04,1644872,0.00071,0.00071,0
