date,tvl,apy,apy_base,apy_reward
2024-06-06,1166641,8.13447,8.13447,0
2024-06-07,1210025,6.95784,6.95784,0
2024-06-08,1420444,5.85469,5.85469,0
2024-06-09,1309445,5.9649,5.9649,0
2024-06-10,1155950,9.28753,9.28753,0
2024-06-11,1306402,5.93531,5.93531,0
2024-06-12,1213723,6.536,6.536,0
2024-06-13,1235927,6.00329,6.00329,0
2024-06-14,1329677,5.80829,5.80829,0
2024-06-15,1263775,5.87548,5.87548,0
2024-06-16,1183286,6.28597,6.28597,0
2024-06-17,1378050,5.76994,5.76994,0
2024-06-18,1238168,5.91313,5.91313,0
2024-06-19,1185479,6.75594,6.75594,0
2024-06-20,1365206,5.78992,5.78992,0
2024-06-21,1498235,5.66855,5.66855,0
2024-06-22,1508991,5.65612,5.65612,0
2024-06-23,1227271,5.9196,5.9196,0
2024-06-24,1482188,5.62287,5.62287,0
2024-06-25,1094652,8.13853,8.13853,0
2024-06-26,1207506,5.88093,5.88093,0
2024-06-27,1136717,6.40162,6.40162,0
2024-06-28,971192,12.77441,12.77441,0
2024-06-29,1069349,9.01525,9.01525,0
2024-06-30,1080671,8.40145,8.40145,0
2024-07-01,1184776,5.90113,5.90113,0
2024-07-02,1114806,6.61429,6.61429,0
2024-07-03,1211740,5.85113,5.85113,0
2024-07-04,1973506,4.97956,4.97956,0
2024-07-05,1903794,4.99536,4.99536,0
2024-07-06,1996362,4.91949,4.91949,0
2024-07-07,1998607,4.91288,4.91288,0
2024-07-08,2436729,4.56631,4.56631,0
2024-07-09,2261469,4.72077,4.72077,0
2024-07-10,2125188,4.83297,4.83297,0
2024-07-11,1906359,5.01961,5.01961,0
2024-07-12,1901284,5.02727,5.02727,0
2024-07-13,2090570,4.87497,4.87497,0
2024-07-14,2041265,4.93719,4.93719,0
2024-07-15,1614376,5.36546,5.36546,0
2024-07-16,1870077,5.14716,5.14716,0
2024-07-17,1729347,5.28969,5.28969,0
2024-07-18,1738363,5.28913,5.28913,0
2024-07-19,1656318,5.3819,5.3819,0
2024-07-20,1626152,5.41481,5.41481,0
2024-07-21,1593221,5.45445,5.45445,0
2024-07-22,1437890,5.60303,5.60303,0
2024-07-23,1481768,5.55128,5.55128,0
2024-07-24,1420416,4.11648,4.11648,0
2024-07-25,1126284,4.33967,4.33967,0
2024-07-26,1009618,8.81644,8.81644,0
2024-07-27,1107746,4.37949,4.37949,0
2024-07-28,954595,10.91464,10.91464,0
2024-07-29,1020328,7.91138,7.91138,0
2024-07-30,966600,9.73984,9.73984,0
2024-07-31,1050787,5.94291,5.94291,0
2024-08-01,958561,9.28485,9.28485,0
2024-08-02,1012334,5.92918,5.92918,0
2024-08-03,984553,6.58471,6.58471,0
2024-08-04,1143454,4.23048,4.23048,0
2024-08-05,2137524,3.26588,3.26588,0
2024-08-06,2218248,3.23267,3.23267,0
2024-08-07,2041134,3.37213,3.37213,0
2024-08-08,2550595,2.99148,2.99148,0
2024-08-09,2418803,3.09895,3.09895,0
2024-08-10,2221791,3.24626,3.24626,0
2024-08-11,2191034,3.2771,3.2771,0
2024-08-12,2148527,3.31897,3.31897,0
2024-08-13,1718021,3.66052,3.66052,0
2024-08-14,1265541,4.04253,4.04253,0
2024-08-15,1006504,4.27399,4.27399,0
2024-08-16,1020288,4.25009,4.25009,0
2024-08-17,1037644,4.23336,4.23336,0
2024-08-18,1336373,3.96179,3.96179,0
2024-08-19,1182431,4.09698,4.09698,0
2024-08-20,1155782,4.11019,4.11019,0
2024-08-21,1240421,4.03475,4.03475,0
2024-08-22,1136070,4.12943,4.12943,0
2024-08-23,1395801,3.83906,3.83906,0
2024-08-24,887985,4.43677,4.43677,0
2024-08-25,740646,11.99865,11.99865,0
2024-08-26,778344,9.66473,9.66473,0
2024-08-27,1315283,3.93877,3.93877,0
2024-08-28,1174814,4.05988,4.05988,0
2024-08-29,1058676,4.18089,4.18089,0
2024-08-30,1441752,3.83306,3.83306,0
2024-08-31,1402159,3.86414,3.86414,0
2024-09-01,1390696,3.8701,3.8701,0
2024-09-02,961536,4.25862,4.25862,0
2024-09-03,2111465,3.30248,3.30248,0
2024-09-04,2161314,3.23297,3.23297,0
2024-09-05,1951611,3.42134,3.42134,0
2024-09-06,2198770,3.22318,3.22318,0
2024-09-07,2244901,3.19308,3.19308,0
2024-09-08,2207381,3.21559,3.21559,0
2024-09-09,2210838,3.2135,3.2135,0
2024-09-10,1976585,2.84927,2.84927,0
2024-09-11,1331768,3.2618,3.2618,0
2024-09-12,1211825,3.35484,3.35484,0
2024-09-13,1285762,3.289,3.289,0
2024-09-14,1264843,3.3165,3.3165,0
2024-09-15,1279103,3.30111,3.30111,0
2024-09-16,980259,3.54411,3.54411,0
2024-09-17,1425701,3.18958,3.18958,0
2024-09-18,1376736,3.23511,3.23511,0
2024-09-19,1644521,3.03217,3.03217,0
2024-09-20,1276000,3.31079,3.31079,0
2024-09-21,1659163,2.96933,2.96933,0
2024-09-22,1675990,2.95876,2.95876,0
2024-09-23,1446522,3.13182,3.13182,0
2024-09-24,1267615,3.27672,3.27672,0
