date,tvl,apy,apy_base,apy_reward
2025-05-04,83476866,0,0,0
2025-05-05,167122704,0,0,0
2025-05-06,167165134,0,0,0
2025-05-07,167346880,0,0,0
2025-05-08,219913509,0,0,0
2025-05-09,235773981,0,0,0
2025-05-10,235709176,0,0,0
2025-05-11,235575051,0,0,0
2025-05-12,317981364,0,0,0
2025-05-13,333253804,0,0,0
2025-05-14,333925206,0,0,0
2025-05-15,333728731,0,0,0
2025-05-16,442268199,0,0,0
2025-05-17,442453987,0,0,0
2025-05-18,442549009,0,0,0
2025-05-19,442799403,0,0,0
2025-05-20,541503760,0,0,0
2025-05-21,541333780,0,0,0
2025-05-22,540657684,0,0,0
2025-05-23,640050720,0,0,0
2025-05-24,639873747,0,0,0
2025-05-25,640391116,0,0,0
2025-05-26,639743424,0,0,0
2025-05-27,639695115,0,0,0
2025-05-28,788435601,0,0,0
2025-05-29,787299516,0,0,0
2025-05-30,788273658,0,0,0
2025-05-31,987214652,0,0,0
2025-06-01,987443247,0,0,0
2025-06-02,987790700,0,0,0
2025-06-03,1084212743,0,0,0
2025-06-04,1129427496,0,0,0
