date,tvl,apy,apy_base,apy_reward
2024-06-06,66547597,0,0,0
2024-06-07,66583146,0,0,0
2024-06-08,66474011,0,0,0
2024-06-09,66629278,0,0,0
2024-06-10,66641717,0,0,0
2024-06-11,66609988,0,0,0
2024-06-12,66371719,0,0,0
2024-06-13,66297119,0,0,0
2024-06-14,66370285,0,0,0
2024-06-15,66073699,0,0,0
2024-06-16,66097567,0,0,0
2024-06-17,66282366,0,0,0
2024-06-18,66328967,0,0,0
2024-06-19,66297094,0,0,0
2024-06-20,66359499,0,0,0
2024-06-21,64507925,0,0,0
2024-06-22,64497796,0,0,0
2024-06-23,64479266,0,0,0
2024-06-24,64590288,0,0,0
2024-06-25,64322445,0,0,0
2024-06-26,64249656,0,0,0
2024-06-27,64251308,0,0,0
2024-06-28,65817563,0,0,0
2024-06-29,65561641,0,0,0
2024-06-30,65564837,0,0,0
2024-07-01,65564837,0,0,0
2024-07-02,62026885,0,0,0
2024-07-03,61916486,0,0,0
2024-07-04,61883511,0,0,0
2024-07-05,61756838,0,0,0
2024-07-06,67303288,0,0,0
2024-07-07,67180366,0,0,0
2024-07-08,67285051,0,0,0
2024-07-09,67315060,0,0,0
2024-07-10,67370469,0,0,0
2024-07-11,67078909,0,0,0
2024-07-12,70630700,0,0,0
2024-07-13,72060258,0,0,0
2024-07-14,71653723,0,0,0
2024-07-15,69659003,0,0,0
2024-07-16,69793001,0,0,0
2024-07-17,67848965,0,0,0
2024-07-18,90260279,0,0,0
2024-07-19,67830176,0,0,0
2024-07-20,67538150,0,0,0
2024-07-21,67538150,0,0,0
2024-07-22,67747383,0,0,0
2024-07-23,65995779,0,0,0
2024-07-24,66216159,0,0,0
2024-07-25,65375458,0,0,0
2024-07-26,65403127,0,0,0
2024-07-27,65458895,0,0,0
2024-07-28,65543921,0,0,0
2024-07-29,66544505,0,0,0
2024-07-30,67161332,0,0,0
2024-07-31,69987946,0,0,0
2024-08-01,69880361,0,0,0
2024-08-02,69927703,0,0,0
2024-08-03,72987787,0,0,0
2024-08-04,72295637,0,0,0
2024-08-05,71099375,0,0,0
2024-08-06,87237523,0,0,0
2024-08-07,71437941,0,0,0
2024-08-08,87427209,0,0,0
2024-08-09,87405016,0,0,0
2024-08-10,46536282,0,0,0
2024-08-11,46467255,0,0,0
2024-08-12,51900066,0,0,0
2024-08-13,47525602,0,0,0
2024-08-14,44870529,0,0,0
2024-08-15,50078018,0,0,0
2024-08-16,50351119,0,0,0
2024-08-17,49651809,0,0,0
2024-08-18,49724288,0,0,0
2024-08-19,50842964,0,0,0
2024-08-20,52741483,0,0,0
2024-08-21,52226097,0,0,0
2024-08-22,49218409,0,0,0
2024-08-23,50665686,0,0,0
2024-08-24,52842969,0,0,0
2024-08-25,51034234,0,0,0
2024-08-26,71402288,0,0,0
2024-08-27,74918073,0,0,0
