date,tvl,apy,apy_base,apy_reward
2024-11-18,28138232,0,0,0
2024-11-19,44890074,0,0,0
2024-11-20,44934578,0,0,0
2024-11-21,44971001,0,0,0
2024-11-22,45006437,0,0,0
2024-11-23,45059295,0,0,0
2024-11-24,45019431,0,0,0
2024-11-25,45058854,0,0,0
2024-11-26,44925564,0,0,0
2024-11-27,45101015,0,0,0
2024-11-28,45078780,0,0,0
2024-11-29,45151344,0,0,0
2024-11-30,45178400,0,0,0
2024-12-01,45204917,0,0,0
2024-12-02,45132900,0,0,0
2024-12-03,45210596,0,0,0
2024-12-04,45127086,0,0,0
2024-12-05,44761714,0,0,0
2024-12-06,45375703,0,0,0
2024-12-07,45356050,0,0,0
2024-12-08,45381614,0,0,0
2024-12-09,45294331,0,0,0
2024-12-10,45355042,0,0,0
2024-12-11,45499042,0,0,0
2024-12-12,45477710,0,0,0
2024-12-13,45504097,0,0,0
2024-12-14,45484930,0,0,0
2024-12-15,45465658,0,0,0
2024-12-16,45510838,0,0,0
2024-12-17,45350887,0,0,0
2024-12-18,45088031,0,0,0
2024-12-19,45555719,0,0,0
2024-12-20,45546903,0,0,0
2024-12-21,45427903,0,0,0
2024-12-22,45052293,0,0,0
2024-12-23,45237425,0,0,0
2024-12-24,45608631,0,0,0
2024-12-25,45296438,0,0,0
2024-12-26,45514878,0,0,0
2024-12-27,45562387,0,0,0
2024-12-28,45560707,0,0,0
2024-12-29,45569436,0,0,0
2024-12-30,45479915,0,0,0
2024-12-31,45408006,0,0,0
2025-01-01,45634020,0,0,0
2025-01-02,45644281,0,0,0
2025-01-03,45578025,0,0,0
2025-01-04,45574394,0,0,0
2025-01-05,45741283,0,0,0
2025-01-06,45745223,0,0,0
2025-01-07,45740295,0,0,0
2025-01-08,45770884,0,0,0
2025-01-09,45774688,0,0,0
2025-01-10,45769494,0,0,0
2025-01-11,45863118,0,0,0
2025-01-12,45848859,0,0,0
2025-01-13,45981353,0,0,0
2025-01-14,45881532,0,0,0
2025-01-15,45916171,0,0,0
2025-01-16,45975307,0,0,0
2025-01-17,45124431,0,0,0
2025-01-18,45107539,0,0,0
2025-01-19,44870187,0,0,0
2025-01-20,45011210,0,0,0
2025-01-21,45121991,0,0,0
2025-01-22,45050313,0,0,0
2025-01-23,45142222,0,0,0
2025-01-24,45142222,0,0,0
2025-01-25,45142222,0,0,0
2025-01-26,45142222,0,0,0
2025-01-27,45142222,0,0,0
2025-01-28,45142222,0,0,0
2025-01-29,44820495,0,0,0
2025-01-30,44820495,0,0,0
2025-01-31,44820495,0,0,0
2025-02-01,43241640,0,0,0
2025-02-02,43241640,0,0,0
2025-02-03,44935278,0,0,0
2025-02-04,44153795,0,0,0
2025-02-05,44935278,0,0,0
2025-02-06,44935278,0,0,0
2025-02-07,44935278,0,0,0
2025-02-08,43241640,0,0,0
2025-02-09,43245391,0,0,0
2025-02-10,39795391,0,0,0
2025-02-11,39795391,0,0,0
2025-02-12,38875391,0,0,0
2025-02-13,38166169,0,0,0
2025-02-14,37493419,0,0,0
2025-02-15,37493419,0,0,0
2025-02-16,39449052,0,0,0
2025-02-17,39449052,0,0,0
2025-02-18,43135755,0,0,0
2025-02-19,43135755,0,0,0
2025-02-20,45744135,0,0,0
2025-02-21,45742343,0,0,0
2025-02-22,46000000,0,0,0
2025-02-23,46000000,0,0,0
2025-02-24,46000000,0,0,0
2025-02-25,46000000,0,0,0
2025-02-26,44441750,0,0,0
2025-02-27,44596197,0,0,0
2025-02-28,44213397,0,0,0
2025-03-01,46185397,0,0,0
2025-03-02,46185397,0,0,0
2025-03-03,46400000,0,0,0
2025-03-04,46400000,0,0,0
2025-03-05,46400000,0,0,0
2025-03-06,46751480,0,0,0
2025-03-07,47091326,0,0,0
2025-03-08,47062330,0,0,0
2025-03-09,46482330,0,0,0
2025-03-10,47062330,0,0,0
2025-03-11,47062330,0,0,0
2025-03-12,47062330,0,0,0
2025-03-13,47062330,0,0,0
2025-03-14,47113138,0,0,0
2025-03-15,47113149,0,0,0
2025-03-16,46296744,0,0,0
2025-03-17,46126338,0,0,0
2025-03-18,46126338,0,0,0
2025-03-19,46126338,0,0,0
2025-03-20,46126338,0,0,0
2025-03-21,46126338,0,0,0
2025-03-22,46126338,0,0,0
2025-03-23,46126338,0,0,0
2025-03-24,44966338,0,0,0
2025-03-25,41143208,0,0,0
2025-03-26,40630570,0,0,0
2025-03-27,40381171,0,0,0
2025-03-28,40381171,0,0,0
2025-03-29,40381171,0,0,0
2025-03-30,39379568,0,0,0
2025-03-31,39101104,0,0,0
2025-04-01,38812256,0,0,0
2025-04-02,36605050,0,0,0
2025-04-03,36605050,0,0,0
2025-04-04,36543776,0,0,0
2025-04-05,36291680,0,0,0
2025-04-06,36291680,0,0,0
2025-04-07,36291680,0,0,0
2025-04-08,36465680,0,0,0
2025-04-09,36604840,0,0,0
2025-04-10,32405640,0,0,0
2025-04-11,32405640,0,0,0
2025-04-12,32405640,0,0,0
2025-04-13,32405640,0,0,0
2025-04-14,32684999,0,0,0
2025-04-15,32684999,0,0,0
2025-04-16,32684999,0,0,0
2025-04-17,32684999,0,0,0
2025-04-18,32684999,0,0,0
2025-04-19,32684999,0,0,0
2025-04-20,32684999,0,0,0
2025-04-21,33621990,0,0,0
2025-04-22,33621990,0,0,0
2025-04-23,33743670,0,0,0
2025-04-24,35709705,0,0,0
2025-04-25,35763369,0,0,0
2025-04-26,35763369,0,0,0
2025-04-27,35763369,0,0,0
2025-04-28,35763369,0,0,0
2025-04-29,35763369,0,0,0
2025-04-30,35763369,0,0,0
2025-05-01,35763369,0,0,0
2025-05-02,34813074,0,0,0
2025-05-03,34813074,0,0,0
2025-05-04,11339276,0,0,0
2025-05-05,11339276,0,0,0
2025-05-06,11339276,0,0,0
2025-05-07,11339276,0,0,0
2025-05-08,16183301,0,0,0
2025-05-09,16183301,0,0,0
2025-05-10,16183301,0,0,0
2025-05-11,16183301,0,0,0
2025-05-12,24316831,0,0,0
2025-05-13,24316831,0,0,0
2025-05-14,25180204,0,0,0
2025-05-15,25180378,0,0,0
2025-05-16,25180378,0,0,0
2025-05-17,24862776,0,0,0
2025-05-18,24862776,0,0,0
2025-05-19,16730183,0,0,0
2025-05-20,16732523,0,0,0
2025-05-21,16947646,0,0,0
2025-05-22,17064646,0,0,0
2025-05-23,17064646,0,0,0
2025-05-24,16857159,0,0,0
2025-05-25,16853108,0,0,0
2025-05-26,16853108,0,0,0
2025-05-27,16997152,0,0,0
2025-05-28,16997152,0,0,0
2025-05-29,16853108,0,0,0
2025-05-30,14630108,0,0,0
2025-05-31,14781100,0,0,0
2025-06-01,14781100,0,0,0
2025-06-02,14817250,0,0,0
2025-06-03,14932478,0,0,0
2025-06-04,14934116,0,0,0
