date,tvl,apy,apy_base,apy_reward
2024-06-06,1090781,7.54431,7.54431,0
2024-06-07,1049911,8.51464,8.51464,0
2024-06-08,1093604,7.46461,7.46461,0
2024-06-09,1262860,5.4719,5.4719,0
2024-06-10,1226164,5.5139,5.5139,0
2024-06-11,1153253,6.39248,6.39248,0
2024-06-12,1046763,8.97514,8.97514,0
2024-06-13,2292990,4.74786,4.74786,0
2024-06-14,1435763,5.37876,5.37876,0
2024-06-15,1323273,5.45913,5.45913,0
2024-06-16,2060747,4.97959,4.97959,0
2024-06-17,2047532,4.99316,4.99316,0
2024-06-18,1802813,5.15727,5.15727,0
2024-06-19,1529200,5.35887,5.35887,0
2024-06-20,1675181,5.25396,5.25396,0
2024-06-21,1713035,5.20355,5.20355,0
2024-06-22,1823376,5.12484,5.12484,0
2024-06-23,1109405,7.80237,7.80237,0
2024-06-24,1219011,5.56828,5.56828,0
2024-06-25,1156213,6.44999,6.44999,0
2024-06-26,1206750,5.55779,5.55779,0
2024-06-27,1150262,6.49418,6.49418,0
2024-06-28,1394206,5.33063,5.33063,0
2024-06-29,1112210,6.5326,6.5326,0
2024-06-30,1301856,5.40037,5.40037,0
2024-07-01,1334281,5.37783,5.37783,0
2024-07-02,1120060,6.48111,6.48111,0
2024-07-03,1116896,6.54118,6.54118,0
2024-07-04,1210508,5.46758,5.46758,0
2024-07-05,1145991,6.27921,6.27921,0
2024-07-06,1458534,4.86453,4.86453,0
2024-07-07,1321320,4.97131,4.97131,0
2024-07-08,1175261,5.06878,5.06878,0
2024-07-09,1186004,5.05132,5.05132,0
2024-07-10,1119419,5.11119,5.11119,0
2024-07-11,1152202,5.06291,5.06291,0
2024-07-12,1285182,4.96318,4.96318,0
2024-07-13,1253287,4.98381,4.98381,0
2024-07-14,1222605,5.00468,5.00468,0
2024-07-15,1195428,5.0048,5.0048,0
2024-07-16,1381879,4.85407,4.85407,0
2024-07-17,1673920,4.65031,4.65031,0
2024-07-18,1120453,5.04988,5.04988,0
2024-07-19,1091366,5.07077,5.07077,0
2024-07-20,1127553,5.05639,5.05639,0
2024-07-21,1065670,5.76671,5.76671,0
2024-07-22,1169538,5.02193,5.02193,0
2024-07-23,1773657,4.62433,4.62433,0
2024-07-24,2108394,3.42883,3.42883,0
2024-07-25,1382915,3.79748,3.79748,0
2024-07-26,1046245,5.88913,5.88913,0
2024-07-27,1095086,4.26335,4.26335,0
2024-07-28,915788,7.98489,7.98489,0
2024-07-29,1548692,3.65336,3.65336,0
2024-07-30,1065952,5.24942,5.24942,0
2024-07-31,981265,6.3713,6.3713,0
2024-08-01,852444,9.02867,9.02867,0
2024-08-02,592275,15.56937,15.56937,0
2024-08-03,1007760,4.90385,4.90385,0
2024-08-04,898679,7.05201,7.05201,0
2024-08-05,1603959,3.44117,3.44117,0
2024-08-06,1598239,3.74164,3.74164,0
2024-08-07,1841064,3.59761,3.59761,0
2024-08-08,1522295,3.84924,3.84924,0
2024-08-09,1494711,3.831,3.831,0
2024-08-10,1595844,3.74048,3.74048,0
2024-08-11,1578714,3.75463,3.75463,0
2024-08-12,1333594,3.69283,3.69283,0
2024-08-13,1076268,3.91385,3.91385,0
2024-08-14,943319,4.03958,4.03958,0
2024-08-15,1266038,3.75945,3.75945,0
2024-08-16,1222264,3.79619,3.79619,0
2024-08-17,1330403,3.69964,3.69964,0
2024-08-18,1537083,3.52419,3.52419,0
2024-08-19,1517228,3.55031,3.55031,0
2024-08-20,1449381,3.58062,3.58062,0
2024-08-21,1669326,3.17247,3.17247,0
2024-08-22,1610653,3.20998,3.20998,0
2024-08-23,1481673,3.29477,3.29477,0
2024-08-24,1524654,3.2824,3.2824,0
2024-08-25,1497266,3.31196,3.31196,0
2024-08-26,1996499,2.8991,2.8991,0
2024-08-27,1180112,3.49737,3.49737,0
2024-08-28,1310302,3.36438,3.36438,0
2024-08-29,892776,3.71312,3.71312,0
2024-08-30,939164,3.66643,3.66643,0
2024-08-31,979503,3.62849,3.62849,0
2024-09-01,923922,3.67327,3.67327,0
2024-09-02,889555,3.70991,3.70991,0
2024-09-03,968119,3.62727,3.62727,0
2024-09-04,948551,3.64554,3.64554,0
2024-09-05,788219,3.80096,3.80096,0
2024-09-06,917119,3.64603,3.64603,0
2024-09-07,1002614,3.56512,3.56512,0
2024-09-08,1018656,3.54025,3.54025,0
2024-09-09,884462,3.66864,3.66864,0
2024-09-10,915597,3.63746,3.63746,0
2024-09-11,1031785,3.53403,3.53403,0
2024-09-12,1284798,3.04298,3.04298,0
2024-09-13,1310873,3.02525,3.02525,0
2024-09-14,1365533,2.97648,2.97648,0
2024-09-15,1682741,2.7502,2.7502,0
2024-09-16,1823172,2.65188,2.65188,0
2024-09-17,1804352,2.66547,2.66547,0
2024-09-18,1928905,2.58916,2.58916,0
2024-09-19,1498001,2.87074,2.87074,0
2024-09-20,1521074,2.85233,2.85233,0
2024-09-21,1324362,2.99436,2.99436,0
2024-09-22,1457401,2.90656,2.90656,0
2024-09-23,1496695,2.86578,2.86578,0
2024-09-24,1393055,2.94349,2.94349,0
2024-09-25,1374215,2.94818,2.94818,0
2024-09-26,1334652,2.97096,2.97096,0
2024-09-27,1323588,2.73276,2.73276,0
2024-09-28,1290832,2.75343,2.75343,0
2024-09-29,1144522,2.87406,2.87406,0
2024-09-30,1176899,2.85,2.85,0
2024-10-01,1167866,2.84618,2.84618,0
2024-10-02,1332856,2.72477,2.72477,0
2024-10-03,1447388,2.65037,2.65037,0
2024-10-04,978775,2.9944,2.9944,0
2024-10-05,988288,2.98358,2.98358,0
2024-10-06,1004751,2.96943,2.96943,0
2024-10-07,963708,2.99665,2.99665,0
2024-10-08,888866,3.06404,3.06404,0
2024-10-09,724394,3.20127,3.20127,0
2024-10-10,678869,4.6733,4.6733,0
2024-10-11,686748,4.17368,4.17368,0
2024-10-12,719591,3.20475,3.20475,0
2024-10-13,649065,5.69017,5.69017,0
2024-10-14,624590,6.56473,6.56473,0
2024-10-15,542975,11.29645,11.29645,0
2024-10-16,659432,4.53451,4.53451,0
2024-10-17,655916,4.50826,4.50826,0
2024-10-18,659807,3.69001,3.69001,0
2024-10-19,644901,4.49152,4.49152,0
2024-10-20,617281,6.07956,6.07956,0
2024-10-21,650741,3.91482,3.91482,0
2024-10-22,631121,5.00968,5.00968,0
2024-10-23,600220,6.08209,6.08209,0
2024-10-24,620405,4.9597,4.9597,0
2024-10-25,1194327,2.42846,2.42846,0
2024-10-26,1142223,2.46104,2.46104,0
2024-10-27,1022772,2.56752,2.56752,0
2024-10-28,1014741,2.57333,2.57333,0
2024-10-29,639619,3.24281,3.24281,0
2024-10-30,692060,2.86981,2.86981,0
2024-10-31,645201,2.91697,2.91697,0
2024-11-01,643166,2.91867,2.91867,0
2024-11-02,671659,2.88732,2.88732,0
2024-11-03,603260,4.06679,4.06679,0
2024-11-04,737775,2.80736,2.80736,0
2024-11-05,620134,3.13957,3.13957,0
2024-11-06,732363,2.83227,2.83227,0
2024-11-07,560440,7.02827,7.02827,0
2024-11-08,837876,2.70855,2.70855,0
2024-11-09,536891,7.60814,7.60814,0
2024-11-10,590995,4.15722,4.15722,0
2024-11-11,494214,9.51916,9.51916,0
2024-11-12,468358,9.47835,9.47835,0
2024-11-13,527193,5.39994,5.39994,0
2024-11-14,484995,7.8004,7.8004,0
2024-11-15,176737,29.53606,29.53606,0
2024-11-16,538347,4.72114,4.72114,0
2024-11-17,512789,6.0636,6.0636,0
2024-11-18,459064,8.71885,8.71885,0
2024-11-19,467762,8.53056,8.53056,0
2024-11-20,511980,6.09108,6.09108,0
2024-11-21,475901,8.10143,8.10143,0
2024-11-22,494363,6.47381,6.47381,0
2024-11-23,519115,4.80979,4.80979,0
2024-11-24,680248,2.75528,2.75528,0
2024-11-25,488084,6.3529,6.3529,0
2024-11-26,409768,10.83521,10.83521,0
2024-11-27,450208,8.00153,8.00153,0
2024-11-28,427149,9.25487,9.25487,0
2024-11-29,432947,8.76055,8.76055,0
2024-11-30,497489,4.35139,4.35139,0
2024-12-01,458093,6.63297,6.63297,0
2024-12-02,416640,9.62497,9.62497,0
2024-12-03,365822,13.0747,13.0747,0
2024-12-04,438455,7.63604,7.63604,0
2024-12-05,514261,6.10236,6.10236,0
2024-12-06,458894,7.71322,7.71322,0
2024-12-07,460364,7.04324,7.04324,0
2024-12-08,480256,5.95823,5.95823,0
2024-12-09,281366,18.85948,18.85948,0
2024-12-10,384722,9.54414,9.54414,0
2024-12-11,525143,2.84841,2.84841,0
2024-12-12,411236,5.1667,5.1667,0
2024-12-13,398045,5.93563,5.93563,0
2024-12-14,393909,6.36095,6.36095,0
2024-12-15,411111,5.06994,5.06994,0
2024-12-16,264175,13.09347,13.09347,0
2024-12-17,371324,8.36263,8.36263,0
2024-12-18,356895,8.87521,8.87521,0
2024-12-19,368623,8.30982,8.30982,0
2024-12-20,369264,7.80425,7.80425,0
2024-12-21,400836,6.48146,6.48146,0
2024-12-22,630710,5.47055,5.47055,0
2024-12-23,653946,5.42304,5.42304,0
2024-12-24,662484,5.39812,5.39812,0
2024-12-25,714911,5.19897,5.19897,0
2024-12-26,769116,5.08446,5.08446,0
2024-12-27,758554,5.10151,5.10151,0
2024-12-28,834064,4.93426,4.93426,0
2024-12-29,789508,5.03325,5.03325,0
2024-12-30,773174,5.06899,5.06899,0
2024-12-31,631936,5.36896,5.36896,0
2025-01-01,654671,5.31737,5.31737,0
2025-01-02,546943,5.64299,5.64299,0
2025-01-03,509971,5.74669,5.74669,0
2025-01-04,504528,5.76258,5.76258,0
2025-01-05,478961,5.83844,5.83844,0
2025-01-06,408002,6.04762,6.04762,0
2025-01-07,381852,6.75985,6.75985,0
2025-01-08,477415,5.79129,5.79129,0
2025-01-09,349929,7.49898,7.49898,0
2025-01-10,330270,8.28842,8.28842,0
2025-01-11,316697,8.95624,8.95624,0
2025-01-12,355276,7.21359,7.21359,0
2025-01-13,425413,5.92799,5.92799,0
2025-01-14,459456,5.58532,5.58532,0
2025-01-15,440920,5.64816,5.64816,0
2025-01-16,478150,5.53781,5.53781,0
2025-01-17,378907,5.83126,5.83126,0
2025-01-18,317825,8.53033,8.53033,0
2025-01-19,292407,9.80786,9.80786,0
2025-01-20,369228,5.962,5.962,0
2025-01-21,341120,7.12763,7.12763,0
2025-01-22,334001,7.33842,7.33842,0
2025-01-23,480563,5.47358,5.47358,0
2025-01-24,648163,4.98964,4.98964,0
2025-01-25,372637,6.44492,6.44492,0
2025-01-26,366384,6.67566,6.67566,0
2025-01-27,367733,6.75802,6.75802,0
2025-01-28,368324,6.75298,6.75298,0
2025-01-29,787867,4.63758,4.63758,0
2025-01-30,757740,4.72214,4.72214,0
2025-01-31,872977,4.26057,4.26057,0
2025-02-01,725649,4.60998,4.60998,0
2025-02-02,670464,4.75889,4.75889,0
2025-02-03,830569,4.2988,4.2988,0
2025-02-04,730888,4.53667,4.53667,0
2025-02-05,749746,4.48709,4.48709,0
2025-02-06,771282,4.44534,4.44534,0
2025-02-07,771166,4.44493,4.44493,0
2025-02-08,756054,4.47256,4.47256,0
2025-02-09,699068,4.62976,4.62976,0
2025-02-10,772604,4.445,4.445,0
2025-02-11,846431,3.54271,3.54271,0
2025-02-12,812553,3.61459,3.61459,0
2025-02-13,801004,3.6383,3.6383,0
2025-02-14,774743,3.69906,3.69906,0
2025-02-15,830563,3.58175,3.58175,0
2025-02-16,832458,3.57615,3.57615,0
2025-02-17,769587,3.70681,3.70681,0
2025-02-18,749650,3.75016,3.75016,0
2025-02-19,668784,3.9127,3.9127,0
2025-02-20,678880,3.88089,3.88089,0
2025-02-21,642757,3.96264,3.96264,0
2025-02-22,635863,3.97372,3.97372,0
2025-02-23,672889,3.88682,3.88682,0
2025-02-24,662096,3.89191,3.89191,0
2025-02-25,692395,3.79802,3.79802,0
