date,tvl,apy,apy_base,apy_reward
2024-06-06,10795934,0.00526,0.00526,0
2024-06-07,10992282,2.35105,2.35105,0
2024-06-08,38550728,0.9942,0.9942,0
2024-06-09,36745557,1.18013,1.18013,0
2024-06-10,34209888,1.47043,1.47043,0
2024-06-11,32039681,1.72535,1.72535,0
2024-06-12,29476835,2.09637,2.09637,0
2024-06-13,29032790,2.14865,2.14865,0
2024-06-14,26752919,2.493,2.493,0
2024-06-15,21662699,3.36694,3.36694,0
2024-06-16,23510771,3.03678,3.03678,0
2024-06-17,23103333,3.13137,3.13137,0
2024-06-18,17513341,4.15604,4.15604,0
2024-06-19,16763901,4.29049,4.29049,0
2024-06-20,17588004,4.16419,4.16419,0
2024-06-21,19097134,3.81004,3.81004,0
2024-06-22,22590283,3.2013,3.2013,0
2024-06-23,19747426,3.70649,3.70649,0
2024-06-24,20218137,3.60453,3.60453,0
2024-06-25,20927469,3.50117,3.50117,0
2024-06-26,20043965,3.66896,3.66896,0
2024-06-27,19784406,3.71205,3.71205,0
2024-06-28,17429518,4.15617,4.15617,0
2024-06-29,17890651,4.07408,4.07408,0
2024-06-30,20010684,3.6663,3.6663,0
2024-07-01,18684545,3.91849,3.91849,0
2024-07-02,18472492,3.96184,3.96184,0
2024-07-03,18029152,4.04912,4.04912,0
2024-07-04,18554354,3.95632,3.95632,0
2024-07-05,16382130,4.30788,4.30788,0
2024-07-06,15987956,4.39471,4.39471,0
2024-07-07,16306774,4.35281,4.35281,0
2024-07-08,16165723,4.38575,4.38575,0
2024-07-09,15989988,4.422,4.422,0
2024-07-10,16169633,4.38661,4.38661,0
2024-07-11,16068364,4.40525,4.40525,0
2024-07-12,15796931,4.46724,4.46724,0
2024-07-13,16327176,4.3681,4.3681,0
2024-07-14,16361774,4.35462,4.35462,0
2024-07-15,17667537,4.10199,4.10199,0
2024-07-16,17493759,4.14692,4.14692,0
2024-07-17,15969995,4.45853,4.45853,0
2024-07-18,16229970,4.40549,4.40549,0
2024-07-19,12405503,5.35892,5.35892,0
2024-07-20,12198378,6.26092,6.26092,0
2024-07-21,12743036,5.35444,5.35444,0
2024-07-22,12865802,5.32732,5.32732,0
2024-07-23,12916305,5.35982,5.35982,0
2024-07-24,13996197,5.14424,5.14424,0
2024-07-25,25140528,3.82238,3.82238,0
2024-07-26,22289438,4.22862,4.22862,0
2024-07-27,24367192,3.9425,3.9425,0
2024-07-28,23995718,4.03557,4.03557,0
2024-07-29,21280180,4.29782,4.29782,0
2024-07-30,23652072,3.92858,3.92858,0
2024-07-31,28631100,3.19792,3.19792,0
2024-08-01,23871835,3.6392,3.6392,0
2024-08-02,25278196,3.34581,3.34581,0
2024-08-03,11442642,5.13779,5.13779,0
2024-08-04,9533457,9.30214,9.30214,0
2024-08-05,4974375,11.81963,11.81963,0
2024-08-06,5245419,9.14249,9.14249,0
2024-08-07,4896795,8.58998,8.58998,0
2024-08-08,5065252,7.14875,7.14875,0
2024-08-09,5100720,5.38451,5.38451,0
2024-08-10,4814022,8.0812,8.0812,0
2024-08-11,4175544,13.56933,13.56933,0
2024-08-12,8764956,3.51168,3.51168,0
2024-08-13,9557841,3.97738,3.97738,0
2024-08-14,10112278,3.83769,3.83769,0
2024-08-15,10165828,3.82147,3.82147,0
2024-08-16,10684433,3.0875,3.0875,0
2024-08-17,11953064,2.61721,2.61721,0
2024-08-18,18332381,1.58615,1.58615,0
2024-08-19,11989949,3.26781,3.26781,0
2024-08-20,12160650,3.20749,3.20749,0
2024-08-21,12879791,3.06764,3.06764,0
2024-08-22,20816083,1.81847,1.81847,0
2024-08-23,21515335,1.36219,1.36219,0
2024-08-24,18960229,1.84092,1.84092,0
2024-08-25,18818527,1.87452,1.87452,0
2024-08-26,20930726,1.41605,1.41605,0
2024-08-27,26910485,0.74676,0.74676,0
2024-08-28,21289467,1.60507,1.60507,0
2024-08-29,20538155,1.73349,1.73349,0
2024-08-30,12385480,2.68381,2.68381,0
2024-08-31,13375021,2.36209,2.36209,0
2024-09-01,13392608,2.35088,2.35088,0
2024-09-02,16450511,1.73088,1.73088,0
2024-09-03,20970953,1.85541,1.85541,0
2024-09-04,27495752,1.46083,1.46083,0
2024-09-05,35101217,1.62651,1.62651,0
2024-09-06,24431260,2.27377,2.27377,0
2024-09-07,24144318,2.33985,2.33985,0
2024-09-08,23648840,1.99045,1.99045,0
2024-09-09,28767136,1.19413,1.19413,0
2024-09-10,28736916,1.21013,1.21013,0
2024-09-11,30427606,1.12676,1.12676,0
2024-09-12,28580938,1.30772,1.30772,0
2024-09-13,29419505,1.34974,1.34974,0
2024-09-14,31546995,1.30649,1.30649,0
2024-09-15,34542886,0.8783,0.8783,0
2024-09-16,37341024,0.77816,0.77816,0
2024-09-17,36557141,0.92362,0.92362,0
2024-09-18,37382748,0.89972,0.89972,0
2024-09-19,36420130,0.99758,0.99758,0
2024-09-20,38393107,0.94641,0.94641,0
2024-09-21,37032404,0.99515,0.99515,0
2024-09-22,32720180,1.46911,1.46911,0
2024-09-23,33813496,1.44684,1.44684,0
2024-09-24,34466858,1.49266,1.49266,0
2024-09-25,34281469,1.53174,1.53174,0
2024-09-26,26713863,2.47308,2.47308,0
2024-09-27,25120372,2.67061,2.67061,0
2024-09-28,26293952,2.44126,2.44126,0
2024-09-29,25508279,2.49059,2.49059,0
2024-09-30,34871559,1.86697,1.86697,0
2024-10-01,30749749,2.03195,2.03195,0
2024-10-02,30564164,2.0568,2.0568,0
2024-10-03,26028786,2.03507,2.03507,0
2024-10-04,25092193,1.86167,1.86167,0
2024-10-05,23909305,2.06117,2.06117,0
2024-10-06,22677697,2.19838,2.19838,0
2024-10-07,22487261,2.2111,2.2111,0
2024-10-08,17377382,2.81328,2.81328,0
2024-10-09,19533217,2.54554,2.54554,0
2024-10-10,17073217,3.15529,3.15529,0
2024-10-11,14404398,3.73274,3.73274,0
2024-10-12,15047220,3.60105,3.60105,0
2024-10-13,14380651,3.72618,3.72618,0
