date,tvl,apy,apy_base,apy_reward
2024-11-08,12866406,4.74513,4.74513,0
2024-11-09,13951296,4.60989,4.60989,0
2024-11-10,15686384,4.3461,4.3461,0
2024-11-11,14752213,4.50643,4.50643,0
2024-11-12,15107938,4.98365,4.98365,0
2024-11-13,22327315,4.21695,4.21695,0
2024-11-14,27287507,3.70655,3.70655,0
2024-11-15,14171032,5.07925,5.07925,0
2024-11-16,14039293,5.09188,5.09188,0
2024-11-17,12141843,5.28395,5.28395,0
2024-11-18,7360572,10.96648,10.96648,0
2024-11-19,5446042,26.49437,26.49437,0
2024-11-20,7872705,6.9027,6.9027,0
2024-11-21,7510135,10.35704,10.35704,0
2024-11-22,8759619,5.69959,5.69959,0
2024-11-23,16003677,4.88144,4.88144,0
2024-11-24,7813960,7.56165,7.56165,0
2024-11-25,7847775,7.50436,7.50436,0
2024-11-26,7662862,8.3856,8.3856,0
2024-11-27,7526248,9.55235,9.55235,0
2024-11-28,9096049,5.66906,5.66906,0
2024-11-29,8814362,5.70184,5.70184,0
2024-11-30,8263685,5.7678,5.7678,0
2024-12-01,7798902,7.46646,7.46646,0
2024-12-02,56419633,2.80135,2.80135,0
2024-12-03,12083903,8.27353,8.27353,0
2024-12-04,14183803,8.03058,8.03058,0
2024-12-05,13886380,8.07266,8.07266,0
2024-12-06,13721001,8.0856,8.0856,0
2024-12-07,12774219,8.18917,8.18917,0
2024-12-08,12209757,8.25935,8.25935,0
2024-12-09,11918606,8.64381,8.64381,0
2024-12-10,19009616,7.49414,7.49414,0
2024-12-11,18724265,7.51988,7.51988,0
2024-12-12,22688733,7.09707,7.09707,0
2024-12-13,21570708,7.21325,7.21325,0
2024-12-14,18990767,7.49432,7.49432,0
2024-12-15,18476460,7.54605,7.54605,0
2024-12-16,18469957,7.55229,7.55229,0
2024-12-17,18388103,7.56433,7.56433,0
2024-12-18,34362160,5.90153,5.90153,0
2024-12-19,33384758,5.99006,5.99006,0
2024-12-20,33637761,5.97399,5.97399,0
2024-12-21,33405003,5.99094,5.99094,0
2024-12-22,33338672,5.99965,5.99965,0
2024-12-23,33790938,5.98034,5.98034,0
2024-12-24,33283175,6.00899,6.00899,0
2024-12-25,44593339,4.95542,4.95542,0
2024-12-26,43527778,5.04657,5.04657,0
2024-12-27,36974447,5.65531,5.65531,0
2024-12-28,36182382,5.72274,5.72274,0
2024-12-29,41110285,6.55348,6.55348,0
2024-12-30,40711854,6.59644,6.59644,0
2024-12-31,41563145,6.50019,6.50019,0
2025-01-01,40873564,6.57813,6.57813,0
2025-01-02,38319498,6.88077,6.88077,0
2025-01-03,37276251,7.00642,7.00642,0
2025-01-04,38392644,6.87951,6.87951,0
2025-01-05,38054290,6.91579,6.91579,0
2025-01-06,38054290,6.91579,6.91579,0
2025-01-07,39776581,6.7127,6.7127,0
2025-01-08,40183021,6.671,6.671,0
2025-01-09,41562850,6.49658,6.49658,0
2025-01-10,65113969,4.07163,4.07163,0
2025-01-11,65198643,4.07163,4.07163,0
2025-01-12,65470596,4.0374,4.0374,0
2025-01-13,62914523,4.27855,4.27855,0
2025-01-14,58082540,4.73846,4.73846,0
2025-01-15,57904937,4.75887,4.75887,0
2025-01-16,49761823,5.60263,5.60263,0
2025-01-17,49889801,5.37165,5.37165,0
2025-01-18,49367588,5.43078,5.43078,0
2025-01-19,44314299,5.9471,5.9471,0
2025-01-20,40607131,6.35872,6.35872,0
2025-01-21,40566756,6.35872,6.35872,0
2025-01-22,40618707,6.35872,6.35872,0
2025-01-23,40758454,6.35007,6.35007,0
2025-01-24,40296237,6.38283,6.38283,0
2025-01-25,39369526,6.49612,6.49612,0
2025-01-26,39326380,6.49612,6.49612,0
2025-01-27,39346323,6.49445,6.49445,0
2025-01-28,39635952,6.47727,6.47727,0
2025-01-29,39826741,6.44831,6.44831,0
2025-01-30,39819518,6.44475,6.44475,0
2025-01-31,40084150,6.16622,6.16622,0
2025-02-01,41386101,6.02461,6.02461,0
2025-02-02,47029935,5.47653,5.47653,0
2025-02-03,70552672,3.32417,3.32417,0
2025-02-04,70210883,3.36459,3.36459,0
2025-02-05,67315000,3.57075,3.57075,0
2025-02-06,68219974,3.50892,3.50892,0
2025-02-07,68251822,3.50161,3.50161,0
2025-02-08,68895649,3.45575,3.45575,0
2025-02-09,69125059,3.42442,3.42442,0
2025-02-10,70602508,3.30794,3.30794,0
2025-02-11,68882674,2.87223,2.87223,0
2025-02-12,69522067,2.83523,2.83523,0
2025-02-13,66277408,3.05019,3.05019,0
2025-02-14,65464702,3.11479,3.11479,0
2025-02-15,65399302,3.11479,3.11479,0
2025-02-16,65371377,3.11479,3.11479,0
2025-02-17,65096206,3.13329,3.13329,0
2025-02-18,62049826,3.34964,3.34964,0
2025-02-19,60865008,3.43626,3.43626,0
2025-02-20,60458698,3.28856,3.28856,0
2025-02-21,63679274,3.09162,3.09162,0
2025-02-22,55525350,3.63989,3.63989,0
2025-02-23,55495810,3.64025,3.64025,0
2025-02-24,55479777,3.63625,3.63625,0
2025-02-25,67082050,2.69994,2.69994,0
2025-02-26,49329679,3.88067,3.88067,0
2025-02-27,43472371,4.31369,4.31369,0
2025-02-28,47656213,4.00249,4.00249,0
2025-03-01,49123946,3.89717,3.89717,0
2025-03-02,47225666,4.03627,4.03627,0
2025-03-03,47600001,4.00875,4.00875,0
2025-03-04,57786827,3.30113,3.30113,0
2025-03-05,57712748,3.11593,3.11593,0
2025-03-06,57903207,3.10473,3.10473,0
2025-03-07,57908058,3.1083,3.1083,0
2025-03-08,57851113,3.10869,3.10869,0
2025-03-09,58771829,3.05162,3.05162,0
2025-03-10,61075336,2.73745,2.73745,0
2025-03-11,63923466,2.57951,2.57951,0
2025-03-12,65529563,2.4922,2.4922,0
2025-03-13,67513545,2.38559,2.38559,0
2025-03-14,67523405,2.31126,2.31126,0
2025-03-15,65404282,2.4209,2.4209,0
2025-03-16,67995047,2.2884,2.2884,0
2025-03-17,72994341,2.0417,2.0417,0
2025-03-18,72293884,2.07349,2.07349,0
2025-03-19,71630903,2.1076,2.1076,0
2025-03-20,71022955,2.13787,2.13787,0
2025-03-21,71027288,2.13787,2.13787,0
2025-03-22,70741796,2.15171,2.15171,0
2025-03-23,71201034,2.12748,2.12748,0
2025-03-24,72094481,2.08619,2.08619,0
2025-03-25,74790522,1.94427,1.94427,0
2025-03-26,79675068,1.7216,1.7216,0
2025-03-27,82174501,1.61291,1.61291,0
2025-03-28,81777485,1.62928,1.62928,0
