date,tvl,apy,apy_base,apy_reward
2024-06-06,1299047,2.99158,2.99158,0
2024-06-07,1390023,2.82028,2.82028,0
2024-06-08,1340836,2.8834,2.8834,0
2024-06-09,1369221,2.84593,2.84593,0
2024-06-10,1326965,2.90744,2.90744,0
2024-06-11,1053728,3.32011,3.32011,0
2024-06-12,1257569,2.9993,2.9993,0
2024-06-13,1276952,2.97575,2.97575,0
2024-06-14,1328470,2.90067,2.90067,0
2024-06-15,1289906,2.96049,2.96049,0
2024-06-16,1272938,2.97941,2.97941,0
2024-06-17,1251403,3.00607,3.00607,0
2024-06-18,1324859,2.89992,2.89992,0
2024-06-19,1318105,2.91333,2.91333,0
2024-06-20,1124731,3.19844,3.19844,0
2024-06-21,1259835,2.94617,2.94617,0
2024-06-22,1267802,2.93642,2.93642,0
2024-06-23,1277074,2.91383,2.91383,0
2024-06-24,1880417,1.82822,1.82822,0
2024-06-25,1851756,1.86111,1.86111,0
2024-06-26,1870291,1.84124,1.84124,0
2024-06-27,1846907,1.85907,1.85907,0
2024-06-28,1853220,1.85066,1.85066,0
2024-06-29,1927127,1.78859,1.78859,0
2024-06-30,1880495,1.80128,1.80128,0
2024-07-01,1858465,1.79934,1.79934,0
2024-07-02,1787380,1.89329,1.89329,0
2024-07-03,1822341,1.87425,1.87425,0
2024-07-04,1840944,1.84031,1.84031,0
2024-07-05,1978247,1.69458,1.69458,0
2024-07-06,1972410,1.53313,1.53313,0
2024-07-07,2037507,1.48157,1.48157,0
2024-07-08,2049880,1.47081,1.47081,0
2024-07-09,2054967,1.48164,1.48164,0
2024-07-10,2057128,1.47891,1.47891,0
2024-07-11,2029853,1.47856,1.47856,0
2024-07-12,2054582,1.47266,1.47266,0
2024-07-13,2065183,1.47702,1.47702,0
2024-07-14,2146474,1.4337,1.4337,0
2024-07-15,2113014,1.45758,1.45758,0
2024-07-16,2003623,1.52075,1.52075,0
2024-07-17,2007074,1.50998,1.50998,0
2024-07-18,2032595,1.49894,1.49894,0
2024-07-19,2031364,1.4994,1.4994,0
2024-07-20,2057491,1.48226,1.48226,0
2024-07-21,2105123,1.45581,1.45581,0
2024-07-22,2043366,1.48729,1.48729,0
2024-07-23,1978985,1.55596,1.55596,0
2024-07-24,1902404,1.5976,1.5976,0
2024-07-25,1918243,1.61247,1.61247,0
2024-07-26,1890373,1.66649,1.66649,0
2024-07-27,1875963,1.6769,1.6769,0
2024-07-28,1908429,1.64802,1.64802,0
2024-07-29,1909180,1.63836,1.63836,0
2024-07-30,1868451,1.67579,1.67579,0
2024-07-31,1894833,1.66115,1.66115,0
2024-08-01,1916507,1.67733,1.67733,0
2024-08-02,1831380,1.69029,1.69029,0
2024-08-03,1954977,1.60371,1.60371,0
2024-08-04,2078279,1.43582,1.43582,0
2024-08-05,2285064,1.16227,1.16227,0
2024-08-06,2322744,1.0907,1.0907,0
2024-08-07,2437803,1.04254,1.04254,0
2024-08-08,2478357,1.07444,1.07444,0
2024-08-09,2473777,1.03974,1.03974,0
2024-08-10,2478229,1.03751,1.03751,0
2024-08-11,2515511,1.02263,1.02263,0
2024-08-12,2545103,0.89917,0.89917,0
2024-08-13,2536875,0.90208,0.90208,0
2024-08-14,2571260,0.88893,0.88893,0
2024-08-15,2561962,0.8928,0.8928,0
2024-08-16,2700330,0.75991,0.75991,0
2024-08-17,2692692,0.76453,0.76453,0
2024-08-18,2647414,0.77689,0.77689,0
2024-08-19,2666858,0.77441,0.77441,0
2024-08-20,2636827,0.78097,0.78097,0
2024-08-21,2602211,0.69341,0.69341,0
2024-08-22,2694067,0.66574,0.66574,0
2024-08-23,2836882,0.62442,0.62442,0
2024-08-24,2776255,0.64507,0.64507,0
2024-08-25,2755281,0.65462,0.65462,0
2024-08-26,2822991,0.61707,0.61707,0
2024-08-27,2684796,0.65421,0.65421,0
2024-08-28,2698976,0.6477,0.6477,0
2024-08-29,2672339,0.65156,0.65156,0
2024-08-30,2697501,0.64246,0.64246,0
2024-08-31,2694059,0.64287,0.64287,0
2024-09-01,2689689,0.64429,0.64429,0
2024-09-02,2712494,0.64076,0.64076,0
2024-09-03,2710077,0.63743,0.63743,0
2024-09-04,2653478,0.65598,0.65598,0
2024-09-05,2691396,0.64447,0.64447,0
2024-09-06,2661601,0.65296,0.65296,0
2024-09-07,2646470,0.65757,0.65757,0
2024-09-08,2650640,0.6546,0.6546,0
2024-09-09,2631836,0.66311,0.66311,0
2024-09-10,2612503,0.67047,0.67047,0
2024-09-11,2625514,0.66615,0.66615,0
2024-09-12,2636867,0.57274,0.57274,0
2024-09-13,2662184,0.56344,0.56344,0
2024-09-14,2681816,0.55679,0.55679,0
2024-09-15,2835364,0.51973,0.51973,0
2024-09-16,2791410,0.52966,0.52966,0
2024-09-17,2749107,0.53981,0.53981,0
2024-09-18,2755234,0.53884,0.53884,0
2024-09-19,2710467,0.55022,0.55022,0
2024-09-20,2702990,0.53879,0.53879,0
2024-09-21,2709697,0.53977,0.53977,0
2024-09-22,2702216,0.54241,0.54241,0
2024-09-23,2682575,0.54697,0.54697,0
2024-09-24,2687813,0.54868,0.54868,0
2024-09-25,2652507,0.55226,0.55226,0
2024-09-26,2447394,0.61121,0.61121,0
2024-09-27,2453926,0.50856,0.50856,0
2024-09-28,2453889,0.50767,0.50767,0
2024-09-29,2452823,0.50805,0.50805,0
2024-09-30,2438733,0.51189,0.51189,0
2024-10-01,2386952,0.52391,0.52391,0
2024-10-02,2420286,0.51601,0.51601,0
2024-10-03,2437470,0.51202,0.51202,0
2024-10-04,2444142,0.51021,0.51021,0
2024-10-05,2444547,0.51103,0.51103,0
2024-10-06,2438108,0.51212,0.51212,0
2024-10-07,2431150,0.5119,0.5119,0
2024-10-08,2434213,0.51336,0.51336,0
2024-10-09,2421124,0.51837,0.51837,0
2024-10-10,2384073,0.52799,0.52799,0
2024-10-11,2373306,0.53074,0.53074,0
2024-10-12,2384551,0.5262,0.5262,0
2024-10-13,2359016,0.52094,0.52094,0
2024-10-14,2363996,0.52189,0.52189,0
2024-10-15,2376505,0.5183,0.5183,0
2024-10-16,2343166,0.52817,0.52817,0
2024-10-17,2332102,0.53228,0.53228,0
2024-10-18,2355769,0.52303,0.52303,0
2024-10-19,2363782,0.52381,0.52381,0
2024-10-20,2476055,0.49565,0.49565,0
2024-10-21,2512484,0.48702,0.48702,0
2024-10-22,2501001,0.48991,0.48991,0
2024-10-23,2470513,0.39749,0.39749,0
2024-10-24,2465214,0.39863,0.39863,0
2024-10-25,2481319,0.39485,0.39485,0
2024-10-26,2474021,0.39643,0.39643,0
2024-10-27,2364398,0.41848,0.41848,0
2024-10-28,2400451,0.41119,0.41119,0
2024-10-29,2391817,0.42257,0.42257,0
2024-10-30,2428094,0.4165,0.4165,0
2024-10-31,2434269,0.41732,0.41732,0
2024-11-01,2374928,0.42914,0.42914,0
2024-11-02,2356326,0.42992,0.42992,0
2024-11-03,2383859,0.42429,0.42429,0
2024-11-04,2412705,0.42074,0.42074,0
2024-11-05,2436190,0.41552,0.41552,0
2024-11-06,2499225,0.40334,0.40334,0
2024-11-07,2434702,0.41474,0.41474,0
2024-11-08,2455954,0.40876,0.40876,0
2024-11-09,2502452,0.40943,0.40943,0
2024-11-10,2503740,0.40514,0.40514,0
2024-11-11,2601462,0.3774,0.3774,0
2024-11-12,2397132,0.41658,0.41658,0
2024-11-13,2491456,0.39555,0.39555,0
2024-11-14,2414625,0.40982,0.40982,0
2024-11-15,2374385,0.41857,0.41857,0
2024-11-16,2399064,0.41342,0.41342,0
2024-11-17,2423572,0.40776,0.40776,0
2024-11-18,2404419,0.41444,0.41444,0
2024-11-19,2418122,0.40965,0.40965,0
2024-11-20,2281175,0.45128,0.45128,0
2024-11-21,2327112,0.44251,0.44251,0
2024-11-22,2394904,0.42712,0.42712,0
2024-11-23,2414724,0.42539,0.42539,0
2024-11-24,2383053,0.43718,0.43718,0
2024-11-25,2353930,0.44486,0.44486,0
2024-11-26,2242899,0.46678,0.46678,0
2024-11-27,2235335,0.483,0.483,0
2024-11-28,2216819,0.48193,0.48193,0
2024-11-29,2145623,0.5056,0.5056,0
2024-11-30,2155765,0.50215,0.50215,0
2024-12-01,2212335,0.48499,0.48499,0
2024-12-02,2161570,0.49588,0.49588,0
2024-12-03,2126269,0.5095,0.5095,0
2024-12-04,2176081,0.48827,0.48827,0
2024-12-05,2197956,0.47561,0.47561,0
2024-12-06,2229452,0.482,0.482,0
2024-12-07,2194636,0.49211,0.49211,0
2024-12-08,2263956,0.43793,0.43793,0
2024-12-09,2227089,0.46974,0.46974,0
2024-12-10,2261557,0.46105,0.46105,0
