date,tvl,apy,apy_base,apy_reward
2024-06-06,500516,2.45089,2.45089,0
2024-06-07,570878,2.14531,2.14531,0
2024-06-08,594702,2.07599,2.07599,0
2024-06-09,590516,2.09589,2.09589,0
2024-06-10,605746,2.0531,2.0531,0
2024-06-11,894356,1.4489,1.4489,0
2024-06-12,745892,1.72646,1.72646,0
2024-06-13,713185,1.78905,1.78905,0
2024-06-14,717146,1.78167,1.78167,0
2024-06-15,762312,1.68975,1.68975,0
2024-06-16,750879,1.74433,1.74433,0
2024-06-17,758282,1.73097,1.73097,0
2024-06-18,794409,1.64502,1.64502,0
2024-06-19,792364,1.64505,1.64505,0
2024-06-20,781795,1.68252,1.68252,0
2024-06-21,783252,1.68448,1.68448,0
2024-06-22,800174,1.64797,1.64797,0
2024-06-23,801578,1.64865,1.64865,0
2024-06-24,793053,1.64855,1.64855,0
2024-06-25,796838,1.64004,1.64004,0
2024-06-26,753313,1.73013,1.73013,0
2024-06-27,793949,1.63845,1.63845,0
2024-06-28,815932,1.6129,1.6129,0
2024-06-29,725770,1.79442,1.79442,0
2024-06-30,820251,1.60956,1.60956,0
2024-07-01,785820,1.66086,1.66086,0
2024-07-02,918604,1.43461,1.43461,0
2024-07-03,865035,1.52916,1.52916,0
2024-07-04,821296,1.59955,1.59955,0
2024-07-05,857985,1.48293,1.48293,0
2024-07-06,838408,1.35786,1.35786,0
2024-07-07,824171,1.3764,1.3764,0
2024-07-08,830998,1.34687,1.34687,0
2024-07-09,828121,1.35927,1.35927,0
2024-07-10,797825,1.40492,1.40492,0
2024-07-11,764317,1.45984,1.45984,0
2024-07-12,747091,1.49935,1.49935,0
2024-07-13,730426,1.53214,1.53214,0
2024-07-14,651351,1.68762,1.68762,0
2024-07-15,615592,1.78574,1.78574,0
2024-07-16,592772,1.8496,1.8496,0
2024-07-17,559973,1.9296,1.9296,0
2024-07-18,550340,1.96677,1.96677,0
2024-07-19,515903,2.05355,2.05355,0
2024-07-20,489080,2.14031,2.14031,0
2024-07-21,479706,2.17312,2.17312,0
2024-07-22,530413,2.0028,2.0028,0
2024-07-23,626265,1.75239,1.75239,0
2024-07-24,670588,1.65449,1.65449,0
2024-07-25,669902,1.65864,1.65864,0
2024-07-26,645099,1.72255,1.72255,0
2024-07-27,657765,1.6988,1.6988,0
2024-07-28,628713,1.76055,1.76055,0
2024-07-29,634598,1.76319,1.76319,0
2024-07-30,599310,1.84774,1.84774,0
2024-07-31,699108,1.6548,1.6548,0
2024-08-01,792784,1.50888,1.50888,0
2024-08-02,813940,1.47268,1.47268,0
2024-08-03,859994,1.39386,1.39386,0
2024-08-04,827230,1.41381,1.41381,0
2024-08-05,813092,1.28368,1.28368,0
2024-08-06,835780,1.20767,1.20767,0
2024-08-07,800821,1.24448,1.24448,0
2024-08-08,771560,1.2918,1.2918,0
2024-08-09,771396,1.2923,1.2923,0
2024-08-10,765818,1.30049,1.30049,0
2024-08-11,691323,1.43449,1.43449,0
2024-08-12,688658,1.4396,1.4396,0
2024-08-13,689412,1.27925,1.27925,0
2024-08-14,672368,1.29375,1.29375,0
2024-08-15,662976,1.31759,1.31759,0
2024-08-16,679624,1.2977,1.2977,0
2024-08-17,684121,1.27713,1.27713,0
2024-08-18,669278,1.3365,1.3365,0
2024-08-19,658706,1.3683,1.3683,0
2024-08-20,670058,1.34544,1.34544,0
2024-08-21,676548,1.16905,1.16905,0
2024-08-22,630044,1.24814,1.24814,0
2024-08-23,489703,1.51771,1.51771,0
2024-08-24,501653,1.48366,1.48366,0
2024-08-25,514359,1.4743,1.4743,0
2024-08-26,462347,1.59611,1.59611,0
2024-08-27,613773,1.27458,1.27458,0
2024-08-28,592457,1.31424,1.31424,0
2024-08-29,601654,1.29737,1.29737,0
2024-08-30,612234,1.28105,1.28105,0
2024-08-31,611358,1.28062,1.28062,0
2024-09-01,612142,1.27834,1.27834,0
2024-09-02,624248,1.25922,1.25922,0
2024-09-03,621601,1.25027,1.25027,0
2024-09-04,668669,1.18328,1.18328,0
2024-09-05,675444,1.17179,1.17179,0
2024-09-06,687928,1.13079,1.13079,0
2024-09-07,704513,1.12383,1.12383,0
2024-09-08,692490,1.14308,1.14308,0
2024-09-09,704644,1.12217,1.12217,0
2024-09-10,733115,1.08491,1.08491,0
2024-09-11,741065,1.06507,1.06507,0
2024-09-12,742666,0.91173,0.91173,0
2024-09-13,718313,0.94397,0.94397,0
2024-09-14,663123,1.01357,1.01357,0
2024-09-15,500349,1.28255,1.28255,0
2024-09-16,541313,1.20501,1.20501,0
2024-09-17,567848,1.16861,1.16861,0
2024-09-18,563527,1.16882,1.16882,0
2024-09-19,612616,1.08854,1.08854,0
2024-09-20,628320,1.06464,1.06464,0
2024-09-21,632324,1.05926,1.05926,0
2024-09-22,640836,1.04859,1.04859,0
2024-09-23,644785,1.04317,1.04317,0
2024-09-24,631095,1.07345,1.07345,0
2024-09-25,627901,1.07835,1.07835,0
2024-09-26,610175,1.1055,1.1055,0
2024-09-27,567391,0.9784,0.9784,0
2024-09-28,567724,0.9771,0.9771,0
2024-09-29,568818,0.97667,0.97667,0
2024-09-30,559625,0.98952,0.98952,0
2024-10-01,589710,0.94718,0.94718,0
2024-10-02,529957,1.03815,1.03815,0
2024-10-03,576200,0.96133,0.96133,0
2024-10-04,508890,1.06109,1.06109,0
2024-10-05,508181,1.06239,1.06239,0
2024-10-06,603899,0.92358,0.92358,0
2024-10-07,601941,0.9258,0.9258,0
2024-10-08,589545,0.94244,0.94244,0
2024-10-09,592414,0.93922,0.93922,0
2024-10-10,607007,0.92083,0.92083,0
2024-10-11,609959,0.91802,0.91802,0
2024-10-12,615683,0.91083,0.91083,0
2024-10-13,622514,0.90125,0.90125,0
2024-10-14,632719,0.88976,0.88976,0
2024-10-15,631388,0.90093,0.90093,0
2024-10-16,612177,0.92456,0.92456,0
2024-10-17,614827,0.92114,0.92114,0
2024-10-18,576561,0.97381,0.97381,0
2024-10-19,557659,1.00354,1.00354,0
2024-10-20,468911,1.145,1.145,0
2024-10-21,529663,1.04456,1.04456,0
2024-10-22,544248,1.02357,1.02357,0
2024-10-23,574486,0.78327,0.78327,0
2024-10-24,566059,0.78629,0.78629,0
2024-10-25,531556,0.82581,0.82581,0
2024-10-26,540976,0.82203,0.82203,0
2024-10-27,649254,0.70701,0.70701,0
2024-10-28,655266,0.70177,0.70177,0
2024-10-29,646281,0.71055,0.71055,0
2024-10-30,636875,0.72106,0.72106,0
2024-10-31,632577,0.72377,0.72377,0
2024-11-01,631710,0.72498,0.72498,0
2024-11-02,697921,0.66256,0.66256,0
2024-11-03,691358,0.66839,0.66839,0
2024-11-04,682677,0.66851,0.66851,0
2024-11-05,646318,0.70238,0.70238,0
2024-11-06,596616,0.76238,0.76238,0
2024-11-07,563039,0.79585,0.79585,0
2024-11-08,545402,0.81801,0.81801,0
2024-11-09,548326,0.81335,0.81335,0
2024-11-10,494122,0.88018,0.88018,0
2024-11-11,432593,0.95368,0.95368,0
2024-11-12,549976,0.79814,0.79814,0
2024-11-13,339021,1.11401,1.11401,0
2024-11-14,415013,0.97769,0.97769,0
2024-11-15,446801,0.9307,0.9307,0
2024-11-16,456013,0.91596,0.91596,0
2024-11-17,482850,0.87847,0.87847,0
2024-11-18,470633,0.89763,0.89763,0
2024-11-19,435768,0.94781,0.94781,0
2024-11-20,471606,0.89666,0.89666,0
2024-11-21,461243,0.91098,0.91098,0
2024-11-22,363820,1.07029,1.07029,0
2024-11-23,315604,1.16092,1.16092,0
2024-11-24,370284,1.05629,1.05629,0
2024-11-25,360800,1.07632,1.07632,0
2024-11-26,405178,0.99657,0.99657,0
2024-11-27,426030,0.95107,0.95107,0
2024-11-28,424376,0.95467,0.95467,0
2024-11-29,418348,0.96273,0.96273,0
2024-11-30,460480,0.90374,0.90374,0
2024-12-01,475468,0.8827,0.8827,0
2024-12-02,412775,0.97597,0.97597,0
2024-12-03,440520,0.93323,0.93323,0
2024-12-04,388931,1.01628,1.01628,0
2024-12-05,374218,1.04211,1.04211,0
2024-12-06,388957,1.01719,1.01719,0
2024-12-07,431878,0.94762,0.94762,0
2024-12-08,559585,0.77814,0.77814,0
2024-12-09,617213,0.71629,0.71629,0
2024-12-10,615807,0.7172,0.7172,0
2024-12-11,569807,0.76832,0.76832,0
2024-12-12,618535,0.7153,0.7153,0
2024-12-13,635241,0.69794,0.69794,0
2024-12-14,609960,0.72402,0.72402,0
2024-12-15,620226,0.71248,0.71248,0
2024-12-16,658290,0.67567,0.67567,0
2024-12-17,699063,0.63669,0.63669,0
2024-12-18,722045,0.62162,0.62162,0
2024-12-19,673187,0.65976,0.65976,0
2024-12-20,691922,0.64742,0.64742,0
2024-12-21,716521,0.62619,0.62619,0
2024-12-22,708499,0.63347,0.63347,0
2024-12-23,785448,0.57671,0.57671,0
2024-12-24,745987,0.6022,0.6022,0
2024-12-25,813743,0.55481,0.55481,0
2024-12-26,798093,0.56607,0.56607,0
2024-12-27,870389,0.51801,0.51801,0
2024-12-28,879052,0.51219,0.51219,0
2024-12-29,953558,0.46973,0.46973,0
2024-12-30,975797,0.45838,0.45838,0
2024-12-31,958444,0.47393,0.47393,0
2025-01-01,946068,0.48231,0.48231,0
2025-01-02,939908,0.48527,0.48527,0
2025-01-03,826122,0.55517,0.55517,0
2025-01-04,823616,0.55462,0.55462,0
2025-01-05,793562,0.57595,0.57595,0
2025-01-06,714457,0.63845,0.63845,0
2025-01-07,830897,0.5489,0.5489,0
2025-01-08,829473,0.54958,0.54958,0
2025-01-09,844132,0.54281,0.54281,0
2025-01-10,785997,0.58231,0.58231,0
2025-01-11,834177,0.55052,0.55052,0
2025-01-12,828381,0.55193,0.55193,0
2025-01-13,833244,0.5582,0.5582,0
2025-01-14,858007,0.5329,0.5329,0
2025-01-15,779163,0.5878,0.5878,0
2025-01-16,743328,0.61517,0.61517,0
2025-01-17,704740,0.64578,0.64578,0
2025-01-18,835349,0.54932,0.54932,0
2025-01-19,1071017,0.41941,0.41941,0
2025-01-20,1019426,0.44168,0.44168,0
2025-01-21,935207,0.48566,0.48566,0
2025-01-22,855345,0.5346,0.5346,0
2025-01-23,808114,0.5616,0.5616,0
2025-01-24,715355,0.6361,0.6361,0
2025-01-25,732151,0.62195,0.62195,0
2025-01-26,707486,0.64268,0.64268,0
2025-01-27,690273,0.65781,0.65781,0
2025-01-28,720806,0.63129,0.63129,0
2025-01-29,661782,0.68421,0.68421,0
2025-01-30,636642,0.70825,0.70825,0
2025-01-31,662004,0.68238,0.68238,0
2025-02-01,645069,0.70089,0.70089,0
2025-02-02,731947,0.6136,0.6136,0
2025-02-03,665879,0.63887,0.63887,0
2025-02-04,665625,0.6376,0.6376,0
2025-02-05,671986,0.63132,0.63132,0
2025-02-06,656802,0.64637,0.64637,0
2025-02-07,667370,0.63633,0.63633,0
2025-02-08,694118,0.61378,0.61378,0
2025-02-09,686857,0.61943,0.61943,0
2025-02-10,701804,0.60665,0.60665,0
2025-02-11,683253,0.62249,0.62249,0
2025-02-12,726356,0.58816,0.58816,0
2025-02-13,704932,0.60442,0.60442,0
2025-02-14,695191,0.61082,0.61082,0
2025-02-15,667341,0.64369,0.64369,0
2025-02-16,599486,0.70928,0.70928,0
2025-02-17,616809,0.69172,0.69172,0
2025-02-18,670405,0.61394,0.61394,0
2025-02-19,696966,0.60008,0.60008,0
2025-02-20,675352,0.6194,0.6194,0
2025-02-21,707123,0.59159,0.59159,0
2025-02-22,704656,0.5948,0.5948,0
2025-02-23,688818,0.60749,0.60749,0
2025-02-24,709384,0.58924,0.58924,0
2025-02-25,887042,0.45128,0.45128,0
2025-02-26,1048157,0.3725,0.3725,0
2025-02-27,1039609,0.37642,0.37642,0
2025-02-28,1054831,0.36401,0.36401,0
2025-03-01,969251,0.40233,0.40233,0
2025-03-02,992996,0.37433,0.37433,0
2025-03-03,990484,0.36671,0.36671,0
2025-03-04,945764,0.38392,0.38392,0
2025-03-05,1026664,0.34633,0.34633,0
2025-03-06,980570,0.36314,0.36314,0
2025-03-07,907843,0.39877,0.39877,0
2025-03-08,960141,0.36915,0.36915,0
