date,tvl,apy,apy_base,apy_reward
2024-06-06,26535969,8.59107,8.59107,0
2024-06-07,30103595,4.43027,4.43027,0
2024-06-08,29202742,5.32105,5.32105,0
2024-06-09,28350698,6.1236,6.1236,0
2024-06-10,26463024,8.60458,8.60458,0
2024-06-11,28428756,6.51146,6.51146,0
2024-06-12,28632234,6.23581,6.23581,0
2024-06-13,28128149,6.72634,6.72634,0
2024-06-14,29270511,5.47645,5.47645,0
2024-06-15,29170116,5.62202,5.62202,0
2024-06-16,29601396,5.17381,5.17381,0
2024-06-17,29835443,4.96885,4.96885,0
2024-06-18,30099489,4.65335,4.65335,0
2024-06-19,28826383,6.14329,6.14329,0
2024-06-20,29011027,5.94959,5.94959,0
2024-06-21,28283557,6.69636,6.69636,0
2024-06-22,30413375,4.3379,4.3379,0
2024-06-23,31199245,3.59272,3.59272,0
2024-06-24,25599572,9.24949,9.24949,0
2024-06-25,35225602,3.09884,3.09884,0
2024-06-26,28541964,6.26896,6.26896,0
2024-06-27,32622089,3.19277,3.19277,0
2024-06-28,33038958,3.15816,3.15816,0
2024-06-29,30493002,4.72271,4.72271,0
2024-06-30,29988697,6.5779,6.5779,0
2024-07-01,53017230,2.16997,2.16997,0
2024-07-02,49850054,2.26188,2.26188,0
2024-07-03,48898498,2.29501,2.29501,0
2024-07-04,54017380,2.05536,2.05536,0
2024-07-05,52334390,2.08748,2.08748,0
2024-07-06,51303355,1.88236,1.88236,0
2024-07-07,51152024,1.8876,1.8876,0
2024-07-08,47916282,1.9763,1.9763,0
2024-07-09,46382870,2.02342,2.02342,0
2024-07-10,44768725,2.07849,2.07849,0
2024-07-11,43483117,2.1197,2.1197,0
2024-07-12,43133439,2.12776,2.12776,0
2024-07-13,38526556,2.28128,2.28128,0
2024-07-14,33067422,2.54747,2.54747,0
2024-07-15,33680370,2.50149,2.50149,0
2024-07-16,32073528,2.57251,2.57251,0
2024-07-17,29721719,2.66407,2.66407,0
2024-07-18,29725979,2.66776,2.66776,0
2024-07-19,29726191,2.67101,2.67101,0
2024-07-20,29669088,2.6729,2.6729,0
2024-07-21,28101623,2.73881,2.73881,0
2024-07-22,27256547,2.78221,2.78221,0
2024-07-23,19426872,9.52906,9.52906,0
2024-07-24,21731970,6.60637,6.60637,0
2024-07-25,23741156,3.71486,3.71486,0
2024-07-26,20974808,6.61239,6.61239,0
2024-07-27,22680793,4.62242,4.62242,0
2024-07-28,22906451,4.32757,4.32757,0
2024-07-29,20813391,6.73741,6.73741,0
2024-07-30,20351715,7.35333,7.35333,0
2024-07-31,21661671,5.74739,5.74739,0
2024-08-01,23583142,3.5956,3.5956,0
2024-08-02,23687757,3.65619,3.65619,0
2024-08-03,22859578,4.73711,4.73711,0
2024-08-04,26610828,2.00097,2.00097,0
2024-08-05,21101144,3.79075,3.79075,0
2024-08-06,23960477,2.05636,2.05636,0
2024-08-07,24231702,2.04213,2.04213,0
2024-08-08,23866828,2.0615,2.0615,0
2024-08-09,23255773,2.07963,2.07963,0
2024-08-10,23084543,2.28031,2.28031,0
2024-08-11,22358679,3.20254,3.20254,0
2024-08-12,22879122,2.1596,2.1596,0
2024-08-13,23275615,1.81407,1.81407,0
2024-08-14,19633003,5.17839,5.17839,0
2024-08-15,20294793,4.30233,4.30233,0
2024-08-16,20296375,4.31872,4.31872,0
2024-08-17,20002402,4.71897,4.71897,0
2024-08-18,20911524,3.66048,3.66048,0
2024-08-19,20616942,4.10857,4.10857,0
2024-08-20,20370698,4.38565,4.38565,0
2024-08-21,20508221,3.58826,3.58826,0
2024-08-22,20334476,3.77962,3.77962,0
2024-08-23,21749602,2.41084,2.41084,0
2024-08-24,20134045,3.93904,3.93904,0
2024-08-25,20450749,3.60818,3.60818,0
2024-08-26,20326061,3.73389,3.73389,0
2024-08-27,20938133,3.1558,3.1558,0
2024-08-28,20861788,3.24791,3.24791,0
2024-08-29,21563108,2.40566,2.40566,0
2024-08-30,21507342,2.48616,2.48616,0
2024-08-31,21874673,1.96717,1.96717,0
2024-09-01,21801022,2.06125,2.06125,0
2024-09-02,21387236,2.55334,2.55334,0
2024-09-03,21159835,2.72145,2.72145,0
2024-09-04,21544868,2.33772,2.33772,0
2024-09-05,20492611,3.42593,3.42593,0
2024-09-06,23687366,1.5256,1.5256,0
2024-09-07,23686610,1.52549,1.52549,0
2024-09-08,23498643,1.53035,1.53035,0
2024-09-09,22712175,1.55262,1.55262,0
2024-09-10,22603024,1.31706,1.31706,0
2024-09-11,20865107,2.76581,2.76581,0
2024-09-12,20853608,2.30067,2.30067,0
2024-09-13,19237784,3.57647,3.57647,0
2024-09-14,19223528,3.57969,3.57969,0
2024-09-15,18950029,3.79244,3.79244,0
2024-09-16,19165391,3.61772,3.61772,0
2024-09-17,19401943,3.4349,3.4349,0
2024-09-18,19921200,2.95545,2.95545,0
2024-09-19,16437520,5.83067,5.83067,0
2024-09-20,16917417,5.37682,5.37682,0
2024-09-21,17224301,5.08279,5.08279,0
2024-09-22,17709249,4.60561,4.60561,0
2024-09-23,18365882,3.9042,3.9042,0
2024-09-24,18263059,3.99765,3.99765,0
2024-09-25,18523617,3.71358,3.71358,0
2024-09-26,18610029,3.64541,3.64541,0
2024-09-27,18647483,2.87915,2.87915,0
2024-09-28,18539717,2.94878,2.94878,0
2024-09-29,19062987,2.53301,2.53301,0
2024-09-30,19108740,2.47996,2.47996,0
2024-10-01,19945427,1.94202,1.94202,0
2024-10-02,20237133,1.73203,1.73203,0
2024-10-03,19339263,2.38463,2.38463,0
2024-10-04,19209797,2.47076,2.47076,0
2024-10-05,20508623,1.45235,1.45235,0
2024-10-06,20533908,1.43593,1.43593,0
2024-10-07,20577941,1.34291,1.34291,0
2024-10-08,20945206,1.15433,1.15433,0
2024-10-09,22115865,0.86895,0.86895,0
2024-10-10,20245348,1.62266,1.62266,0
2024-10-11,19170613,2.34553,2.34553,0
2024-10-12,19023510,2.45312,2.45312,0
2024-10-13,18620777,2.72644,2.72644,0
2024-10-14,16713014,4.15777,4.15777,0
2024-10-15,16731462,4.07366,4.07366,0
2024-10-16,16731690,4.08416,4.08416,0
2024-10-17,16340517,4.37014,4.37014,0
2024-10-18,16307658,4.40149,4.40149,0
2024-10-19,16305276,4.41073,4.41073,0
2024-10-20,16204820,4.48397,4.48397,0
2024-10-21,16214175,4.49625,4.49625,0
2024-10-22,16170426,4.52616,4.52616,0
2024-10-23,17486657,2.65353,2.65353,0
2024-10-24,13394043,5.24753,5.24753,0
2024-10-25,15269144,4.06527,4.06527,0
2024-10-26,14928334,4.28229,4.28229,0
2024-10-27,15855690,3.68709,3.68709,0
2024-10-28,15039638,4.15936,4.15936,0
2024-10-29,19157823,1.41432,1.41432,0
2024-10-30,19149445,1.43843,1.43843,0
2024-10-31,19469678,1.40509,1.40509,0
2024-11-01,19114922,1.5732,1.5732,0
2024-11-02,19054824,1.60213,1.60213,0
2024-11-03,19011507,1.62556,1.62556,0
2024-11-04,18103117,2.09289,2.09289,0
2024-11-05,17568866,2.36271,2.36271,0
2024-11-06,19305,15.80363,15.80363,0
2024-11-07,959774,14.78415,14.78415,0
2024-11-08,4734859,11.1249,11.1249,0
2024-11-09,8894215,7.65728,7.65728,0
2024-11-10,10399507,6.43087,6.43087,0
2024-11-11,4836282,10.93923,10.93923,0
2024-11-12,5534468,10.2844,10.2844,0
2024-11-13,5624077,10.18157,10.18157,0
2024-11-14,4089873,11.52806,11.52806,0
2024-11-15,4114606,11.48493,11.48493,0
2024-11-16,4914063,10.74563,10.74563,0
2024-11-17,9911051,6.59558,6.59558,0
2024-11-18,7297591,8.56395,8.56395,0
2024-11-19,8878430,7.34581,7.34581,0
2024-11-20,9593539,6.79534,6.79534,0
2024-11-21,13900614,3.16534,3.16534,0
2024-11-22,9153315,6.59266,6.59266,0
2024-11-23,11608348,4.15142,4.15142,0
2024-11-24,10053584,5.36415,5.36415,0
2024-11-25,19861986,0.57705,0.57705,0
2024-11-26,17625633,0.62969,0.62969,0
2024-11-27,15353125,0.95075,0.95075,0
2024-11-28,10537447,4.27083,4.27083,0
2024-11-29,11127094,3.70438,3.70438,0
2024-11-30,11207052,3.64892,3.64892,0
2024-12-01,9531361,5.14273,5.14273,0
2024-12-02,11565719,3.27671,3.27671,0
2024-12-03,7467427,7.11134,7.11134,0
2024-12-04,8470414,5.91774,5.91774,0
2024-12-05,8868249,5.50821,5.50821,0
2024-12-06,9328851,4.97979,4.97979,0
2024-12-07,9316513,4.97358,4.97358,0
2024-12-08,10737514,3.59032,3.59032,0
2024-12-09,13463466,1.50168,1.50168,0
2024-12-10,13339257,1.43197,1.43197,0
2024-12-11,11667855,2.68549,2.68549,0
2024-12-12,11023454,3.21319,3.21319,0
2024-12-13,9390233,4.5962,4.5962,0
2024-12-14,9849364,4.16462,4.16462,0
2024-12-15,10362221,3.71029,3.71029,0
2024-12-16,10818762,4.12566,4.12566,0
2024-12-17,11102760,3.85582,3.85582,0
2024-12-18,12446298,2.76999,2.76999,0
2024-12-19,15460638,1.44944,1.44944,0
2024-12-20,10995258,4.18381,4.18381,0
2024-12-21,10893495,4.27709,4.27709,0
