date,tvl,apy,apy_base,apy_reward
2024-06-06,1037623,25.54788,25.54788,0
2024-06-07,1584452,9.35356,9.35356,0
2024-06-08,2005390,5.83856,5.83856,0
2024-06-09,1887627,5.92286,5.92286,0
2024-06-10,2060183,5.80949,5.80949,0
2024-06-11,1775894,5.99603,5.99603,0
2024-06-12,1983518,5.84577,5.84577,0
2024-06-13,2524449,5.42081,5.42081,0
2024-06-14,2441273,5.47824,5.47824,0
2024-06-15,2353400,5.52932,5.52932,0
2024-06-16,2387455,5.50338,5.50338,0
2024-06-17,2456915,5.45587,5.45587,0
2024-06-18,2528707,5.40923,5.40923,0
2024-06-19,2485333,5.43258,5.43258,0
2024-06-20,2235926,5.60333,5.60333,0
2024-06-21,2564998,5.38983,5.38983,0
2024-06-22,2360868,5.52473,5.52473,0
2024-06-23,2568272,5.38456,5.38456,0
2024-06-24,3395916,4.85478,4.85478,0
2024-06-25,3456983,4.82064,4.82064,0
2024-06-26,3478729,4.79769,4.79769,0
2024-06-27,3308753,4.88929,4.88929,0
2024-06-28,3128607,4.99354,4.99354,0
2024-06-29,3024986,5.06132,5.06132,0
2024-06-30,2593433,5.32474,5.32474,0
2024-07-01,2604972,5.32752,5.32752,0
2024-07-02,2810475,5.19989,5.19989,0
2024-07-03,3029182,5.04754,5.04754,0
2024-07-04,3344111,4.8394,4.8394,0
2024-07-05,3538226,4.67027,4.67027,0
2024-07-06,3866408,4.49714,4.49714,0
2024-07-07,3828940,4.50907,4.50907,0
2024-07-08,3497792,4.68487,4.68487,0
2024-07-09,3205028,4.85111,4.85111,0
2024-07-10,3215220,4.84191,4.84191,0
2024-07-11,3403248,4.73171,4.73171,0
2024-07-12,3034723,4.94385,4.94385,0
2024-07-13,3178580,4.85521,4.85521,0
2024-07-14,3711249,4.55739,4.55739,0
2024-07-15,3502672,4.68059,4.68059,0
2024-07-16,3421001,4.72672,4.72672,0
2024-07-17,3485461,4.69476,4.69476,0
2024-07-18,3570001,4.6582,4.6582,0
2024-07-19,3524307,4.68499,4.68499,0
2024-07-20,3631633,4.63013,4.63013,0
2024-07-21,3589724,4.66699,4.66699,0
2024-07-22,3563349,4.68557,4.68557,0
2024-07-23,3542223,4.70413,4.70413,0
2024-07-24,3797134,3.31029,3.31029,0
2024-07-25,3718828,3.34921,3.34921,0
2024-07-26,3902457,3.28678,3.28678,0
2024-07-27,3756016,3.35413,3.35413,0
2024-07-28,3601251,3.41875,3.41875,0
2024-07-29,3414109,3.50154,3.50154,0
2024-07-30,3190382,3.59547,3.59547,0
2024-07-31,2439103,3.92816,3.92816,0
2024-08-01,2117981,4.08621,4.08621,0
2024-08-02,2131001,4.06864,4.06864,0
2024-08-03,2102782,4.08039,4.08039,0
2024-08-04,1924188,4.1358,4.1358,0
2024-08-05,4576041,2.73315,2.73315,0
2024-08-06,4607705,2.71125,2.71125,0
2024-08-07,4721597,2.68224,2.68224,0
2024-08-08,5093038,2.5818,2.5818,0
2024-08-09,5154034,2.54573,2.54573,0
2024-08-10,5261678,2.51364,2.51364,0
2024-08-11,5138072,2.55991,2.55991,0
2024-08-12,5318436,2.50083,2.50083,0
2024-08-13,4851480,2.67853,2.67853,0
2024-08-14,5054699,2.60653,2.60653,0
2024-08-15,4448302,2.87188,2.87188,0
2024-08-16,4601100,2.81047,2.81047,0
2024-08-17,4623870,2.80374,2.80374,0
2024-08-18,4372827,2.89108,2.89108,0
2024-08-19,3960386,3.0048,3.0048,0
2024-08-20,3963672,3.01828,3.01828,0
2024-08-21,4126932,2.96022,2.96022,0
2024-08-22,3914808,3.0415,3.0415,0
2024-08-23,3919616,3.04281,3.04281,0
2024-08-24,3992783,3.02071,3.02071,0
2024-08-25,3832045,3.08294,3.08294,0
2024-08-26,4117587,2.93239,2.93239,0
2024-08-27,4033927,2.96627,2.96627,0
2024-08-28,3788376,3.07536,3.07536,0
2024-08-29,3625255,3.15253,3.15253,0
2024-08-30,1414644,4.28545,4.28545,0
2024-08-31,1427424,4.23497,4.23497,0
2024-09-01,1316297,4.31089,4.31089,0
2024-09-02,1283737,4.33923,4.33923,0
2024-09-03,1335713,4.3007,4.3007,0
2024-09-04,1383976,4.27154,4.27154,0
2024-09-05,41863,58.66912,58.66912,0
2024-09-06,992646,9.25085,9.25085,0
2024-09-07,986621,9.41981,9.41981,0
2024-09-08,1005526,8.29099,8.29099,0
2024-09-09,977611,9.01511,9.01511,0
2024-09-10,1010095,6.75371,6.75371,0
2024-09-11,997840,6.46593,6.46593,0
2024-09-12,927589,7.39042,7.39042,0
2024-09-13,941271,5.74117,5.74117,0
2024-09-14,922668,6.58866,6.58866,0
2024-09-15,934276,5.02835,5.02835,0
2024-09-16,921148,5.61577,5.61577,0
2024-09-17,1005128,3.6659,3.6659,0
2024-09-18,927584,4.24224,4.24224,0
2024-09-19,915382,4.61241,4.61241,0
2024-09-20,946001,3.70194,3.70194,0
2024-09-21,900874,5.26329,5.26329,0
2024-09-22,911069,4.71312,4.71312,0
2024-09-23,877825,6.19589,6.19589,0
2024-09-24,813984,9.56497,9.56497,0
2024-09-25,917851,3.77151,3.77151,0
2024-09-26,775603,10.59586,10.59586,0
2024-09-27,865506,5.56112,5.56112,0
