date,tvl,apy,apy_base,apy_reward
2024-06-28,4213596,0,0,0
2024-06-29,4209694,0,0,0
2024-06-30,34113,0,0,0
2024-07-01,34113,0,0,0
2024-07-02,34113,0,0,0
2024-07-03,34113,0,0,0
2024-07-04,142345,0,0,0
2024-07-05,141950,0,0,0
2024-07-06,142476,0,0,0
2024-07-07,356437,0,0,0
2024-07-08,465873,0,0,0
2024-07-09,331935,0,0,0
2024-07-10,426687,0,0,0
2024-07-11,653385,0,0,0
2024-07-12,634190,0,0,0
2024-07-13,703215,0,0,0
2024-07-14,752557,0,0,0
2024-07-15,629016,0,0,0
2024-07-16,638441,0,0,0
2024-07-17,639619,0,0,0
2024-07-18,672967,0,0,0
2024-07-19,684448,0,0,0
2024-07-20,1235599,0,0,0
2024-07-21,1273018,0,0,0
2024-07-22,1276541,0,0,0
2024-07-23,1249252,0,0,0
2024-07-24,1245807,0,0,0
2024-07-25,1246956,0,0,0
2024-07-26,1246956,0,0,0
2024-07-27,1338295,0,0,0
2024-07-28,1344474,0,0,0
2024-07-29,1344553,0,0,0
2024-07-30,1395906,0,0,0
2024-07-31,839338,0,0,0
2024-08-01,841655,0,0,0
2024-08-02,1272204,0,0,0
2024-08-03,1298763,0,0,0
2024-08-04,1643500,0,0,0
2024-08-05,2186508,0,0,0
2024-08-06,2031442,0,0,0
2024-08-07,2038122,0,0,0
2024-08-08,1007661,0,0,0
2024-08-09,1003757,0,0,0
2024-08-10,1002862,0,0,0
2024-08-11,1005169,0,0,0
2024-08-12,1065022,0,0,0
2024-08-13,1062262,0,0,0
2024-08-14,1062594,0,0,0
2024-08-15,1064121,0,0,0
2024-08-16,1063409,0,0,0
2024-08-17,1063396,0,0,0
2024-08-18,1064002,0,0,0
2024-08-19,999696,0,0,0
2024-08-20,808607,0,0,0
2024-08-21,800408,0,0,0
2024-08-22,800596,0,0,0
2024-08-23,971538,0,0,0
2024-08-24,858002,0,0,0
2024-08-25,869574,0,0,0
2024-08-26,811305,0,0,0
2024-08-27,1075038,0,0,0
2024-08-28,1074989,0,0,0
2024-08-29,1075108,0,0,0
2024-08-30,1074882,0,0,0
2024-08-31,729022,0,0,0
2024-09-01,866317,0,0,0
2024-09-02,1046699,0,0,0
2024-09-03,726896,0,0,0
2024-09-04,714273,0,0,0
2024-09-05,715000,0,0,0
2024-09-06,735674,0,0,0
2024-09-07,735770,0,0,0
2024-09-08,1075215,0,0,0
2024-09-09,673607,0,0,0
2024-09-10,673739,0,0,0
2024-09-11,673539,0,0,0
2024-09-12,673836,0,0,0
2024-09-13,927201,0,0,0
2024-09-14,721632,0,0,0
2024-09-15,796313,0,0,0
2024-09-16,663216,0,0,0
2024-09-17,796656,0,0,0
2024-09-18,795907,0,0,0
2024-09-19,796573,0,0,0
2024-09-20,796476,0,0,0
2024-09-21,797152,0,0,0
2024-09-22,2577043,0,0,0
2024-09-23,2850003,0,0,0
2024-09-24,2850731,0,0,0
2024-09-25,2849477,0,0,0
2024-09-26,2840447,0,0,0
2024-09-27,2832913,0,0,0
2024-09-28,2833989,0,0,0
2024-09-29,2814863,0,0,0
2024-09-30,1405793,0,0,0
2024-10-01,1170743,0,0,0
2024-10-02,1114210,0,0,0
2024-10-03,1112186,0,0,0
2024-10-04,1193182,0,0,0
2024-10-05,1192505,0,0,0
2024-10-06,1192539,0,0,0
2024-10-07,1193036,0,0,0
2024-10-08,1192619,0,0,0
2024-10-09,3337334,0,0,0
2024-10-10,4404182,0,0,0
2024-10-11,1917732,0,0,0
2024-10-12,1920708,0,0,0
2024-10-13,1920524,0,0,0
2024-10-14,2640035,0,0,0
2024-10-15,2641865,0,0,0
2024-10-16,2644417,0,0,0
2024-10-17,2644941,0,0,0
2024-10-18,2648368,0,0,0
2024-10-19,2687984,0,0,0
2024-10-20,2690071,0,0,0
2024-10-21,2693587,0,0,0
2024-10-22,2698912,0,0,0
2024-10-23,3219646,0,0,0
2024-10-24,3219062,0,0,0
2024-10-25,4260274,0,0,0
2024-10-26,4259236,0,0,0
2024-10-27,4260949,0,0,0
2024-10-28,4268534,0,0,0
2024-10-29,4439141,0,0,0
2024-10-30,4440417,0,0,0
2024-10-31,4441705,0,0,0
2024-11-01,7192256,0,0,0
2024-11-02,7584227,0,0,0
2024-11-03,7586646,0,0,0
2024-11-04,8922555,0,0,0
2024-11-05,8537091,0,0,0
2024-11-06,9587874,0,0,0
2024-11-07,11595862,0,0,0
2024-11-08,10871092,0,0,0
2024-11-09,9247254,0,0,0
2024-11-10,12140083,0,0,0
2024-11-11,11772703,0,0,0
2024-11-12,10695880,0,0,0
2024-11-13,10353445,0,0,0
2024-11-14,17730523,0,0,0
2024-11-15,17927043,0,0,0
2024-11-16,17937847,0,0,0
2024-11-17,17912555,0,0,0
2024-11-18,35917367,0,0,0
2024-11-19,35912058,0,0,0
2024-11-20,35947663,0,0,0
2024-11-21,35976801,0,0,0
2024-11-22,72010300,0,0,0
2024-11-23,72094871,0,0,0
2024-11-24,72031095,0,0,0
2024-11-25,72094172,0,0,0
2024-11-26,143761816,0,0,0
2024-11-27,144323249,0,0,0
2024-11-28,144252094,0,0,0
2024-11-29,288968600,0,0,0
2024-11-30,289141760,0,0,0
2024-12-01,289311471,0,0,0
2024-12-02,492490332,0,0,0
