date,tvl,apy,apy_base,apy_reward
2024-06-06,5785265,7.17198,7.17198,0
2024-06-07,5266842,9.55508,9.55508,0
2024-06-08,6007170,7.10253,7.10253,0
2024-06-09,5551369,7.23399,7.23399,0
2024-06-10,5188853,10.00146,10.00146,0
2024-06-11,5120125,10.72673,10.72673,0
2024-06-12,6088293,7.09998,7.09998,0
2024-06-13,5781133,7.15823,7.15823,0
2024-06-14,5524134,7.22662,7.22662,0
2024-06-15,5883236,7.1349,7.1349,0
2024-06-16,5342313,8.81914,8.81914,0
2024-06-17,5575602,7.22757,7.22757,0
2024-06-18,6155956,7.06351,7.06351,0
2024-06-19,5854436,7.12651,7.12651,0
2024-06-20,5997537,7.08973,7.08973,0
2024-06-21,7059170,6.81453,6.81453,0
2024-06-22,7151393,6.81032,6.81032,0
2024-06-23,6439279,7.03911,7.03911,0
2024-06-24,6519902,7.02445,7.02445,0
2024-06-25,8853738,6.45777,6.45777,0
2024-06-26,8408346,6.56929,6.56929,0
2024-06-27,6528341,7.00946,7.00946,0
2024-06-28,6210817,7.09557,7.09557,0
2024-06-29,6197236,7.10377,7.10377,0
2024-06-30,5791115,7.2199,7.2199,0
2024-07-01,6816927,6.93435,6.93435,0
2024-07-02,6259954,7.08809,7.08809,0
2024-07-03,7709938,6.72902,6.72902,0
2024-07-04,7743419,6.69699,6.69699,0
2024-07-05,9320992,6.24797,6.24797,0
2024-07-06,9632644,6.18796,6.18796,0
2024-07-07,10106154,6.08491,6.08491,0
2024-07-08,9688274,6.17145,6.17145,0
2024-07-09,9318758,6.28105,6.28105,0
2024-07-10,9337553,6.24977,6.24977,0
2024-07-11,11013437,5.9026,5.9026,0
2024-07-12,11523632,5.82031,5.82031,0
2024-07-13,9075745,6.34354,6.34354,0
2024-07-14,9013302,6.34421,6.34421,0
2024-07-15,5828566,7.21497,7.21497,0
2024-07-16,7032036,6.87779,6.87779,0
2024-07-17,6209682,7.07889,7.07889,0
2024-07-18,6409957,7.04385,7.04385,0
2024-07-19,7944740,6.69813,6.69813,0
2024-07-20,7937167,6.68959,6.68959,0
2024-07-21,7008432,6.98843,6.98843,0
2024-07-22,9566384,6.44311,6.44311,0
2024-07-23,12421971,6.56186,6.56186,0
2024-07-24,13508425,4.65977,4.65977,0
2024-07-25,13828322,4.58705,4.58705,0
2024-07-26,10762866,4.92227,4.92227,0
2024-07-27,9402710,5.12359,5.12359,0
2024-07-28,11841339,4.83481,4.83481,0
2024-07-29,14186825,4.59605,4.59605,0
2024-07-30,13194889,4.6985,4.6985,0
2024-07-31,13848914,4.79345,4.79345,0
2024-08-01,10168585,5.20759,5.20759,0
2024-08-02,9948257,4.87269,4.87269,0
2024-08-03,11613711,4.72853,4.72853,0
2024-08-04,13257820,4.53439,4.53439,0
2024-08-05,20281123,4.20818,4.20818,0
2024-08-06,21863444,4.08628,4.08628,0
2024-08-07,23036768,4.01502,4.01502,0
2024-08-08,22646428,4.08671,4.08671,0
2024-08-09,25156928,3.96534,3.96534,0
2024-08-10,24835098,4.00114,4.00114,0
2024-08-11,26067566,3.92717,3.92717,0
2024-08-12,24834231,4.01793,4.01793,0
2024-08-13,24382528,4.10612,4.10612,0
2024-08-14,27151796,3.92134,3.92134,0
2024-08-15,25342657,4.04731,4.04731,0
2024-08-16,25594613,4.10375,4.10375,0
2024-08-17,25789958,4.02123,4.02123,0
2024-08-18,24135229,4.10197,4.10197,0
2024-08-19,24953417,4.08445,4.08445,0
2024-08-20,25661175,4.02294,4.02294,0
2024-08-21,22238134,4.25153,4.25153,0
2024-08-22,23775740,4.18505,4.18505,0
2024-08-23,26801233,4.00035,4.00035,0
2024-08-24,33049865,3.62974,3.62974,0
2024-08-25,28813647,3.88705,3.88705,0
2024-08-26,22684771,4.35181,4.35181,0
2024-08-27,20658667,4.47621,4.47621,0
2024-08-28,20998034,4.44943,4.44943,0
2024-08-29,28711700,3.93551,3.93551,0
2024-08-30,19730037,4.56259,4.56259,0
2024-08-31,19968514,4.54609,4.54609,0
2024-09-01,20587092,4.4927,4.4927,0
2024-09-02,20633406,4.49461,4.49461,0
2024-09-03,20340195,4.52758,4.52758,0
2024-09-04,23787269,4.26662,4.26662,0
2024-09-05,26995624,4.06291,4.06291,0
2024-09-06,26811882,4.05192,4.05192,0
2024-09-07,28445019,3.94599,3.94599,0
2024-09-08,24795313,4.13072,4.13072,0
2024-09-09,23905968,4.20258,4.20258,0
2024-09-10,24550445,3.5193,3.5193,0
2024-09-11,24967116,3.65707,3.65707,0
2024-09-12,27523344,3.53263,3.53263,0
2024-09-13,33517972,3.23854,3.23854,0
2024-09-14,34365892,3.20517,3.20517,0
2024-09-15,35241714,3.15539,3.15539,0
2024-09-16,22204006,3.56783,3.56783,0
2024-09-17,21252302,3.62383,3.62383,0
2024-09-18,20199928,3.58935,3.58935,0
2024-09-19,17178324,3.39222,3.39222,0
2024-09-20,15565408,3.54835,3.54835,0
2024-09-21,14930277,3.60591,3.60591,0
2024-09-22,13642443,3.72782,3.72782,0
2024-09-23,11313900,3.97084,3.97084,0
2024-09-24,11460297,4.37841,4.37841,0
2024-09-25,18069018,4.34546,4.34546,0
2024-09-26,23383422,4.08318,4.08318,0
2024-09-27,19696219,4.36884,4.36884,0
2024-09-28,20816507,4.36027,4.36027,0
2024-09-29,21697438,4.32022,4.32022,0
2024-09-30,20793389,4.4167,4.4167,0
2024-10-01,17060079,4.32976,4.32976,0
2024-10-02,16394663,4.35967,4.35967,0
2024-10-03,18241244,4.43323,4.43323,0
2024-10-04,22851242,4.20521,4.20521,0
2024-10-05,24426322,4.16135,4.16135,0
2024-10-06,27002179,4.04249,4.04249,0
2024-10-07,27510716,4.00531,4.00531,0
2024-10-08,27467543,3.96689,3.96689,0
2025-03-10,55522810,2.80008,2.80008,0
2025-03-11,53780996,2.83098,2.83098,0
2025-03-12,52997861,2.87004,2.87004,0
2025-03-13,58773513,2.62587,2.62587,0
2025-03-14,59506005,2.58466,2.58466,0
2025-03-15,54116802,2.80178,2.80178,0
2025-03-16,60821833,2.51237,2.51237,0
2025-03-17,53046627,2.83631,2.83631,0
2025-03-18,55896199,2.69192,2.69192,0
2025-03-19,61929135,1.87722,1.87722,0
2025-03-20,59233968,1.96387,1.96387,0
2025-03-21,53443776,2.17912,2.17912,0
2025-03-22,52145954,2.25795,2.25795,0
2025-03-23,50559259,2.33507,2.33507,0
2025-03-24,52226685,2.26918,2.26918,0
2025-03-25,59552847,2.04403,2.04403,0
2025-03-26,53015797,2.27758,2.27758,0
2025-03-27,44611251,2.77764,2.77764,0
2025-03-28,31139273,3.50257,3.50257,0
2025-03-29,37419495,2.92957,2.92957,0
2025-03-30,39159084,2.86192,2.86192,0
2025-03-31,40328550,2.78636,2.78636,0
2025-04-01,46732281,2.53195,2.53195,0
2025-04-02,52105767,2.30428,2.30428,0
2025-04-03,52057535,2.31841,2.31841,0
2025-04-04,51525928,2.33983,2.33983,0
2025-04-05,52106676,2.3131,2.3131,0
2025-04-06,52918906,2.25285,2.25285,0
2025-04-07,52422091,2.23087,2.23087,0
2025-04-08,49423817,2.35289,2.35289,0
2025-04-09,47797397,2.41673,2.41673,0
2025-04-10,57183552,2.07761,2.07761,0
2025-04-11,53516543,2.21184,2.21184,0
2025-04-12,51433791,2.27721,2.27721,0
2025-04-13,54581385,2.15967,2.15967,0
2025-04-14,59684061,1.98699,1.98699,0
2025-04-15,45697755,2.45853,2.45853,0
2025-04-16,51900784,2.22946,2.22946,0
2025-04-17,53550509,2.18056,2.18056,0
2025-04-18,49237569,2.30495,2.30495,0
2025-04-19,48445625,2.35285,2.35285,0
2025-04-20,47396712,2.39562,2.39562,0
2025-04-21,49380742,2.31729,2.31729,0
2025-04-22,49691601,2.29741,2.29741,0
2025-04-23,49168155,2.32036,2.32036,0
2025-04-24,55875857,2.10112,2.10112,0
2025-04-25,58595957,2.03445,2.03445,0
2025-04-26,57191466,2.07159,2.07159,0
2025-04-27,52663658,2.27552,2.27552,0
2025-04-28,50260496,2.37037,2.37037,0
2025-04-29,51866374,2.31262,2.31262,0
2025-04-30,49200055,2.41263,2.41263,0
2025-05-01,54014861,2.25067,2.25067,0
2025-05-02,51401646,2.36421,2.36421,0
2025-05-03,50416243,2.41401,2.41401,0
2025-05-04,45490033,2.59854,2.59854,0
2025-05-05,51994111,2.38056,2.38056,0
2025-05-06,46457737,2.61009,2.61009,0
2025-05-07,42457261,2.53857,2.53857,0
2025-05-08,44318231,2.46792,2.46792,0
2025-05-09,41421116,2.59257,2.59257,0
2025-05-10,38715545,2.71133,2.71133,0
2025-05-11,37245603,2.7914,2.7914,0
2025-05-12,37189374,2.81359,2.81359,0
2025-05-13,36983020,2.82075,2.82075,0
2025-05-14,38018175,2.79461,2.79461,0
2025-05-15,37654850,2.83148,2.83148,0
2025-05-16,40396213,2.70859,2.70859,0
2025-05-17,40726763,2.71447,2.71447,0
2025-05-18,40780236,2.71364,2.71364,0
2025-05-19,42360014,2.63881,2.63881,0
2025-05-20,42509515,2.65946,2.65946,0
2025-05-21,45700693,2.54366,2.54366,0
2025-05-22,43066313,2.66532,2.66532,0
2025-05-23,38691436,2.8417,2.8417,0
2025-05-24,38511939,2.85192,2.85192,0
2025-05-25,37644097,2.89891,2.89891,0
2025-05-26,40339049,2.77965,2.77965,0
2025-05-27,44580854,2.62172,2.62172,0
2025-05-28,49385996,2.31049,2.31049,0
2025-05-29,46163256,2.42928,2.42928,0
2025-05-30,45930380,2.44476,2.44476,0
2025-05-31,46737833,2.412,2.412,0
2025-06-01,48471150,2.35227,2.35227,0
2025-06-02,48586781,2.34973,2.34973,0
2025-06-03,44722540,2.48942,2.48942,0
2025-06-04,48420828,2.36255,2.36255,0
2025-06-05,45198564,2.46753,2.46753,0
