date,tvl,apy,apy_base,apy_reward
2024-06-06,2230696,11.99553,11.99553,0
2024-06-07,3926402,6.53261,6.53261,0
2024-06-08,3807335,6.61448,6.61448,0
2024-06-09,4170353,6.45085,6.45085,0
2024-06-10,3792195,6.65049,6.65049,0
2024-06-11,2479016,11.5138,11.5138,0
2024-06-12,4397758,6.51988,6.51988,0
2024-06-13,3732636,6.87627,6.87627,0
2024-06-14,4061127,6.75777,6.75777,0
2024-06-15,5918315,5.93529,5.93529,0
2024-06-16,6638935,5.61798,5.61798,0
2024-06-17,5166965,6.15444,6.15444,0
2024-06-18,4409260,6.53218,6.53218,0
2024-06-19,5490238,6.02858,6.02858,0
2024-06-20,5472230,6.02316,6.02316,0
2024-06-21,5052059,6.18221,6.18221,0
2024-06-22,4722976,6.30588,6.30588,0
2024-06-23,6224700,5.68565,5.68565,0
2024-06-24,5484421,6.04147,6.04147,0
2024-06-25,5875844,5.89602,5.89602,0
2024-06-26,5483855,6.03691,6.03691,0
2024-06-27,5359751,6.10904,6.10904,0
2024-06-28,4847649,6.31214,6.31214,0
2024-06-29,5684438,5.92348,5.92348,0
2024-06-30,6532607,5.62336,5.62336,0
2024-07-01,6242782,5.74895,5.74895,0
2024-07-02,6507128,5.64002,5.64002,0
2024-07-03,4597253,6.42465,6.42465,0
2024-07-04,6464651,5.82384,5.82384,0
2024-07-05,9276199,4.79286,4.79286,0
2024-07-06,8725350,4.9622,4.9622,0
2024-07-07,9159199,4.85611,4.85611,0
2024-07-08,6615759,5.67007,5.67007,0
2024-07-09,7356808,5.40496,5.40496,0
2024-07-10,9764807,4.66049,4.66049,0
2024-07-11,6747415,5.64147,5.64147,0
2024-07-12,6821379,5.59742,5.59742,0
2024-07-13,8553536,5.02138,5.02138,0
2024-07-14,9349899,4.73674,4.73674,0
2024-07-15,10285842,4.48205,4.48205,0
2024-07-16,10972216,4.33468,4.33468,0
2024-07-17,11553051,4.22674,4.22674,0
2024-07-18,13199345,3.90395,3.90395,0
2024-07-19,11258965,4.38607,4.38607,0
2024-07-20,7540263,5.42486,5.42486,0
2024-07-21,7475358,5.46836,5.46836,0
2024-07-22,5563829,6.23265,6.23265,0
2024-07-23,8193989,5.41114,5.41114,0
2024-07-24,5758983,4.49479,4.49479,0
2024-07-25,2738338,11.1178,11.1178,0
