date,tvl,apy,apy_base,apy_reward
2024-06-06,102232913,11.91186,11.91186,0
2024-06-07,102455100,11.98452,11.98452,0
2024-06-08,117202086,7.4014,7.4014,0
2024-06-09,125041767,7.31854,7.31854,0
2024-06-10,113890607,7.44194,7.44194,0
2024-06-11,120888480,7.36741,7.36741,0
2024-06-12,130049490,7.27602,7.27602,0
2024-06-13,102746532,11.77067,11.77067,0
2024-06-14,120673708,7.36127,7.36127,0
2024-06-15,131041597,7.24692,7.24692,0
2024-06-16,131313557,7.24708,7.24708,0
2024-06-17,139648106,7.15784,7.15784,0
2024-06-18,181138079,6.72609,6.72609,0
2024-06-19,167322811,6.86607,6.86607,0
2024-06-20,136342133,7.19988,7.19988,0
2024-06-21,141309534,7.13966,7.13966,0
2024-06-22,157659873,6.97633,6.97633,0
2024-06-23,112548080,7.43405,7.43405,0
2024-06-24,119422876,7.32917,7.32917,0
2024-06-25,133375218,7.18243,7.18243,0
2024-06-26,150486571,7.01275,7.01275,0
2024-06-27,199713790,6.54328,6.54328,0
2024-06-28,193948405,6.59879,6.59879,0
2024-06-29,196734790,6.57371,6.57371,0
2024-06-30,171077445,6.83022,6.83022,0
2024-07-01,171086813,6.84607,6.84607,0
2024-07-02,163338071,6.93287,6.93287,0
2024-07-03,184220592,6.73327,6.73327,0
2024-07-04,200783335,6.56111,6.56111,0
2024-07-05,319096190,5.47216,5.47216,0
2024-07-06,214096568,6.32501,6.32501,0
2024-07-07,228998362,6.18919,6.18919,0
2024-07-08,337665090,5.27048,5.27048,0
2024-07-09,357787092,5.1349,5.1349,0
2024-07-10,363560832,5.09996,5.09996,0
2024-07-11,358907651,5.13968,5.13968,0
2024-07-12,348018563,5.24514,5.24514,0
2024-07-13,307483154,5.54226,5.54226,0
2024-07-14,299318204,5.60851,5.60851,0
2024-07-15,277248636,5.80756,5.80756,0
2024-07-16,289726926,5.72192,5.72192,0
2024-07-17,292197006,5.71049,5.71049,0
2024-07-18,275054877,5.88562,5.88562,0
2024-07-19,271264209,5.93459,5.93459,0
2024-07-20,206530120,6.57736,6.57736,0
2024-07-21,212827790,6.53417,6.53417,0
2024-07-22,223807676,6.44345,6.44345,0
2024-07-23,200926048,6.6612,6.6612,0
2024-07-24,206180973,6.61459,6.61459,0
2024-07-25,205946996,4.77023,4.77023,0
2024-07-26,238868251,4.58593,4.58593,0
2024-07-27,178401693,4.95808,4.95808,0
2024-07-28,167770694,5.04408,5.04408,0
2024-07-29,159202036,5.15556,5.15556,0
2024-07-30,166341427,5.10995,5.10995,0
2024-07-31,178788788,5.03158,5.03158,0
2024-08-01,229611131,4.66863,4.66863,0
2024-08-02,236864130,4.63197,4.63197,0
2024-08-03,139494568,5.2438,5.2438,0
2024-08-04,179946427,4.94868,4.94868,0
2024-08-05,425655128,3.36969,3.36969,0
2024-08-06,410087084,3.45529,3.45529,0
2024-08-07,367188132,3.6785,3.6785,0
2024-08-08,352440053,3.76689,3.76689,0
2024-08-09,291280214,4.08916,4.08916,0
2024-08-10,307396617,3.99968,3.99968,0
2024-08-11,341744156,3.80773,3.80773,0
2024-08-12,379655525,3.59992,3.59992,0
2024-08-13,364209840,3.6851,3.6851,0
2024-08-14,378277408,3.59977,3.59977,0
2024-08-15,332520478,3.81293,3.81293,0
2024-08-16,382438412,3.56504,3.56504,0
2024-08-17,331752233,3.81571,3.81571,0
2024-08-18,311411150,3.95007,3.95007,0
2024-08-19,342080908,3.80916,3.80916,0
2024-08-20,318835313,3.96202,3.96202,0
2024-08-21,290983192,4.17164,4.17164,0
2024-08-22,280968971,4.22629,4.22629,0
2024-08-23,265626764,4.29146,4.29146,0
2024-08-24,236849409,4.50058,4.50058,0
2024-08-25,235067069,4.51315,4.51315,0
2024-08-26,227650411,4.55791,4.55791,0
2024-08-27,252831427,4.41494,4.41494,0
2024-08-28,277657936,4.2451,4.2451,0
2024-08-29,284686604,4.20444,4.20444,0
2024-08-30,328253571,3.92542,3.92542,0
2024-08-31,290098277,4.13441,4.13441,0
2024-09-01,289950990,4.12406,4.12406,0
2024-09-02,348989684,3.8223,3.8223,0
2024-09-03,338869481,3.86359,3.86359,0
2024-09-04,336013260,3.89727,3.89727,0
2024-09-05,328192056,3.93981,3.93981,0
2024-09-06,423738515,3.42542,3.42542,0
2024-09-07,362588120,3.69078,3.69078,0
2024-09-08,338105191,3.84929,3.84929,0
2024-09-09,353752657,3.79044,3.79044,0
2024-09-10,353534034,3.20624,3.20624,0
2024-09-11,346873926,3.24059,3.24059,0
2024-09-12,316182206,3.38741,3.38741,0
2024-09-13,296151849,3.51601,3.51601,0
2024-09-14,261600409,3.6719,3.6719,0
2024-09-15,269052657,3.63518,3.63518,0
2024-09-16,365708368,5.0834,5.0834,0
2024-09-17,300815507,3.50096,3.50096,0
2024-09-18,311367303,3.46131,3.46131,0
2024-09-19,251252099,3.78803,3.78803,0
2024-09-20,217041759,3.98372,3.98372,0
2024-09-21,170923101,4.235,4.235,0
2024-09-22,174123228,4.21533,4.21533,0
2024-09-23,192334315,4.12611,4.12611,0
2024-09-24,161173522,4.30955,4.30955,0
2024-09-25,210972055,4.00977,4.00977,0
2024-09-26,138866082,4.44414,4.44414,0
2024-09-27,140637446,4.42469,4.42469,0
2024-09-28,139291702,4.43761,4.43761,0
2024-09-29,138597991,4.44244,4.44244,0
2024-09-30,140048611,4.42615,4.42615,0
2024-10-01,158323493,4.31319,4.31319,0
2024-10-02,170504860,4.2415,4.2415,0
2024-10-03,180946312,4.17273,4.17273,0
2024-10-04,199219776,4.05102,4.05102,0
2024-10-05,184672207,4.13046,4.13046,0
2024-10-06,184267679,4.13966,4.13966,0
2024-10-07,160411068,4.28221,4.28221,0
2024-10-08,147985007,4.3553,4.3553,0
2024-10-09,170704203,4.20921,4.20921,0
2024-10-10,165392475,4.25114,4.25114,0
2024-10-11,138415440,4.43027,4.43027,0
2024-10-12,155495725,4.32083,4.32083,0
2024-10-13,160266554,4.29437,4.29437,0
2024-10-14,123829945,4.54224,4.54224,0
2024-10-15,132885196,4.48284,4.48284,0
2024-10-16,187633231,4.14229,4.14229,0
2024-10-17,198550787,4.07182,4.07182,0
2024-10-18,110049507,9.50266,9.50266,0
2024-10-19,135859837,4.46578,4.46578,0
2024-10-20,127358870,4.51558,4.51558,0
2024-10-21,136918653,4.4489,4.4489,0
2024-10-22,197309721,4.10452,4.10452,0
2024-10-23,124525597,4.54587,4.54587,0
2024-10-24,128551725,4.54941,4.54941,0
2024-10-25,121346475,8.4924,8.4924,0
2024-10-26,122269693,5.45137,5.45137,0
2024-10-27,126577178,4.54339,4.54339,0
2024-10-28,137683967,4.47241,4.47241,0
2024-10-29,119477439,5.92805,5.92805,0
2024-10-30,167056197,4.30048,4.30048,0
2024-10-31,153931339,4.37935,4.37935,0
2024-11-01,123010638,5.08134,5.08134,0
2024-11-02,150732392,4.396,4.396,0
2024-11-03,135488769,4.49185,4.49185,0
2024-11-04,121887036,5.42333,5.42333,0
2024-11-05,115655147,8.21068,8.21068,0
2024-11-06,118349646,7.34446,7.34446,0
2024-11-07,151830456,4.40127,4.40127,0
2024-11-08,142263612,4.48201,4.48201,0
2024-11-09,151714685,4.43693,4.43693,0
2024-11-10,137082393,4.53741,4.53741,0
2024-11-11,130697078,7.01659,7.01659,0
2024-11-12,142308552,4.54759,4.54759,0
2024-11-13,120612559,11.81532,11.81532,0
2024-11-14,189957462,4.28221,4.28221,0
2024-11-15,218639358,4.16756,4.16756,0
2024-11-16,176038090,4.38309,4.38309,0
2024-11-17,198454943,4.25904,4.25904,0
2024-11-18,134019255,7.53857,7.53857,0
2024-11-19,119963308,13.06984,13.06984,0
2024-11-20,160151915,4.45949,4.45949,0
2024-11-21,112654282,15.43948,15.43948,0
