date,tvl,apy,apy_base,apy_reward
2024-10-02,10888,0.0,0.0,0
2024-10-03,32815,1.77484,1.77484,0
2024-10-04,1024859,0.05735,0.05735,0
2024-10-05,912845,0.308,0.308,0
2024-10-06,2537767,0.08864,0.08864,0
2024-10-07,2124182,1.64312,1.64312,0
2024-10-08,2147221,1.60934,1.60934,0
2024-10-09,7515891,0.40054,0.40054,0
2024-10-10,21001337,1.98877,1.98877,0
2024-10-11,22234729,2.11826,2.11826,0
2024-10-12,24790792,1.94372,1.94372,0
2024-10-13,24516857,2.76838,2.76838,0
2024-10-14,26326766,2.64473,2.64473,0
2024-10-15,22376708,3.13247,3.13247,0
2024-10-16,38949714,2.70678,2.70678,0
2024-10-17,35711304,2.95789,2.95789,0
2024-10-18,35612638,2.96274,2.96274,0
2024-10-19,33759182,3.11879,3.11879,0
2024-10-20,30664229,3.43299,3.43299,0
2024-10-21,26878641,3.73823,3.73823,0
2024-10-22,51362795,4.19646,4.19646,0
2024-10-23,60474269,0.20975,0.20975,0
2024-10-24,72051098,0.04601,0.04601,0
2024-10-25,59997626,1.67237,1.67237,0
2024-10-26,67271762,1.12011,1.12011,0
2024-10-27,84005795,0.03736,0.03736,0
2024-10-28,100148884,0.03215,0.03215,0
2024-10-29,71330348,0.82429,0.82429,0
2024-10-30,80206361,0.69028,0.69028,0
2024-10-31,89237568,0.62509,0.62509,0
2024-11-01,88186890,0.63472,0.63472,0
2024-11-02,97640527,0.57736,0.57736,0
2024-11-03,104905893,0.54115,0.54115,0
2024-11-04,102233067,0.53669,0.53669,0
2024-11-05,104886987,0.52073,0.52073,0
2024-11-06,114978626,0.48519,0.48519,0
2024-11-07,114693308,0.4897,0.4897,0
2024-11-08,135634061,0.41986,0.41986,0
2024-11-09,131219311,0.43676,0.43676,0
2024-11-10,132531781,0.42889,0.42889,0
2024-11-11,116159517,0.53953,0.53953,0
2024-11-12,112297124,0.55354,0.55354,0
2024-11-13,114996795,0.54503,0.54503,0
2024-11-14,117221293,0.53016,0.53016,0
2024-11-15,118261816,0.53997,0.53997,0
2024-11-16,126325090,0.50812,0.50812,0
2024-11-17,133214097,0.4778,0.4778,0
2024-11-18,100363078,2.37458,2.37458,0
2024-11-19,95279768,2.81971,2.81971,0
2024-11-20,54538410,4.48014,4.48014,0
2024-11-21,41627020,4.92548,4.92548,0
2024-11-22,21062169,5.62615,5.62615,0
2024-11-23,45895314,5.07428,5.07428,0
2024-11-24,74209572,4.57799,4.57799,0
2024-11-25,64015985,4.83909,4.83909,0
2024-11-26,22876668,5.76579,5.76579,0
2024-11-27,23066986,5.75439,5.75439,0
2024-11-28,23896015,5.76176,5.76176,0
2024-11-29,23299285,5.78831,5.78831,0
2024-11-30,28874438,5.63457,5.63457,0
2024-12-01,23601711,5.7895,5.7895,0
2024-12-02,16626278,26.42704,26.42704,0
2024-12-03,19641119,16.24845,16.24845,0
2024-12-04,30056628,7.96007,7.96007,0
2024-12-05,16629876,24.19977,24.19977,0
2024-12-06,23044242,11.38934,11.38934,0
2024-12-07,51637884,7.44576,7.44576,0
2024-12-08,17031456,28.25749,28.25749,0
2024-12-09,22738048,10.45121,10.45121,0
2024-12-10,18409752,14.71796,14.71796,0
2024-12-11,20702006,8.27733,8.27733,0
2024-12-12,23767033,8.1206,8.1206,0
2024-12-13,23572411,8.04844,8.04844,0
2024-12-14,15721873,16.04141,16.04141,0
2024-12-15,30901585,7.80167,7.80167,0
2024-12-16,36133671,7.64525,7.64525,0
2024-12-17,21538507,8.21755,8.21755,0
2024-12-18,20243842,8.25461,8.25461,0
2024-12-19,17587769,10.5475,10.5475,0
2024-12-20,13526040,19.41621,19.41621,0
2024-12-21,22011993,8.06441,8.06441,0
2024-12-22,26295317,7.86776,7.86776,0
2024-12-23,16188379,10.58229,10.58229,0
2024-12-24,30254450,7.66272,7.66272,0
2024-12-25,22325532,8.05469,8.05469,0
2024-12-26,22655194,8.02035,8.02035,0
2024-12-27,29625459,7.71877,7.71877,0
2024-12-28,26794951,7.8441,7.8441,0
2024-12-29,33516054,9.46398,9.46398,0
2024-12-30,33505231,9.46947,9.46947,0
2024-12-31,38416187,9.20719,9.20719,0
2025-01-01,39287631,9.16343,9.16343,0
2025-01-02,39088732,9.17496,9.17496,0
2025-01-03,49603432,8.62209,8.62209,0
2025-01-04,54066746,8.41643,8.41643,0
2025-01-05,65868344,7.25454,7.25454,0
2025-01-06,69797177,6.92536,6.92536,0
2025-01-07,70633490,6.84179,6.84179,0
2025-01-08,84106558,6.33023,6.33023,0
2025-01-09,99268909,5.2524,5.2524,0
2025-01-10,117900505,4.3174,4.3174,0
2025-01-11,122309819,4.2083,4.2083,0
2025-01-12,123952484,4.11519,4.11519,0
2025-01-13,123882047,3.84407,3.84407,0
2025-01-14,128328123,3.74857,3.74857,0
2025-01-15,145988128,3.34549,3.34549,0
2025-01-16,151913775,2.96567,2.96567,0
2025-01-17,155305869,2.7904,2.7904,0
2025-01-18,155447264,2.77372,2.77372,0
2025-01-19,153817300,2.79296,2.79296,0
2025-01-20,159691631,2.69669,2.69669,0
2025-01-21,162630540,2.65354,2.65354,0
2025-01-22,174828857,2.98084,2.98084,0
2025-01-23,181672100,2.72514,2.72514,0
2025-01-24,182011870,2.71767,2.71767,0
2025-01-25,183341264,2.69687,2.69687,0
2025-01-26,185670308,2.43553,2.43553,0
2025-01-27,186058462,2.17633,2.17633,0
2025-01-28,194144934,2.10509,2.10509,0
2025-01-29,205109191,1.88668,1.88668,0
2025-01-30,231284580,1.66291,1.66291,0
2025-01-31,230622434,1.49869,1.49869,0
2025-02-01,233295286,1.48297,1.48297,0
2025-02-02,241649907,1.43578,1.43578,0
2025-02-03,251082524,1.13673,1.13673,0
2025-02-04,255525280,1.04304,1.04304,0
2025-02-05,262993963,1.01367,1.01367,0
2025-02-06,277790608,0.96639,0.96639,0
2025-02-07,270452466,0.97627,0.97627,0
2025-02-08,288878968,0.29784,0.29784,0
2025-02-09,298141997,0.27623,0.27623,0
2025-02-10,308777973,0.26488,0.26488,0
2025-02-11,330839590,0.19265,0.19265,0
2025-02-12,397961732,0.48516,0.48516,0
2025-02-13,431835767,0.42341,0.42341,0
2025-02-14,432461652,0.4237,0.4237,0
2025-02-15,433543459,0.42238,0.42238,0
2025-02-16,425059072,0.43044,0.43044,0
2025-02-17,435265888,0.4208,0.4208,0
2025-02-18,430716082,0.42567,0.42567,0
2025-02-19,441659061,0.39009,0.39009,0
2025-02-20,441693229,0.38993,0.38993,0
2025-02-21,463380052,0.37311,0.37311,0
2025-02-22,451832775,0.3808,0.3808,0
2025-02-23,455187806,0.378,0.378,0
2025-02-24,485816165,0.35251,0.35251,0
2025-02-25,456433867,0.35033,0.35033,0
2025-02-26,352343201,0.52393,0.52393,0
2025-02-27,357773270,0.60611,0.60611,0
2025-02-28,415831176,0.52773,0.52773,0
2025-03-01,402711737,0.54402,0.54402,0
2025-03-02,406350562,0.5396,0.5396,0
2025-03-03,406800816,0.5048,0.5048,0
2025-03-04,380685563,0.19438,0.19438,0
2025-03-05,393753075,0.13592,0.13592,0
2025-03-06,390425620,0.13464,0.13464,0
2025-03-07,393240180,0.13385,0.13385,0
2025-03-08,390285634,0.13473,0.13473,0
2025-03-09,380203649,0.13822,0.13822,0
2025-03-10,390865803,0.12838,0.12838,0
2025-03-11,392258100,0.12664,0.12664,0
2025-03-12,264320987,0.18618,0.18618,0
2025-03-13,392199458,0.12619,0.12619,0
2025-03-14,386651133,0.1107,0.1107,0
2025-03-15,383283208,0.11134,0.11134,0
2025-03-16,384402732,0.1109,0.1109,0
2025-03-17,418318176,0.10192,0.10192,0
2025-03-18,378695371,0.10962,0.10962,0
2025-03-19,369495697,0.112,0.112,0
2025-03-20,388493646,0.08695,0.08695,0
2025-03-21,352763490,0.09565,0.09565,0
2025-03-22,364660086,0.09256,0.09256,0
2025-03-23,359900168,0.09373,0.09373,0
2025-03-24,424520665,0.08171,0.08171,0
2025-03-25,421019013,0.08261,0.08261,0
2025-03-26,428899829,0.08113,0.08113,0
2025-03-27,420350706,0.08277,0.08277,0
2025-03-28,352109767,0.09856,0.09856,0
2025-03-29,358921658,0.09512,0.09512,0
2025-03-30,292179435,0.11641,0.11641,0
2025-03-31,480599415,0.0695,0.0695,0
2025-04-01,464215453,0.07196,0.07196,0
2025-04-02,406619982,0.08205,0.08205,0
2025-04-03,393137888,0.08401,0.08401,0
2025-04-04,390636244,0.08414,0.08414,0
2025-04-05,389971624,0.0843,0.0843,0
2025-04-06,387392200,0.08292,0.08292,0
2025-04-07,378776757,0.08253,0.08253,0
2025-04-08,382995550,0.0558,0.0558,0
2025-04-09,384481751,0.04754,0.04754,0
2025-04-10,383412648,0.04768,0.04768,0
2025-04-11,338925592,0.04493,0.04493,0
2025-04-12,338977010,0.04493,0.04493,0
2025-04-13,340981084,0.02693,0.02693,0
2025-04-14,341611693,0.0242,0.0242,0
2025-04-15,397613282,0.02081,0.02081,0
2025-04-16,355231483,0.02329,0.02329,0
2025-04-17,362455761,0.02283,0.02283,0
2025-04-18,368610947,0.02245,0.02245,0
2025-04-19,369231452,0.02237,0.02237,0
2025-04-20,368766659,0.0224,0.0224,0
2025-04-21,336438376,0.02454,0.02454,0
2025-04-22,280415284,0.02945,0.02945,0
2025-04-23,263067450,0.03138,0.03138,0
2025-04-24,323847711,0.02555,0.02555,0
2025-04-25,342253094,0.02418,0.02418,0
2025-04-26,356292864,0.02323,0.02323,0
2025-04-27,357717872,0.02314,0.02314,0
2025-04-28,418014535,0.01982,0.01982,0
2025-04-29,335678111,0.0336,0.0336,0
2025-04-30,337980015,0.0245,0.0245,0
2025-05-01,335159328,0.02472,0.02472,0
2025-05-02,331796904,0.02497,0.02497,0
2025-05-03,350344787,0.02366,0.02366,0
2025-05-04,352059044,0.02354,0.02354,0
2025-05-05,311607429,0.02659,0.02659,0
2025-05-06,223899905,0.47621,0.47621,0
2025-05-07,234618481,0.58818,0.58818,0
2025-05-08,314806596,0.31528,0.31528,0
2025-05-09,285542731,0.57818,0.57818,0
2025-05-10,282886839,0.58262,0.58262,0
2025-05-11,279119196,0.57219,0.57219,0
2025-05-12,299223575,0.56125,0.56125,0
2025-05-13,296493890,0.66786,0.66786,0
2025-05-14,223897461,1.29209,1.29209,0
2025-05-15,220273355,1.46029,1.46029,0
2025-05-16,184274875,1.90913,1.90913,0
2025-05-17,197040310,1.99741,1.99741,0
2025-05-18,190400883,2.03807,2.03807,0
2025-05-19,202454620,1.93468,1.93468,0
2025-05-20,196108733,1.85906,1.85906,0
2025-05-21,181079661,1.99175,1.99175,0
2025-05-22,173128867,2.06076,2.06076,0
2025-05-23,119829977,2.61692,2.61692,0
2025-05-24,122478608,2.62698,2.62698,0
2025-05-25,140556443,2.31466,2.31466,0
2025-05-26,178515014,2.21271,2.21271,0
2025-05-27,178578154,2.16033,2.16033,0
2025-05-28,167819734,2.23124,2.23124,0
2025-05-29,145329633,2.24111,2.24111,0
2025-05-30,111744661,2.52834,2.52834,0
2025-05-31,115648527,2.71178,2.71178,0
2025-06-01,106929083,2.82637,2.82637,0
2025-06-02,114450593,2.756,2.756,0
2025-06-03,108632126,2.90439,2.90439,0
2025-06-04,95294788,3.14598,3.14598,0
