date,tvl,apy,apy_base,apy_reward
2024-06-06,2468510,9.54383,9.54383,0
2024-06-07,2957069,7.00052,7.00052,0
2024-06-08,2955789,7.00364,7.00364,0
2024-06-09,2844898,7.06768,7.06768,0
2024-06-10,2614782,7.56206,7.56206,0
2024-06-11,3850831,6.59878,6.59878,0
2024-06-12,3563339,6.75865,6.75865,0
2024-06-13,3793424,6.63374,6.63374,0
2024-06-14,4145617,6.43877,6.43877,0
2024-06-15,4170908,6.42666,6.42666,0
2024-06-16,4138212,6.45352,6.45352,0
2024-06-17,4752502,6.19789,6.19789,0
2024-06-18,4542715,6.28984,6.28984,0
2024-06-19,2969685,7.10853,7.10853,0
2024-06-20,4183558,6.45859,6.45859,0
2024-06-21,4674164,6.19879,6.19879,0
2024-06-22,4312497,6.36706,6.36706,0
2024-06-23,4663558,6.21491,6.21491,0
2024-06-24,5631474,5.73741,5.73741,0
2024-06-25,5153988,5.94305,5.94305,0
2024-06-26,5078541,5.97813,5.97813,0
2024-06-27,4779071,6.1281,6.1281,0
2024-06-28,5537023,5.80062,5.80062,0
2024-06-29,5785714,5.69645,5.69645,0
2024-06-30,6106672,5.55766,5.55766,0
2024-07-01,5861400,5.66021,5.66021,0
2024-07-02,4774577,6.11446,6.11446,0
2024-07-03,5309737,5.88007,5.88007,0
2024-07-04,5309746,5.83406,5.83406,0
2024-07-05,4522210,6.14161,6.14161,0
2024-07-06,4521016,6.13846,6.13846,0
2024-07-07,3968065,6.41774,6.41774,0
2024-07-08,3919359,6.45116,6.45116,0
2024-07-09,4297449,6.25938,6.25938,0
2024-07-10,4307254,6.25048,6.25048,0
2024-07-11,4412663,6.19379,6.19379,0
2024-07-12,4499099,6.15808,6.15808,0
2024-07-13,4314016,6.26528,6.26528,0
2024-07-14,5521970,5.76631,5.76631,0
2024-07-15,4652558,6.16471,6.16471,0
2024-07-16,4718372,6.14258,6.14258,0
2024-07-17,5112735,5.95134,5.95134,0
2024-07-18,5040024,5.97315,5.97315,0
2024-07-19,4412259,6.28934,6.28934,0
2024-07-20,4524425,6.237,6.237,0
2024-07-21,2293870,16.77419,16.77419,0
2024-07-22,3127183,7.09764,7.09764,0
2024-07-23,6351841,6.06657,6.06657,0
2024-07-24,6777545,4.31796,4.31796,0
2024-07-25,6590847,4.26334,4.26334,0
2024-07-26,8524971,3.83325,3.83325,0
2024-07-27,8828306,3.81944,3.81944,0
2024-07-28,8278254,4.10483,4.10483,0
2024-07-29,6043504,4.65527,4.65527,0
2024-07-30,6524598,4.54969,4.54969,0
2024-07-31,8118761,4.11225,4.11225,0
2024-08-01,9034103,3.94028,3.94028,0
2024-08-02,8013854,3.68595,3.68595,0
2024-08-03,8633381,3.82674,3.82674,0
2024-08-04,7792066,3.99966,3.99966,0
2024-08-05,5082045,4.71854,4.71854,0
2024-08-06,4482360,5.12551,5.12551,0
2024-08-07,7727382,4.5349,4.5349,0
2024-08-08,8745684,4.32646,4.32646,0
2024-08-09,7973013,4.51233,4.51233,0
2024-08-10,9903352,4.11255,4.11255,0
2024-08-11,11792636,3.80716,3.80716,0
2024-08-12,13052966,3.63288,3.63288,0
2024-08-13,12350593,3.7355,3.7355,0
2024-08-14,12273552,3.74988,3.74988,0
2024-08-15,12245099,3.75583,3.75583,0
2024-08-16,11576253,3.85571,3.85571,0
2024-08-17,11049502,3.94463,3.94463,0
2024-08-18,10379732,3.90816,3.90816,0
2024-08-19,10374140,3.95498,3.95498,0
2024-08-20,10645563,3.90705,3.90705,0
2024-08-21,14041999,3.40155,3.40155,0
2024-08-22,13174127,3.56453,3.56453,0
2024-08-23,7783196,4.48473,4.48473,0
2024-08-24,7201290,4.66151,4.66151,0
2024-08-25,9410906,4.25772,4.25772,0
2024-08-26,13823891,3.45331,3.45331,0
2024-08-27,15344545,3.17175,3.17175,0
2024-08-28,14107624,3.33358,3.33358,0
2024-08-29,12929638,3.49847,3.49847,0
2024-08-30,13158152,3.46029,3.46029,0
2024-08-31,12570628,3.54616,3.54616,0
2024-09-01,12441054,3.56493,3.56493,0
2024-09-02,12412526,3.58069,3.58069,0
2024-09-03,12773566,3.52167,3.52167,0
2024-09-04,12332270,3.59174,3.59174,0
2024-09-05,13733376,3.37575,3.37575,0
2024-09-06,15778637,3.04942,3.04942,0
2024-09-07,15347197,3.1039,3.1039,0
