date,tvl,apy,apy_base,apy_reward
2024-06-06,4335690,7.19554,7.19554,0
2024-06-07,4338353,7.19119,7.19119,0
2024-06-08,4992815,6.95304,6.95304,0
2024-06-09,5584345,6.78229,6.78229,0
2024-06-10,4813951,7.04497,7.04497,0
2024-06-11,5409491,6.86348,6.86348,0
2024-06-12,5942636,6.68326,6.68326,0
2024-06-13,6713310,6.42754,6.42754,0
2024-06-14,6548787,6.47998,6.47998,0
2024-06-15,6699936,6.43329,6.43329,0
2024-06-16,6705029,6.43766,6.43766,0
2024-06-17,8030103,6.07071,6.07071,0
2024-06-18,7561204,6.16543,6.16543,0
2024-06-19,6943413,6.33669,6.33669,0
2024-06-20,6902830,6.35566,6.35566,0
2024-06-21,7673567,6.14425,6.14425,0
2024-06-22,7548577,6.17822,6.17822,0
2024-06-23,8003714,6.05605,6.05605,0
2024-06-24,7777829,6.11533,6.11533,0
2024-06-25,7602141,6.16035,6.16035,0
2024-06-26,7693960,6.13666,6.13666,0
2024-06-27,8293961,5.98011,5.98011,0
2024-06-28,9806618,5.60941,5.60941,0
2024-06-29,11320296,5.27972,5.27972,0
2024-06-30,12202771,5.1086,5.1086,0
2024-07-01,11946868,5.16895,5.16895,0
2024-07-02,10821300,5.40455,5.40455,0
2024-07-03,9686501,5.64039,5.64039,0
2024-07-04,10827291,5.30801,5.30801,0
2024-07-05,11277826,5.12519,5.12519,0
2024-07-06,10657135,5.26793,5.26793,0
2024-07-07,11372152,5.09247,5.09247,0
2024-07-08,12713240,4.82059,4.82059,0
2024-07-09,13184059,4.70531,4.70531,0
2024-07-10,12982556,4.76741,4.76741,0
2024-07-11,12801762,4.81501,4.81501,0
2024-07-12,12333283,4.93026,4.93026,0
2024-07-13,9659429,5.56022,5.56022,0
2024-07-14,9193883,5.65537,5.65537,0
2024-07-15,7887963,6.02324,6.02324,0
2024-07-16,6320435,6.48744,6.48744,0
2024-07-17,7174304,6.24333,6.24333,0
2024-07-18,7612902,6.12783,6.12783,0
2024-07-19,6769510,6.40659,6.40659,0
2024-07-20,7326958,6.24301,6.24301,0
2024-07-21,6594057,6.46602,6.46602,0
2024-07-22,5862411,6.69251,6.69251,0
2024-07-23,5722951,6.74091,6.74091,0
2024-07-24,5812694,4.86279,4.86279,0
2024-07-25,6661110,4.66787,4.66787,0
2024-07-26,5434740,4.95468,4.95468,0
2024-07-27,4959474,5.07403,5.07403,0
2024-07-28,4752968,5.12398,5.12398,0
2024-07-29,5790036,4.85805,4.85805,0
2024-07-30,4420186,5.18693,5.18693,0
2024-07-31,5089597,5.02581,5.02581,0
2024-08-01,4691379,5.12736,5.12736,0
2024-08-02,5444475,4.94804,4.94804,0
2024-08-03,5128406,5.01359,5.01359,0
2024-08-04,7204603,4.48852,4.48852,0
2024-08-05,8210333,4.0435,4.0435,0
2024-08-06,7857803,4.13732,4.13732,0
2024-08-07,7463259,4.22574,4.22574,0
2024-08-08,7418549,4.24952,4.24952,0
2024-08-09,6866949,4.39498,4.39498,0
2024-08-10,7194740,4.32518,4.32518,0
2024-08-11,7880169,4.17368,4.17368,0
2024-08-12,8613967,4.01866,4.01866,0
2024-08-13,8278422,4.10778,4.10778,0
2024-08-14,8735885,4.01982,4.01982,0
2024-08-15,9543280,3.86615,3.86615,0
2024-08-16,9947489,3.78184,3.78184,0
2024-08-17,10436861,3.70341,3.70341,0
2024-08-18,10375903,3.71957,3.71957,0
2024-08-19,9866058,3.81253,3.81253,0
2024-08-20,9319944,3.91912,3.91912,0
2024-08-21,8144402,4.23935,4.23935,0
2024-08-22,8839472,4.10609,4.10609,0
2024-08-23,9223322,4.03712,4.03712,0
2024-08-24,8856614,4.11106,4.11106,0
2024-08-25,8451458,4.19567,4.19567,0
2024-08-26,7065081,4.4837,4.4837,0
2024-08-27,7203066,4.45916,4.45916,0
2024-08-28,8200924,4.18438,4.18438,0
2024-08-29,7996653,4.21988,4.21988,0
2024-08-30,7905692,4.2374,4.2374,0
2024-08-31,7943134,4.22999,4.22999,0
2024-09-01,8713965,4.07097,4.07097,0
2024-09-02,9009631,4.02134,4.02134,0
2024-09-03,14990173,3.08751,3.08751,0
2024-09-04,13979116,3.21384,3.21384,0
2024-09-05,12108520,3.62589,3.62589,0
2024-09-06,12906462,3.50597,3.50597,0
2024-09-07,13112571,3.48027,3.48027,0
2024-09-08,12101164,3.63654,3.63654,0
2024-09-09,11156271,3.80924,3.80924,0
2024-09-10,12406406,2.99806,2.99806,0
2024-09-11,12721667,2.96034,2.96034,0
2024-09-12,11887224,3.12771,3.12771,0
2024-09-13,9781172,3.37956,3.37956,0
2024-09-14,10065851,3.34049,3.34049,0
2024-09-15,9351714,3.44696,3.44696,0
2024-09-16,9753036,3.38987,3.38987,0
2024-09-17,9105268,3.49615,3.49615,0
2024-09-18,8793933,3.55318,3.55318,0
2024-09-19,8103389,3.67206,3.67206,0
2024-09-20,6862899,3.88793,3.88793,0
2024-09-21,6912887,3.8803,3.8803,0
2024-09-22,6881785,3.89309,3.89309,0
2024-09-23,6794059,3.9088,3.9088,0
2024-09-24,6498114,3.98501,3.98501,0
2024-09-25,5734243,4.12915,4.12915,0
2024-09-26,5283940,4.22769,4.22769,0
2024-09-27,5196434,4.23049,4.23049,0
2024-09-28,4519791,4.37235,4.37235,0
2024-09-29,4738746,4.33242,4.33242,0
2024-09-30,4278986,4.42332,4.42332,0
2024-10-01,5532591,4.13701,4.13701,0
2024-10-02,5001454,4.23668,4.23668,0
2024-10-03,5205082,4.1936,4.1936,0
2024-10-04,5509907,4.14072,4.14072,0
2024-10-05,5228240,4.19997,4.19997,0
2024-10-06,4382632,4.38057,4.38057,0
2024-10-07,4353035,4.38395,4.38395,0
2024-10-08,4424362,4.3728,4.3728,0
2024-10-09,3710555,9.10229,9.10229,0
2024-10-10,4125334,4.43891,4.43891,0
2024-10-11,4408015,4.38345,4.38345,0
2024-10-12,4873965,4.29097,4.29097,0
2024-10-13,4419569,4.38665,4.38665,0
2024-10-14,3956260,6.75888,6.75888,0
2024-10-15,4461854,4.37622,4.37622,0
2024-10-16,4048172,5.44646,5.44646,0
2024-10-17,4422213,4.39249,4.39249,0
2024-10-18,4037529,5.76036,5.76036,0
2024-10-19,4465753,4.38355,4.38355,0
2024-10-20,3868519,8.62216,8.62216,0
2024-10-21,4173209,4.75896,4.75896,0
2024-10-22,4168928,5.18184,5.18184,0
2024-10-23,4426481,4.41149,4.41149,0
2024-10-24,4028283,7.19886,7.19886,0
2024-10-25,4437862,4.40222,4.40222,0
2024-10-26,6784984,3.93369,3.93369,0
2024-10-27,6070692,4.0634,4.0634,0
2024-10-28,5413024,4.19457,4.19457,0
2024-10-29,4062568,6.97971,6.97971,0
2024-10-30,4120218,6.23869,6.23869,0
2024-10-31,3919932,8.11351,8.11351,0
2024-11-01,4056899,6.20784,6.20784,0
2024-11-02,3785442,9.60067,9.60067,0
2024-11-03,4202719,4.43747,4.43747,0
2024-11-04,4939300,4.26729,4.26729,0
2024-11-05,4375083,4.39701,4.39701,0
2024-11-06,2651656,26.27105,26.27105,0
2024-11-07,4193045,4.63127,4.63127,0
2024-11-08,3895235,8.37215,8.37215,0
2024-11-09,4921410,4.3059,4.3059,0
2024-11-10,4695007,4.35611,4.35611,0
2024-11-11,3603974,14.64082,14.64082,0
2024-11-12,4248505,6.38248,6.38248,0
2024-11-13,4065251,8.61427,8.61427,0
2024-11-14,4251140,6.59012,6.59012,0
2024-11-15,4102270,8.6146,8.6146,0
2024-11-16,7615669,3.90362,3.90362,0
2024-11-17,6674787,4.07973,4.07973,0
2024-11-18,3983008,11.7203,11.7203,0
2024-11-19,4168664,9.38464,9.38464,0
2024-11-20,3708969,15.40618,15.40618,0
2024-11-21,4123041,10.43543,10.43543,0
2024-11-22,4368216,8.12448,8.12448,0
2024-11-23,4086088,11.82637,11.82637,0
2024-11-24,4533338,7.08384,7.08384,0
2024-11-25,4680440,6.02868,6.02868,0
2024-11-26,7105971,3.96141,3.96141,0
2024-11-27,4678522,4.43873,4.43873,0
2024-11-28,4328046,7.92892,7.92892,0
2024-11-29,4107899,10.84308,10.84308,0
2024-11-30,4096334,11.43743,11.43743,0
2024-12-01,4149229,11.54334,11.54334,0
2024-12-02,4287625,10.39821,10.39821,0
2024-12-03,4610246,6.87549,6.87549,0
2024-12-04,4245921,12.50056,12.50056,0
2024-12-05,4293896,12.24078,12.24078,0
2024-12-06,4088950,15.00002,15.00002,0
2024-12-07,4511748,9.99912,9.99912,0
2024-12-08,4384944,11.95202,11.95202,0
2024-12-09,4118350,15.03792,15.03792,0
2024-12-10,4728680,7.47525,7.47525,0
2024-12-11,4482802,9.88393,9.88393,0
2024-12-12,4332953,12.95573,12.95573,0
2024-12-13,4847387,8.50186,8.50186,0
2024-12-14,4884676,7.82674,7.82674,0
2024-12-15,4784064,9.52396,9.52396,0
2024-12-16,4865862,12.33788,12.33788,0
2024-12-17,4923656,12.11109,12.11109,0
2024-12-18,5724873,9.95758,9.95758,0
2024-12-19,5020593,11.79573,11.79573,0
2024-12-20,6755249,9.61369,9.61369,0
2024-12-21,7322134,9.42616,9.42616,0
2024-12-22,7717829,9.30197,9.30197,0
2024-12-23,9169865,8.84582,8.84582,0
2024-12-24,8526440,9.07089,9.07089,0
2024-12-25,8901632,8.95857,8.95857,0
2024-12-26,7964024,9.27001,9.27001,0
2024-12-27,9285223,8.87536,8.87536,0
2024-12-28,9314080,8.87717,8.87717,0
2024-12-29,10227696,8.61757,8.61757,0
2024-12-30,8848620,9.02755,9.02755,0
2024-12-31,11873946,8.17407,8.17407,0
2025-01-01,12443766,8.02466,8.02466,0
2025-01-02,11355716,8.32001,8.32001,0
2025-01-03,12462911,8.04876,8.04876,0
2025-01-04,10778138,8.50891,8.50891,0
2025-01-05,10787040,8.51294,8.51294,0
2025-01-06,8814934,9.10167,9.10167,0
2025-01-07,9127263,9.01171,9.01171,0
2025-01-08,8974230,9.03093,9.03093,0
2025-01-09,11684065,8.16339,8.16339,0
2025-01-10,11526141,8.24033,8.24033,0
2025-01-11,11589890,8.21033,8.21033,0
2025-01-12,11848832,8.13631,8.13631,0
2025-01-13,11219663,8.28231,8.28231,0
2025-01-14,11745216,7.84219,7.84219,0
2025-01-15,11870554,7.83731,7.83731,0
2025-01-16,12215053,7.74199,7.74199,0
2025-01-17,12214981,7.77359,7.77359,0
2025-01-18,12622544,7.62352,7.62352,0
2025-01-19,11073597,7.98812,7.98812,0
2025-01-20,7686968,9.01833,9.01833,0
2025-01-21,11284012,7.98696,7.98696,0
2025-01-22,11347425,7.97769,7.97769,0
2025-01-23,9926164,8.39807,8.39807,0
2025-01-24,13286120,7.53623,7.53623,0
2025-01-25,12741770,7.68918,7.68918,0
2025-01-26,13890876,7.37452,7.37452,0
2025-01-27,15317365,6.98425,6.98425,0
2025-01-28,16118689,6.80023,6.80023,0
2025-01-29,15251223,7.01861,7.01861,0
2025-01-30,15972900,6.84599,6.84599,0
2025-01-31,14775685,6.84536,6.84536,0
2025-02-01,15275756,6.73533,6.73533,0
2025-02-02,16353854,6.41155,6.41155,0
2025-02-03,15230002,6.50281,6.50281,0
2025-02-04,17074204,6.04414,6.04414,0
2025-02-05,17446617,5.99316,5.99316,0
2025-02-06,17999390,5.89054,5.89054,0
2025-02-07,18893671,5.70912,5.70912,0
2025-02-08,17865700,5.89529,5.89529,0
2025-02-09,18418375,5.77607,5.77607,0
2025-02-10,17813839,5.9142,5.9142,0
2025-02-11,18264085,4.83745,4.83745,0
2025-02-12,17952400,4.9131,4.9131,0
2025-02-13,17726161,4.93704,4.93704,0
2025-02-14,18182587,4.87489,4.87489,0
2025-02-15,18356695,4.84556,4.84556,0
2025-02-16,19430733,4.62136,4.62136,0
2025-02-17,18478808,4.76766,4.76766,0
2025-02-18,18997981,4.68769,4.68769,0
2025-02-19,19119158,4.66377,4.66377,0
2025-02-20,19082921,4.68004,4.68004,0
2025-02-21,17564097,4.92442,4.92442,0
2025-02-22,17649231,4.90043,4.90043,0
2025-02-23,18887360,4.70528,4.70528,0
2025-02-24,19447948,4.59389,4.59389,0
2025-02-25,19239382,3.8088,3.8088,0
2025-02-26,18730739,3.78357,3.78357,0
2025-02-27,19263126,3.67562,3.67562,0
2025-02-28,18820500,3.64539,3.64539,0
2025-03-01,19069393,3.6135,3.6135,0
2025-03-02,15369623,4.15712,4.15712,0
2025-03-03,15702769,4.0874,4.0874,0
2025-03-04,17300136,3.78464,3.78464,0
2025-03-05,17232773,3.77933,3.77933,0
2025-03-06,14991499,4.11061,4.11061,0
2025-03-07,14839833,4.1438,4.1438,0
2025-03-08,14959651,4.13706,4.13706,0
2025-03-09,16445872,3.85601,3.85601,0
2025-03-10,17544069,3.44874,3.44874,0
2025-03-11,17272210,3.53302,3.53302,0
2025-03-12,16444206,3.64805,3.64805,0
2025-03-13,16236477,3.69458,3.69458,0
2025-03-14,17192521,3.5358,3.5358,0
2025-03-15,17449248,3.50124,3.50124,0
2025-03-16,15955334,3.69417,3.69417,0
2025-03-17,18488060,3.39168,3.39168,0
2025-03-18,18272661,3.42066,3.42066,0
2025-03-19,18542300,3.38194,3.38194,0
2025-03-20,18023624,3.47039,3.47039,0
2025-03-21,15983244,3.7358,3.7358,0
2025-03-22,16558779,3.66009,3.66009,0
2025-03-23,16700011,3.64105,3.64105,0
2025-03-24,16858898,3.66769,3.66769,0
2025-03-25,16806570,3.68002,3.68002,0
2025-03-26,16797017,3.68182,3.68182,0
2025-03-27,17524898,3.53802,3.53802,0
2025-03-28,18201243,3.46306,3.46306,0
2025-03-29,18509681,3.42254,3.42254,0
2025-03-30,17494295,3.55222,3.55222,0
2025-03-31,16967769,3.63276,3.63276,0
2025-04-01,15556394,3.83842,3.83842,0
2025-04-02,17027336,3.5789,3.5789,0
