date,protocol,asset,chain,best_apy,tvl
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,30.54667,2213621
2024-06-07,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,228.44383,39948
2024-06-08,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,217.41161,21180
2024-06-09,morpho-blue,USDE,Ethereum,235.74235,1870103
2024-06-10,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,64.17485,207639
2024-06-11,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.70097,191424
2024-06-12,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,66.94816,236134
2024-06-13,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,81.82981,155511
2024-06-14,morpho-blue,USDE,Ethereum,344.19009,1743044
2024-06-15,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,50.42829,270473
2024-06-16,morpho-blue,STKCVXCRVUSDETHCRV-MORPHO,Ethereum,48.78134,147990
2024-06-17,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,55.99872,249680
2024-06-18,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,58.13289,249966
2024-06-19,morpho-blue,STKCVXCRVUSDTWBTCWETH-MORPHO,Ethereum,57.32926,249933
2024-06-20,morpho-blue,USDE,Ethereum,42.80223,1772393
2024-06-21,morpho-blue,USDE,Ethereum,42.65213,1779742
2024-06-22,morpho-blue,USDE,Ethereum,42.50286,1780868
2024-06-23,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,29.05456,441456
2024-06-24,morpho-blue,SUSDE,Ethereum,45.38397,5346260
2024-06-25,morpho-blue,USDE,Ethereum,34.1024,1787173
2024-06-26,morpho-blue,USDE,Ethereum,33.8869,1786445
2024-06-27,morpho-blue,USDE,Ethereum,33.6737,1787715
2024-06-28,morpho-blue,USDE,Ethereum,33.4629,1786048
2024-06-29,morpho-blue,USDE,Ethereum,33.2538,1785086
2024-06-30,morpho-blue,USDE,Ethereum,33.04675,1784423
2024-07-01,morpho-blue,USDE,Ethereum,32.84177,1781580
2024-07-02,morpho-blue,USDE,Ethereum,32.63883,1784120
2024-07-03,morpho-blue,FXUSDC,Ethereum,51.04183,232234
2024-07-04,morpho-blue,FXUSDC,Ethereum,40.61818,372889
2024-07-05,morpho-blue,USDE,Ethereum,21.4817,1834659
2024-07-06,morpho-blue,STKCVXCRVUSDCWBTCWETH-MORPHO,Ethereum,16.04132,675508
2024-07-07,ethena-usde,SUSDE,Ethereum,15.70203,1524971504
2024-07-08,morpho-blue,FXUSDC,Ethereum,16.769,630278
2024-07-09,morpho-blue,FXUSDC,Ethereum,19.95129,636976
2024-07-10,morpho-blue,USDE,Ethereum,22.15374,1784799
2024-07-11,morpho-blue,USDE,Ethereum,21.80038,1781948
2024-07-12,morpho-blue,USDE,Ethereum,21.66879,1789140
2024-07-13,morpho-blue,USDE,Ethereum,21.53828,1784608
2024-07-14,morpho-blue,FXUSDC,Ethereum,22.29007,818901
2024-07-15,morpho-blue,USDE,Ethereum,19.45391,1784358
2024-07-16,morpho-blue,USDE,Ethereum,169.11864,1731628
2024-07-17,morpho-blue,USDE,Ethereum,189.33081,1730666
2024-07-18,morpho-blue,USDE,Ethereum,226.99365,1730708
2024-07-19,morpho-blue,USDE,Ethereum,79.39938,1745329
2024-07-20,morpho-blue,USDE,Ethereum,81.59743,1750297
2024-07-21,morpho-blue,USDE,Ethereum,46.80941,1753868
