date,tvl,apy,apy_base,apy_reward
2024-06-06,1300228357,26.00189,26.00189,0
2024-06-07,1329644669,25.36063,25.36063,0
2024-06-08,1362463072,24.68142,24.68142,0
2024-06-09,1402533535,23.89971,23.89971,0
2024-06-10,1427595183,23.4354,23.4354,0
2024-06-11,1451486797,23.00921,23.00921,0
2024-06-12,1474034683,22.62092,22.62092,0
2024-06-13,1486723412,17.16282,17.16282,0
2024-06-14,1500048218,16.99833,16.99833,0
2024-06-15,1502764878,16.96518,16.96518,0
2024-06-16,1509390805,16.88487,16.88487,0
2024-06-17,1515824414,16.80761,16.80761,0
2024-06-18,1522741125,16.72533,16.72533,0
2024-06-19,1530209300,16.6374,16.6374,0
2024-06-20,1536302189,10.63614,10.63614,0
2024-06-21,1530751641,10.67666,10.67666,0
2024-06-22,1534648997,10.64818,10.64818,0
2024-06-23,1529309744,10.68723,10.68723,0
2024-06-24,1520129843,10.75506,10.75506,0
2024-06-25,1534284244,10.65084,10.65084,0
2024-06-26,1535839067,10.63951,10.63951,0
2024-06-27,1536586590,9.27133,9.27133,0
2024-06-28,1541193282,9.2424,9.2424,0
2024-06-29,1547236412,9.20472,9.20472,0
2024-06-30,1548769615,9.19521,9.19521,0
2024-07-01,1542995331,9.23113,9.23113,0
2024-07-02,1553269903,9.16741,9.16741,0
2024-07-03,1542673923,9.23314,9.23314,0
2024-07-04,1531081404,15.63481,15.63481,0
2024-07-05,1521906664,15.73597,15.73597,0
2024-07-06,1526438590,15.68584,15.68584,0
2024-07-07,1524971504,15.70203,15.70203,0
2024-07-08,1524057880,15.71214,15.71214,0
2024-07-09,1523395682,15.71947,15.71947,0
2024-07-10,1527669899,15.67227,15.67227,0
2024-07-11,1541758827,8.03047,8.03047,0
2024-07-12,1544358266,8.01643,8.01643,0
2024-07-13,1555366503,7.95754,7.95754,0
2024-07-14,1545697244,8.00922,8.00922,0
2024-07-15,1547996993,7.99687,7.99687,0
2024-07-16,1551581929,7.97769,7.97769,0
2024-07-17,1549411137,7.98929,7.98929,0
2024-07-18,1549573219,10.20351,10.20351,0
2024-07-19,1572866642,10.0452,10.0452,0
2024-07-20,1583883981,9.97202,9.97202,0
2024-07-21,1573727563,10.03944,10.03944,0
2024-07-22,1573107465,10.04359,10.04359,0
2024-07-23,1581567920,9.98731,9.98731,0
2024-07-24,1577256077,10.01591,10.01591,0
2024-07-25,1556001305,12.18478,12.18478,0
2024-07-26,1550526725,12.23029,12.23029,0
2024-07-27,1544061412,12.28446,12.28446,0
2024-07-28,1542850783,12.29466,12.29466,0
2024-07-29,1537957670,12.33605,12.33605,0
2024-07-30,1530358301,12.40088,12.40088,0
2024-07-31,1526084708,12.43764,12.43764,0
2024-08-01,1518864779,13.6417,13.6417,0
2024-08-02,1516548366,13.66388,13.66388,0
2024-08-03,1515990538,13.66923,13.66923,0
2024-08-04,1510348530,13.72357,13.72357,0
2024-08-05,1418227341,14.67626,14.67626,0
2024-08-06,1405086787,14.82302,14.82302,0
2024-08-07,1397439422,14.90979,14.90979,0
2024-08-08,1386537892,4.33869,4.33869,0
2024-08-09,1377759039,4.36692,4.36692,0
2024-08-10,1363507695,4.41354,4.41354,0
2024-08-11,1357899993,4.43215,4.43215,0
2024-08-12,1304241748,4.61857,4.61857,0
2024-08-13,1299981799,4.63404,4.63404,0
2024-08-14,1300274778,4.63297,4.63297,0
2024-08-15,1302629220,4.43934,4.43934,0
2024-08-16,1294944192,4.46625,4.46625,0
2024-08-17,1288819018,4.48794,4.48794,0
2024-08-18,1285981736,4.49806,4.49806,0
2024-08-19,1226688395,4.72043,4.72043,0
2024-08-20,1192496208,4.85895,4.85895,0
2024-08-21,1180910918,4.90775,4.90775,0
2024-08-22,1178526663,4.91791,4.91791,0
2024-08-23,1168011398,4.72109,4.72109,0
2024-08-24,1164891597,4.73402,4.73402,0
2024-08-25,1158445273,4.76097,4.76097,0
2024-08-26,1155718839,4.77246,4.77246,0
2024-08-27,1157130014,4.76651,4.76651,0
2024-08-28,1155199626,4.77465,4.77465,0
2024-08-29,1152927020,4.53937,4.53937,0
2024-08-30,1146745206,4.71722,4.71722,0
2024-08-31,1146342571,4.71892,4.71892,0
2024-09-01,1141984542,4.73734,4.73734,0
2024-09-02,1132283493,4.77886,4.77886,0
2024-09-03,1127144862,4.80115,4.80115,0
2024-09-04,1139563204,4.74763,4.74763,0
2024-09-05,1137934405,4.75459,4.75459,0
2024-09-06,1139689077,4.76942,4.76942,0
2024-09-07,1138979520,4.77246,4.77246,0
2024-09-08,1137179576,4.78019,4.78019,0
2024-09-09,1138526715,4.7744,4.7744,0
2024-09-10,1139141866,4.77177,4.77177,0
2024-09-11,1138381205,4.77503,4.77503,0
2024-09-12,1140579754,5.13373,5.13373,0
2024-09-13,1139360202,5.13936,5.13936,0
2024-09-14,1137296556,5.14892,5.14892,0
2024-09-15,1137245390,5.14916,5.14916,0
2024-09-16,1136847247,5.15101,5.15101,0
2024-09-17,1135122585,5.15903,5.15903,0
2024-09-18,1132152643,5.1729,5.1729,0
2024-09-19,1132139533,6.65627,6.65627,0
2024-09-20,1128305648,6.67961,6.67961,0
2024-09-21,1128895473,6.67601,6.67601,0
2024-09-22,1132973015,6.65121,6.65121,0
2024-09-23,1126995419,6.68762,6.68762,0
2024-09-24,1119749324,6.7323,6.7323,0
2024-09-25,1118050790,6.74286,6.74286,0
2024-09-26,1043672111,11.99857,11.99857,0
2024-09-27,1042394836,12.0141,12.0141,0
2024-09-28,1043294056,12.00316,12.00316,0
2024-09-29,1045172992,11.98036,11.98036,0
2024-09-30,1046791058,11.9608,11.9608,0
2024-10-01,1063816180,11.75876,11.75876,0
2024-10-02,1078668640,11.588,11.588,0
2024-10-03,1095761073,11.39751,11.39751,0
2024-10-04,1111451288,11.03501,11.03501,0
2024-10-05,1121807741,10.92787,10.92787,0
2024-10-06,1125899297,10.88611,10.88611,0
2024-10-07,1124259042,10.90281,10.90281,0
2024-10-08,1134467486,10.79969,10.79969,0
2024-10-09,1143138937,10.71361,10.71361,0
2024-10-10,1144072245,10.70443,10.70443,0
2024-10-11,1143958615,8.5706,8.5706,0
2024-10-12,1151389331,8.51304,8.51304,0
2024-10-13,1154322484,8.49053,8.49053,0
2024-10-14,1168192679,8.38569,8.38569,0
2024-10-15,1187323280,8.24526,8.24526,0
2024-10-16,1193199268,8.20307,8.20307,0
2024-10-17,1218715761,12.8866,12.8866,0
2024-10-18,1243005897,12.61983,12.61983,0
2024-10-19,1323140455,11.81298,11.81298,0
2024-10-20,1350610323,11.55961,11.55961,0
2024-10-21,1363952497,11.44043,11.44043,0
2024-10-22,1405535521,11.08423,11.08423,0
2024-10-23,1428899579,10.89365,10.89365,0
2024-10-24,1419573593,13.47638,13.47638,0
2024-10-25,1423014091,13.44175,13.44175,0
2024-10-26,1434983700,13.32261,13.32261,0
2024-10-27,1442304655,13.25078,13.25078,0
2024-10-28,1514071647,12.58553,12.58553,0
2024-10-29,1526152714,12.48005,12.48005,0
2024-10-30,1549347959,12.2824,12.2824,0
2024-10-31,1573461136,13.59091,13.59091,0
2024-11-01,1589454470,13.44553,13.44553,0
2024-11-02,1596608473,13.3815,13.3815,0
2024-11-03,1606961802,13.28991,13.28991,0
2024-11-04,1625334101,13.13042,13.13042,0
2024-11-05,1637177926,13.02961,13.02961,0
2024-11-06,1646817695,12.9487,12.9487,0
2024-11-07,1671119863,13.16254,13.16254,0
2024-11-08,1703595906,12.89641,12.89641,0
2024-11-09,1717851268,12.78296,12.78296,0
2024-11-10,1729125346,12.69463,12.69463,0
2024-11-11,1806221579,12.12185,12.12185,0
2024-11-12,1808014357,12.10914,12.10914,0
2024-11-13,1845839517,11.84714,11.84714,0
2024-11-14,1892241009,28.39244,28.39244,0
2024-11-15,1924566031,27.85588,27.85588,0
2024-11-16,1948673879,27.46868,27.46868,0
2024-11-17,1989423101,26.83802,26.83802,0
2024-11-18,2054341233,25.89078,25.89078,0
2024-11-19,2159858728,24.4856,24.4856,0
2024-11-20,2238643502,23.53169,23.53169,0
2024-11-21,2329026578,23.81209,23.81209,0
2024-11-22,2410641378,22.92173,22.92173,0
2024-11-23,2433924075,22.67978,22.67978,0
2024-11-24,2467665112,22.33804,22.33804,0
2024-11-25,2506691559,21.95536,21.95536,0
2024-11-26,2604354386,21.05265,21.05265,0
2024-11-27,2658919181,20.57981,20.57981,0
2024-11-28,2690091106,30.42471,30.42471,0
2024-11-29,2876183189,28.20761,28.20761,0
2024-11-30,2942475357,27.49355,27.49355,0
2024-12-01,2978911452,27.11621,27.11621,0
2024-12-02,3159105555,25.39213,25.39213,0
2024-12-03,3256398057,24.54905,24.54905,0
2024-12-04,3244828763,24.64637,24.64637,0
2024-12-05,3522382327,26.50537,26.50537,0
2024-12-06,3547295608,26.29712,26.29712,0
2024-12-07,3568899456,26.11915,26.11915,0
2024-12-08,3761993248,24.62901,24.62901,0
2024-12-09,3779576002,24.50169,24.50169,0
2024-12-10,3797016484,24.37669,24.37669,0
2024-12-11,3850732078,23.99957,23.99957,0
2024-12-12,3875881637,27.08571,27.08571,0
2024-12-13,3896148759,26.92772,26.92772,0
2024-12-14,3910387771,26.81781,26.81781,0
2024-12-15,3922072828,26.72828,26.72828,0
2024-12-16,3944829559,26.55562,26.55562,0
2024-12-17,3962652364,26.42194,26.42194,0
2024-12-18,3979694183,26.29536,26.29536,0
2024-12-19,3966498988,14.09278,14.09278,0
2024-12-20,3942691825,14.18352,14.18352,0
2024-12-21,3937558198,14.20325,14.20325,0
2024-12-22,3920038894,14.27096,14.27096,0
2024-12-23,3918650473,14.27636,14.27636,0
2024-12-24,3910259636,14.30905,14.30905,0
2024-12-25,3900103268,14.34881,14.34881,0
2024-12-26,3839164161,11.79436,11.79436,0
2024-12-27,3798726113,11.92697,11.92697,0
2024-12-28,3788771033,11.96008,11.96008,0
2024-12-29,3771432980,12.01818,12.01818,0
2024-12-30,3763818776,12.04387,12.04387,0
2024-12-31,3748288549,12.09662,12.09662,0
2025-01-01,3742834427,12.11525,12.11525,0
2025-01-02,3727908512,11.10897,11.10897,0
2025-01-03,3722067201,11.12732,11.12732,0
2025-01-04,3721275097,11.12982,11.12982,0
2025-01-05,3728412984,11.10739,11.10739,0
2025-01-06,3730708907,11.1002,11.1002,0
2025-01-07,3716003692,11.14644,11.14644,0
2025-01-08,3700678915,11.19504,11.19504,0
2025-01-09,3675645174,12.71388,12.71388,0
2025-01-10,3659058968,12.77498,12.77498,0
2025-01-11,3665613531,12.75076,12.75076,0
2025-01-12,3657384254,12.78118,12.78118,0
2025-01-13,3617342506,12.93126,12.93126,0
2025-01-14,3619986661,12.92124,12.92124,0
2025-01-15,3630805148,12.88041,12.88041,0
2025-01-16,3648800364,12.81306,12.81306,0
2025-01-17,3653819329,9.40214,9.40214,0
2025-01-18,3649830563,9.41288,9.41288,0
2025-01-19,3649619678,9.41345,9.41345,0
2025-01-20,3647577257,9.41895,9.41895,0
2025-01-21,3647247712,9.41984,9.41984,0
2025-01-22,3652235504,9.4064,9.4064,0
2025-01-23,3653086220,14.76511,14.76511,0
2025-01-24,3655228756,14.75586,14.75586,0
2025-01-25,3663015957,14.72233,14.72233,0
2025-01-26,3663726412,14.71928,14.71928,0
2025-01-27,3649630551,14.78006,14.78006,0
2025-01-28,3706924841,14.53609,14.53609,0
2025-01-29,3741770034,14.39161,14.39161,0
2025-01-30,3763295872,11.80945,11.80945,0
2025-01-31,3767393775,11.79589,11.79589,0
2025-02-01,3753994342,11.84035,11.84035,0
2025-02-02,3769643738,11.78846,11.78846,0
2025-02-03,3706770609,11.99973,11.99973,0
2025-02-04,3693599099,12.04495,12.04495,0
2025-02-05,3645902930,12.21159,12.21159,0
2025-02-06,3624933236,6.86303,6.86303,0
2025-02-07,3601036019,6.91009,6.91009,0
2025-02-08,3552673875,7.00731,7.00731,0
2025-02-09,3542984526,7.02712,7.02712,0
2025-02-10,3517343163,7.08008,7.08008,0
2025-02-11,3472435585,7.17479,7.17479,0
2025-02-12,3456857553,7.20824,7.20824,0
2025-02-13,3450111809,7.56634,7.56634,0
2025-02-14,3437410130,7.59531,7.59531,0
2025-02-15,3431278047,7.60938,7.60938,0
2025-02-16,3414278855,7.64865,7.64865,0
2025-02-17,3462992018,7.53718,7.53718,0
2025-02-18,3506103791,7.4412,7.4412,0
2025-02-19,3496781709,7.46175,7.46175,0
2025-02-20,3489527454,9.88793,9.88793,0
2025-02-21,3273810938,10.57212,10.57212,0
2025-02-22,3247326183,10.6627,10.6627,0
2025-02-23,3247524798,10.66201,10.66201,0
2025-02-24,3217374019,10.76702,10.76702,0
2025-02-25,3180561647,10.89807,10.89807,0
2025-02-26,3177539482,10.90897,10.90897,0
2025-02-27,3085138382,10.40331,10.40331,0
2025-02-28,3050035380,10.52901,10.52901,0
2025-03-01,3042224884,10.55739,10.55739,0
2025-03-02,3021875780,10.63207,10.63207,0
2025-03-03,3016043582,10.65366,10.65366,0
2025-03-04,3006830953,10.68796,10.68796,0
2025-03-05,3009114347,10.67944,10.67944,0
2025-03-06,2992148187,5.84205,5.84205,0
2025-03-07,2988399915,5.84959,5.84959,0
2025-03-08,2981250612,5.86401,5.86401,0
2025-03-09,2971416995,5.88396,5.88396,0
2025-03-10,2925893431,5.97814,5.97814,0
2025-03-11,2918704155,5.99329,5.99329,0
2025-03-12,2892399574,6.04938,6.04938,0
2025-03-13,2884296091,4.39726,4.39726,0
2025-03-14,2872797981,4.41523,4.41523,0
2025-03-15,2869355494,4.42064,4.42064,0
2025-03-16,2864896443,4.42767,4.42767,0
2025-03-17,2841773742,4.46447,4.46447,0
2025-03-18,2826019215,4.4899,4.4899,0
2025-03-19,2817805159,4.50328,4.50328,0
2025-03-20,2801497402,4.131,4.131,0
2025-03-21,2814463111,4.11159,4.11159,0
2025-03-22,2815125070,4.11061,4.11061,0
2025-03-23,2808160504,4.121,4.121,0
2025-03-24,2767772315,4.18235,4.18235,0
2025-03-25,2728612315,4.24361,4.24361,0
2025-03-26,2694907476,4.29779,4.29779,0
2025-03-27,2070648008,10.07167,10.07167,0
2025-03-28,1942519322,10.7699,10.7699,0
2025-03-29,1944293638,10.75957,10.75957,0
2025-03-30,1942910487,10.76762,10.76762,0
2025-03-31,1934648397,10.81596,10.81596,0
2025-04-01,1953362697,10.70709,10.70709,0
2025-04-02,1954403857,10.70109,10.70109,0
2025-04-03,1958790665,4.50672,4.50672,0
2025-04-04,1948460727,4.53113,4.53113,0
2025-04-05,1943001720,4.54414,4.54414,0
2025-04-06,1936538588,4.55964,4.55964,0
2025-04-07,1898572568,4.65287,4.65287,0
2025-04-08,2166467754,4.06621,4.06621,0
2025-04-09,2150967229,4.09609,4.09609,0
2025-04-10,2150998917,4.88511,4.88511,0
2025-04-11,2150170497,4.88704,4.88704,0
2025-04-12,2144580958,4.90008,4.90008,0
2025-04-13,2140717263,4.90913,4.90913,0
2025-04-14,2163589715,4.85602,4.85602,0
2025-04-15,2163161141,4.857,4.857,0
2025-04-16,2149933825,4.88759,4.88759,0
2025-04-17,2119550854,4.57458,4.57458,0
2025-04-18,2117737678,4.57858,4.57858,0
2025-04-19,2120376183,4.57276,4.57276,0
2025-04-20,2122793647,4.56743,4.56743,0
2025-04-21,2111289761,4.59287,4.59287,0
2025-04-22,2106903636,4.60265,4.60265,0
2025-04-23,2106470883,4.60361,4.60361,0
2025-04-24,2106322755,4.47932,4.47932,0
2025-04-25,2103891637,4.48461,4.48461,0
2025-04-26,2104561389,4.48315,4.48315,0
2025-04-27,2104371453,4.48357,4.48357,0
2025-04-28,2104389739,4.48353,4.48353,0
2025-04-29,2107555546,4.47665,4.47665,0
2025-04-30,2108201907,4.47524,4.47524,0
2025-05-01,2093005324,3.72706,3.72706,0
2025-05-02,2074449098,3.76101,3.76101,0
2025-05-03,2060896627,3.7862,3.7862,0
