date,tvl,apy,apy_base,apy_reward
2025-04-07,9945520,1.51606,1.51606,0
2025-04-08,9926467,1.55196,1.55196,0
2025-04-09,9560865,1.91653,1.91653,0
2025-04-10,9811602,1.8695,1.8695,0
2025-04-11,9760906,1.88216,1.88216,0
2025-04-12,10188637,1.83899,1.83899,0
2025-04-13,10955702,1.66745,1.66745,0
2025-04-14,8894576,1.58542,1.58542,0
2025-04-15,8618969,2.07345,2.07345,0
2025-04-16,8275722,2.3138,2.3138,0
2025-04-17,7751121,2.76257,2.76257,0
2025-04-18,7562441,2.91351,2.91351,0
2025-04-19,6920448,3.53304,3.53304,0
2025-04-20,6432041,3.8642,3.8642,0
2025-04-21,8283772,3.27631,3.27631,0
2025-04-22,6727912,4.24703,4.24703,0
2025-04-23,6533299,4.19701,4.19701,0
2025-04-24,6833486,4.12614,4.12614,0
2025-04-25,6548001,4.21365,4.21365,0
2025-04-26,10806949,3.38955,3.38955,0
2025-04-27,9637512,3.74626,3.74626,0
2025-04-28,10742944,3.3969,3.3969,0
2025-04-29,9834614,3.73769,3.73769,0
2025-04-30,9420017,3.67827,3.67827,0
2025-05-01,8367655,4.08565,4.08565,0
2025-05-02,7792454,4.33342,4.33342,0
2025-05-03,7306001,4.53302,4.53302,0
2025-05-04,6235483,4.88324,4.88324,0
2025-05-05,6538591,4.79662,4.79662,0
2025-05-06,6828746,4.70653,4.70653,0
2025-05-07,5511691,5.25223,5.25223,0
2025-05-08,4841091,5.70414,5.70414,0
2025-05-09,5402434,5.4269,5.4269,0
2025-05-10,5780273,5.33035,5.33035,0
2025-05-11,6397221,5.14677,5.14677,0
2025-05-12,5778844,5.37562,5.37562,0
2025-05-13,6332354,5.36992,5.36992,0
2025-05-14,7930799,5.29479,5.29479,0
2025-05-15,6771033,5.63833,5.63833,0
2025-05-16,6093977,5.91622,5.91622,0
2025-05-17,6590477,5.76895,5.76895,0
2025-05-18,7098007,5.63426,5.63426,0
2025-05-19,6389419,5.85866,5.85866,0
2025-05-20,5736064,7.55932,7.55932,0
2025-05-21,6258142,5.90537,5.90537,0
2025-05-22,7256724,5.64447,5.64447,0
2025-05-23,6109245,6.77008,6.77008,0
2025-05-24,6524118,5.90105,5.90105,0
2025-05-25,6214698,6.71146,6.71146,0
2025-05-26,5947812,7.6797,7.6797,0
2025-05-27,7084514,5.79341,5.79341,0
2025-05-28,4859011,11.10283,11.10283,0
2025-05-29,9040374,4.35079,4.35079,0
2025-05-30,6793090,5.11849,5.11849,0
2025-05-31,5659568,5.56892,5.56892,0
2025-06-01,5810171,5.52175,5.52175,0
2025-06-02,5361749,5.75649,5.75649,0
2025-06-03,10606002,3.58484,3.58484,0
2025-06-04,6802415,5.0365,5.0365,0
