date,tvl,apy,apy_base,apy_reward
2025-05-07,2342583,3.40404,3.40404,0.0
2025-05-08,2670285,3.02872,3.02872,0.0
2025-05-09,2709663,3.01684,3.01684,0.0
2025-05-10,2568495,3.17937,3.17937,0.0
2025-05-11,2227575,2.70579,2.70579,0.0
2025-05-12,2700214,2.3841,2.3841,0.0
2025-05-13,826940,4.13881,4.13881,0.0
2025-05-14,3143355,1.80435,1.80435,0.0
2025-05-15,3130088,6.39906,1.91805,4.48102
2025-05-16,2351804,7.77371,2.3101,5.46362
2025-05-17,2772503,7.05363,2.09619,4.95743
2025-05-18,3144261,6.47297,1.88727,4.5857
2025-05-19,2575955,7.07876,2.4082,4.67056
2025-05-20,2191839,7.45773,2.69126,4.76647
2025-05-21,2571924,7.0175,2.35554,4.66196
2025-05-22,2524800,7.24868,2.40776,4.84091
2025-05-23,1951748,7.54747,2.99681,4.55066
2025-05-24,2016471,7.47732,2.94371,4.53361
2025-05-25,2281376,7.13988,2.72764,4.41224
2025-05-26,2255678,7.17437,2.77594,4.39843
2025-05-27,2367808,7.13147,2.70266,4.4288
2025-05-28,1802987,7.66567,3.22669,4.43898
2025-05-29,2412871,7.02366,2.75919,4.26447
2025-05-30,2418779,6.92425,2.6064,4.31785
2025-05-31,2686018,6.48771,2.48969,3.99802
2025-06-01,1909687,7.32633,3.12451,4.20182
2025-06-02,2126709,6.9834,2.95343,4.02998
2025-06-03,1849604,7.37976,3.2606,4.11915
2025-06-04,2384056,6.66503,2.86088,3.80415
2025-06-05,2008068,6.85313,3.1317,3.72144
