date,tvl,apy,apy_base,apy_reward
2024-11-06,218796,0.0,0.0,0
2024-11-07,115873,1.91355,1.91355,0
2024-11-08,26996,5.17188,5.17188,0
2024-11-09,169246,2.11023,2.11023,0
2024-11-10,164639,2.75412,2.75412,0
2024-11-11,194864,2.43564,2.43564,0
2024-11-12,194475,2.43586,2.43586,0
2024-11-13,144184,3.00742,3.00742,0
2024-11-14,143994,3.00767,3.00767,0
2024-11-15,144130,3.00792,3.00792,0
2024-11-16,144058,3.00818,3.00818,0
2024-11-17,144184,3.00843,3.00843,0
2024-11-18,196631,2.41573,2.41573,0
2024-11-19,196918,2.41596,2.41596,0
2024-11-20,196721,2.41618,2.41618,0
2024-11-21,236921,2.07386,2.07386,0
2024-11-22,181877,2.87203,2.87203,0
2024-11-23,181861,2.87227,2.87227,0
2024-11-24,182285,2.87252,2.87252,0
2024-11-25,182831,2.87277,2.87277,0
2024-11-26,176614,2.92383,2.92383,0
2024-11-27,139141,3.383,3.383,0
2024-11-28,139237,3.38326,3.38326,0
2024-11-29,139184,3.38352,3.38352,0
2024-11-30,139237,3.38378,3.38378,0
2024-12-01,139237,3.38404,3.38404,0
2024-12-02,139237,3.38431,3.38431,0
2024-12-03,139516,3.38457,3.38457,0
2024-12-04,139237,3.38483,3.38483,0
2024-12-05,139377,3.38509,3.38509,0
2024-12-06,139193,3.38535,3.38535,0
2024-12-07,148181,3.26619,3.26619,0
2024-12-08,148376,3.26645,3.26645,0
2024-12-09,148524,3.26671,3.26671,0
2024-12-10,98376,4.22574,4.22574,0
2024-12-11,98376,4.22581,4.22581,0
2024-12-12,41011,8.76675,8.76675,0
2024-12-13,25964,19.18829,19.18829,0
2024-12-14,4888,38.52664,38.52664,0
2024-12-15,4889,38.53193,38.53193,0
2024-12-16,4889,38.53723,38.53723,0
2024-12-17,35172,12.63657,12.63657,0
2024-12-18,35657,12.29685,12.29685,0
2024-12-19,35649,12.30598,12.30598,0
2024-12-20,35728,12.3151,12.3151,0
2024-12-21,35656,12.32423,12.32423,0
2024-12-22,35452,12.49442,12.49442,0
2024-12-23,31510,15.26814,15.26814,0
2024-12-24,32559,14.47218,14.47218,0
2024-12-25,32558,14.4751,14.4751,0
2024-12-26,988530,0.57203,0.57203,0
2024-12-27,957713,0.59754,0.59754,0
2024-12-28,957915,0.59863,0.59863,0
2024-12-29,953781,0.59868,0.59868,0
2024-12-30,756147,0.81988,0.81988,0
2024-12-31,755478,0.81996,0.81996,0
2025-01-01,756184,0.82003,0.82003,0
2025-01-02,756405,0.8201,0.8201,0
2025-01-03,756489,0.82018,0.82018,0
2025-01-04,756457,0.82025,0.82025,0
2025-01-05,757264,0.82032,0.82032,0
2025-01-06,755986,0.82112,0.82112,0
2025-01-07,755986,0.82119,0.82119,0
2025-01-08,756742,0.82127,0.82127,0
2025-01-09,14794,28.7511,28.7511,0
2025-01-10,69827,13.70577,13.70577,0
2025-01-11,20369,48.04321,48.04321,0
2025-01-12,32401,31.48759,31.48759,0
2025-01-13,32406,31.50101,31.50101,0
2025-01-14,26934,35.88922,35.88922,0
2025-01-15,128069,10.46707,10.46707,0
2025-01-16,52475,14.03768,14.03768,0
2025-01-17,52303,14.05235,14.05235,0
2025-01-18,52303,14.05416,14.05416,0
2025-01-19,52303,14.05596,14.05596,0
2025-01-20,52303,14.05776,14.05776,0
2025-01-21,52303,14.05956,14.05956,0
2025-01-22,39742,15.05103,15.05103,0
2025-01-23,39742,15.05168,15.05168,0
2025-01-25,88992,9.21329,9.21329,0
2025-01-26,88901,9.22162,9.22162,0
2025-01-27,88901,9.22371,9.22371,0
2025-01-28,88890,9.2258,9.2258,0
2025-01-29,88900,9.22789,9.22789,0
2025-01-30,87647,9.3087,9.3087,0
2025-01-31,2981,74.01275,74.01275,0
2025-02-01,100203,8.57572,8.57572,0
2025-02-02,100198,8.57775,8.57775,0
2025-02-03,100203,8.57978,8.57978,0
2025-02-04,100203,8.58181,8.58181,0
2025-02-05,100203,8.58384,8.58384,0
2025-02-06,97645,8.73002,8.73002,0
2025-02-07,97643,8.73207,8.73207,0
2025-02-08,97646,8.73412,8.73412,0
2025-02-09,97637,8.73616,8.73616,0
2025-02-10,97644,8.73821,8.73821,0
2025-02-11,93904,8.95745,8.95745,0
2025-02-12,93909,8.95952,8.95952,0
2025-02-13,93873,8.96353,8.96353,0
2025-02-14,93871,8.9656,8.9656,0
2025-02-15,93871,8.96767,8.96767,0
2025-02-16,37907,13.53008,13.53008,0
2025-02-17,37907,13.53198,13.53198,0
2025-02-18,45465,12.73332,12.73332,0
2025-02-19,95965,8.85398,8.85398,0
2025-02-20,115961,7.80119,7.80119,0
2025-02-21,115967,7.80312,7.80312,0
2025-02-22,115942,7.80683,7.80683,0
2025-02-23,115935,7.80876,7.80876,0
2025-02-24,115928,7.81069,7.81069,0
2025-02-25,115931,7.81263,7.81263,0
2025-02-26,115930,7.81455,7.81455,0
2025-02-27,54133,11.91755,11.91755,0
2025-02-28,227287,4.35627,4.35627,0
2025-03-01,227258,4.35802,4.35802,0
2025-03-02,219705,4.51324,4.51324,0
2025-03-03,219652,4.51446,4.51446,0
2025-03-04,219690,4.51568,4.51568,0
2025-03-05,219692,4.5169,4.5169,0
2025-03-06,169549,5.78003,5.78003,0
2025-03-07,169541,5.78157,5.78157,0
