date,tvl,apy,apy_base,apy_reward
2025-01-08,116044,0.6811,0.6811,0.0
2025-01-09,156877,3.09196,3.09196,0.0
2025-01-10,164747,1.25921,1.25921,0.0
2025-01-11,145085,2.87841,2.87841,0.0
2025-01-12,230625,1.19978,1.19978,0.0
2025-01-13,400558,0.46812,0.46812,0.0
2025-01-14,190732,8.37368,8.37368,0.0
2025-01-15,297258,2.80837,2.80837,0.0
2025-01-16,296496,2.8638,2.8638,0.0
2025-01-17,305077,2.4435,2.4435,0.0
2025-01-18,304145,2.4851,2.4851,0.0
2025-01-19,303829,2.48619,2.48619,0.0
2025-01-20,303775,2.48727,2.48727,0.0
2025-01-21,301432,2.51878,2.51878,0.0
2025-01-22,300718,2.51988,2.51988,0.0
2025-01-23,301863,2.52099,2.52099,0.0
2025-01-24,301547,2.52209,2.52209,0.0
2025-01-25,389214,1.71358,1.71358,0.0
2025-01-26,385362,1.74112,1.74112,0.0
2025-01-27,405532,2.43784,2.43784,0.0
2025-01-28,406478,2.4389,2.4389,0.0
2025-01-29,390188,3.01734,3.01734,0.0
2025-01-30,389409,3.01874,3.01874,0.0
2025-01-31,363507,7.63383,7.63383,0.0
2025-02-01,378437,4.44448,4.44448,0.0
2025-02-02,379800,4.45402,4.45402,0.0
2025-02-03,384426,3.58959,3.58959,0.0
2025-02-04,384426,3.59698,3.59698,0.0
2025-02-05,384255,3.6044,3.6044,0.0
2025-02-06,384811,3.61183,3.61183,0.0
2025-02-07,384676,2.32487,2.32487,0.0
2025-02-08,384676,2.32586,2.32586,0.0
2025-02-09,351772,2.66014,2.66014,0.0
2025-02-10,351234,2.66133,2.66133,0.0
2025-02-11,350423,2.66251,2.66251,0.0
2025-02-12,351323,2.6637,2.6637,0.0
2025-02-13,351146,2.66553,2.66553,0.0
2025-02-14,351363,2.66672,2.66672,0.0
2025-02-15,301056,4.07206,4.07206,0.0
2025-02-16,300905,4.08064,4.08064,0.0
2025-02-17,302064,3.83855,3.83855,0.0
2025-02-18,301931,3.84655,3.84655,0.0
2025-02-19,302031,3.85455,3.85455,0.0
2025-02-20,301967,3.86257,3.86257,0.0
2025-02-21,306554,3.01281,3.01281,0.0
2025-02-22,307391,3.01762,3.01762,0.0
2025-02-23,302447,3.87746,3.87746,0.0
2025-02-24,169013,21.42445,21.42445,0.0
2025-02-25,201256,14.16615,14.16615,0.0
2025-02-26,201403,14.16795,14.16795,0.0
2025-02-27,210499,12.64749,12.64749,0.0
2025-02-28,191031,15.99902,15.99902,0.0
2025-03-01,250736,7.21547,7.21547,0.0
2025-03-02,237082,8.79635,8.79635,0.0
2025-03-03,236095,8.91566,8.91566,0.0
2025-03-04,262159,2.72855,2.72855,0.0
2025-03-05,262340,2.72978,2.72978,0.0
2025-03-06,261613,2.74005,2.74005,0.0
2025-03-07,261585,2.74084,2.74084,0.0
2025-03-08,252087,2.8959,2.8959,0.0
2025-03-09,235476,3.47005,3.47005,0.0
2025-03-10,192253,8.24696,8.24696,0.0
2025-03-11,499816,1.88659,1.88659,0.0
2025-03-12,476618,2.03157,2.03157,0.0
2025-03-13,460448,2.48779,2.48779,0.0
2025-03-14,453735,2.54472,2.54472,0.0
2025-03-15,453677,2.54582,2.54582,0.0
2025-03-16,453624,2.54738,2.54738,0.0
2025-03-17,204284,9.52116,9.52116,0.0
2025-03-18,214314,8.16879,8.16879,0.0
2025-03-19,209302,8.86763,8.86763,0.0
2025-03-20,209247,8.89012,8.89012,0.0
2025-03-21,613449,0.84465,0.84465,0.0
2025-03-22,1019138,2.30842,2.30842,0.0
2025-03-23,987191,2.23884,2.23884,0.0
2025-03-24,505454,1.69483,1.69483,0.0
2025-03-25,155734,5.47572,5.47572,0.0
2025-03-26,737252,2.7498,2.7498,0.0
2025-03-27,542025,4.01899,4.01899,0.0
2025-03-28,558305,4.04427,4.04427,0.0
2025-03-29,600444,4.05837,4.05837,0.0
2025-03-30,716032,3.591,3.591,0.0
2025-03-31,667913,3.73894,3.73894,0.0
2025-04-01,480081,4.56227,4.56227,0.0
