date,tvl,apy,apy_base,apy_reward
2025-04-21,4601733,5.69087,5.69087,0
2025-04-22,3792720,7.24346,7.24346,0
2025-04-23,5868194,5.74509,5.74509,0
2025-04-24,4797637,7.08305,7.08305,0
2025-04-25,4983284,6.91944,6.91944,0
2025-04-26,5761483,6.58216,6.58216,0
2025-04-27,6370098,6.23362,6.23362,0
2025-04-28,6143699,6.35918,6.35918,0
2025-04-29,4990101,7.07943,7.07943,0
2025-04-30,3902927,7.21124,7.21124,0
2025-05-01,1939470,12.26701,12.26701,0
2025-05-02,3796782,8.26139,8.26139,0
2025-05-03,3121744,8.87127,8.87127,0
2025-05-04,2749222,9.2475,9.2475,0
2025-05-05,3599415,8.57101,8.57101,0
2025-05-06,3327422,8.77439,8.77439,0
2025-05-07,3276131,8.86126,8.86126,0
2025-05-08,3072682,9.11283,9.11283,0
2025-05-09,2148443,16.6687,16.6687,0
2025-05-10,2327945,14.22551,14.22551,0
2025-05-11,2598283,9.66471,9.66471,0
2025-05-12,2560308,9.70606,9.70606,0
2025-05-13,6999916,6.96234,6.96234,0
2025-05-14,3995105,9.04619,9.04619,0
2025-05-15,3576713,9.4487,9.4487,0
2025-05-16,4207395,9.07014,9.07014,0
2025-05-17,4374282,8.96739,8.96739,0
2025-05-18,3799005,9.3014,9.3014,0
2025-05-19,3464063,9.49288,9.49288,0
2025-05-20,3707520,9.38651,9.38651,0
2025-05-21,3541196,9.60104,9.60104,0
2025-05-22,3290645,10.67152,10.67152,0
2025-05-23,3286976,14.96101,14.96101,0
2025-05-24,3334936,15.52411,15.52411,0
2025-05-25,4291492,9.35341,9.35341,0
2025-05-26,4221602,9.36465,9.36465,0
2025-05-27,3597248,12.60655,12.60655,0
2025-05-28,3550280,12.90233,12.90233,0
2025-05-29,3536727,13.25951,13.25951,0
2025-05-30,4582584,9.2526,9.2526,0
2025-05-31,3103702,9.54621,9.54621,0
2025-06-01,5291081,8.13351,8.13351,0
2025-06-02,5552740,7.95,7.95,0
2025-06-03,4926690,8.30354,8.30354,0
2025-06-04,5019207,8.22399,8.22399,0
2025-06-05,4592192,8.47039,8.47039,0
