date,tvl,apy,apy_base,apy_reward
2024-10-25,1072862,0.0,0.0,0.0
2024-10-26,1076333,0.0,0.0,0.0
2024-10-27,1076375,0.0,0.0,0.0
2024-10-28,1077897,0.0,0.0,0.0
2024-10-29,553850,0.00846,0.00846,0.0
2024-10-31,15191,0.65149,0.65149,0.0
2024-11-01,15199,0.65153,0.65153,0.0
2024-11-02,15201,0.65158,0.65158,0.0
2024-11-03,15202,0.65163,0.65163,0.0
2024-11-04,15200,0.65167,0.65167,0.0
2024-11-05,3506,3.77755,3.77755,0.0
2024-11-06,3509,3.77443,3.77443,0.0
2024-11-07,3516,3.77457,3.77457,0.0
2024-11-08,8149,1.33337,1.33337,0.0
2024-11-13,170170,0.01161,0.01161,0.0
2024-11-14,73577,3.28744,3.28744,0.0
2024-11-15,293189,2.31386,2.31386,0.0
2024-11-16,294223,2.30857,2.30857,0.0
2024-11-17,294223,2.30873,2.30873,0.0
2024-11-18,294517,2.30889,2.30889,0.0
2024-11-19,294811,2.30905,2.30905,0.0
2024-11-20,137198,3.72384,3.72384,0.0
2024-11-21,137198,3.72399,3.72399,0.0
2024-11-22,152169,3.5994,3.5994,0.0
2024-11-23,136797,3.75135,3.75135,0.0
2024-11-24,137071,3.75151,3.75151,0.0
2024-11-25,323086,2.57147,2.57147,0.0
2024-11-26,184114,3.37945,3.37945,0.0
2024-11-27,184847,3.37961,3.37961,0.0
2024-11-28,167707,3.50707,3.50707,0.0
2024-11-29,167540,3.50723,3.50723,0.0
2024-11-30,67663,29.39378,29.39378,0.0
2024-12-01,327894,2.47482,2.47482,0.0
2024-12-02,327894,2.47498,2.47498,0.0
2024-12-03,132954,3.99573,3.99573,0.0
2024-12-04,132843,3.99568,3.99568,0.0
2024-12-05,351076,2.07151,2.07151,0.0
2024-12-06,450360,1.43849,1.43849,0.0
2024-12-07,113572,3.46646,3.46646,0.0
2024-12-08,91960,3.74389,3.74389,0.0
2024-12-09,212196,2.58698,2.58698,0.0
2024-12-10,212408,2.58715,2.58715,0.0
2024-12-11,74593,12.08668,12.08668,0.0
2024-12-12,129858,3.50593,3.50593,0.0
2024-12-13,91526,3.98115,3.98115,0.0
2024-12-14,91416,3.98245,3.98245,0.0
2024-12-15,88361,4.0202,4.0202,0.0
2024-12-16,201650,2.58877,2.58877,0.0
2024-12-17,26459,26.11619,26.11619,0.0
2024-12-18,26421,26.14896,26.14896,0.0
2024-12-19,26427,26.18179,26.18179,0.0
2024-12-20,26424,26.2146,26.2146,0.0
2024-12-21,26416,26.24745,26.24745,0.0
2024-12-22,22074,33.73753,33.73753,0.0
2024-12-23,60665,3.50625,3.50625,0.0
2024-12-24,133308,1.81315,1.81315,0.0
2024-12-25,133194,1.81328,1.81328,0.0
2024-12-26,133186,3.57602,3.57602,0.0
2024-12-27,133185,3.57673,3.57673,0.0
2024-12-28,130904,3.66225,3.66225,0.0
2024-12-29,11026,42.67786,42.67786,0.0
2024-12-30,26563,8.06936,8.06936,0.0
2024-12-31,16578,23.06429,23.06429,0.0
2025-01-01,16581,23.09611,23.09611,0.0
2025-01-02,16604,23.12791,23.12791,0.0
2025-01-03,16621,23.15968,23.15968,0.0
2025-01-04,16619,23.1915,23.1915,0.0
2025-01-05,16619,23.22327,23.22327,0.0
2025-01-06,16639,23.25511,23.25511,0.0
2025-01-07,37133,7.23768,7.23768,0.0
2025-01-08,37171,7.23825,7.23825,0.0
2025-01-09,37132,7.23881,7.23881,0.0
2025-01-10,27128,8.05587,8.05587,0.0
2025-01-11,27121,8.05635,8.05635,0.0
2025-01-12,27117,8.05683,8.05683,0.0
2025-01-13,27122,8.05732,8.05732,0.0
2025-01-14,27123,8.0578,8.0578,0.0
2025-01-15,27133,8.05829,8.05829,0.0
2025-01-16,27127,8.05877,8.05877,0.0
2025-01-17,33160,7.63183,7.63183,0.0
2025-01-18,35401,7.45312,7.45312,0.0
2025-01-19,35394,7.45366,7.45366,0.0
2025-01-20,37387,7.3233,7.3233,0.0
2025-01-21,6890,61.25697,61.25697,0.0
2025-01-22,10215,46.34331,46.34331,0.0
2025-01-23,6886,61.35704,61.35704,0.0
2025-01-24,42349,6.58712,6.58712,0.0
2025-01-25,37141,6.93763,6.93763,0.0
2025-01-26,37142,6.93821,6.93821,0.0
2025-01-27,37139,6.93879,6.93879,0.0
2025-01-28,37123,6.93938,6.93938,0.0
2025-01-29,23166,8.03274,8.03274,0.0
2025-01-30,12735,25.52629,25.52629,0.0
2025-01-31,19397,8.179,8.179,0.0
2025-02-01,19397,8.17947,8.17947,0.0
2025-02-02,19396,8.17994,8.17994,0.0
2025-02-03,6113,54.51192,54.51192,0.0
2025-02-04,4408,65.68276,65.68276,0.0
2025-02-05,42279,3.67555,3.67555,0.0
2025-02-06,41307,3.74571,3.74571,0.0
2025-02-07,41235,3.75151,3.75151,0.0
2025-02-08,41235,3.75201,3.75201,0.0
2025-02-09,41235,3.75251,3.75251,0.0
2025-02-10,3867,39.20354,39.20354,0.0
2025-02-11,16242,5.99477,5.99477,0.0
2025-02-12,16245,5.99539,5.99539,0.0
2025-02-13,16245,5.996,5.996,0.0
2025-02-14,15244,6.18103,6.18103,0.0
2025-02-15,16917,5.87792,5.87792,0.0
2025-02-16,15244,6.18226,6.18226,0.0
2025-02-17,15244,6.18287,6.18287,0.0
2025-02-18,15235,6.18348,6.18348,0.0
2025-02-19,23032,4.94247,4.94247,0.0
2025-02-20,10300,7.23478,7.23478,0.0
2025-02-21,18081,5.68176,5.68176,0.0
2025-02-22,10298,7.23625,7.23625,0.0
2025-02-23,11884,6.87242,6.87242,0.0
2025-02-24,12034,6.83951,6.83951,0.0
2025-02-25,4401,23.32969,23.32969,0.0
2025-02-26,12148,6.81286,6.81286,0.0
2025-02-27,12148,6.81343,6.81343,0.0
2025-02-28,27896,3.28161,3.28161,0.0
2025-03-01,27900,3.28206,3.28206,0.0
2025-03-02,27911,3.28252,3.28252,0.0
2025-03-03,23882,4.05388,4.05388,0.0
2025-03-04,21212,2.83985,2.83985,0.0
2025-03-05,21216,2.84008,2.84008,0.0
2025-03-06,16102,3.38302,3.38302,0.0
2025-03-07,16070,3.38629,3.38629,0.0
2025-03-08,16371,3.35061,3.35061,0.0
2025-03-09,16075,3.38679,3.38679,0.0
2025-03-10,18133,3.14183,3.14183,0.0
2025-03-11,10134,4.2339,4.2339,0.0
2025-03-12,10174,4.22734,4.22734,0.0
2025-03-13,10173,4.2275,4.2275,0.0
2025-03-14,12000,3.93505,3.93505,0.0
2025-03-15,12289,3.89169,3.89169,0.0
2025-03-16,12288,3.89194,3.89194,0.0
2025-03-17,19783,2.97358,2.97358,0.0
2025-03-18,19794,2.97227,2.97227,0.0
2025-03-19,19799,2.97258,2.97258,0.0
2025-03-20,12593,3.84677,3.84677,0.0
2025-03-21,3942,20.4594,20.4594,0.0
2025-03-22,4571,21.30633,21.30633,0.0
2025-03-23,7607,5.01208,5.01208,0.0
2025-03-24,13057,4.17302,4.17302,0.0
2025-03-25,12938,4.18914,4.18914,0.0
2025-03-26,12940,4.18912,4.18912,0.0
2025-03-27,5164,9.18568,9.18568,0.0
2025-03-28,6158,5.27863,5.27863,0.0
2025-03-29,17763,3.60861,3.60861,0.0
2025-03-30,16764,3.75567,3.75567,0.0
2025-03-31,16766,3.75588,3.75588,0.0
2025-04-01,5398,7.90807,7.90807,0.0
2025-04-02,5397,7.91849,7.91849,0.0
2025-04-03,55528,1.50667,1.50667,0.0
2025-04-04,53186,1.59201,1.59201,0.0
2025-04-05,53181,1.59215,1.59215,0.0
2025-04-06,53212,1.59077,1.59077,0.0
2025-04-07,62891,0.86328,0.86328,0.0
2025-04-08,12708,3.23171,3.23171,0.0
2025-04-09,45045,0.15894,0.15894,0.0
2025-04-10,39316,0.41469,0.41469,0.0
2025-04-11,35990,0.61984,0.61984,0.0
2025-04-12,36001,0.61988,0.61988,0.0
2025-04-13,39308,0.41582,0.41582,0.0
2025-04-14,39727,0.40962,0.40962,0.0
2025-04-15,39394,0.41174,0.41174,0.0
2025-04-16,33556,0.79716,0.79716,0.0
2025-04-17,33556,0.80231,0.80231,0.0
2025-04-18,39390,0.41408,0.41408,0.0
2025-04-19,39594,0.43169,0.43169,0.0
2025-04-20,39598,0.4317,0.4317,0.0
2025-04-21,39598,0.43171,0.43171,0.0
2025-04-22,39598,0.43172,0.43172,0.0
2025-04-23,25512,1.58369,1.58369,0.0
2025-04-24,19208,2.33916,2.33916,0.0
2025-04-25,19478,2.31801,2.31801,0.0
2025-04-26,19458,2.31812,2.31812,0.0
2025-04-27,19458,2.3182,2.3182,0.0
2025-04-28,11228,3.20979,3.20979,0.0
2025-04-29,11258,3.20445,3.20445,0.0
2025-04-30,12387,3.00388,3.00388,0.0
2025-05-01,18139,2.08387,2.08387,0.0
2025-05-02,18139,2.08394,2.08394,0.0
2025-05-03,14611,3.21443,3.21443,0.0
2025-05-04,7466,4.12808,4.12808,0.0
2025-05-05,3890,17.57277,17.57277,0.0
2025-05-06,4527,10.86254,10.86254,0.0
2025-05-07,26628,2.24191,2.24191,0.0
2025-05-08,32942,1.67431,1.67431,0.0
2025-05-09,31941,1.72144,1.72144,0.0
2025-05-10,30289,1.80347,1.80347,0.0
2025-05-11,30938,1.77075,1.77075,0.0
2025-05-12,54597,1.63515,1.63515,0.0
2025-05-13,42980,1.2946,1.2946,0.0
2025-05-14,56379,1.61295,1.61295,0.0
2025-05-15,56379,1.61301,1.61301,0.0
2025-05-16,13242,4.38733,4.38733,0.0
2025-05-17,10382,4.69453,4.69453,0.0
2025-05-18,20369,3.47168,3.47168,0.0
2025-05-19,20369,3.47179,3.47179,0.0
2025-05-20,13234,4.49685,4.49685,0.0
2025-05-21,18678,3.9792,3.9792,0.0
2025-05-22,18678,3.9793,3.9793,0.0
2025-05-23,27212,3.35735,3.35735,0.0
2025-05-24,27211,3.35775,3.35775,0.0
2025-05-25,9505,8.40056,8.40056,0.0
2025-05-26,76305,2.21888,2.21888,0.0
2025-05-27,53700,2.8525,2.8525,0.0
2025-05-28,46700,3.20814,3.20814,0.0
2025-05-29,46698,3.20825,3.20825,0.0
2025-05-30,47538,3.177,3.177,0.0
2025-05-31,22910,4.34703,4.34703,0.0
2025-06-01,22910,4.34713,4.34713,0.0
2025-06-02,4014852,11.13016,0.61626,10.5139
2025-06-03,2162349,13.56581,2.32003,11.24578
2025-06-04,804660,14.19436,4.71506,9.4793
2025-06-05,1868499,11.04301,3.51614,7.52687
