date,tvl,apy,apy_base,apy_reward
2024-12-30,9005972,0,0,0
2024-12-31,8991733,0,0,0
2025-01-01,9036488,0,0,0
2025-01-02,9037663,0,0,0
2025-01-03,9024544,0,0,0
2025-01-04,9023825,0,0,0
2025-01-05,9056870,0,0,0
2025-01-06,9057650,0,0,0
2025-01-07,9056674,0,0,0
2025-01-08,9062724,0,0,0
2025-01-09,9063477,0,0,0
2025-01-10,9062449,0,0,0
2025-01-11,9851243,0,0,0
2025-01-12,9764000,0,0,0
2025-01-13,9792216,0,0,0
2025-01-14,10004151,0,0,0
2025-01-15,10011703,0,0,0
2025-01-16,10285758,0,0,0
2025-01-17,9616947,0,0,0
2025-01-18,9613347,0,0,0
2025-01-19,9562763,0,0,0
2025-01-20,9592818,0,0,0
2025-01-21,9631464,0,0,0
2025-01-22,9103589,0,0,0
2025-01-23,7839391,0,0,0
2025-01-24,7839391,0,0,0
2025-01-25,7839391,0,0,0
2025-01-26,7839391,0,0,0
2025-01-27,7839391,0,0,0
2025-01-28,6869832,0,0,0
2025-01-29,6869832,0,0,0
2025-01-30,8993519,0,0,0
2025-01-31,8993519,0,0,0
2025-02-01,6425965,0,0,0
2025-02-02,6425965,0,0,0
2025-02-03,6425965,0,0,0
2025-02-04,6314209,0,0,0
2025-02-05,6425965,0,0,0
2025-02-06,6425965,0,0,0
2025-02-07,6273153,0,0,0
2025-02-08,6273153,0,0,0
2025-02-09,6273153,0,0,0
2025-02-10,4397462,0,0,0
2025-02-11,4397462,0,0,0
2025-02-12,4397462,0,0,0
2025-02-13,4313254,0,0,0
2025-02-14,4313254,0,0,0
2025-02-15,4313254,0,0,0
2025-02-16,3580409,0,0,0
2025-02-17,3482192,0,0,0
2025-02-18,3482192,0,0,0
2025-02-19,3482192,0,0,0
2025-02-20,3482192,0,0,0
2025-02-21,3408820,0,0,0
2025-02-22,3408820,0,0,0
2025-02-23,3062233,0,0,0
2025-02-24,3062233,0,0,0
2025-02-25,3273968,0,0,0
2025-02-26,3272991,0,0,0
2025-02-27,3301451,0,0,0
2025-02-28,3301451,0,0,0
2025-03-01,3301451,0,0,0
2025-03-02,3301451,0,0,0
2025-03-03,3301451,0,0,0
2025-03-04,3301451,0,0,0
2025-03-05,3301451,0,0,0
2025-03-06,3175068,0,0,0
2025-03-07,3175068,0,0,0
2025-03-08,3175068,0,0,0
2025-03-09,3175068,0,0,0
2025-03-10,3070416,0,0,0
2025-03-11,3070416,0,0,0
2025-03-12,3070416,0,0,0
2025-03-13,3070416,0,0,0
2025-03-14,3070416,0,0,0
2025-03-15,2996903,0,0,0
2025-03-16,2996903,0,0,0
2025-03-17,2996903,0,0,0
2025-03-18,2996903,0,0,0
2025-03-19,2996903,0,0,0
2025-03-20,2996903,0,0,0
2025-03-21,2996903,0,0,0
2025-03-22,2996903,0,0,0
2025-03-23,2996903,0,0,0
2025-03-24,2996903,0,0,0
2025-03-25,2996903,0,0,0
2025-03-26,3040924,0,0,0
2025-03-27,3040924,0,0,0
2025-03-28,3508570,0,0,0
2025-03-29,4275960,0,0,0
2025-03-30,5187687,0,0,0
2025-03-31,5386013,0,0,0
2025-04-01,8295328,0,0,0
2025-04-02,8181240,0,0,0
2025-04-03,8181240,0,0,0
2025-04-04,7441081,0,0,0
2025-04-05,7356373,0,0,0
2025-04-06,5439208,0,0,0
2025-04-07,5337824,0,0,0
2025-04-08,5286330,0,0,0
2025-04-09,5286280,0,0,0
2025-04-10,9513000,0,0,0
2025-04-11,9542665,0,0,0
2025-04-12,9588616,0,0,0
2025-04-13,9622714,0,0,0
2025-04-14,9703328,0,0,0
2025-04-15,9779381,0,0,0
2025-04-16,9716259,0,0,0
2025-04-17,9716259,0,0,0
2025-04-18,10868172,0,0,0
2025-04-19,10918679,0,0,0
2025-04-20,12029439,0,0,0
2025-04-21,12029439,0,0,0
2025-04-22,12029439,0,0,0
2025-04-23,12073440,0,0,0
2025-04-24,12073440,0,0,0
2025-04-25,12252092,0,0,0
2025-04-26,12067120,0,0,0
2025-04-27,12125459,0,0,0
2025-04-28,12529410,0,0,0
2025-04-29,13715316,0,0,0
2025-04-30,13720323,0,0,0
2025-05-01,12965539,0,0,0
2025-05-02,13290404,0,0,0
2025-05-03,13300418,0,0,0
2025-05-04,13673749,0,0,0
2025-05-05,12659723,0,0,0
2025-05-06,12657440,0,0,0
2025-05-07,12699308,0,0,0
2025-05-08,13212583,0,0,0
2025-05-09,17820704,0,0,0
2025-05-10,19613149,0,0,0
2025-05-11,19954607,0,0,0
2025-05-12,21112898,0,0,0
2025-05-13,21854980,0,0,0
2025-05-14,24637894,0,0,0
2025-05-15,23416042,0,0,0
2025-05-16,24628372,0,0,0
2025-05-17,24771734,0,0,0
2025-05-18,24764783,0,0,0
2025-05-19,23565223,0,0,0
2025-05-20,23552640,0,0,0
2025-05-21,22888980,0,0,0
2025-05-22,22987043,0,0,0
2025-05-23,23358071,0,0,0
2025-05-24,23446082,0,0,0
2025-05-25,24175197,0,0,0
2025-05-26,24280650,0,0,0
2025-05-27,24675495,0,0,0
2025-05-28,24675495,0,0,0
2025-05-29,24465904,0,0,0
2025-05-30,24491933,0,0,0
2025-05-31,24701265,0,0,0
2025-06-01,24712656,0,0,0
2025-06-02,24712656,0,0,0
2025-06-03,24712656,0,0,0
2025-06-04,24712656,0,0,0
