date,tvl,apy,apy_base,apy_reward
2025-04-22,56288,0,0,0
2025-04-23,56288,0,0,0
2025-04-24,56288,0,0,0
2025-04-25,1000388,0,0,0
2025-04-26,1000388,0,0,0
2025-04-27,1000388,0,0,0
2025-04-28,1000388,0,0,0
2025-04-29,1001342,0,0,0
2025-04-30,1001342,0,0,0
2025-05-01,1001342,0,0,0
2025-05-02,1011842,0,0,0
2025-05-03,1011842,0,0,0
2025-05-04,1014834,0,0,0
2025-05-05,1014834,0,0,0
2025-05-06,1014834,0,0,0
2025-05-07,1015800,0,0,0
2025-05-08,1015800,0,0,0
2025-05-09,1015801,0,0,0
2025-05-10,1015801,0,0,0
2025-05-11,1015801,0,0,0
2025-05-12,1015801,0,0,0
2025-05-13,1015801,0,0,0
2025-05-14,1015801,0,0,0
2025-05-15,1015801,0,0,0
2025-05-16,1016768,0,0,0
2025-05-17,1016768,0,0,0
2025-05-18,1016768,0,0,0
2025-05-19,1016768,0,0,0
2025-05-20,1016768,0,0,0
2025-05-21,1016768,0,0,0
2025-05-22,1016768,0,0,0
2025-05-23,1016768,0,0,0
2025-05-24,1016768,0,0,0
2025-05-25,1017734,0,0,0
2025-05-26,1017734,0,0,0
2025-05-27,1017734,0,0,0
2025-05-28,1017734,0,0,0
2025-05-29,1017734,0,0,0
2025-05-30,1017734,0,0,0
2025-05-31,1017734,0,0,0
2025-06-01,1018701,0,0,0
2025-06-02,1018701,0,0,0
2025-06-03,1018701,0,0,0
2025-06-04,1017734,0,0,0
