date,tvl,apy,apy_base,apy_reward
2025-01-23,82217,0,0,0
2025-01-24,151390,0,0,0
2025-01-25,602483,0,0,0
2025-01-26,1424652,0,0,0
2025-01-27,1430185,0,0,0
2025-01-28,1469617,0,0,0
2025-01-29,1483357,0,0,0
2025-01-30,1480488,0,0,0
2025-01-31,1480488,0,0,0
2025-02-01,1479053,0,0,0
2025-02-02,1481922,0,0,0
2025-02-03,1523903,0,0,0
2025-02-04,1512215,0,0,0
2025-02-05,1510754,0,0,0
2025-02-06,1528287,0,0,0
2025-02-07,1515137,0,0,0
2025-02-08,2746785,0,0,0
2025-02-09,2738846,0,0,0
2025-02-10,4741832,0,0,0
2025-02-11,3043561,0,0,0
2025-02-12,2298921,0,0,0
2025-02-13,2270912,0,0,0
2025-02-14,2273108,0,0,0
2025-02-15,2707858,0,0,0
2025-02-16,3590785,0,0,0
2025-02-17,3597717,0,0,0
2025-02-18,3280814,0,0,0
2025-02-19,3283977,0,0,0
2025-02-20,3283977,0,0,0
2025-02-21,3055350,0,0,0
2025-02-22,3058290,0,0,0
2025-02-23,3061231,0,0,0
2025-02-24,2646298,0,0,0
2025-02-25,2212992,0,0,0
2025-02-26,2129921,0,0,0
2025-02-27,2129921,0,0,0
2025-02-28,2129921,0,0,0
2025-03-01,2129921,0,0,0
2025-03-02,2131967,0,0,0
2025-03-03,2129921,0,0,0
2025-03-04,1283761,0,0,0
2025-03-05,1282529,0,0,0
2025-03-06,1283761,0,0,0
2025-03-07,1282529,0,0,0
2025-03-08,1283761,0,0,0
2025-03-09,404602,0,0,0
2025-03-10,404888,0,0,0
2025-03-11,405276,0,0,0
2025-03-12,405276,0,0,0
2025-03-13,405276,0,0,0
2025-03-14,472471,0,0,0
2025-03-15,472471,0,0,0
2025-03-16,472471,0,0,0
2025-03-17,472923,0,0,0
2025-03-18,472471,0,0,0
2025-03-19,472923,0,0,0
2025-03-20,473376,0,0,0
2025-03-21,472923,0,0,0
2025-03-22,472923,0,0,0
2025-03-23,473376,0,0,0
2025-03-24,473376,0,0,0
2025-03-25,473829,0,0,0
2025-03-26,473829,0,0,0
2025-03-27,473376,0,0,0
2025-03-28,473829,0,0,0
2025-03-29,473376,0,0,0
2025-03-30,473376,0,0,0
2025-03-31,473829,0,0,0
2025-04-01,472923,0,0,0
2025-04-02,473829,0,0,0
2025-04-03,473829,0,0,0
2025-04-04,473829,0,0,0
2025-04-05,474282,0,0,0
2025-04-06,474282,0,0,0
2025-04-07,474282,0,0,0
2025-04-08,473829,0,0,0
2025-04-09,474282,0,0,0
2025-04-10,446657,0,0,0
2025-04-11,305124,0,0,0
2025-04-12,436343,0,0,0
2025-04-13,436343,0,0,0
2025-04-14,495480,0,0,0
2025-04-15,316068,0,0,0
2025-04-16,578828,0,0,0
2025-04-17,1074582,0,0,0
2025-04-18,1137860,0,0,0
2025-04-19,1591553,0,0,0
2025-04-20,1748011,0,0,0
2025-04-21,1677752,0,0,0
2025-04-22,1679353,0,0,0
2025-04-23,2199037,0,0,0
2025-04-24,2190455,0,0,0
2025-04-25,429161,0,0,0
2025-04-26,500741,0,0,0
2025-04-27,658521,0,0,0
2025-04-28,254014,0,0,0
2025-04-29,254256,0,0,0
2025-04-30,254256,0,0,0
2025-05-01,248311,0,0,0
2025-05-02,396480,0,0,0
2025-05-03,339861,0,0,0
2025-05-04,1587323,0,0,0
2025-05-05,3074917,0,0,0
2025-05-06,3268337,0,0,0
2025-05-07,2652725,0,0,0
2025-05-08,2672873,0,0,0
2025-05-09,2972628,0,0,0
2025-05-10,3122490,0,0,0
2025-05-11,3305389,0,0,0
2025-05-12,3465180,0,0,0
2025-05-13,3736062,0,0,0
2025-05-14,4962730,0,0,0
2025-05-15,4962730,0,0,0
2025-05-16,4967452,0,0,0
2025-05-17,4705554,0,0,0
2025-05-18,4576355,0,0,0
2025-05-19,3227958,0,0,0
2025-05-20,3038987,0,0,0
2025-05-21,1984726,0,0,0
2025-05-22,1283625,0,0,0
2025-05-23,1283625,0,0,0
2025-05-24,1264264,0,0,0
2025-05-25,1156301,0,0,0
2025-05-26,1191277,0,0,0
2025-05-27,1168389,0,0,0
2025-05-28,1168389,0,0,0
2025-05-29,1211732,0,0,0
2025-05-30,1211732,0,0,0
2025-05-31,1160403,0,0,0
2025-06-01,1161505,0,0,0
2025-06-02,1161232,0,0,0
2025-06-03,1145692,0,0,0
2025-06-04,1144605,0,0,0
