date,tvl,apy,apy_base,apy_reward
2024-10-15,8588277,8.07,4.53,3.54
2024-10-16,9057747,7.47,4.11,3.36
2024-10-17,9182697,7.32,4.01,3.31
2024-10-18,8627306,8.05,4.52,3.53
2024-10-19,8903153,7.61,4.19,3.42
2024-10-20,8937932,7.7,4.3,3.4
2024-10-21,9006102,7.75,4.38,3.37
2024-10-22,9123664,7.67,4.34,3.33
2024-10-23,7882387,15.38,11.52,3.86
2024-10-24,8617007,8.0,4.47,3.53
2024-10-25,8630159,8.14,4.63,3.51
2024-10-26,8558736,7.68,4.13,3.55
2024-10-27,8068231,8.14,4.37,3.77
2024-10-28,7748673,14.79,10.86,3.93
2024-10-29,8201540,8.34,4.64,3.7
2024-10-30,7898157,8.36,4.51,3.85
2024-10-31,8391260,7.78,4.16,3.62
2024-11-01,7980153,8.29,4.48,3.81
2024-11-02,8023853,7.98,4.19,3.79
2024-11-03,7245908,14.84,10.64,4.2
2024-11-04,8200230,8.19,4.48,3.71
2024-11-05,8090929,8.49,4.73,3.76
2024-11-06,8172978,8.35,4.63,3.72
2024-11-07,8236043,8.39,4.69,3.7
2024-11-08,8486143,8.03,4.45,3.58
2024-11-09,8320257,8.41,4.75,3.66
2024-11-10,7828007,9.77,5.88,3.89
2024-11-11,9018619,7.77,4.39,3.38
2024-11-12,8545290,11.47,7.91,3.56
2024-11-13,8965587,8.13,4.74,3.39
2024-11-14,8504169,15.51,11.94,3.57
2024-11-15,8043351,10.48,6.7,3.78
2024-11-16,9142287,7.28,3.96,3.32
2024-11-17,8445522,8.34,4.74,3.6
2024-11-18,8143169,11.62,7.89,3.73
2024-11-19,8208384,11.08,7.37,3.71
2024-11-20,8343736,10.19,6.54,3.65
2024-11-21,8309540,8.46,4.8,3.66
2024-11-22,8286549,8.56,4.89,3.67
2024-11-23,8145894,11.07,7.34,3.73
2024-11-24,8508934,8.27,4.69,3.58
2024-11-25,7873204,14.86,10.98,3.88
2024-11-26,8151213,11.28,7.56,3.72
2024-11-27,8193405,10.39,6.68,3.71
2024-11-28,7895591,13.45,9.59,3.86
2024-11-29,8439353,8.31,4.71,3.6
2024-11-30,8537616,12.67,9.11,3.56
2024-12-01,8930878,7.98,4.57,3.41
2024-12-02,9036422,14.28,10.91,3.37
2024-12-03,9228696,21.12,17.82,3.3
2024-12-04,9348187,14.62,11.37,3.25
2024-12-05,9384707,16.95,13.71,3.24
2024-12-06,9632429,12.12,8.96,3.16
2024-12-07,9275137,16.67,13.39,3.28
2024-12-08,9254622,16.19,12.9,3.29
2024-12-09,9551099,12.43,9.24,3.19
2024-12-10,10073289,10.77,7.75,3.02
2024-12-11,10347639,11.22,8.28,2.94
2024-12-12,10062123,10.99,7.97,3.02
2024-12-13,9347566,22.07,18.82,3.25
2024-12-14,10048452,11.85,8.82,3.03
2024-12-15,9599213,19.84,16.67,3.17
2024-12-16,9978707,12.41,9.36,3.05
2024-12-17,9884060,11.9,8.82,3.08
2024-12-18,9488867,18.03,14.83,3.2
2024-12-19,9428931,8.72,5.49,3.23
2024-12-20,7890194,10.54,6.68,3.86
2024-12-21,7682995,10.93,6.97,3.96
2024-12-22,7755100,11.17,7.24,3.93
2024-12-23,8627758,12.79,5.72,7.07
2024-12-24,8606631,12.35,5.28,7.07
2024-12-25,9096588,11.4,4.72,6.68
2024-12-26,9360894,10.99,4.49,6.5
2024-12-27,8944439,11.77,4.97,6.8
2024-12-28,8938677,12.14,5.33,6.81
2024-12-29,8804269,12.43,5.54,6.89
2024-12-30,9317021,11.35,4.82,6.53
2024-12-31,9400367,11.59,5.12,6.47
2025-01-01,9534635,11.52,5.14,6.38
2025-01-02,9669918,11.96,5.67,6.29
2025-01-03,9026589,12.75,6.01,6.74
2025-01-04,9312837,12.71,6.18,6.53
2025-01-05,9653510,12.15,5.84,6.31
2025-01-06,10039755,11.52,5.46,6.06
2025-01-07,9992276,11.96,5.87,6.09
2025-01-08,11031116,10.41,4.89,5.52
2025-01-09,10157533,11.73,5.74,5.99
2025-01-10,9365614,13.31,6.81,6.5
2025-01-11,9500424,13.09,6.69,6.4
2025-01-12,9645113,12.61,6.3,6.31
2025-01-13,12603013,9.02,4.19,4.83
2025-01-14,12272611,9.27,4.31,4.96
2025-01-15,12375836,9.16,4.24,4.92
2025-01-16,12591453,8.91,4.08,4.83
2025-01-17,13111519,8.51,3.87,4.64
2025-01-18,12126159,9.87,4.85,5.02
2025-01-19,11764094,10.35,5.18,5.17
2025-01-20,11823046,10.47,5.32,5.15
2025-01-21,12415631,9.72,4.82,4.9
2025-01-22,12559663,9.6,4.76,4.84
2025-01-23,12641197,9.55,4.74,4.81
2025-01-24,10985614,11.38,5.84,5.54
2025-01-25,11431926,10.69,5.37,5.32
2025-01-26,11862796,10.32,5.19,5.13
2025-01-27,12427157,9.52,4.62,4.9
2025-01-28,12397338,9.29,4.38,4.91
2025-01-29,13831649,9.82,5.42,4.4
2025-01-30,13449139,10.49,5.97,4.52
2025-01-31,13686037,10.05,5.61,4.44
2025-02-01,13896134,9.88,5.5,4.38
2025-02-02,13883916,10.31,5.93,4.38
2025-02-03,13143230,5.93,1.3,4.63
2025-02-04,12003599,7.02,1.95,5.07
2025-02-05,11968477,7.01,1.93,5.08
2025-02-06,12130800,6.83,1.82,5.01
2025-02-07,11925604,7.23,2.13,5.1
2025-02-08,11161785,7.88,2.43,5.45
2025-02-09,11035908,8.03,2.52,5.51
2025-02-10,12420444,12.17,2.37,9.8
2025-02-11,15378184,9.67,1.76,7.91
