date,tvl,apy,apy_base,apy_reward
2024-10-15,9814496,7.32,1.12,6.2
2024-10-16,8604807,8.68,1.61,7.07
2024-10-17,9173857,8.26,1.63,6.63
2024-10-18,9527741,7.76,1.38,6.38
2024-10-19,9044695,8.3,1.57,6.73
2024-10-20,9048409,8.32,1.6,6.72
2024-10-21,8841146,8.43,1.55,6.88
2024-10-22,8581712,8.78,1.69,7.09
2024-10-23,8881053,8.67,1.82,6.85
2024-10-24,9754698,7.85,1.62,6.23
2024-10-25,9190094,8.46,1.87,6.59
2024-10-26,9121667,8.47,1.8,6.67
2024-10-27,8131782,9.82,2.34,7.48
2024-10-28,8309274,9.73,2.4,7.33
2024-10-29,8453955,9.49,2.3,7.19
2024-10-30,8712245,9.42,2.44,6.98
2024-10-31,9589055,8.85,2.51,6.34
2024-11-01,9295443,8.88,2.34,6.54
2024-11-02,9133126,9.07,2.41,6.66
2024-11-03,8283806,10.32,2.99,7.33
2024-11-04,9141438,8.71,2.05,6.66
2024-11-05,9187399,8.61,1.98,6.63
2024-11-06,8921246,9.04,2.23,6.81
2024-11-07,9090138,9.21,2.52,6.69
2024-11-08,9426137,10.94,4.49,6.45
2024-11-09,10481415,9.58,3.78,5.8
2024-11-10,10894713,8.89,3.3,5.59
2024-11-11,10508189,10.3,4.48,5.82
2024-11-12,10451292,10.24,4.42,5.82
2024-11-13,11221035,10.76,5.34,5.42
2024-11-14,11843475,12.65,7.52,5.13
2024-11-15,11042263,13.23,7.72,5.51
2024-11-16,11939693,9.09,4.0,5.09
2024-11-17,11641885,10.92,5.69,5.23
2024-11-18,11940475,10.06,4.97,5.09
2024-11-19,11239934,16.77,11.36,5.41
2024-11-20,11711206,9.98,4.79,5.19
2024-11-21,12096537,9.9,4.87,5.03
2024-11-22,11821359,15.35,10.2,5.15
2024-11-23,11926596,10.55,8.51,2.04
2024-11-24,11708828,9.78,7.7,2.08
2024-11-25,12400457,9.46,4.53,4.93
2024-11-26,11532313,17.31,12.05,5.26
2024-11-27,12641391,9.47,4.66,4.81
2024-11-28,12993924,9.35,4.66,4.69
2024-11-29,12699709,9.37,4.58,4.79
2024-11-30,13236406,9.11,4.51,4.6
2024-12-01,13424308,8.81,4.28,4.53
2024-12-02,12553197,13.58,8.73,4.85
2024-12-03,13404615,9.44,4.9,4.54
2024-12-04,13318453,9.1,4.53,4.57
2024-12-05,13411816,34.59,30.06,4.53
2024-12-06,14422328,17.93,13.71,4.22
2024-12-07,14927903,20.73,16.66,4.07
2024-12-08,15499806,12.98,9.06,3.92
2024-12-09,17297855,11.11,7.59,3.52
2024-12-10,16691213,13.07,9.43,3.64
2024-12-11,16500607,12.41,8.73,3.68
2024-12-12,15602384,13.32,9.42,3.9
2024-12-13,14962708,22.17,18.11,4.06
2024-12-14,16822346,11.82,8.21,3.61
2024-12-15,16459295,24.02,20.32,3.7
2024-12-16,16744993,18.9,15.27,3.63
2024-12-17,17509410,19.24,15.77,3.47
2024-12-18,16033240,23.42,19.63,3.79
2024-12-19,16095327,16.71,12.93,3.78
2024-12-20,15596941,18.39,14.49,3.9
2024-12-21,16505945,12.22,8.53,3.69
2024-12-22,16403823,10.86,7.15,3.71
2024-12-23,15812101,15.59,11.74,3.85
2024-12-24,18141973,17.13,13.78,3.35
2024-12-25,16176320,12.33,8.57,3.76
2024-12-26,15790111,12.97,9.12,3.85
2024-12-27,15744515,13.5,9.64,3.86
2024-12-28,15446182,16.52,12.58,3.94
2024-12-29,15693165,13.46,9.59,3.87
2024-12-30,15548024,13.56,9.65,3.91
2024-12-31,15634882,13.22,9.33,3.89
2025-01-01,15902932,12.52,8.7,3.82
2025-01-02,16404348,11.42,7.71,3.71
2025-01-03,16672069,10.48,6.83,3.65
2025-01-04,16563114,10.71,7.04,3.67
2025-01-05,16304318,11.06,7.33,3.73
2025-01-06,16125075,10.94,7.17,3.77
2025-01-07,15643138,11.31,7.42,3.89
2025-01-08,15742197,11.31,7.44,3.87
2025-01-09,15375280,11.72,7.76,3.96
2025-01-10,15572231,11.38,7.47,3.91
2025-01-11,15618616,10.95,7.06,3.89
2025-01-12,16082972,10.4,6.62,3.78
2025-01-13,15969696,10.33,6.52,3.81
2025-01-14,15944491,10.2,6.38,3.82
2025-01-15,16640888,9.63,5.97,3.66
2025-01-16,16468132,9.85,6.16,3.69
2025-01-17,15809024,11.01,7.16,3.85
2025-01-18,15709113,11.39,7.52,3.87
2025-01-19,15762884,11.54,7.68,3.86
2025-01-20,16658634,10.37,6.72,3.65
2025-01-21,16273333,10.42,6.68,3.74
2025-01-22,16003826,11.74,7.94,3.8
2025-01-23,16752360,10.1,6.47,3.63
2025-01-24,16965339,9.99,6.4,3.59
2025-01-25,16178093,10.97,7.21,3.76
2025-01-26,17364138,10.04,6.54,3.5
2025-01-27,16901291,10.36,6.76,3.6
2025-01-28,17473983,9.76,6.28,3.48
2025-01-29,17616985,9.84,6.39,3.45
2025-01-30,17307792,10.14,6.63,3.51
2025-01-31,17320238,10.17,6.66,3.51
2025-02-01,17383086,10.07,6.57,3.5
2025-02-02,17960214,9.34,5.95,3.39
2025-02-03,12272798,10.51,5.55,4.96
2025-02-04,13503822,8.78,4.28,4.5
2025-02-05,13495794,9.23,4.72,4.51
2025-02-06,14983668,7.91,3.85,4.06
2025-02-07,14482064,8.13,3.93,4.2
2025-02-08,14067914,8.37,4.05,4.32
2025-02-09,14087108,8.36,4.04,4.32
2025-02-10,14375155,8.25,4.02,4.23
2025-02-11,15045283,7.81,3.77,4.04
2025-02-12,13571956,9.16,4.68,4.48
2025-02-13,13871381,8.91,4.52,4.39
2025-02-14,13885959,9.01,4.63,4.38
2025-02-15,14696759,8.29,4.15,4.14
2025-02-16,14550399,8.37,4.19,4.18
2025-02-17,14737710,8.36,4.23,4.13
2025-02-18,13963072,9.4,5.04,4.36
2025-02-19,13716001,9.63,5.2,4.43
2025-02-20,14255348,9.2,4.93,4.27
2025-02-21,14475428,8.83,4.63,4.2
2025-02-22,14059132,9.19,4.86,4.33
2025-02-23,14588034,9.04,4.87,4.17
2025-02-24,15098387,8.53,4.5,4.03
2025-02-25,15381289,7.54,3.59,3.95
2025-02-26,15043419,7.82,3.78,4.04
2025-02-27,14683144,8.61,4.47,4.14
2025-02-28,13366673,7.17,2.62,4.55
2025-03-01,13444392,6.8,2.28,4.52
2025-03-02,13563503,6.77,2.28,4.49
2025-03-03,13374830,6.78,2.23,4.55
2025-03-04,13209803,6.93,2.33,4.6
2025-03-05,12628757,7.21,2.39,4.82
2025-03-06,12647432,7.35,2.54,4.81
2025-03-07,12797237,7.05,2.3,4.75
2025-03-08,12813089,7.0,2.25,4.75
2025-03-09,12324594,7.51,2.57,4.94
2025-03-10,12723444,7.11,2.33,4.78
2025-03-11,12344954,7.19,2.26,4.93
2025-03-12,11689603,7.6,2.4,5.2
2025-03-13,12187856,7.26,2.27,4.99
2025-03-14,12259372,6.92,1.96,4.96
2025-03-15,12554744,6.75,1.91,4.84
2025-03-16,12483002,6.85,1.98,4.87
2025-03-17,12975246,6.58,1.89,4.69
2025-03-18,12974876,6.84,2.15,4.69
2025-03-19,14481369,6.07,1.87,4.2
2025-03-20,16329172,5.28,1.56,3.72
2025-03-21,15052725,5.6,1.56,4.04
2025-03-22,14651820,6.11,1.96,4.15
2025-03-23,14230826,6.33,2.06,4.27
2025-03-24,14952203,6.0,1.93,4.07
2025-03-25,14928670,5.83,1.76,4.07
2025-03-26,14602110,5.99,1.82,4.17
2025-03-27,14661459,5.9,1.75,4.15
2025-03-28,13279506,6.41,1.83,4.58
2025-03-29,13891546,6.11,1.73,4.38
2025-03-30,14167416,5.96,1.67,4.29
2025-03-31,14691338,5.71,1.57,4.14
2025-04-01,15156065,5.99,1.98,4.01
2025-04-02,15361881,5.77,1.81,3.96
2025-04-03,14438357,6.05,1.84,4.21
2025-04-04,14377924,6.16,1.93,4.23
2025-04-05,14439224,6.25,2.04,4.21
2025-04-06,14890045,5.96,1.87,4.09
2025-04-07,13718071,6.25,1.82,4.43
2025-04-08,15459943,5.4,1.47,3.93
2025-04-09,14492091,6.02,1.82,4.2
2025-04-10,14609925,5.72,1.56,4.16
2025-04-11,14463794,5.86,1.65,4.21
2025-04-12,14441957,5.88,1.67,4.21
2025-04-13,14982159,5.66,1.6,4.06
2025-04-14,15063106,5.73,1.69,4.04
2025-04-15,15496917,5.55,1.62,3.93
2025-04-16,15951489,5.35,1.54,3.81
2025-04-17,15789526,5.4,1.55,3.85
2025-04-18,15751104,5.45,1.59,3.86
2025-04-19,16420327,5.15,1.45,3.7
2025-04-20,16165884,5.27,1.51,3.76
2025-04-21,15400193,5.6,1.65,3.95
2025-04-22,14965561,5.86,1.8,4.06
2025-04-23,14971334,6.0,1.94,4.06
2025-04-24,16018855,5.47,1.67,3.8
2025-04-25,15787864,5.71,1.86,3.85
2025-04-26,15556135,5.79,1.88,3.91
2025-04-27,15536377,5.83,1.91,3.92
2025-04-28,16291404,5.47,1.74,3.73
2025-04-29,15254982,6.01,2.02,3.99
2025-04-30,14235025,6.73,2.46,4.27
2025-05-01,15270911,6.18,2.2,3.98
2025-05-02,16265556,5.68,1.94,3.74
2025-05-03,16206016,5.71,1.96,3.75
2025-05-04,16428919,5.62,1.92,3.7
2025-05-05,16313322,5.74,2.01,3.73
2025-05-06,15851579,5.87,2.03,3.84
2025-05-07,15877037,5.94,2.11,3.83
2025-05-08,16382427,5.93,2.22,3.71
2025-05-09,16298288,6.01,2.28,3.73
2025-05-10,16491367,6.06,2.37,3.69
2025-05-11,18599004,4.84,1.57,3.27
2025-05-12,18108522,4.96,1.6,3.36
2025-05-13,15211555,6.37,2.37,4.0
2025-05-14,15853358,5.84,2.0,3.84
2025-05-15,15816403,5.83,1.98,3.85
2025-05-16,15682729,5.86,1.98,3.88
2025-05-17,15682736,5.89,2.01,3.88
2025-05-18,15449235,6.01,2.07,3.94
2025-05-19,14957613,6.26,2.19,4.07
2025-05-20,16432385,5.47,1.77,3.7
2025-05-21,16365000,5.68,1.96,3.72
2025-05-22,16071092,5.67,1.89,3.78
2025-05-23,15120543,6.34,2.32,4.02
2025-05-24,15427608,6.22,2.28,3.94
2025-05-25,15635929,6.11,2.22,3.89
2025-05-26,16252534,5.8,2.06,3.74
2025-05-27,15595295,6.02,2.12,3.9
2025-05-28,15615083,6.04,2.15,3.89
2025-05-29,15489359,6.1,2.17,3.93
2025-05-30,15610763,6.13,2.23,3.9
2025-05-31,16599960,5.75,2.09,3.66
2025-06-01,16327148,5.87,2.14,3.73
2025-06-02,15795893,6.1,2.25,3.85
2025-06-03,15888859,6.05,2.22,3.83
2025-06-04,15706795,6.13,2.26,3.87
2025-06-05,17603236,5.24,1.78,3.46
