date,tvl,apy,apy_base,apy_reward
2024-06-06,62356312,11.26,11.26,0.0
2024-06-07,62749485,11.1671,11.1671,0.0
2024-06-08,60761683,11.53243,11.53243,0.0
2024-06-09,64968955,10.78145,10.78145,0.0
2024-06-10,61877500,11.32447,11.32447,0.0
2024-06-11,63591918,11.01917,11.01917,0.0
2024-06-12,63548439,11.04877,11.04877,0.0
2024-06-13,72998507,9.59313,9.59313,0.0
2024-06-14,67563763,10.37139,10.37139,0.0
2024-06-15,69680941,10.05626,10.05626,0.0
2024-06-16,73102143,9.58563,9.58563,0.0
2024-06-17,74040593,9.46241,9.46241,0.0
2024-06-18,71592984,9.78264,9.78264,0.0
2024-06-19,68021175,10.29672,10.29672,0.0
2024-06-20,69817212,11.29061,11.29061,0.0
2024-06-21,69053405,11.41499,11.41499,0.0
2024-06-22,64834435,12.1602,12.1602,0.0
2024-06-23,66339557,11.88239,11.88239,0.0
2024-06-24,69810297,11.28549,11.28549,0.0
2024-06-25,69492608,11.3411,11.3411,0.0
2024-06-26,69010494,11.42435,11.42435,0.0
2024-06-27,64740757,12.17412,12.17412,0.0
2024-06-28,66375315,11.87406,11.87406,0.0
2024-06-29,69175234,11.39714,11.39714,0.0
2024-06-30,67408408,11.71927,11.71927,0.0
2024-07-01,66487191,11.85792,11.85792,0.0
2024-07-02,69417800,11.38004,11.38004,0.0
2024-07-03,69270866,11.38141,11.38141,0.0
2024-07-04,68477491,11.48936,11.48936,0.0
2024-07-05,69779390,11.32107,11.32107,0.0
2024-07-06,69766703,11.32313,11.32313,0.0
2024-07-07,70632163,11.15719,11.15719,0.0
2024-07-08,73869627,10.67286,10.67286,0.0
2024-07-09,77079757,10.21303,10.21303,0.0
2024-07-10,76879003,10.25508,10.25508,0.0
2024-07-11,70624608,11.16325,11.16325,0.0
2024-07-12,70770836,11.14018,11.14018,0.0
2024-07-13,78235700,10.1378,10.1378,0.0
2024-07-14,68266957,11.54305,11.54305,0.0
2024-07-15,72355815,10.89325,10.89325,0.0
2024-07-16,71193663,11.07402,11.07402,0.0
2024-07-17,67535098,11.67393,11.67393,0.0
2024-07-18,67487766,11.68212,11.68212,0.0
2024-07-19,65334024,12.05723,12.05723,0.0
2024-07-20,65423299,12.099,12.099,0.0
2024-07-21,64703460,12.1806,12.1806,0.0
2024-07-22,64670002,12.19112,12.19112,0.0
2024-07-23,67234381,11.74961,11.74961,0.0
2024-07-24,66064240,11.93024,11.93024,0.0
2024-07-25,69990166,11.2587,11.2587,0.0
2024-07-26,69510195,11.33369,11.33369,0.0
2024-07-27,70504582,11.17751,11.17751,0.0
2024-07-28,70633754,11.15961,11.15961,0.0
2024-07-29,68255581,11.54819,11.54819,0.0
2024-07-30,68372354,11.53098,11.53098,0.0
2024-07-31,68907366,11.43943,11.43943,0.0
2024-08-01,68997375,11.40758,11.40758,0.0
2024-08-02,69682021,11.26985,11.26985,0.0
2024-08-03,72254942,10.91136,10.91136,0.0
2024-08-04,72362826,10.8885,10.8885,0.0
2024-08-05,60115370,13.11478,13.11478,0.0
2024-08-06,62310052,12.64696,12.64696,0.0
2024-08-07,63168261,12.48095,12.48095,0.0
2024-08-08,66971335,11.81934,11.81934,0.0
2024-08-09,67126569,11.74498,11.74498,0.0
2024-08-10,73189593,10.76668,10.76668,0.0
2024-08-11,70748459,11.13461,11.13461,0.0
2024-08-12,66299141,11.91535,11.91535,0.0
2024-08-13,69536929,11.33645,11.33645,0.0
2024-08-14,69431138,11.35514,11.35514,0.0
2024-08-15,68443534,11.51898,11.51898,0.0
2024-08-16,68590909,11.47847,11.47847,0.0
2024-08-17,69320660,11.37075,11.37075,0.0
2024-08-18,70951988,8.88249,8.88249,0.0
2024-08-19,70280446,8.99229,8.99229,0.0
2024-08-20,68657040,9.18434,9.18434,0.0
2024-08-21,72590234,8.6756,8.6756,0.0
2024-08-22,73460428,8.57744,8.57744,0.0
2024-08-23,75129745,8.34835,8.34835,0.0
2024-08-24,75260584,8.3745,8.3745,0.0
2024-08-25,71920425,8.76955,8.76955,0.0
2024-08-26,73762697,8.54276,8.54276,0.0
2024-08-27,80570322,7.84386,7.84386,0.0
2024-08-28,80919146,7.81004,7.81004,0.0
2024-08-29,80943443,7.79116,7.79116,0.0
2024-08-30,80513078,7.83376,7.83376,0.0
2024-08-31,79781431,7.90446,7.90446,0.0
2024-09-01,79682908,7.85509,7.85509,0.0
2024-09-02,79866059,7.91302,7.91302,0.0
2024-09-03,79499372,7.93068,7.93068,0.0
2024-09-04,79915060,7.88839,7.88839,0.0
2024-09-05,78847737,7.99531,7.99531,0.0
2024-09-06,78442975,8.04049,8.04049,0.0
2024-09-07,78611820,8.02232,8.02232,0.0
2024-09-08,77579687,8.10821,8.10821,0.0
2024-09-09,78454262,8.03414,8.03414,0.0
2024-09-10,79343231,7.96517,7.96517,0.0
2024-09-11,75450500,8.35939,8.35939,0.0
2024-09-12,75844806,8.31593,8.31593,0.0
2024-09-13,77281897,8.16129,8.16129,0.0
2024-09-14,78754974,8.00553,8.00553,0.0
2024-09-15,81880489,7.70207,7.70207,0.0
2024-09-16,81785674,7.71186,7.71186,0.0
2024-09-17,70099798,8.98943,8.98943,0.0
2024-09-18,69789477,9.03747,9.03747,0.0
2024-09-19,69975069,9.01218,9.01218,0.0
2024-09-20,70274721,8.9712,8.9712,0.0
2024-09-21,70654239,8.92685,8.92685,0.0
2024-09-22,71955647,8.78294,8.78294,0.0
2024-09-23,71366491,8.82845,8.82845,0.0
2024-09-24,69591171,9.08135,9.08135,0.0
2024-09-25,70290989,8.9722,8.9722,0.0
2024-09-26,77136313,8.17669,8.17669,0.0
2024-09-27,72439023,8.70223,8.70223,0.0
2024-09-28,73806970,8.54553,8.54553,0.0
2024-09-29,73815005,8.54037,8.54037,0.0
2024-09-30,77955507,8.08176,8.08176,0.0
2024-10-01,76514735,8.24183,8.24183,0.0
2024-10-02,76492164,8.26205,8.26205,0.0
2024-10-03,80444690,7.84042,7.84042,0.0
2024-10-04,80990836,7.78755,7.78755,0.0
2024-10-05,83001130,7.59893,7.59893,0.0
2024-10-06,81842960,7.72189,7.72189,0.0
2024-10-07,81111983,7.73453,7.73453,0.0
2024-10-08,76143156,8.27952,8.27952,0.0
2024-10-09,76131854,8.28457,8.28457,0.0
2024-10-10,67904052,9.28727,9.28727,0.0
2024-10-11,71349715,9.29,9.29,0.0
2024-10-12,73413675,9.29,9.29,0.0
2024-10-13,71989480,9.29,9.29,0.0
2024-10-14,72831740,9.29,9.29,0.0
2024-10-15,72449719,9.16,5.8,3.36
2024-10-16,76838402,8.21,5.04,3.17
2024-10-17,81688978,7.74,4.76,2.98
2024-10-18,84182877,7.6,4.71,2.89
2024-10-19,84690790,8.37,4.78,3.59
2024-10-20,85773453,8.22,4.68,3.54
2024-10-21,82360500,9.06,5.37,3.69
2024-10-22,82792151,9.28,5.61,3.67
2024-10-23,84789785,8.92,5.33,3.59
2024-10-24,83013271,9.29,5.63,3.66
2024-10-25,88069053,8.81,5.37,3.44
2024-10-26,88249417,8.74,5.29,3.45
2024-10-27,87357173,9.06,5.58,3.48
2024-10-28,87321851,9.14,5.65,3.49
2024-10-29,87343539,9.49,6.01,3.48
2024-10-30,86626558,10.08,6.57,3.51
2024-10-31,93731071,9.18,5.93,3.25
2024-11-01,91852653,9.11,5.8,3.31
2024-11-02,92226068,9.53,6.23,3.3
2024-11-03,91494428,9.58,6.26,3.32
2024-11-04,97175688,9.16,6.03,3.13
2024-11-05,96418002,9.37,6.21,3.16
2024-11-06,93858277,11.05,7.81,3.24
2024-11-07,98316048,8.96,5.86,3.1
2024-11-08,104407552,8.1,5.19,2.91
2024-11-09,106132642,8.34,5.47,2.87
2024-11-10,96104981,22.24,19.07,3.17
2024-11-11,99270342,8.78,5.71,3.07
2024-11-12,100844214,9.24,6.22,3.02
2024-11-13,98167328,25.6,22.5,3.1
2024-11-14,102090571,22.88,19.91,2.97
2024-11-15,99724505,10.76,7.71,3.05
2024-11-16,103815470,23.5,19.99,3.51
2024-11-17,108367180,11.14,7.77,3.37
2024-11-18,106214645,9.46,6.02,3.44
2024-11-19,102529964,10.34,6.78,3.56
2024-11-20,104746238,9.88,6.4,3.48
2024-11-21,105417842,12.31,6.54,5.77
2024-11-22,105257287,12.73,6.95,5.78
2024-11-23,106694892,12.39,6.69,5.7
2024-11-24,108134625,12.6,6.96,5.64
2024-11-25,111859456,19.45,13.98,5.47
2024-11-26,114133382,19.24,13.93,5.31
2024-11-27,113255964,10.65,5.28,5.37
2024-11-28,109766543,12.87,7.32,5.55
2024-11-29,106984354,11.59,5.91,5.68
2024-11-30,106891719,13.93,8.24,5.69
2024-12-01,107128759,13.16,7.48,5.68
2024-12-02,106039611,13.84,8.1,5.74
2024-12-03,108534362,15.0,9.39,5.61
2024-12-04,108269232,12.77,7.15,5.62
2024-12-05,108811936,14.28,8.68,5.6
2024-12-06,119365608,11.78,6.69,5.09
2024-12-07,124614813,13.9,9.02,4.88
2024-12-08,124748693,15.92,11.04,4.88
2024-12-09,128622337,17.39,12.66,4.73
2024-12-10,133948470,16.21,11.67,4.54
2024-12-11,133332004,13.78,9.22,4.56
2024-12-12,139148368,15.62,11.25,4.37
2024-12-13,136732135,18.02,13.57,4.45
2024-12-14,142582064,13.56,9.3,4.26
2024-12-15,145498939,12.97,8.79,4.18
2024-12-16,144481813,14.35,10.14,4.21
2024-12-17,148308991,16.12,12.02,4.1
2024-12-18,153873667,15.13,11.18,3.95
2024-12-19,157723762,23.4,19.54,3.86
2024-12-20,151784189,15.34,11.33,4.01
2024-12-21,153276728,13.85,9.88,3.97
2024-12-22,158398957,13.96,10.12,3.84
2024-12-23,158977963,15.86,12.02,3.84
