date,tvl,apy,apy_base,apy_reward
2025-03-11,5843443,0.0,0.0,0.0
2025-03-12,8195439,0.0,0.0,0.0
2025-03-13,14860098,0.0,0.0,0.0
2025-03-14,13431575,0.0,0.0,0.0
2025-03-15,13231505,0.0,0.0,0.0
2025-03-16,12871529,0.0,0.0,0.0
2025-03-17,13892649,0.0,0.0,0.0
2025-03-18,14051075,0.09,0.09,0.0
2025-03-19,13842217,8.82,0.09,8.73
2025-03-20,13780235,8.47,0.09,8.38
2025-03-21,13136324,8.7,0.1,8.6
2025-03-22,13327412,8.72,0.1,8.62
2025-03-23,13302741,8.83,0.1,8.73
2025-03-24,13749194,8.86,0.1,8.76
2025-03-25,14090194,9.01,0.09,8.92
2025-03-26,14414552,9.0,0.09,8.91
2025-03-27,14261627,9.04,0.09,8.95
2025-03-28,14073765,8.38,0.09,8.29
2025-03-29,13429582,8.34,0.1,8.24
2025-03-30,14048642,8.04,0.09,7.95
2025-03-31,14540415,7.73,0.09,7.64
2025-04-01,14851130,7.52,0.08,7.44
2025-04-02,14812461,6.94,0.09,6.85
2025-04-03,14247191,7.4,0.09,7.31
2025-04-04,13914625,7.61,0.1,7.51
2025-04-05,14005993,7.44,0.1,7.34
2025-04-06,13938605,6.77,0.1,6.67
2025-04-07,13703891,7.11,0.1,7.01
2025-04-08,13904911,6.67,0.1,6.57
2025-04-09,13898634,7.5,0.1,7.4
2025-04-10,14778304,7.59,0.09,7.5
2025-04-11,14704241,7.72,0.09,7.63
2025-04-12,14763417,7.94,0.09,7.85
2025-04-13,14919239,7.53,0.09,7.44
2025-04-14,15080636,6.74,0.09,6.65
2025-04-15,15177641,6.57,0.08,6.49
2025-04-16,14905566,6.71,0.09,6.62
2025-04-17,15079032,6.72,0.09,6.63
2025-04-18,14815589,7.11,0.09,7.02
2025-04-19,14722686,7.25,0.09,7.16
2025-04-20,14721994,7.18,0.09,7.09
2025-04-21,14731539,7.52,0.09,7.43
2025-04-22,15255699,7.96,0.1,7.86
2025-04-23,17556028,7.0,0.07,6.93
2025-04-24,17610245,7.79,0.07,7.72
2025-04-25,17853398,7.77,0.07,7.7
2025-04-26,18421017,7.36,0.06,7.3
2025-04-27,18373985,7.29,0.07,7.22
2025-04-28,18556231,7.15,0.06,7.09
2025-04-29,18550984,7.02,0.06,6.96
2025-04-30,18303463,7.18,0.07,7.11
2025-05-01,18249361,7.3,0.07,7.23
2025-05-02,18282082,7.21,0.07,7.14
2025-05-03,18537067,6.89,0.06,6.83
2025-05-04,18393445,6.93,0.07,6.86
2025-05-05,18165626,6.86,0.07,6.79
2025-05-06,17656125,6.8,0.07,6.73
2025-05-07,18090303,6.71,0.07,6.64
2025-05-08,18679606,7.39,0.06,7.33
2025-05-09,18780902,7.37,0.05,7.32
2025-05-10,18812456,7.85,0.05,7.8
2025-05-11,18866302,7.49,0.05,7.44
2025-05-12,18936093,7.47,0.05,7.42
2025-05-13,18874096,7.58,0.05,7.53
2025-05-14,18787275,7.35,0.05,7.3
2025-05-15,18965677,6.87,0.05,6.82
2025-05-16,18513179,7.09,0.05,7.04
2025-05-17,18494398,6.89,0.05,6.84
2025-05-18,18455616,7.12,0.07,7.05
2025-05-19,18022110,7.13,0.07,7.06
2025-05-20,18056488,7.11,0.07,7.04
2025-05-21,18091200,7.35,0.06,7.29
2025-05-22,17773127,7.8,0.07,7.73
2025-05-23,17271081,7.62,0.08,7.54
2025-05-24,17273424,7.48,0.08,7.4
2025-05-25,17556971,7.39,0.06,7.33
2025-05-26,18966265,6.7,0.05,6.65
2025-05-27,17367120,7.34,0.08,7.26
2025-05-28,18334859,6.86,0.09,6.77
2025-05-29,18428253,6.86,0.11,6.75
2025-05-30,18387115,6.37,0.12,6.25
2025-05-31,17677705,6.78,0.13,6.65
2025-06-01,17622703,6.82,0.13,6.69
2025-06-02,17775381,6.9,0.15,6.75
2025-06-03,17851589,6.84,0.21,6.63
2025-06-04,17701116,6.81,0.19,6.62
2025-06-05,17708339,6.42,0.23,6.19
