date,tvl,apy,apy_base,apy_reward
2024-06-06,48943416,14.31714,14.31714,0.0
2024-06-07,48357872,14.48306,14.48306,0.0
2024-06-08,49852121,14.05493,14.05493,0.0
2024-06-09,49513421,14.14491,14.14491,0.0
2024-06-10,49131852,14.24906,14.24906,0.0
2024-06-11,51266501,13.66761,13.66761,0.0
2024-06-12,49265089,14.22366,14.22366,0.0
2024-06-13,50685270,13.80179,13.80179,0.0
2024-06-14,52096822,13.437,13.437,0.0
2024-06-15,53620709,13.05818,13.05818,0.0
2024-06-16,54290938,12.8929,12.8929,0.0
2024-06-17,55025806,12.724,12.724,0.0
2024-06-18,52122324,13.42586,13.42586,0.0
2024-06-19,52815188,13.25217,13.25217,0.0
2024-06-20,49501271,15.9068,15.9068,0.0
2024-06-21,50269450,15.66351,15.66351,0.0
2024-06-22,55833743,14.11149,14.11149,0.0
2024-06-23,54554531,14.43235,14.43235,0.0
2024-06-24,50781383,15.4998,15.4998,0.0
2024-06-25,51400548,15.326,15.326,0.0
2024-06-26,51820679,15.19864,15.19864,0.0
2024-06-27,53099481,14.80985,14.80985,0.0
2024-06-28,59319091,13.2386,13.2386,0.0
2024-06-29,61187474,12.86356,12.86356,0.0
2024-06-30,63314596,12.40053,12.40053,0.0
2024-07-01,64030843,12.28783,12.28783,0.0
2024-07-02,66205374,11.88252,11.88252,0.0
2024-07-03,65073403,12.09753,12.09753,0.0
2024-07-04,63891334,12.30678,12.30678,0.0
2024-07-05,61210423,12.90593,12.90593,0.0
2024-07-06,62891217,12.53593,12.53593,0.0
2024-07-07,60141806,13.09733,13.09733,0.0
2024-07-08,61504212,12.80964,12.80964,0.0
2024-07-09,59811310,13.16074,13.16074,0.0
2024-07-10,62272221,12.65641,12.65641,0.0
2024-07-11,65054114,12.11914,12.11914,0.0
2024-07-12,62714238,12.57131,12.57131,0.0
2024-07-13,64803569,12.2391,12.2391,0.0
2024-07-14,64631107,12.19846,12.19846,0.0
2024-07-15,65104234,12.13404,12.13404,0.0
2024-07-16,67517412,11.70035,11.70035,0.0
2024-07-17,67382809,11.70031,11.70031,0.0
2024-07-18,67133299,11.73981,11.73981,0.0
2024-07-19,64328070,12.25593,12.25593,0.0
2024-07-20,64654086,12.2674,12.2674,0.0
2024-07-21,64162790,12.28614,12.28614,0.0
2024-07-22,64255353,12.29435,12.29435,0.0
2024-07-23,66635345,11.83156,11.83156,0.0
2024-07-24,66671406,11.81729,11.81729,0.0
2024-07-25,69076674,11.40763,11.40763,0.0
2024-07-26,68635754,11.48257,11.48257,0.0
2024-07-27,68751314,11.45623,11.45623,0.0
2024-07-28,68384584,11.52891,11.52891,0.0
2024-07-29,68179649,11.56139,11.56139,0.0
2024-07-30,73161902,10.7761,10.7761,0.0
2024-07-31,73170245,10.77101,10.77101,0.0
2024-08-01,67843122,11.58414,11.58414,0.0
2024-08-02,65834219,11.93129,11.93129,0.0
2024-08-03,68272974,11.53698,11.53698,0.0
2024-08-04,66858373,11.7824,11.7824,0.0
2024-08-05,64883549,12.17531,12.17531,0.0
2024-08-06,65036381,12.12245,12.12245,0.0
2024-08-07,61148844,12.89313,12.89313,0.0
2024-08-08,61522488,12.86614,12.86614,0.0
2024-08-09,61536543,12.83754,12.83754,0.0
2024-08-10,62353620,12.64401,12.64401,0.0
2024-08-11,61246639,12.83776,12.83776,0.0
2024-08-12,61303662,12.86057,12.86057,0.0
2024-08-13,59739982,13.19719,13.19719,0.0
2024-08-14,61671121,12.78394,12.78394,0.0
2024-08-15,62769358,12.5854,12.5854,0.0
2024-08-16,61752303,12.76453,12.76453,0.0
2024-08-17,65506352,12.03547,12.03547,0.0
2024-08-18,65508124,9.62554,9.62554,0.0
2024-08-19,65647749,9.62687,9.62687,0.0
2024-08-20,64727508,9.74423,9.74423,0.0
2024-08-21,61109013,10.32036,10.32036,0.0
2024-08-22,63297528,9.9606,9.9606,0.0
2024-08-23,63699150,9.86091,9.86091,0.0
2024-08-24,62671749,10.06386,10.06386,0.0
2024-08-25,62681398,10.08245,10.08245,0.0
2024-08-26,65529203,9.62161,9.62161,0.0
2024-08-27,64556856,9.78954,9.78954,0.0
2024-08-28,64629772,9.7785,9.7785,0.0
2024-08-29,64951704,9.7106,9.7106,0.0
2024-08-30,64560600,9.76823,9.76823,0.0
2024-08-31,64873531,9.71865,9.71865,0.0
2024-09-01,65206788,9.59402,9.59402,0.0
2024-09-02,64703772,9.74781,9.74781,0.0
2024-09-03,65338483,9.64306,9.64306,0.0
2024-09-04,70128335,8.9911,8.9911,0.0
2024-09-05,71048414,8.8671,8.8671,0.0
2024-09-06,71964847,8.75769,8.75769,0.0
2024-09-07,74005318,8.52108,8.52108,0.0
2024-09-08,73613606,8.55063,8.55063,0.0
2024-09-09,74917427,8.41887,8.41887,0.0
2024-09-10,75605880,8.3589,8.3589,0.0
2024-09-11,74959524,8.43098,8.43098,0.0
2024-09-12,75179634,8.38887,8.38887,0.0
2024-09-13,76135885,8.30071,8.30071,0.0
2024-09-14,74866801,8.42456,8.42456,0.0
2024-09-15,75430247,8.36163,8.36163,0.0
2024-09-16,74502504,8.46576,8.46576,0.0
2024-09-17,74736138,8.43738,8.43738,0.0
2024-09-18,73302174,8.6216,8.6216,0.0
2024-09-19,72859233,8.65669,8.65669,0.0
2024-09-20,72861959,8.65388,8.65388,0.0
2024-09-21,73889284,8.53601,8.53601,0.0
2024-09-22,73696247,8.5755,8.5755,0.0
2024-09-23,73419552,8.58403,8.58403,0.0
2024-09-24,75155456,8.409,8.409,0.0
2024-09-25,77889721,8.09138,8.09138,0.0
2024-09-26,62065644,10.16214,10.16214,0.0
2024-09-27,78805488,8.0035,8.0035,0.0
2024-09-28,81269644,7.77636,7.77636,0.0
2024-09-29,80944486,7.79196,7.79196,0.0
2024-09-30,80012497,7.87013,7.87013,0.0
2024-10-01,88826312,7.09414,7.09414,0.0
2024-10-02,94852081,6.66282,6.66282,0.0
2024-10-03,89781652,7.02504,7.02504,0.0
2024-10-04,89159314,7.07408,7.07408,0.0
2024-10-05,88864511,7.09755,7.09755,0.0
2024-10-06,89308179,7.07642,7.07642,0.0
2024-10-07,87353352,7.1514,7.1514,0.0
2024-10-08,81785926,7.69904,7.69904,0.0
2024-10-09,81472741,7.73223,7.73223,0.0
2024-10-10,75004269,8.39177,8.39177,0.0
2024-10-11,77504924,8.39,8.39,0.0
2024-10-12,86490614,8.39,8.39,0.0
2024-10-13,88666070,8.39,8.39,0.0
2024-10-14,88333545,8.39,8.39,0.0
2024-10-15,87596101,7.11,4.33,2.78
2024-10-16,85003224,7.7,4.84,2.86
2024-10-17,80148524,7.92,4.88,3.04
2024-10-18,86818381,6.95,4.15,2.8
2024-10-19,86896372,7.66,4.16,3.5
2024-10-20,88224128,7.48,4.04,3.44
2024-10-21,85114363,8.01,4.44,3.57
2024-10-22,87123012,7.98,4.49,3.49
2024-10-23,89623164,7.66,4.27,3.39
2024-10-24,89247288,7.78,4.37,3.41
2024-10-25,88871119,8.08,4.67,3.41
2024-10-26,89475783,8.2,4.81,3.39
2024-10-27,92429744,8.08,4.79,3.29
2024-10-28,92706671,8.33,5.05,3.28
2024-10-29,92056312,8.43,5.13,3.3
2024-10-30,94152776,8.69,5.46,3.23
2024-10-31,85421122,9.31,5.75,3.56
2024-11-01,87824400,11.32,7.86,3.46
2024-11-02,88534710,11.52,8.09,3.43
2024-11-03,89483350,10.2,6.8,3.4
2024-11-04,88314478,8.7,5.26,3.44
2024-11-05,87818497,9.66,6.19,3.47
2024-11-06,88973991,10.97,7.55,3.42
2024-11-07,88066467,9.39,5.93,3.46
2024-11-08,87984558,12.11,8.65,3.46
2024-11-09,91614637,9.54,6.22,3.32
2024-11-10,92523582,8.87,5.58,3.29
2024-11-11,94914589,17.94,14.73,3.21
2024-11-12,91268237,20.17,16.83,3.34
2024-11-13,95999773,8.39,5.22,3.17
2024-11-14,89290452,10.51,7.11,3.4
2024-11-15,89597620,14.54,11.15,3.39
2024-11-16,89888935,11.96,7.9,4.06
2024-11-17,99353349,9.47,5.8,3.67
2024-11-18,96858306,18.89,15.12,3.77
2024-11-19,99821965,11.62,7.96,3.66
2024-11-20,99262792,11.21,7.53,3.68
2024-11-21,95338602,21.08,14.69,6.39
2024-11-22,95410031,17.23,10.85,6.38
2024-11-23,102346856,13.03,7.08,5.95
2024-11-24,100643222,13.47,7.41,6.06
2024-11-25,101145808,11.2,5.16,6.04
2024-11-26,98967173,10.72,4.59,6.13
2024-11-27,100810557,14.33,8.29,6.04
2024-11-28,104372208,11.37,5.54,5.83
2024-11-29,102457568,17.87,11.93,5.94
2024-11-30,107023707,11.75,6.06,5.69
2024-12-01,107008754,12.14,6.45,5.69
