date,tvl,apy,apy_base,apy_reward
2025-03-11,5088764,0.02,0.02,0.0
2025-03-12,6843264,0.01,0.01,0.0
2025-03-13,7954294,0.0,0.0,0.0
2025-03-14,8858536,0.0,0.0,0.0
2025-03-15,9807815,0.0,0.0,0.0
2025-03-16,9484710,0.0,0.0,0.0
2025-03-17,10375957,0.0,0.0,0.0
2025-03-18,10700615,0.05,0.05,0.0
2025-03-19,10876775,11.16,0.05,11.11
2025-03-20,10645453,10.9,0.06,10.84
2025-03-21,10330583,10.99,0.06,10.93
2025-03-22,9994962,11.57,0.07,11.5
2025-03-23,10517666,11.1,0.06,11.04
2025-03-24,9775731,12.36,0.05,12.31
2025-03-25,10436589,12.08,0.04,12.04
2025-03-26,10903241,11.82,0.04,11.78
2025-03-27,11280691,11.35,0.04,11.31
2025-03-28,12595721,9.28,0.02,9.26
2025-03-29,12311779,9.0,0.02,8.98
2025-03-30,12465785,8.99,0.01,8.98
2025-03-31,12839831,8.64,0.01,8.63
2025-04-01,12320973,8.96,0.0,8.96
2025-04-02,11976514,9.49,0.0,9.49
2025-04-03,11739440,8.87,0.0,8.87
2025-04-04,11621987,8.99,0.0,8.99
2025-04-05,11992445,8.57,0.0,8.57
2025-04-06,12098539,7.68,0.0,7.68
2025-04-07,11350332,8.46,0.0,8.46
2025-04-08,12972471,7.03,0.0,7.03
2025-04-09,12667556,8.11,0.0,8.11
2025-04-10,11807679,9.38,0.0,9.38
2025-04-11,14518613,7.72,0.0,7.72
2025-04-12,13046603,8.88,0.0,8.88
2025-04-13,14048917,7.9,0.0,7.9
2025-04-14,13301332,7.54,0.0,7.54
2025-04-15,14098510,6.98,0.0,6.98
2025-04-16,13602432,7.25,0.0,7.25
2025-04-17,13072360,7.64,0.0,7.64
2025-04-18,13174199,7.9,0.0,7.9
2025-04-19,13207045,7.98,0.0,7.98
2025-04-20,13095469,7.97,0.0,7.97
2025-04-21,13149190,8.32,0.0,8.32
2025-04-22,13182211,9.09,0.0,9.09
2025-04-23,15633346,7.78,0.0,7.78
2025-04-24,15049267,9.04,0.0,9.04
2025-04-25,16826062,8.18,0.0,8.18
2025-04-26,16548885,8.12,0.0,8.12
2025-04-27,17011422,7.79,0.0,7.79
2025-04-28,17010860,7.74,0.0,7.74
2025-04-29,17236620,7.49,0.0,7.49
2025-04-30,17446732,7.46,0.0,7.46
2025-05-01,17119585,7.7,0.0,7.7
2025-05-02,16386499,7.97,0.0,7.97
2025-05-03,15852886,7.98,0.0,7.98
2025-05-04,15978764,7.9,0.0,7.9
2025-05-05,16218393,7.61,0.0,7.61
2025-05-06,15745287,7.55,0.0,7.55
2025-05-07,16231020,7.4,0.0,7.4
2025-05-08,16215020,8.45,0.0,8.45
2025-05-09,18061312,7.61,0.0,7.61
2025-05-10,18015427,8.2,0.0,8.2
2025-05-11,17503317,8.02,0.0,8.02
2025-05-12,17516273,8.02,0.0,8.02
2025-05-13,18162645,7.83,0.0,7.83
2025-05-14,17460440,7.85,0.0,7.85
2025-05-15,18061227,7.16,0.0,7.16
2025-05-16,17997280,7.22,0.0,7.22
2025-05-17,17204155,7.35,0.0,7.35
2025-05-18,17313086,7.52,0.0,7.52
2025-05-19,17140056,7.44,0.01,7.43
2025-05-20,16861284,7.55,0.01,7.54
2025-05-21,16517193,8.04,0.05,7.99
2025-05-22,15285284,9.04,0.06,8.98
2025-05-23,15835607,8.32,0.09,8.23
2025-05-24,15760282,7.25,0.09,7.16
2025-05-25,15632739,8.32,0.09,8.23
2025-05-26,15788327,8.08,0.09,7.99
2025-05-27,15883069,8.07,0.13,7.94
2025-05-28,15671677,8.03,0.13,7.9
2025-05-29,15788761,8.0,0.12,7.88
2025-05-30,15938847,7.33,0.12,7.21
2025-05-31,15935918,7.5,0.12,7.38
2025-06-01,15222447,7.89,0.14,7.75
2025-06-02,15170023,8.04,0.14,7.9
2025-06-03,15414479,7.84,0.15,7.69
2025-06-04,15728024,7.6,0.14,7.46
2025-06-05,15565614,7.2,0.16,7.04
