date,tvl,apy,apy_base,apy_reward
2024-06-06,30730492,16.77433,16.77433,0
2024-06-07,29741088,5.81028,5.81028,0
2024-06-08,29746252,5.84167,5.84167,0
2024-06-09,28773483,5.94472,5.94472,0
2024-06-10,28790068,5.91852,5.91852,0
2024-06-11,28756629,13.10878,13.10878,0
2024-06-12,28701351,12.07225,12.07225,0
2024-06-13,28688825,15.08668,15.08668,0
2024-06-14,29680741,5.91169,5.91169,0
2024-06-15,28613011,10.43428,10.43428,0
2024-06-16,28619010,10.52539,10.52539,0
2024-06-17,28472890,11.3972,11.3972,0
2024-06-18,28511565,11.78031,11.78031,0
2024-06-19,28517718,12.48632,12.48632,0
2024-06-20,28539336,11.53303,11.53303,0
2024-06-21,28528776,9.73629,9.73629,0
2024-06-22,28564724,10.26221,10.26221,0
2024-06-23,28571037,13.98946,13.98946,0
2024-06-24,28130623,11.33185,11.33185,0
2024-06-25,28614152,13.49729,13.49729,0
2024-06-26,28518402,10.9755,10.9755,0
2024-06-27,28513967,16.792,16.792,0
2024-06-28,28563407,15.30086,15.30086,0
2024-06-29,28549538,17.30128,17.30128,0
2024-06-30,28658917,5.63143,5.63143,0
2024-07-01,28539560,4.9645,4.9645,0
2024-07-02,28530878,4.96671,4.96671,0
2024-07-03,28649065,4.96051,4.96051,0
2024-07-04,28237854,4.90984,4.90984,0
2024-07-05,28147799,4.44174,4.44174,0
2024-07-06,28111135,4.29632,4.29632,0
2024-07-07,28064511,4.43716,4.43716,0
2024-07-08,28064584,4.47448,4.47448,0
2024-07-09,28031796,4.49363,4.49363,0
2024-07-10,28046206,4.56857,4.56857,0
2024-07-11,28049272,4.6005,4.6005,0
2024-07-12,28047323,4.80384,4.80384,0
2024-07-13,28051890,4.8179,4.8179,0
2024-07-14,28067250,4.84016,4.84016,0
2024-07-15,28071561,4.70675,4.70675,0
2024-07-16,26031160,4.76975,4.76975,0
2024-07-17,25476025,4.81456,4.81456,0
2024-07-18,24933085,4.84301,4.84301,0
2024-07-19,24696743,5.48393,5.48393,0
2024-07-20,24695620,5.48609,5.48609,0
2024-07-21,24695726,5.53648,5.53648,0
2024-07-22,24681064,5.58785,5.58785,0
2024-07-23,24687286,5.58117,5.58117,0
2024-07-24,24672460,5.58366,5.58366,0
2024-07-25,20643635,4.06005,4.06005,0
2024-07-26,22147996,4.06357,4.06357,0
2024-07-27,22154932,8.09923,8.09923,0
2024-07-28,22156389,8.7948,8.7948,0
2024-07-29,22142839,11.12719,11.12719,0
2024-07-30,22148304,12.48038,12.48038,0
2024-07-31,22152937,10.53734,10.53734,0
2024-08-01,22028913,12.72476,12.72476,0
2024-08-02,22154416,8.37485,8.37485,0
2024-08-03,22157289,3.83099,3.83099,0
2024-08-04,22159726,3.56828,3.56828,0
2024-08-05,21942093,3.01173,3.01173,0
2024-08-06,18431643,3.15894,3.15894,0
2024-08-07,18433250,3.16442,3.16442,0
2024-08-08,18413176,3.23533,3.23533,0
2024-08-09,18307057,3.38351,3.38351,0
2024-08-10,18307999,3.38605,3.38605,0
2024-08-11,18308799,3.47418,3.47418,0
2024-08-12,18310386,3.49074,3.49074,0
2024-08-13,18446401,3.51704,3.51704,0
2024-08-14,18444176,3.55598,3.55598,0
2024-08-15,12848837,3.75211,3.75211,0
2024-08-16,18753876,6.83311,6.83311,0
2024-08-17,14764912,19.89469,19.89469,0
2024-08-18,15095621,13.4333,13.4333,0
2024-08-19,15514262,12.3155,12.3155,0
2024-08-20,12129204,3.64456,3.64456,0
2024-08-21,6270451,10.0837,10.0837,0
2024-08-22,6005365,10.02171,10.02171,0
2024-08-23,6066476,8.91282,8.91282,0
2024-08-24,6130941,8.95626,8.95626,0
2024-08-25,6100247,8.64567,8.64567,0
2024-08-26,6121808,8.28297,8.28297,0
2024-08-27,6119899,6.89445,6.89445,0
2024-08-28,6068835,3.79407,3.79407,0
2024-08-29,6046213,3.62044,3.62044,0
2024-08-30,6019474,5.82326,5.82326,0
2024-08-31,6020470,4.42661,4.42661,0
2024-09-01,6021102,3.91589,3.91589,0
2024-09-02,6690880,15.29282,15.29282,0
2024-09-03,6886920,9.18043,9.18043,0
2024-09-04,6815211,10.29619,10.29619,0
2024-09-05,6678184,8.65567,8.65567,0
2024-09-06,6456610,3.28944,3.28944,0
2024-09-07,5815264,3.12863,3.12863,0
2024-09-08,5809458,3.08785,3.08785,0
2024-09-09,5806391,3.07007,3.07007,0
2024-09-10,5911635,2.56906,2.56906,0
2024-09-11,5885684,2.77295,2.77295,0
2024-09-12,5886111,2.59134,2.59134,0
2024-09-13,5896441,2.57939,2.57939,0
2024-09-14,5896609,2.58454,2.58454,0
2024-09-15,5897087,2.632,2.632,0
2024-09-16,5879922,2.58193,2.58193,0
2024-09-17,5524597,2.74457,2.74457,0
2024-09-18,5493853,2.81028,2.81028,0
2024-09-19,5494337,2.42799,2.42799,0
2024-09-20,5465412,2.45519,2.45519,0
2024-09-21,5453609,2.47876,2.47876,0
2024-09-22,5346488,2.47734,2.47734,0
2024-09-23,4979600,2.51291,2.51291,0
2024-09-24,4995629,2.50662,2.50662,0
2024-09-25,4995947,2.50351,2.50351,0
2024-09-26,4986359,2.52752,2.52752,0
2024-09-27,4986627,2.43491,2.43491,0
2024-09-28,7487451,2.45237,2.45237,0
2024-09-29,7483924,2.46715,2.46715,0
2024-09-30,7486978,2.55491,2.55491,0
2024-10-01,6916096,2.56557,2.56557,0
2024-10-02,4908300,2.43527,2.43527,0
2024-10-03,4908312,2.47015,2.47015,0
2024-10-04,4610316,2.53346,2.53346,0
2024-10-05,4608900,2.5797,2.5797,0
2024-10-06,4607420,2.67966,2.67966,0
2024-10-07,4612218,2.69382,2.69382,0
2024-10-08,4573039,2.73201,2.73201,0
2024-10-09,4573055,2.735,2.735,0
2024-10-10,4584466,14.82994,14.82994,0
2024-10-11,4585148,6.22802,6.22802,0
2024-10-12,4585182,10.156,10.156,0
2024-10-13,4587679,6.92657,6.92657,0
2024-10-14,4766553,3.68246,3.68246,0
2024-10-15,4766569,3.37301,3.37301,0
2024-10-16,4586423,6.15023,6.15023,0
2024-10-17,4588010,10.16609,10.16609,0
2024-10-18,4568508,12.25384,12.25384,0
2024-10-19,2104644,13.74647,13.74647,0
2024-10-20,2766986,9.67687,9.67687,0
2024-10-21,2767417,10.48311,10.48311,0
2024-10-22,2512569,13.91796,13.91796,0
2024-10-23,2513168,29.15732,29.15732,0
2024-10-24,3459616,7.17456,7.17456,0
2024-10-25,2507122,8.39606,8.39606,0
2024-10-26,2089001,12.09223,12.09223,0
2024-10-27,2089121,10.62299,10.62299,0
2024-10-28,2087885,9.44498,9.44498,0
2024-10-29,2088850,2.32803,2.32803,0
2024-10-30,2088917,8.57807,8.57807,0
2024-10-31,2155444,11.65606,11.65606,0
2024-11-01,2155831,10.65697,10.65697,0
2024-11-02,2152259,11.73437,11.73437,0
2024-11-03,2154107,12.74343,12.74343,0
2024-11-04,2154395,5.44186,5.44186,0
2024-11-05,2146945,2.36362,2.36362,0
2024-11-06,3171948,25.33968,25.33968,0
2024-11-07,2692148,8.1751,8.1751,0
2024-11-08,2699050,18.25295,18.25295,0
2024-11-09,2916657,15.99321,15.99321,0
2024-11-10,3815628,28.83154,28.83154,0
2024-11-11,3702533,20.76568,20.76568,0
2024-11-12,3111412,16.48876,16.48876,0
2024-11-13,4211988,18.60509,18.60509,0
2024-11-14,4134951,17.23995,17.23995,0
2024-11-15,4460766,2.67463,2.67463,0
2024-11-16,4434566,16.31386,16.31386,0
2024-11-17,4435659,18.86117,18.86117,0
2024-11-18,4468383,11.64205,11.64205,0
