date,tvl,apy,apy_base,apy_reward
2025-03-03,5099,4.57778,3.2828,1.29499
2025-03-04,35773,4.81502,3.62486,1.19016
2025-03-05,1077806,4.76563,3.52226,1.24337
2025-03-06,1251974,4.79078,3.69306,1.09773
2025-03-07,1553441,4.69859,3.61965,1.07894
2025-03-08,1552518,4.60049,3.54029,1.0602
2025-03-09,1731622,4.53094,3.66762,0.86331
2025-03-10,1520628,3.92154,3.11094,0.81061
2025-03-11,1156423,4.94848,4.16106,0.78742
2025-03-12,1158112,4.37892,3.51284,0.86608
2025-03-13,1169661,5.41411,4.60493,0.80918
2025-03-14,1361190,4.89887,3.96959,0.92928
2025-03-15,1361190,4.83828,3.96956,0.86872
2025-03-16,1361190,4.89887,3.96959,0.92928
2025-03-17,1361190,4.83828,3.96956,0.86872
2025-03-18,1935302,4.78762,3.92608,0.86153
2025-03-19,1957456,6.06711,5.21365,0.85345
2025-03-20,1404289,5.90687,5.05705,0.84982
2025-03-21,1916556,7.95207,7.95207,0.0
2025-03-22,1734099,5.0767,4.33898,0.73772
2025-03-23,1473098,6.89763,6.11183,0.7858
2025-03-24,1581535,5.84259,4.93366,0.90893
2025-03-25,1442372,4.39457,3.37074,1.02383
2025-03-26,1443076,4.38872,3.34596,1.04276
2025-03-27,1049134,4.47919,3.34385,1.13534
2025-03-28,1355902,4.26398,3.29281,0.97116
2025-03-29,1353290,4.3321,3.44534,0.88676
2025-03-30,1311346,3.59729,2.71343,0.88386
2025-03-31,1609442,4.04023,3.20136,0.83887
2025-04-01,1691484,4.22589,3.3787,0.84719
2025-04-02,1691166,4.11008,3.31776,0.79233
2025-04-03,1686840,4.39939,3.66874,0.73064
2025-04-04,1894971,4.36677,3.60194,0.76483
2025-04-05,1898582,5.90538,5.23655,0.66883
2025-04-06,1893679,3.87881,3.30707,0.57173
2025-04-07,1245596,3.4863,3.4863,0.0
2025-04-08,1788841,3.99748,3.39108,0.6064
2025-04-09,2231930,5.70674,5.08247,0.62427
2025-04-10,2653775,5.03799,4.44018,0.59781
2025-04-11,2437448,4.77893,4.16037,0.61856
2025-04-12,2004605,6.26492,5.69043,0.57449
2025-04-13,2234086,3.89872,3.27578,0.62294
2025-04-14,2294992,4.30002,3.68877,0.61124
2025-04-15,2110879,3.8939,3.34153,0.55238
2025-04-16,2073858,4.01623,3.4853,0.53093
2025-04-17,2059656,3.9077,3.31954,0.58816
2025-04-18,2075443,3.7673,3.41727,0.35003
2025-04-19,2256787,3.87402,3.50884,0.36518
2025-04-20,2635615,3.41867,3.04376,0.37492
2025-04-21,2481035,3.60399,3.23677,0.36722
2025-04-22,1966863,4.01194,3.62288,0.38907
2025-04-23,2157733,5.37374,4.98236,0.39137
2025-04-24,796835,5.38027,4.97426,0.406
2025-04-25,1541554,5.43066,5.00095,0.42971
2025-04-26,1380235,5.34456,4.85357,0.49099
2025-04-27,1158777,4.77999,4.29443,0.48556
2025-04-28,1337826,5.69513,5.27517,0.41996
2025-04-29,1555597,4.27347,3.76779,0.50568
2025-04-30,1569245,4.11116,3.60524,0.50592
2025-05-01,1630206,9.5241,8.09244,1.43166
2025-05-02,1863082,5.02304,3.64809,1.37495
2025-05-03,1863292,6.66732,5.3935,1.27382
2025-05-04,1585732,6.18893,4.75899,1.42994
2025-05-05,1681574,6.01875,4.63731,1.38144
2025-05-06,1594433,9.49514,9.0601,0.43505
2025-05-07,1595278,3.79411,3.0821,0.71201
2025-05-08,1595423,6.75169,6.00952,0.74217
2025-05-09,1245829,4.2879,3.41784,0.87005
2025-05-10,503793,8.91247,8.16131,0.75115
2025-05-11,361397,5.8017,4.93962,0.86208
2025-05-12,441691,10.41182,9.80991,0.60191
2025-05-13,441838,5.448,4.47222,0.97578
2025-05-14,154747,5.49167,4.57329,0.91838
2025-05-15,212959,5.33226,4.40999,0.92227
2025-05-16,312175,5.77335,4.88503,0.88831
2025-05-17,312182,6.8333,4.74298,2.09032
2025-05-19,352273,7.96117,6.13392,1.82725
2025-05-20,352317,7.0035,5.14384,1.85965
2025-05-21,279493,6.89344,5.04486,1.84858
2025-05-22,279525,9.93963,8.52656,1.41307
2025-05-23,245203,10.24651,8.85197,1.39454
2025-05-24,245264,7.60617,6.08984,1.51633
2025-05-25,245327,8.86833,7.34697,1.52136
2025-05-26,245341,6.38218,4.83179,1.55039
2025-05-27,245382,9.52758,8.12702,1.40057
2025-05-28,207436,10.0311,8.58907,1.44203
2025-05-29,207475,8.52421,7.00781,1.5164
2025-05-30,226382,8.53346,7.12455,1.40892
2025-05-31,226416,6.88864,6.29978,0.58886
2025-06-01,226504,2.35426,2.25111,0.10315
2025-06-02,320054,6.79242,6.79242,0.0
2025-06-03,300112,10.6751,10.6751,0.0
2025-06-04,858607,9.25225,9.25225,0.0
2025-06-05,996025,11.29581,11.29581,0.0
