date,tvl,apy,apy_base,apy_reward
2025-01-13,1194227,10.22907,10.22907,0.0
2025-01-14,1193728,8.9702,8.9702,0.0
2025-01-15,1194540,14.70008,14.70008,0.0
2025-01-16,1194138,7.50094,7.50094,0.0
2025-01-17,1234503,7.26507,7.26507,0.0
2025-01-18,1235509,10.43504,10.43504,0.0
2025-01-19,1235565,14.23292,14.23292,0.0
2025-01-20,1235841,9.72551,9.72551,0.0
2025-01-21,1239754,9.41625,9.41625,0.0
2025-01-22,1232008,7.81156,7.81156,0.0
2025-01-23,1233739,7.99354,7.99354,0.0
2025-01-24,1242181,12.45618,8.6522,3.80398
2025-01-25,1236899,10.78287,7.57278,3.21009
2025-01-26,1237768,10.45805,7.1317,3.32635
2025-01-27,1372241,10.77194,7.40414,3.3678
2025-01-28,1372865,11.19221,7.81184,3.38038
2025-01-29,1323995,11.3711,7.74822,3.62288
2025-01-30,1324719,10.72056,7.16395,3.55661
2025-01-31,1326041,10.53008,8.29103,2.23905
2025-02-01,1323717,9.77523,7.75383,2.0214
2025-02-02,1303765,8.09675,6.40814,1.68862
2025-02-03,1276744,8.30444,6.52449,1.77995
2025-02-04,1272394,6.62093,5.07466,1.54627
2025-02-05,1228457,7.19008,5.64548,1.5446
2025-02-06,1227557,6.67905,5.15393,1.52512
2025-02-07,1225670,6.63389,5.13608,1.49781
2025-02-08,1225869,7.35491,5.66744,1.68746
2025-02-09,1231209,7.07192,5.44626,1.62565
2025-02-10,1225528,6.95611,5.27091,1.6852
2025-02-11,1226328,6.58175,5.05469,1.52707
2025-02-12,1226136,6.2971,4.7363,1.5608
2025-02-13,1226251,6.7266,5.11099,1.61561
2025-02-14,1226468,7.03727,5.3574,1.67987
2025-02-15,1227569,6.92947,5.26018,1.66929
2025-02-16,1207555,7.10343,5.49573,1.60771
2025-02-17,1195411,7.32261,5.67467,1.64795
2025-02-18,1208431,7.03075,5.50532,1.52542
2025-02-19,1206997,7.27861,5.57644,1.70217
2025-02-20,1208529,7.42439,5.62386,1.80052
2025-02-21,1209470,6.11337,4.39879,1.71459
2025-02-22,1208244,7.11185,5.24116,1.8707
2025-02-23,1208949,7.14546,5.30472,1.84075
2025-02-24,1206355,6.41973,4.70472,1.71501
2025-02-25,1193515,5.20992,3.87063,1.33928
2025-02-26,1197468,5.00975,3.48093,1.52882
2025-02-27,1197728,6.15221,4.47772,1.67449
2025-02-28,1192628,5.60517,4.03111,1.57406
2025-03-01,1194922,5.52519,4.057,1.46819
2025-03-02,1195296,5.60641,3.98047,1.62594
2025-03-03,1192037,4.57778,3.2828,1.29499
2025-03-04,1194005,4.81502,3.62486,1.19016
2025-03-05,1063738,4.76563,3.52226,1.24337
2025-03-06,1063439,4.79058,3.69306,1.09752
2025-03-07,1065264,4.69859,3.61965,1.07894
2025-03-08,1064631,4.60049,3.54029,1.0602
2025-03-09,1065516,4.53094,3.66762,0.86331
2025-03-10,1064852,3.92154,3.11093,0.81062
2025-03-11,1063570,4.94848,4.16106,0.78742
2025-03-12,1065123,4.37892,3.51284,0.86608
2025-03-13,1065132,5.41411,4.60493,0.80918
2025-03-14,1065755,4.89887,3.96959,0.92928
2025-03-15,1065755,4.83828,3.96956,0.86872
2025-03-16,1065755,4.89887,3.96959,0.92928
2025-03-17,1065755,4.83828,3.96956,0.86872
2025-03-18,1065809,4.78756,3.92608,0.86148
2025-03-19,1064763,6.06711,5.21365,0.85345
2025-03-20,1015424,5.90687,5.05705,0.84982
2025-03-21,1016406,7.95203,7.95203,0.0
2025-03-22,1016161,5.0767,4.33898,0.73772
2025-03-23,1016059,6.89763,6.11162,0.78602
2025-03-24,1015688,5.84259,4.93366,0.90893
2025-03-25,1015637,4.39457,3.37074,1.02383
2025-03-26,1016133,4.38872,3.34596,1.04276
2025-03-27,1016775,4.47936,3.34386,1.1355
2025-03-28,1017804,4.26398,3.29281,0.97116
2025-03-29,1015840,4.3321,3.44534,0.88676
2025-03-30,1017830,3.59705,2.71343,0.88363
2025-03-31,1017266,4.04023,3.20136,0.83887
2025-04-01,1017062,4.22589,3.3787,0.84719
2025-04-02,986828,4.11008,3.31776,0.79233
2025-04-03,984313,4.39939,3.66874,0.73064
2025-04-04,986988,4.36677,3.60194,0.76483
2025-04-05,988869,5.90538,5.23655,0.66883
2025-04-06,986315,3.87881,3.30707,0.57173
2025-04-07,988140,3.4863,3.4863,0.0
2025-04-08,987787,3.99756,3.39108,0.60647
2025-04-09,987956,5.707,5.08247,0.62453
2025-04-10,988071,5.03799,4.44018,0.59781
2025-04-11,988240,4.77893,4.16037,0.61856
2025-04-12,988331,6.26453,5.69043,0.5741
2025-04-13,988465,3.89872,3.27579,0.62293
2025-04-14,988587,4.30002,3.68877,0.61124
2025-04-15,988616,3.8939,3.34153,0.55238
2025-04-16,988700,4.01623,3.4853,0.53093
2025-04-17,988875,3.9077,3.31947,0.58823
2025-04-18,514922,3.7673,3.41727,0.35003
2025-04-19,514967,3.87408,3.50884,0.36524
2025-04-20,515027,3.41867,3.04376,0.37492
2025-04-21,515046,3.60399,3.23683,0.36717
2025-04-22,515117,4.01194,3.62288,0.38907
2025-04-23,515153,5.37374,4.98236,0.39137
2025-04-24,515260,5.38027,4.97426,0.406
2025-04-25,515277,5.43066,5.00095,0.42971
2025-04-26,515380,5.34456,4.85357,0.49099
2025-04-27,515427,5.01837,4.54568,0.47268
2025-04-28,515538,5.31888,4.87902,0.43986
2025-04-29,515557,4.24441,3.73776,0.50665
2025-04-30,515598,4.11097,3.60504,0.50593
2025-05-01,515677,4.54251,3.91384,0.62867
2025-05-02,515729,4.54437,3.92194,0.62243
2025-05-03,515775,4.31038,3.71429,0.59609
2025-05-04,515841,4.36933,3.76649,0.60284
2025-05-05,515886,4.14118,3.51734,0.62384
2025-05-06,515956,4.02378,3.29938,0.72441
2025-05-07,515997,4.2687,3.58171,0.68699
2025-05-08,516040,4.30215,3.43103,0.87112
2025-05-09,516129,4.50073,3.64191,0.85882
2025-05-10,516166,4.65882,3.68327,0.97555
2025-05-11,516208,4.30058,3.35948,0.94109
2025-05-12,516247,4.69456,3.79094,0.90362
2025-05-13,516347,4.79629,3.78622,1.01008
2025-05-14,516376,6.80804,5.95916,0.84888
2025-05-15,516408,4.66566,3.70829,0.95738
2025-05-16,516431,4.82124,3.88282,0.93842
2025-05-17,516440,4.78622,3.90804,0.87818
2025-05-19,476619,5.6715,4.78303,0.88847
2025-05-20,476669,5.40251,4.47518,0.92732
2025-05-21,476725,5.06371,4.15341,0.9103
2025-05-22,476749,9.29623,8.56119,0.73504
2025-05-23,476804,9.07893,8.42424,0.65469
2025-05-24,476915,6.66864,5.9104,0.75823
2025-05-25,477007,5.9603,5.21179,0.74851
2025-05-26,477017,4.7939,3.98004,0.81385
2025-05-27,477056,4.94244,4.11402,0.82842
2025-05-28,477132,5.01818,4.24982,0.76836
2025-05-29,477171,4.81828,4.04211,0.77617
2025-05-30,377291,5.72362,5.05831,0.66531
2025-05-31,377322,4.49594,3.76727,0.72867
2025-06-01,377342,4.47166,3.72433,0.74732
2025-06-02,377354,4.44171,3.70888,0.73284
2025-06-03,377399,4.31023,3.53258,0.77765
2025-06-04,377418,4.0454,3.5203,0.5251
