date,tvl,apy,apy_base,apy_reward
2025-01-08,499144,8.34583,8.34583,0.0
2025-01-09,1043592,40.19412,40.19412,0.0
2025-01-10,1022048,10.28612,10.28612,0.0
2025-01-11,1093873,11.56889,11.56889,0.0
2025-01-12,1097056,12.28454,12.28454,0.0
2025-01-13,4215804,14.9586,14.9586,0.0
2025-01-14,7665765,11.37942,11.37942,0.0
2025-01-15,7500276,11.55414,11.55414,0.0
2025-01-16,9279790,14.6282,14.6282,0.0
2025-01-17,8802040,15.24991,15.24991,0.0
2025-01-18,9469099,15.60684,15.60684,0.0
2025-01-19,11344045,21.97494,21.97494,0.0
2025-01-20,11346234,12.27377,12.27377,0.0
2025-01-21,11353360,9.73578,9.73578,0.0
2025-01-22,12881689,11.19702,11.19702,0.0
2025-01-23,10237712,12.39008,12.39008,0.0
2025-01-24,12363395,14.09907,9.82307,4.276
2025-01-25,14643045,14.05923,10.4705,3.58872
2025-01-26,14115319,14.00642,10.32347,3.68294
2025-01-27,13100743,12.25872,8.52051,3.73821
2025-01-28,16606140,13.04547,9.27433,3.77114
2025-01-29,15813899,13.08593,9.07545,4.01048
2025-01-30,17414572,16.8284,12.9151,3.9133
2025-01-31,18562993,14.69836,12.04476,2.6536
2025-02-01,17388711,12.91266,10.50356,2.4091
2025-02-02,17278798,14.01603,12.00784,2.00819
2025-02-03,15307975,11.93491,9.82889,2.10602
2025-02-04,14127229,12.15926,10.35978,1.79949
2025-02-05,14205055,11.62065,9.79398,1.82667
2025-02-06,16354232,13.23627,11.45345,1.78282
2025-02-07,14943450,12.05406,10.29978,1.75427
2025-02-08,14946493,11.74179,9.77107,1.97072
2025-02-09,15011926,11.91583,10.0183,1.89754
2025-02-10,12969871,12.00449,10.05571,1.94878
2025-02-11,14258509,10.11851,8.33902,1.77949
2025-02-12,13257488,11.96682,10.16951,1.7973
2025-02-13,17313158,9.90538,8.03431,1.87107
2025-02-14,14961385,10.20914,8.26775,1.9414
2025-02-15,16975746,9.90224,7.96978,1.93247
2025-02-16,16975584,9.65726,7.77481,1.88245
2025-02-17,16804846,9.96608,8.02953,1.93655
2025-02-18,16998167,9.9218,8.12106,1.80074
2025-02-19,17053139,10.0358,8.05481,1.981
2025-02-20,20171024,10.03954,7.95791,2.08163
2025-02-21,20109562,10.48647,8.55222,1.93425
2025-02-22,15053351,9.81821,7.68525,2.13297
2025-02-23,15860292,9.7089,7.60292,2.10598
2025-02-24,14771519,15.12003,13.17009,1.94994
2025-02-25,9842465,15.84604,14.36733,1.47871
2025-02-26,8567688,13.40964,11.7068,1.70284
