date,tvl,apy,apy_base,apy_reward
2024-12-16,41031,29.53846,29.53846,0.0
2024-12-17,389797,26.91629,26.91629,0.0
2024-12-18,389535,24.76072,24.76072,0.0
2024-12-19,389027,19.80527,19.80527,0.0
2024-12-20,390361,17.64031,17.64031,0.0
2024-12-21,390143,17.32187,17.32187,0.0
2024-12-22,389676,16.90513,16.90513,0.0
2024-12-23,389152,16.3715,16.3715,0.0
2024-12-24,490755,14.95202,14.95202,0.0
2024-12-25,349613,15.97144,15.97144,0.0
2024-12-26,403772,24.65471,24.65471,0.0
2024-12-27,403974,14.73684,14.73684,0.0
2024-12-28,404107,14.63891,14.63891,0.0
2024-12-29,354313,14.60647,14.60647,0.0
2024-12-30,353509,15.90781,15.90781,0.0
2024-12-31,355318,15.63118,15.63118,0.0
2025-01-01,354601,15.33535,15.33535,0.0
2025-01-02,354748,15.51862,15.51862,0.0
2025-01-03,355027,15.87734,15.87734,0.0
2025-01-04,355093,16.05878,16.05878,0.0
2025-01-05,370673,29.53348,29.53348,0.0
2025-01-06,370814,35.78711,35.78711,0.0
2025-01-07,19343,15.3479,15.3479,0.0
2025-01-08,42905,18.32077,18.32077,0.0
2025-01-09,42936,15.525,15.525,0.0
2025-01-10,43001,14.43866,14.43866,0.0
2025-01-11,42989,14.51651,14.51651,0.0
2025-01-12,41974,12.08547,12.08547,0.0
2025-01-13,41993,13.79293,13.79293,0.0
2025-01-14,41886,12.80332,12.80332,0.0
2025-01-15,41988,13.1226,13.1226,0.0
2025-01-16,41960,23.58428,23.58428,0.0
2025-01-17,42071,13.09414,13.09414,0.0
2025-01-18,42055,13.34388,13.34388,0.0
2025-01-19,41981,14.23471,14.23471,0.0
2025-01-20,42099,15.71886,15.71886,0.0
2025-01-21,42120,16.80221,16.80221,0.0
2025-01-22,42088,18.05819,18.05819,0.0
2025-01-23,56758,14.28342,14.28342,0.0
2025-01-24,56911,17.48203,13.90176,3.58027
2025-01-25,56861,14.78723,11.7879,2.99933
2025-01-26,56856,14.87271,11.7787,3.09401
2025-01-27,54504,19.39276,16.47981,2.91295
2025-01-28,54463,17.43331,14.38191,3.0514
2025-01-29,54536,14.00379,11.69095,2.31284
2025-01-30,56783,14.45481,11.09479,3.36002
2025-01-31,56802,21.39575,19.72858,1.66717
2025-02-01,56756,29.31663,28.32888,0.98775
2025-02-02,116601,27.92894,27.28884,0.64009
2025-02-03,116776,15.55462,14.21242,1.3422
2025-02-04,116817,14.26776,13.12451,1.14325
2025-02-05,142247,14.05961,12.87693,1.18268
2025-02-06,145639,13.56742,12.40468,1.16274
2025-02-07,145427,12.79344,11.62027,1.17316
2025-02-08,145774,12.60136,11.1903,1.41105
2025-02-09,180533,13.64184,12.36237,1.27946
2025-02-10,202074,33.34966,33.06233,0.28734
