date,tvl,apy,apy_base,apy_reward
2024-12-09,106928,38.15937,38.15937,0.0
2024-12-10,236116,15.44598,15.44598,0.0
2024-12-11,1729569,16.91282,16.91282,0.0
2024-12-12,2728312,16.55953,16.55953,0.0
2024-12-13,2631262,17.02647,17.02647,0.0
2024-12-14,2947231,22.69788,22.69788,0.0
2024-12-15,3083325,19.29523,19.29523,0.0
2024-12-16,4230233,17.58442,17.58442,0.0
2024-12-17,4074747,19.68274,19.68274,0.0
2024-12-18,3241446,43.47275,43.47275,0.0
2024-12-19,9452853,30.99002,30.99002,0.0
2024-12-20,15416442,22.35585,22.35585,0.0
2024-12-21,22713904,14.27364,14.27364,0.0
2024-12-22,26183035,21.25955,21.25955,0.0
2024-12-23,20890229,24.05122,24.05122,0.0
2024-12-24,23201927,23.37871,23.37871,0.0
2024-12-25,28804594,22.59483,22.59483,0.0
2024-12-26,36824464,19.5371,19.5371,0.0
2024-12-27,63247164,17.42969,17.42969,0.0
2024-12-28,65828600,19.20367,19.20367,0.0
2024-12-29,80963039,18.46335,18.46335,0.0
2024-12-30,88529653,16.97966,16.97966,0.0
2024-12-31,100867818,16.80432,16.80432,0.0
2025-01-01,101216676,14.67459,14.67459,0.0
2025-01-02,95050891,16.72434,16.72434,0.0
2025-01-03,130437403,18.8992,18.8992,0.0
2025-01-04,198457680,13.07211,13.07211,0.0
2025-01-05,226047721,13.82963,13.82963,0.0
2025-01-06,239096024,14.43389,14.43389,0.0
2025-01-07,223885948,14.48637,14.48637,0.0
2025-01-08,255709940,12.87434,12.87434,0.0
2025-01-09,246585191,10.65493,10.65493,0.0
2025-01-10,77905120,9.03506,9.03506,0.0
2025-01-11,52138544,11.90055,11.90055,0.0
2025-01-12,64297703,11.49254,11.49254,0.0
2025-01-13,56072404,13.67048,13.67048,0.0
2025-01-14,53176468,13.21461,13.21461,0.0
2025-01-15,57974151,12.94024,12.94024,0.0
2025-01-16,51432001,13.88776,13.88776,0.0
2025-01-17,55224774,11.63453,11.63453,0.0
2025-01-18,54317580,12.40148,12.40148,0.0
2025-01-19,55445617,14.85734,14.85734,0.0
2025-01-20,52456051,12.18552,12.18552,0.0
2025-01-21,58360458,9.46146,9.46146,0.0
2025-01-22,56162003,12.76904,12.76904,0.0
2025-01-23,57153481,9.87776,9.87776,0.0
2025-01-24,58441010,13.18994,9.38291,3.80703
2025-01-25,61080771,14.54346,11.5313,3.01216
2025-01-26,63428843,13.13329,9.94783,3.18546
2025-01-27,55169753,12.72401,9.45902,3.26499
2025-01-28,57779701,15.1265,11.95364,3.17286
2025-01-29,58276503,14.01582,10.53236,3.48346
2025-01-30,58529922,13.91617,10.52775,3.38842
2025-01-31,56400938,13.61502,11.53867,2.07635
2025-02-01,55569118,15.4806,13.76032,1.72028
2025-02-02,60120592,12.9614,11.52939,1.43201
2025-02-03,51995700,11.92401,10.33482,1.58919
2025-02-04,52298543,15.89499,14.83867,1.05632
2025-02-05,54279657,13.14404,11.91324,1.2308
2025-02-06,54590779,11.86868,10.54486,1.32382
2025-02-07,63094406,11.21937,9.96299,1.25638
2025-02-08,64100302,12.33101,10.90573,1.42528
2025-02-09,64168476,11.82429,10.44906,1.37523
2025-02-10,64458890,11.61578,10.17572,1.44005
2025-02-11,65565119,10.6405,9.32699,1.31351
2025-02-12,66462193,10.82057,9.49787,1.3227
2025-02-13,69158602,10.4256,9.00454,1.42106
2025-02-14,75021293,9.996,8.47157,1.52443
2025-02-15,73785924,9.91024,8.39758,1.51266
2025-02-16,75885201,9.21004,7.71315,1.4969
2025-02-17,78793823,9.3119,7.76331,1.54859
2025-02-18,80297274,9.44069,8.04223,1.39846
2025-02-19,82065014,9.36079,7.76821,1.59258
2025-02-20,76350932,9.36809,7.66996,1.69813
2025-02-21,76082743,9.14692,7.59211,1.55482
2025-02-22,77211884,8.99077,7.21849,1.77227
2025-02-23,76527172,9.10002,7.36117,1.73885
2025-02-24,79836177,10.8946,9.41535,1.47925
2025-02-25,77299376,11.1413,10.18645,0.95485
2025-02-26,76908486,10.72216,9.494,1.22816
2025-02-27,79977255,14.38519,11.64469,2.74051
2025-02-28,79361401,10.06546,8.72615,1.33932
2025-03-01,81435152,9.86619,8.62647,1.23972
2025-03-02,81520218,10.08419,8.69378,1.39042
2025-03-03,89481943,9.21484,8.16391,1.05093
2025-03-04,90280271,8.91581,7.94157,0.97424
2025-03-05,91691691,8.61026,7.56926,1.041
2025-03-06,90918780,8.10128,7.178,0.92328
2025-03-07,93687314,8.54445,7.66813,0.87632
2025-03-08,95965707,8.23267,7.36363,0.86904
2025-03-09,96419570,8.26181,7.59486,0.66695
2025-03-10,94628410,7.0498,6.40383,0.64596
2025-03-11,102554258,7.01262,6.33384,0.67878
2025-03-12,102054640,6.97349,6.24468,0.72881
2025-03-13,103884036,6.30681,5.54561,0.76119
2025-03-14,104171699,6.93042,6.17157,0.75885
2025-03-15,104171699,6.93042,6.17157,0.75885
2025-03-16,104171699,6.93042,6.17157,0.75885
2025-03-17,104171735,6.93037,6.17137,0.759
2025-03-18,104185146,6.12147,5.33018,0.79129
2025-03-19,106765584,6.48051,5.64881,0.8317
2025-03-20,102484221,5.98034,5.13438,0.84596
2025-03-21,105512584,7.57166,6.92356,0.64811
2025-03-22,107660509,7.95015,6.66315,1.287
2025-03-23,100828151,7.73654,7.73654,0.0
2025-03-24,107889975,7.0367,6.03696,0.99975
2025-03-25,104701322,6.45518,5.53994,0.91524
2025-03-26,109899874,6.14478,5.19421,0.95058
2025-03-27,121797856,5.02413,3.92623,1.0979
2025-03-28,123777619,6.08208,5.20639,0.87569
2025-03-29,132117280,5.79245,4.98253,0.80992
2025-03-30,132035025,5.87846,5.11463,0.76383
2025-03-31,128956367,4.4158,3.5965,0.81931
2025-04-01,141472987,5.70902,4.9397,0.76932
2025-04-02,146136792,5.45565,4.73403,0.72162
2025-04-03,136753673,5.4537,4.77836,0.67533
2025-04-04,119246260,5.91576,5.17179,0.74397
2025-04-05,123902304,5.86661,5.19542,0.67119
2025-04-06,122788973,5.92393,5.50069,0.42324
2025-04-07,124112031,4.56923,4.56923,0.0
2025-04-08,119457357,5.47497,4.94618,0.52879
2025-04-09,124267827,5.61878,4.99008,0.62869
2025-04-10,124030968,5.25305,4.66726,0.58579
2025-04-11,112398114,6.22663,5.68425,0.54238
2025-04-12,112748501,6.13278,5.46894,0.66384
2025-04-13,115775621,8.61418,7.80558,0.80861
