date,tvl,apy,apy_base,apy_reward
2025-01-03,435915,9.34081,9.34081,0.0
2025-01-04,435712,12.22224,12.22224,0.0
2025-01-05,435324,10.71417,10.71417,0.0
2025-01-06,464827,14.35704,14.35704,0.0
2025-01-07,713452,14.22634,14.22634,0.0
2025-01-08,713928,17.69034,17.69034,0.0
2025-01-09,897517,12.21537,12.21537,0.0
2025-01-10,1718200,6.49128,6.49128,0.0
2025-01-11,1718689,6.99848,6.99848,0.0
2025-01-12,1718877,6.87297,6.87297,0.0
2025-01-13,1282133,11.00296,11.00296,0.0
2025-01-14,1282628,10.67925,10.67925,0.0
2025-01-15,1282887,9.54944,9.54944,0.0
2025-01-16,1251763,10.95656,10.95656,0.0
2025-01-17,1272384,9.787,9.787,0.0
2025-01-18,1362580,10.1487,10.1487,0.0
2025-01-19,1480358,9.19937,9.19937,0.0
2025-01-20,1387189,8.62179,8.62179,0.0
2025-01-21,1397724,21.38717,21.38717,0.0
2025-01-22,2131832,8.10765,8.10765,0.0
2025-01-23,1520268,31.07107,31.07107,0.0
2025-01-24,1618543,21.08471,17.69403,3.39068
2025-01-25,3591500,12.22382,9.08957,3.13425
2025-01-26,3590110,11.14582,7.85566,3.29016
2025-01-27,3496010,11.34932,8.01174,3.33758
2025-01-28,3467344,12.39849,9.08148,3.31701
2025-01-29,3470660,11.38325,7.76069,3.62256
2025-01-30,3481907,10.08291,6.49259,3.59032
2025-01-31,2658706,17.39515,15.51907,1.87608
2025-02-01,2768113,24.81067,23.58151,1.22916
2025-02-02,2865903,13.62352,12.22667,1.39684
2025-02-03,2804914,26.53122,25.71404,0.81717
2025-02-04,2784292,11.35145,10.05463,1.29682
2025-02-05,2800748,11.68591,10.37831,1.3076
2025-02-06,2809560,9.13248,7.73591,1.39656
2025-02-07,2863137,8.95068,7.5752,1.37548
2025-02-08,2257419,9.96136,8.41136,1.55
2025-02-09,2588925,37.57012,37.56536,0.00476
2025-02-10,4398240,8.31344,6.69968,1.61376
2025-02-11,2872473,33.61461,33.51374,0.10087
2025-02-12,3043968,10.96724,9.65244,1.3148
2025-02-13,3982391,7.35185,5.76872,1.58313
2025-02-14,3773571,8.41952,6.81203,1.60748
2025-02-15,3733731,8.28773,6.69014,1.59759
2025-02-16,3820267,7.81714,6.24716,1.56998
2025-02-17,4189509,7.63619,5.99932,1.63688
2025-02-18,4473888,6.66124,5.1164,1.54484
2025-02-19,4415968,6.7715,5.04264,1.72886
2025-02-20,4097669,6.84021,5.00854,1.83168
2025-02-21,3645706,6.65943,4.97334,1.68609
2025-02-22,3572773,7.68218,5.84113,1.84105
2025-02-23,3584763,7.53631,5.71574,1.82057
2025-02-24,3480403,7.46995,5.81021,1.65974
2025-02-25,3462137,6.77977,5.52311,1.25666
2025-02-26,3332344,8.03988,6.67055,1.36933
2025-02-27,3195742,7.76707,6.17754,1.58953
2025-02-28,3193253,7.86586,6.41078,1.45508
2025-03-01,3063642,8.19591,6.86829,1.32762
2025-03-02,3059930,8.32923,6.84656,1.48267
2025-03-03,3187748,6.84062,5.66473,1.17589
2025-03-04,3014435,7.2488,6.18679,1.06201
2025-03-05,3154694,6.80337,5.66728,1.1361
2025-03-06,3019218,7.64417,6.69684,0.94733
2025-03-07,3002680,7.38676,6.44952,0.93725
2025-03-08,2972086,6.92169,5.98365,0.93804
2025-03-09,2978638,6.97219,6.23736,0.73483
2025-03-10,2973974,4.11143,3.31082,0.80061
2025-03-11,2671182,3.90827,3.06611,0.84217
2025-03-12,2628051,3.89728,3.00563,0.89165
2025-03-13,2402620,4.16103,3.28691,0.87412
2025-03-14,2015659,4.71269,3.83723,0.87546
2025-03-15,2015659,4.71269,3.83723,0.87546
2025-03-16,2015659,4.71269,3.83723,0.87546
2025-03-17,2015659,4.71269,3.83723,0.87546
2025-03-18,1955341,6.42682,5.65162,0.7752
2025-03-19,1901669,5.63425,4.75801,0.87624
