date,tvl,apy,apy_base,apy_reward
2024-06-06,10368630,15.53726,15.53726,0.0
2024-06-07,10437004,8.71545,8.71545,0.0
2024-06-08,10645720,7.43568,7.43568,0.0
2024-06-09,10645780,6.92877,6.92877,0.0
2024-06-10,10632933,6.19856,6.19856,0.0
2024-06-11,10391782,6.21512,6.21512,0.0
2024-06-12,10459845,6.33103,6.33103,0.0
2024-06-13,10462004,15.50111,15.50111,0.0
2024-06-14,10455530,15.39729,15.39729,0.0
2024-06-15,10454564,12.50275,12.50275,0.0
2024-06-16,10656254,7.47277,7.47277,0.0
2024-06-17,10657511,7.85947,7.85947,0.0
2024-06-18,9613108,16.61501,16.61501,0.0
2024-06-19,10207789,10.223,10.223,0.0
2024-06-20,10190567,9.32531,9.32531,0.0
2024-06-21,9399251,15.4322,15.4322,0.0
2024-06-22,9639363,8.03749,8.03749,0.0
2024-06-23,8658467,8.46613,8.46613,0.0
2024-06-24,11678620,6.42996,6.42996,0.0
2024-06-25,11474936,6.45911,6.45911,0.0
2024-06-26,11743905,6.22355,6.22355,0.0
2024-06-27,11734196,6.14946,6.14946,0.0
2024-06-28,11450717,6.19225,6.19225,0.0
2024-06-29,10799559,6.66216,6.66216,0.0
2024-06-30,10807370,6.45431,6.45431,0.0
2024-07-01,11754713,6.0363,6.0363,0.0
2024-07-02,11772365,6.83579,6.83579,0.0
2024-07-03,11761370,6.69643,6.69643,0.0
2024-07-04,13164833,5.92229,5.92229,0.0
2024-07-05,10721192,6.46633,6.46633,0.0
2024-07-06,10697172,6.58081,6.58081,0.0
2024-07-07,10752504,6.4864,6.4864,0.0
2024-07-08,10724216,6.35104,6.35104,0.0
2024-07-09,8240411,16.36101,16.36101,0.0
2024-07-10,8266664,8.68698,8.68698,0.0
2024-07-11,8751855,7.36532,7.36532,0.0
2024-07-12,8768150,7.12342,7.12342,0.0
2024-07-13,8767898,6.08726,6.08726,0.0
2024-07-14,8752285,6.18042,6.18042,0.0
2024-07-15,8753175,6.72759,6.72759,0.0
2024-07-16,8210372,6.53321,6.53321,0.0
2024-07-17,8219302,6.45918,6.45918,0.0
2024-07-18,8206569,6.67539,6.67539,0.0
2024-07-19,8205888,6.36928,6.36928,0.0
2024-07-20,8211846,6.33712,6.33712,0.0
2024-07-21,8233224,6.65059,6.65059,0.0
2024-07-22,9213127,11.88159,11.88159,0.0
2024-07-23,9186296,10.50514,10.50514,0.0
2024-07-24,8175807,19.87647,19.87647,0.0
2024-07-25,8733821,7.01387,7.01387,0.0
2024-07-26,8725002,7.05739,7.05739,0.0
2024-07-27,8729119,7.14385,7.14385,0.0
2024-07-28,8751749,6.96004,6.96004,0.0
2024-07-29,8781666,6.65498,6.65498,0.0
2024-07-30,8755245,6.69948,6.69948,0.0
2024-07-31,8743985,6.64542,6.64542,0.0
2024-08-01,8719603,6.54279,6.54279,0.0
2024-08-02,8730518,6.15807,6.15807,0.0
2024-08-03,8726241,6.0527,6.0527,0.0
2024-08-04,8722166,5.93246,5.93246,0.0
2024-08-05,8586873,4.48715,4.48715,0.0
2024-08-06,8589664,0.05217,0.05217,0.0
2024-08-07,8540688,4.09853,4.09853,0.0
2024-08-08,8598591,0.04803,0.04803,0.0
2024-08-09,8572543,4.10416,4.10416,0.0
2024-08-10,8543467,3.95312,3.95312,0.0
2024-08-11,9568391,3.46553,3.46553,0.0
2024-08-12,9543578,3.36574,3.36574,0.0
2024-08-13,9544444,3.33777,3.33777,0.0
2024-08-14,9272707,3.86124,3.86124,0.0
2024-08-15,9310912,3.81569,3.81569,0.0
2024-08-16,9289086,3.56181,3.56181,0.0
2024-08-17,9281656,3.52632,3.52632,0.0
2024-08-18,9290813,3.44764,3.44764,0.0
2024-08-19,8291475,2.89384,2.89384,0.0
2024-08-20,8315356,2.87522,2.87522,0.0
2024-08-21,8292800,3.01986,3.01986,0.0
2024-08-22,8293393,3.01533,3.01533,0.0
2024-08-23,8294065,2.95594,2.95594,0.0
2024-08-24,8294723,3.32084,3.32084,0.0
2024-08-25,8294133,3.7528,3.7528,0.0
2024-08-26,8314148,2.9129,2.9129,0.0
2024-08-27,8297681,3.15239,3.15239,0.0
2024-08-28,8298414,3.28355,3.28355,0.0
2024-08-29,8299151,3.25146,3.25146,0.0
2024-08-30,8301350,3.27393,3.27393,0.0
2024-08-31,8300538,3.23326,3.23326,0.0
2024-09-01,8299260,3.22866,3.22866,0.0
2024-09-02,8287207,4.18967,4.18967,0.0
2024-09-03,8089043,4.23046,4.23046,0.0
2024-09-04,8088996,4.77887,4.77887,0.0
2024-09-05,8105147,5.79937,5.79937,0.0
2024-09-06,8119351,4.229,4.229,0.0
2024-09-07,8106859,3.44706,3.44706,0.0
2024-09-10,8088355,3.19536,3.19536,0.0
2024-09-11,8094275,3.1706,3.1706,0.0
2024-09-12,8112290,3.21085,3.21085,0.0
2024-09-13,8096284,3.15547,3.15547,0.0
2024-09-14,8133318,5.61215,5.61215,0.0
2024-09-15,8091851,3.15835,3.15835,0.0
2024-09-16,8114434,3.17979,3.17979,0.0
2024-09-17,8093239,3.16383,3.16383,0.0
2024-09-18,7387321,5.70864,5.70864,0.0
2024-09-19,7383825,4.2646,4.2646,0.0
2024-09-20,7385700,3.94327,3.94327,0.0
2024-09-21,7389980,4.25653,4.25653,0.0
2024-09-22,7390840,4.34505,4.34505,0.0
2024-09-23,7391716,4.40153,4.40153,0.0
2024-09-24,7392581,4.46339,4.46339,0.0
2024-09-25,7322773,3.54105,3.54105,0.0
2024-09-26,6554497,3.52514,3.52514,0.0
2024-09-27,6542354,3.59206,3.59206,0.0
2024-09-28,6555845,4.11934,4.11934,0.0
2024-09-29,6525070,4.22451,4.22451,0.0
2024-09-30,6529147,5.34321,5.34321,0.0
2024-10-01,6527142,4.27429,4.27429,0.0
2024-10-02,6543034,4.31613,4.31613,0.0
2024-10-03,6535304,4.00312,4.00312,0.0
2024-10-04,6529310,3.82648,3.82648,0.0
2024-10-05,6529965,4.35202,4.35202,0.0
2024-10-06,6521583,4.39989,4.39989,0.0
2024-10-07,6529413,4.29555,4.29555,0.0
2024-10-08,6728344,4.25511,4.25511,0.0
2024-10-09,6727499,4.30834,4.30834,0.0
2024-10-10,7816205,2.96699,2.96699,0.0
2024-10-11,7735877,1.57696,1.57696,0.0
2024-10-12,7755364,1.71946,1.71946,0.0
2024-10-13,7765639,1.71814,1.71814,0.0
2024-10-14,6854502,2.73902,2.73902,0.0
2024-10-15,6899285,2.78511,2.78511,0.0
2024-10-16,6848342,2.98118,2.98118,0.0
2024-10-17,6847384,2.6581,2.6581,0.0
2024-10-18,6841507,1.77466,1.77466,0.0
2024-10-19,6849390,1.77692,1.77692,0.0
2024-10-20,6832201,1.77475,1.77475,0.0
2024-10-21,5820269,2.80906,2.80906,0.0
2024-10-22,5818932,2.95654,2.95654,0.0
2024-10-23,6003316,2.30457,2.30457,0.0
2024-10-24,5992622,2.46132,2.46132,0.0
2024-10-25,5504643,4.83055,4.83055,0.0
2024-10-26,5502147,2.63971,2.63971,0.0
2024-10-27,5501552,4.02467,4.02467,0.0
2024-10-28,5447072,4.59738,4.59738,0.0
2024-10-29,5312838,5.29218,5.29218,0.0
2024-10-30,5309239,6.00977,6.00977,0.0
2024-10-31,5310587,2.93459,2.93459,0.0
2024-11-01,5328874,2.81794,2.81794,0.0
2024-11-02,5323281,2.82385,2.82385,0.0
2024-11-03,5313180,4.51347,4.51347,0.0
2024-11-04,5311303,3.24635,3.24635,0.0
2024-11-05,5298153,3.49366,3.49366,0.0
2024-11-06,2810807,15.43591,15.43591,0.0
2024-11-07,2093854,10.47442,10.47442,0.0
2024-11-08,2191367,7.03805,7.03805,0.0
2024-11-09,2189502,2.23033,2.23033,0.0
2024-11-10,2089562,2.2586,2.2586,0.0
2024-11-11,2086148,2.80603,2.80603,0.0
2024-11-12,2030918,10.46072,10.46072,0.0
2024-11-13,2031403,4.22306,4.22306,0.0
2024-11-14,1991285,5.39366,5.39366,0.0
2024-11-15,1990450,3.52893,3.52893,0.0
2024-11-16,1988567,3.56965,3.56965,0.0
2024-11-17,1987764,3.72926,3.72926,0.0
2024-11-18,1805302,3.81891,3.81891,0.0
2024-11-19,1806745,5.23639,5.23639,0.0
2024-11-20,1807725,4.56273,4.56273,0.0
2024-11-21,1807190,7.01199,7.01199,0.0
2024-11-22,1802867,11.81984,11.81984,0.0
