date,tvl,apy,apy_base,apy_reward
2025-03-18,73166,0.06537,0.06357,0.0018
2025-03-19,32815,12.31006,12.31006,0.0
2025-03-20,72700,11.89705,11.89705,0.0
2025-03-21,111498,4.02796,4.02796,0.0
2025-03-22,163330,5.58834,4.62294,0.9654
2025-03-23,164477,36.68343,36.68343,0.0
2025-03-24,228448,7.97932,7.97932,0.0
2025-03-25,275371,6.71476,6.71476,0.0
2025-03-26,303287,8.46772,8.46772,0.0
2025-03-27,823847,3.26516,3.26516,0.0
2025-03-28,439834,8.52274,8.52274,0.0
2025-03-29,375097,45.57501,45.57501,0.0
2025-03-30,652878,8.17848,8.17848,0.0
2025-03-31,829733,7.08539,7.08539,0.0
2025-04-01,1160579,6.6403,6.6403,0.0
2025-04-02,1127317,21.07219,21.07219,0.0
2025-04-03,1647870,6.44375,6.44375,0.0
2025-04-04,1628159,5.75654,5.75654,0.0
2025-04-05,1471098,6.4074,6.4074,0.0
2025-04-06,1513308,7.05896,7.05896,0.0
2025-04-07,1883949,15.65548,15.65548,0.0
2025-04-08,2215631,11.82275,11.82275,0.0
2025-04-09,3920877,5.96833,5.76407,0.20426
2025-04-10,3361602,5.58735,5.40175,0.1856
2025-04-11,2767100,5.9169,5.78201,0.13489
2025-04-12,1793974,6.73053,6.69385,0.03668
2025-04-13,1977257,6.15846,6.15846,0.0
2025-04-14,1901612,6.36835,6.36835,0.0
2025-04-15,1947106,5.44905,5.44905,0.0
2025-04-16,1845431,5.21099,5.21099,0.0
2025-04-17,2076693,5.37751,5.37751,0.0
2025-04-18,2437988,7.01374,7.01374,0.0
2025-04-19,2175739,5.45402,5.45402,0.0
2025-04-20,2148254,5.43921,5.43921,0.0
2025-04-21,2111011,5.58088,5.58088,0.0
2025-04-22,1738890,5.9842,5.9842,0.0
2025-04-23,2065360,14.66954,14.66954,0.0
2025-04-24,4826018,3.93448,3.93448,0.0
2025-04-25,4332389,4.66073,4.51278,0.14796
2025-04-26,4567112,4.55277,4.30862,0.24416
2025-04-27,4361498,4.96797,4.84771,0.12026
2025-04-28,4314480,4.80515,4.67622,0.12894
2025-04-29,4273694,5.6169,5.6169,0.0
2025-04-30,4126926,10.12547,10.12547,0.0
2025-05-01,4487787,11.06489,11.06489,0.0
2025-05-02,4077354,5.12232,4.85785,0.26447
2025-05-03,4165927,5.082,4.86374,0.21826
2025-05-04,4271782,5.08268,4.85137,0.23131
2025-05-05,4480196,4.66261,4.34481,0.3178
2025-05-06,3417355,4.65107,4.2022,0.44887
2025-05-07,2026226,4.24999,3.76638,0.48361
2025-05-08,3700095,4.88688,4.2632,0.62368
2025-05-09,3102753,4.6527,3.99258,0.66013
2025-05-10,3096004,4.95404,4.17595,0.77808
2025-05-11,3064839,5.01327,4.31401,0.69927
2025-05-12,3378393,5.04321,4.37489,0.66833
2025-05-13,3324588,5.13056,4.32627,0.80429
2025-05-14,3321669,4.98838,4.23153,0.75685
2025-05-15,3437024,5.06112,4.32341,0.7377
2025-05-16,3480400,4.97345,4.23855,0.73491
2025-05-17,3480133,4.85836,4.18728,0.67109
2025-05-19,3398129,5.14809,4.4488,0.6993
2025-05-20,3422511,5.03487,4.28312,0.75175
2025-05-21,3427397,5.29888,4.64056,0.65832
2025-05-22,3424313,5.64047,4.66418,0.97629
2025-05-23,1720173,5.10721,4.47131,0.6359
2025-05-24,1874530,4.92474,4.67423,0.25051
2025-05-25,1888482,4.84781,4.62788,0.21993
2025-05-26,3723016,6.84691,6.78311,0.0638
2025-05-27,3777905,5.67744,5.22569,0.45175
2025-05-28,3421906,6.15028,5.85245,0.29783
2025-05-29,3264242,6.18243,5.89689,0.28554
2025-05-30,3367491,6.58453,6.45893,0.1256
2025-05-31,3210785,6.32676,6.15813,0.16863
2025-06-01,3095299,6.81981,6.71209,0.10772
2025-06-02,3468550,7.26717,7.2586,0.00856
2025-06-03,3637831,7.39455,7.35931,0.03524
2025-06-04,3370745,7.5219,7.51226,0.00964
2025-06-05,3917291,7.64544,7.64544,0.0
