date,tvl,apy,apy_base,apy_reward
2025-02-25,42392,0,0,0
2025-02-26,42425,0,0,0
2025-02-27,42425,0,0,0
2025-02-28,37328,0,0,0
2025-03-01,37332,0,0,0
2025-03-02,37340,0,0,0
2025-03-03,37343,0,0,0
2025-03-04,37301,0,0,0
2025-03-05,37303,0,0,0
2025-03-06,37314,0,0,0
2025-03-07,37353,0,0,0
2025-03-08,37359,0,0,0
2025-03-09,37354,0,0,0
2025-03-10,37335,0,0,0
2025-03-11,37370,0,0,0
2025-03-12,37371,0,0,0
2025-03-13,37327,0,0,0
2025-03-14,37327,0,0,0
2025-03-15,37327,0,0,0
2025-03-16,37327,0,0,0
2025-03-17,37327,0,0,0
2025-03-18,37327,0,0,0
2025-03-19,37327,0,0,0
2025-03-20,37327,0,0,0
2025-03-21,37327,0,0,0
2025-03-22,37327,0,0,0
2025-03-23,37327,0,0,0
2025-03-24,37327,0,0,0
2025-03-25,37327,0,0,0
2025-03-26,37327,0,0,0
2025-03-27,37327,0,0,0
2025-03-28,37327,0,0,0
2025-03-29,37327,0,0,0
2025-03-30,37327,0,0,0
2025-03-31,37327,0,0,0
2025-04-01,37327,0,0,0
2025-04-02,37327,0,0,0
2025-04-03,37327,0,0,0
2025-04-04,37327,0,0,0
2025-04-05,37327,0,0,0
2025-04-06,37327,0,0,0
2025-04-07,37327,0,0,0
2025-04-08,37327,0,0,0
2025-04-09,37327,0,0,0
2025-04-10,37327,0,0,0
2025-04-11,37327,0,0,0
2025-04-12,37327,0,0,0
2025-04-13,37327,0,0,0
2025-04-14,37327,0,0,0
2025-04-15,37327,0,0,0
2025-04-16,37327,0,0,0
2025-04-17,37327,0,0,0
2025-04-18,37327,0,0,0
2025-04-19,41342,0,0,0
2025-04-20,41342,0,0,0
2025-04-21,41342,0,0,0
2025-04-22,41342,0,0,0
2025-04-23,41342,0,0,0
2025-04-24,41342,0,0,0
2025-04-25,41342,0,0,0
2025-04-26,41342,0,0,0
2025-04-27,41342,0,0,0
2025-04-28,41342,0,0,0
2025-04-29,41342,0,0,0
2025-04-30,41342,0,0,0
2025-05-01,41342,0,0,0
2025-05-02,41342,0,0,0
2025-05-03,41342,0,0,0
2025-05-04,41342,0,0,0
2025-05-05,41342,0,0,0
2025-05-06,41342,0,0,0
2025-05-07,41342,0,0,0
2025-05-08,41342,0,0,0
2025-05-09,41342,0,0,0
2025-05-10,41342,0,0,0
2025-05-11,41342,0,0,0
2025-05-12,41342,0,0,0
2025-05-13,41342,0,0,0
2025-05-14,41342,0,0,0
2025-05-15,41342,0,0,0
2025-05-16,41342,0,0,0
2025-05-17,41342,0,0,0
2025-05-19,41342,0,0,0
2025-05-20,41342,0,0,0
2025-05-21,41342,0,0,0
2025-05-22,41342,0,0,0
2025-05-23,41342,0,0,0
2025-05-24,41342,0,0,0
2025-05-25,41342,0,0,0
2025-05-26,41342,0,0,0
2025-05-27,41342,0,0,0
2025-05-28,41342,0,0,0
2025-05-29,41342,0,0,0
2025-05-30,30699050,0,0,0
2025-05-31,30732577,0,0,0
2025-06-01,30732577,0,0,0
2025-06-02,30732577,0,0,0
2025-06-03,30732577,0,0,0
2025-06-04,30732577,0,0,0
2025-06-05,30732577,0,0,0
