date,tvl,apy,apy_base,apy_reward
2025-04-23,340016,0,0,0
2025-04-24,470648,0,0,0
2025-04-25,502096,0,0,0
2025-04-26,827203,0,0,0
2025-04-27,831618,0,0,0
2025-04-28,887438,0,0,0
2025-04-29,949126,0,0,0
2025-04-30,964761,0,0,0
2025-05-01,1003526,0,0,0
2025-05-02,1040628,0,0,0
2025-05-03,1051426,0,0,0
2025-05-04,1065269,0,0,0
2025-05-05,986891,0,0,0
2025-05-06,1099715,0,0,0
2025-05-07,1169400,0,0,0
2025-05-08,1151228,0,0,0
2025-05-09,1264862,0,0,0
2025-05-10,1452849,0,0,0
2025-05-11,1440316,0,0,0
2025-05-12,1514878,0,0,0
2025-05-13,1502486,0,0,0
2025-05-14,1590886,0,0,0
2025-05-15,1595967,0,0,0
2025-05-16,1720390,0,0,0
2025-05-17,1720638,0,0,0
2025-05-19,1760929,0,0,0
2025-05-20,1762270,0,0,0
2025-05-21,1444222,0,0,0
2025-05-22,1473294,0,0,0
2025-05-23,1487633,0,0,0
2025-05-24,1482477,0,0,0
2025-05-25,1478058,0,0,0
2025-05-26,1472992,0,0,0
2025-05-27,1524946,0,0,0
2025-05-28,1536724,0,0,0
2025-05-29,1532760,0,0,0
2025-05-30,1485941,0,0,0
2025-05-31,1483398,0,0,0
2025-06-01,1473720,0,0,0
2025-06-02,1450794,0,0,0
2025-06-03,1450794,0,0,0
2025-06-04,1451351,0,0,0
2025-06-05,1451653,0,0,0
