date,tvl,apy,apy_base,apy_reward
2025-01-02,2045,3.53707,3.53707,0.0
2025-01-03,2273,4.04029,4.04029,0.0
2025-01-04,2373,3.2585,3.2585,0.0
2025-01-05,3373,2.35087,2.35087,0.0
2025-01-06,2070941,1.80421,1.80421,0.0
2025-01-07,4876375,5.90432,5.90432,0.0
2025-01-08,4651794,8.68011,8.68011,0.0
2025-01-09,4487933,7.14774,7.14774,0.0
2025-01-10,6008603,7.67145,7.67145,0.0
2025-01-11,7423013,6.08293,6.08293,0.0
2025-01-12,7271638,5.51038,5.51038,0.0
2025-01-13,6251342,11.56193,11.56193,0.0
2025-01-14,5518825,5.9001,5.9001,0.0
2025-01-15,8331904,5.69926,5.69926,0.0
2025-01-16,8860240,5.83157,5.83157,0.0
2025-01-17,9912042,5.71915,5.71915,0.0
2025-01-18,11671209,5.98132,5.98132,0.0
2025-01-19,11048786,7.51378,7.51378,0.0
2025-01-20,9538421,7.49086,7.49086,0.0
2025-01-21,8352533,6.34186,6.34186,0.0
2025-01-22,7709922,6.39146,6.39146,0.0
2025-01-23,9471288,5.12374,5.12374,0.0
2025-01-24,10910444,16.15522,4.74488,11.41034
2025-01-25,10054783,15.12964,4.13787,10.99178
2025-01-26,10426180,14.75837,3.90515,10.85322
2025-01-27,10505637,17.69738,7.67971,10.01767
2025-01-28,11607003,14.46412,5.54182,8.9223
2025-01-29,11790220,14.01864,4.75094,9.2677
2025-01-30,11857727,13.90906,4.76626,9.1428
2025-01-31,11666015,13.3081,5.64159,7.66651
2025-02-01,11871459,12.50909,5.39243,7.11666
2025-02-02,11660940,11.28253,4.92254,6.35999
2025-02-03,9462803,15.27973,8.3681,6.91163
2025-02-04,7265079,14.07407,6.34805,7.72602
2025-02-05,8543219,12.17599,5.47278,6.70321
2025-02-06,8341277,11.94417,5.81474,6.12943
2025-02-07,7532211,11.51212,5.46615,6.04597
2025-02-08,7901086,10.58064,4.42453,6.15612
2025-02-09,7467934,10.41059,4.65199,5.7586
2025-02-10,7199707,10.45221,4.43588,6.01633
2025-02-11,6917228,12.42814,6.84366,5.58448
2025-02-12,6990291,14.30252,8.96347,5.33905
2025-02-13,6923542,12.42324,6.54206,5.88118
2025-02-14,11453629,10.80513,6.39816,4.40697
2025-02-15,11776347,10.45795,5.83549,4.62246
2025-02-16,10321282,10.40995,5.78153,4.62841
2025-02-17,10212259,17.41331,13.84339,3.56992
2025-02-18,11268569,19.84491,17.43305,2.41186
2025-02-19,11588701,14.32454,13.26804,1.05651
2025-02-20,12898697,10.51276,8.58304,1.92972
2025-02-21,10338684,9.70074,8.04441,1.65633
2025-02-22,8667794,9.47553,7.46163,2.0139
2025-02-23,7741545,8.6917,6.57946,2.11224
2025-02-24,7352993,8.77047,6.97085,1.79962
2025-02-25,6833375,10.0885,9.48438,0.60412
2025-02-26,6675083,7.82693,6.48164,1.34529
2025-02-27,6161463,9.2481,7.63085,1.61726
2025-02-28,5785004,8.43104,6.92146,1.50959
2025-03-01,5769080,8.29336,6.83492,1.45844
2025-03-02,5606660,8.67961,7.02835,1.65126
2025-03-03,5574672,8.12252,7.00663,1.11589
2025-03-04,5167128,7.09631,5.65898,1.43733
2025-03-05,4773502,7.70813,6.16422,1.54391
2025-03-06,4219473,6.81366,5.4167,1.39696
2025-03-07,4147403,7.80535,6.57845,1.2269
2025-03-08,4372194,9.13615,8.05225,1.0839
2025-03-09,4438375,7.67907,6.76145,0.91763
2025-03-10,4293172,6.46667,5.55429,0.91238
2025-03-11,4261261,6.25138,5.60639,0.64499
2025-03-12,4261285,6.42142,5.7339,0.68752
2025-03-13,3998838,5.82643,5.07371,0.75272
2025-03-14,3939740,6.17081,5.42132,0.74949
2025-03-15,3939740,6.17081,5.42132,0.74949
2025-03-16,3939740,6.17081,5.42132,0.74949
2025-03-17,3939741,6.17137,5.42132,0.75005
2025-03-18,3326906,5.27722,4.43699,0.84023
2025-03-19,3261635,5.90932,5.06468,0.84464
2025-03-20,4452412,6.21685,5.42184,0.79501
2025-03-21,4531946,11.44568,11.44568,0.0
2025-03-22,4778455,6.36434,4.69543,1.66891
2025-03-23,4471543,7.53045,6.50368,1.02677
2025-03-24,4473038,6.9287,6.14016,0.78854
2025-03-25,4224978,7.09425,6.27745,0.8168
2025-03-26,4159676,6.12927,5.1796,0.94968
2025-03-27,4095107,6.2621,5.20088,1.06121
2025-03-28,3997428,6.79192,6.01694,0.77499
2025-03-29,3643522,6.98392,6.332,0.65192
2025-03-30,3624444,5.20338,4.40921,0.79417
2025-03-31,3533028,3.41236,2.45016,0.9622
2025-04-01,2186148,5.6628,4.91982,0.74298
2025-04-02,2397324,7.06442,6.55396,0.51046
2025-04-03,2560810,12.16798,12.16798,0.0
2025-04-04,2725664,7.13359,7.13359,0.0
2025-04-05,2737290,6.87745,6.87745,0.0
2025-04-06,2545295,7.69232,7.69232,0.0
2025-04-07,2253480,3.84303,3.84303,0.0
2025-04-08,1795966,3.95342,3.34638,0.60704
2025-04-09,1734018,3.54384,2.74992,0.79392
2025-04-10,1529385,5.02489,4.47689,0.548
2025-04-11,1433185,6.9586,6.61848,0.34013
2025-04-12,1752307,4.79629,4.17306,0.62323
2025-04-13,1390547,5.09375,4.5989,0.49486
2025-04-14,1309324,4.98435,4.46594,0.51842
2025-04-15,1307681,5.87535,5.58384,0.2915
2025-04-16,1283729,5.00643,4.61185,0.39458
2025-04-17,1262331,4.96774,4.50521,0.46253
2025-04-18,1260466,4.6807,4.49842,0.18228
2025-04-19,1252911,4.57716,4.35747,0.21969
2025-04-20,1217420,4.73604,4.55253,0.18352
2025-04-21,1196112,4.62063,4.42241,0.19822
2025-04-22,1184390,4.71663,4.47044,0.24619
2025-04-23,1158705,4.79757,4.46979,0.32779
2025-04-24,1152942,4.75458,4.40793,0.34665
2025-04-25,1129168,4.70259,4.30862,0.39397
2025-04-26,1085827,4.64801,4.17509,0.47292
2025-04-27,1058920,5.38741,5.04478,0.34263
2025-04-28,1006226,4.66124,4.25652,0.40472
2025-04-29,992881,5.65564,5.38348,0.27216
2025-04-30,992255,6.54893,6.3519,0.19704
2025-05-01,978804,9.2683,9.19395,0.07435
2025-05-02,954512,4.82806,4.261,0.56706
2025-05-03,944160,5.5836,5.15087,0.43273
2025-05-04,941604,4.77602,4.24137,0.53465
2025-05-05,947569,4.78799,4.24276,0.54523
2025-05-06,731190,4.8332,4.17154,0.66166
2025-05-07,721209,4.78437,4.15099,0.63338
2025-05-08,714847,5.00661,4.15938,0.84722
2025-05-09,713651,4.97949,4.13386,0.84564
2025-05-10,657937,5.05547,4.0567,0.99878
2025-05-11,656218,5.02995,4.09287,0.93708
2025-05-12,641141,4.95167,4.03006,0.92161
2025-05-13,608005,5.13778,4.09268,1.0451
2025-05-14,607819,5.07347,4.09095,0.98252
2025-05-15,605531,6.32284,5.48542,0.83742
2025-05-16,605575,5.16973,4.22114,0.94859
2025-05-17,605587,5.02374,4.13839,0.88535
2025-05-19,447628,5.26017,4.32617,0.934
2025-05-20,458457,5.45226,4.5082,0.94406
2025-05-21,444514,5.62028,4.73986,0.88042
2025-05-22,434650,5.8828,4.6652,1.2176
2025-05-23,429841,5.47687,4.58156,0.89531
2025-05-24,417739,5.35368,4.52756,0.82612
2025-05-25,396934,5.2357,4.45654,0.77916
2025-05-26,398736,5.55382,4.7976,0.75623
2025-05-27,470893,10.92634,3.58835,7.33799
2025-05-28,771042,8.94767,4.32559,4.62209
2025-05-29,1110306,6.35324,2.89415,3.45909
2025-05-30,852547,8.3413,4.47397,3.86734
2025-05-31,1072624,6.76703,3.54974,3.21729
2025-06-01,1034437,7.43247,4.13668,3.29579
2025-06-02,1089798,7.32544,3.85045,3.47499
2025-06-03,1104540,7.66341,3.94995,3.71346
2025-06-04,1136152,8.11014,4.65854,3.45161
2025-06-05,1185642,4.21903,4.21903,0.0
