date,tvl,apy,apy_base,apy_reward
2025-04-04,459801,1.967,1.967,0.0
2025-04-05,415453,3.38347,3.38347,0.0
2025-04-06,1408161,1.01307,1.01307,0.0
2025-04-07,1410672,0.7638,0.7638,0.0
2025-04-08,1410098,2.87057,2.87057,0.0
2025-04-09,1410443,10.5723,10.5723,0.0
2025-04-10,1560639,2.6258,2.6258,0.0
2025-04-11,1689437,6.56651,6.56651,0.0
2025-04-12,1689682,8.39274,8.39274,0.0
2025-04-13,1690072,6.8111,6.8111,0.0
2025-04-14,1690411,17.17086,17.17086,0.0
2025-04-15,1720015,8.33527,8.33527,0.0
2025-04-16,1968348,13.33973,13.33973,0.0
2025-04-17,2241259,21.88642,21.88642,0.0
2025-04-18,2848665,4.5311,4.45573,0.07537
2025-04-19,2605148,7.3671,7.3671,0.0
2025-04-20,2954705,4.595,4.51982,0.07518
2025-04-21,2914176,22.712,22.712,0.0
2025-04-22,3589921,5.33455,5.29123,0.04332
2025-04-23,3313990,6.85618,6.85618,0.0
2025-04-24,3778769,4.99255,4.81939,0.17316
2025-04-25,3745043,5.76874,5.68646,0.08228
2025-04-26,4149084,19.02345,19.02345,0.0
2025-04-27,5178207,12.52268,12.52268,0.0
2025-04-28,5410537,10.5979,10.5979,0.0
2025-04-29,4417006,6.04065,5.94537,0.09528
2025-04-30,5848250,5.92007,5.81547,0.10461
2025-05-01,5022180,8.8278,8.8278,0.0
2025-05-02,4833525,6.56478,6.38466,0.18012
2025-05-03,4660817,7.64319,7.6238,0.01939
2025-05-04,4790623,7.54735,7.54735,0.0
2025-05-05,5226723,8.17609,8.17609,0.0
2025-05-06,7017286,7.82158,7.7026,0.11898
2025-05-07,6500830,8.95315,8.95315,0.0
2025-05-08,7115367,5.56724,5.02728,0.53996
2025-05-09,5128659,9.84696,9.78446,0.0625
2025-05-10,5034050,7.04281,6.53672,0.5061
2025-05-11,4914768,7.48589,7.08536,0.40053
2025-05-12,4953521,6.34734,5.83785,0.50949
2025-05-13,4741106,6.80479,6.22813,0.57666
2025-05-14,4716073,9.66049,9.46021,0.20029
2025-05-15,5021561,10.47367,10.36861,0.10506
2025-05-16,6960834,10.22377,10.1013,0.12247
2025-05-17,6961126,10.25173,10.19877,0.05296
2025-05-19,6390753,10.60095,10.52663,0.07432
2025-05-20,6429005,10.32053,10.18827,0.13226
2025-05-21,6868479,7.35265,6.92737,0.42528
2025-05-22,6832480,10.33345,10.18961,0.14384
2025-05-23,6559689,9.61541,9.48834,0.12707
2025-05-24,6591901,8.72352,8.52196,0.20155
2025-05-25,6951842,7.54744,7.26341,0.28402
2025-05-26,7399387,18.87402,18.87402,0.0
2025-05-27,14028981,5.52524,4.98992,0.53533
2025-05-28,13542382,5.71545,5.26055,0.45491
2025-05-29,10355556,8.65715,8.53209,0.12506
2025-05-30,10234002,11.01505,11.01505,0.0
2025-05-31,12118149,6.11652,5.77724,0.33927
2025-06-01,11400496,6.62344,6.32204,0.30139
2025-06-02,11350320,6.63942,6.35677,0.28265
2025-06-03,11088738,6.82472,6.52264,0.30208
2025-06-04,10068772,6.99724,6.99567,0.00157
2025-06-05,9934592,8.13083,8.13083,0.0
