date,tvl,apy,apy_base,apy_reward
2024-07-03,232234,51.04183,1.87768,49.16416
2024-07-04,372889,40.61818,13.82697,26.79121
2024-07-05,465023,2.64489,2.64489,0.0
2024-07-06,597991,2.86701,2.86701,0.0
2024-07-07,618169,2.69346,2.69346,0.0
2024-07-08,630278,16.769,2.84714,13.92186
2024-07-09,636976,19.95129,6.91712,13.03416
2024-07-10,868808,2.14186,2.14186,0.0
2024-07-11,828480,12.47404,2.62023,9.85382
2024-07-12,794872,14.05475,3.76935,10.28541
2024-07-13,794057,3.84101,3.84101,0.0
2024-07-14,818901,22.29007,12.38327,9.9068
2024-07-15,1339897,2.46112,2.46112,0.0
2024-07-16,1261262,10.97298,3.75659,7.21639
2024-07-17,1259614,14.18443,7.48447,6.69996
2024-07-18,1260234,14.04008,7.63365,6.40642
2024-07-19,2245605,1.69744,1.69744,0.0
2024-07-20,2198558,6.76295,2.44025,4.3227
2024-07-21,2072805,7.23321,2.6253,4.60791
2024-07-22,1913065,17.77302,13.93642,3.8366
2024-07-23,1877432,22.78037,19.28769,3.49268
2024-07-24,1955718,16.6742,13.11321,3.56099
2024-07-25,1837827,26.42522,23.95433,2.47089
2024-07-26,1800294,9.53548,5.07295,4.46253
2024-07-27,1843390,9.23514,4.84462,4.39052
2024-07-28,1823049,9.40147,4.91345,4.48802
2024-07-29,1508083,15.66376,10.67715,4.98661
2024-07-30,1517399,14.87281,9.88061,4.9922
2024-07-31,1402233,28.34078,28.34078,0.0
2024-08-01,1523190,10.71143,10.71143,0.0
2024-08-02,1499069,17.71506,13.79716,3.91791
2024-08-03,1398809,35.85911,33.90011,1.959
2024-08-04,1422323,10.41798,6.26681,4.15118
2024-08-05,546233,42.54173,35.38148,7.16025
2024-08-06,881631,10.27427,3.96804,6.30623
2024-08-07,881823,10.48936,3.93042,6.55894
2024-08-08,1468157,6.43616,1.59279,4.84337
2024-08-09,1445294,6.4793,1.50359,4.97571
2024-08-10,1444805,6.65343,1.44597,5.20747
2024-08-11,1412935,6.5988,1.34591,5.25289
2024-08-12,1168902,9.23545,1.82786,7.40759
2024-08-13,1170089,9.18743,1.75048,7.43695
2024-08-14,1195079,1.57794,1.57794,0.0
2024-08-15,1162204,8.76877,1.65858,7.11019
2024-08-16,895740,11.1484,2.31923,8.82917
2024-08-17,1405517,6.94049,1.06455,5.87594
2024-08-18,1405671,6.8041,1.01012,5.79398
2024-08-19,1405441,6.72727,0.97384,5.75342
2024-08-20,911154,10.562,1.79321,8.76879
2024-08-21,910215,1.76492,1.76492,0.0
2024-08-22,1171507,1.09184,1.09184,0.0
2024-08-23,1092004,1.16783,1.16783,0.0
2024-08-24,941817,11.30287,1.4365,9.86637
2024-08-25,941896,11.50154,1.40928,10.09226
2024-08-26,941946,11.53058,1.38207,10.14851
2024-08-27,940931,10.60291,1.29173,9.31118
2024-08-28,920058,11.86086,1.29217,10.56869
2024-08-29,952330,11.78646,1.18847,10.598
2024-08-30,954781,11.63545,1.12184,10.51361
2024-08-31,957957,11.68288,1.0756,10.60728
2024-09-01,1009408,11.39577,0.94977,10.44601
2024-09-02,1017819,11.1333,0.92439,10.20891
2024-09-03,1020924,9.67558,0.87482,8.80077
2024-09-04,1019115,0.85611,0.85611,0.0
2024-09-05,1021139,9.17267,0.79686,8.37581
2024-09-06,1020856,8.3462,0.78128,7.56492
2024-09-07,1021124,0.12361,0.12361,0.0
2024-09-10,1039697,0.09407,0.09407,0.0
2024-09-11,1025007,0.08611,0.08611,0.0
2024-09-12,1025785,0.08611,0.08611,0.0
2024-09-13,1024636,0.08304,0.08304,0.0
2024-09-14,1024088,0.07087,0.07087,0.0
2024-09-15,1018143,0.06196,0.06196,0.0
2024-09-16,1003628,0.05974,0.05974,0.0
2024-09-17,1018454,0.04337,0.04337,0.0
2024-09-18,1018599,0.04027,0.04027,0.0
2024-09-19,1018151,0.03717,0.03717,0.0
