date,tvl,apy,apy_base,apy_reward
2024-07-23,1032505,1.95912,1.95912,0.0
2024-07-24,1371206,52.5609,3.33138,49.22952
2024-07-25,1635273,41.38298,2.47027,38.91271
2024-07-26,1737649,1.80157,1.80157,0.0
2024-07-27,2688555,29.41771,5.43755,23.98016
2024-07-28,2670766,2.4669,2.4669,0.0
2024-07-29,2947656,2.15536,2.15536,0.0
2024-07-30,2976259,23.39019,2.3566,21.03359
2024-07-31,2976864,23.01021,2.35972,20.65049
2024-08-01,3477697,19.3127,2.00214,17.31056
2024-08-02,3460852,18.78742,2.79385,15.99358
2024-08-03,3399328,17.31642,2.00155,15.31487
2024-08-04,3628427,15.29483,1.50729,13.78753
2024-08-05,1705206,28.39723,2.2337,26.16353
2024-08-06,2597732,26.15676,9.00999,17.14677
2024-08-07,2634190,27.5549,11.56711,15.9878
2024-08-08,3355725,17.2148,2.34461,14.87019
2024-08-09,3314530,17.57983,2.68376,14.89607
2024-08-10,3630342,16.72719,3.0931,13.63409
2024-08-11,3558227,16.27721,3.16303,13.11418
2024-08-12,3646673,16.47187,3.04996,13.42191
2024-08-13,3716039,17.59,4.05133,13.53868
2024-08-14,3716948,8.63136,8.63136,0.0
2024-08-15,3644496,23.40019,10.63799,12.7622
2024-08-16,4006463,18.59842,5.76789,12.83054
2024-08-17,4163239,18.66994,4.85261,13.81733
2024-08-18,4268515,18.95673,4.89513,14.0616
2024-08-19,4267927,18.99161,5.10364,13.88797
2024-08-20,4313066,20.54833,5.14891,15.39942
2024-08-21,4351695,4.94709,4.94709,0.0
2024-08-22,3015699,2.67651,2.67651,0.0
2024-08-23,2776629,2.89261,2.89261,0.0
2024-08-24,5181928,19.41087,3.49743,15.91344
2024-08-25,5183959,20.08192,4.26395,15.81798
2024-08-26,5501720,18.32113,3.33113,14.99
2024-08-27,5679321,19.32928,4.9511,14.37818
2024-08-28,6800086,15.02961,2.91193,12.11768
2024-08-29,6794734,15.01588,2.89873,12.11714
2024-08-30,6797253,15.00839,2.8934,12.11499
2024-08-31,6803285,14.97038,2.87179,12.09859
2024-09-01,7546194,13.69201,2.80343,10.88858
2024-09-02,7630157,13.36026,2.57542,10.78485
2024-09-03,7897658,13.28329,2.89885,10.38444
2024-09-04,7502255,13.77985,2.82857,10.95128
2024-09-05,7479948,12.31903,2.83302,9.48602
2024-09-06,6280369,13.59235,2.17083,11.42152
2024-09-07,6282738,1.36941,1.36941,0.0
2024-09-10,7588137,1.9834,1.9834,0.0
2024-09-11,7680827,1.95698,1.95698,0.0
2024-09-12,7699423,2.04019,2.04019,0.0
2024-09-13,7753832,2.02112,2.02112,0.0
2024-09-14,7752965,2.02139,2.02139,0.0
2024-09-15,7633787,2.37599,2.37599,0.0
2024-09-16,7536071,2.08215,2.08215,0.0
2024-09-17,7537463,2.06886,2.06886,0.0
2024-09-18,7540655,1.84346,1.84346,0.0
2024-09-19,7541329,1.83749,1.83749,0.0
2024-09-20,7489525,1.84473,1.84473,0.0
2024-09-21,7479492,1.84142,1.84142,0.0
2024-09-22,7474583,1.96539,1.96539,0.0
2024-09-23,7474002,1.95666,1.95666,0.0
2024-09-24,7857288,2.2227,2.2227,0.0
2024-09-25,7826733,2.24146,2.24146,0.0
2024-09-26,7386664,2.20426,2.20426,0.0
2024-09-27,7416332,2.06864,2.06864,0.0
2024-09-28,7417455,2.06793,2.06793,0.0
2024-09-29,7417380,2.06723,2.06723,0.0
2024-09-30,7427322,2.09482,2.09482,0.0
2024-10-01,7428214,2.09674,2.09674,0.0
2024-10-02,7413883,2.09741,2.09741,0.0
2024-10-03,7404855,2.10411,2.10411,0.0
2024-10-04,7349036,2.11739,2.11739,0.0
2024-10-05,7350130,2.11759,2.11759,0.0
2024-10-06,7346586,2.12096,2.12096,0.0
2024-10-07,7347351,2.1212,2.1212,0.0
2024-10-08,7348559,2.13761,2.13761,0.0
2024-10-09,7198556,3.42074,3.42074,0.0
2024-10-10,8198345,3.08435,3.08435,0.0
2024-10-11,8497399,2.15875,2.15875,0.0
2024-10-12,8496055,2.15305,2.15305,0.0
2024-10-13,8496000,2.14691,2.14691,0.0
2024-10-14,8496119,2.19098,2.19098,0.0
2024-10-15,8375768,2.22414,2.22414,0.0
2024-10-16,8376832,2.25347,2.25347,0.0
2024-10-17,8278408,2.27674,2.27674,0.0
2024-10-18,8276207,2.24464,2.24464,0.0
2024-10-19,8278383,2.2371,2.2371,0.0
2024-10-20,8242666,2.22264,2.22264,0.0
2024-10-21,8508876,2.30472,2.30472,0.0
2024-10-22,8507022,2.30536,2.30536,0.0
2024-10-23,8508081,2.30636,2.30636,0.0
2024-10-24,8508513,2.30724,2.30724,0.0
2024-10-25,8531463,2.30215,2.30215,0.0
2024-10-26,8532271,2.31226,2.31226,0.0
2024-10-27,8532657,2.31312,2.31312,0.0
2024-10-28,8528684,2.31989,2.31989,0.0
2024-10-29,8541224,2.31921,2.31921,0.0
2024-10-30,8541828,2.3201,2.3201,0.0
2024-10-31,8541810,2.321,2.321,0.0
2024-11-01,7528174,2.6569,2.6569,0.0
2024-11-02,7555850,2.92847,2.92847,0.0
2024-11-03,7555199,2.76206,2.76206,0.0
2024-11-04,7537751,2.6045,2.6045,0.0
2024-11-05,7537936,2.57366,2.57366,0.0
2024-11-06,7541130,2.57266,2.57266,0.0
2024-11-07,7542689,2.57166,2.57166,0.0
2024-11-08,7110492,3.50102,3.50102,0.0
2024-11-09,7107283,3.74273,3.74273,0.0
2024-11-10,7110423,3.70213,3.70213,0.0
2024-11-11,7112229,3.76146,3.76146,0.0
2024-11-12,7111894,3.88785,3.88785,0.0
2024-11-13,7112217,3.98611,3.98611,0.0
2024-11-14,6830570,3.59423,3.59423,0.0
2024-11-15,6821280,3.66958,3.66958,0.0
2024-11-16,6742678,5.06419,5.06419,0.0
2024-11-17,6362691,3.1798,3.1798,0.0
2024-11-18,6142238,6.79291,6.79291,0.0
2024-11-19,5825811,3.13187,3.13187,0.0
2024-11-20,5801816,2.32323,2.32323,0.0
2024-11-21,5537731,2.20995,2.20995,0.0
2024-11-22,7738431,2.44599,2.44599,0.0
2024-11-23,7731515,2.41415,2.41415,0.0
2024-11-24,9172959,2.58014,2.58014,0.0
2024-11-25,9176125,3.86595,3.86595,0.0
2024-11-26,8312263,4.32449,4.32449,0.0
2024-11-27,8738172,4.67554,4.67554,0.0
2024-11-28,8733935,4.77574,4.77574,0.0
2024-11-29,8722880,4.98011,4.98011,0.0
2024-11-30,8727330,5.11016,5.11016,0.0
2024-12-01,7539599,8.25172,8.25172,0.0
2024-12-02,7691113,6.07344,6.07344,0.0
2024-12-03,8485917,10.85272,10.85272,0.0
2024-12-04,7425813,9.01419,9.01419,0.0
2024-12-05,8783087,7.4059,7.4059,0.0
2024-12-06,8790736,7.65658,7.65658,0.0
2024-12-07,8793510,7.9147,7.9147,0.0
2024-12-08,8117578,8.04723,8.04723,0.0
2024-12-09,7361193,7.26886,7.26886,0.0
2024-12-10,7353293,4.68334,4.68334,0.0
2024-12-11,6191128,12.19547,12.19547,0.0
2024-12-12,5334965,9.38248,9.38248,0.0
2024-12-13,5335333,9.70707,9.70707,0.0
2024-12-14,5032700,9.11896,9.11896,0.0
2024-12-15,6029430,8.00507,8.00507,0.0
2024-12-16,5137375,6.08706,6.08706,0.0
2024-12-17,5152360,5.8214,5.8214,0.0
2024-12-18,5153326,5.81499,5.81499,0.0
2024-12-19,4623182,12.04705,12.04705,0.0
2024-12-20,3782816,6.2079,6.2079,0.0
2024-12-21,3721000,7.57596,7.57596,0.0
2024-12-22,3745386,6.53409,6.53409,0.0
2024-12-23,3727031,6.80632,6.80632,0.0
2024-12-24,4202511,5.3409,5.3409,0.0
2024-12-25,4220247,5.40094,5.40094,0.0
2024-12-26,5474703,6.17284,6.17284,0.0
2024-12-27,5477068,6.47174,6.47174,0.0
2024-12-28,5478632,6.46487,6.46487,0.0
2024-12-29,5479556,6.35066,6.35066,0.0
2024-12-30,5293450,6.42237,6.42237,0.0
2024-12-31,5291334,6.4324,6.4324,0.0
2025-01-01,5292024,6.43642,6.43642,0.0
2025-01-02,5473992,6.39608,6.39608,0.0
