date,tvl,apy,apy_base,apy_reward
2024-12-04,331488,6.10459,6.10459,0
2024-12-05,1312514,0.69821,0.69821,0
2024-12-06,1312864,9.64572,9.64572,0
2024-12-07,1313194,9.6569,9.6569,0
2024-12-08,1313525,9.66812,9.66812,0
2024-12-09,1313857,9.67934,9.67934,0
2024-12-10,1314189,9.69059,9.69059,0
2024-12-11,1314520,9.70181,9.70181,0
2024-12-12,1852279,5.21764,5.21764,0
2024-12-13,1852737,9.48641,9.48641,0
2024-12-14,1853197,9.48029,9.48029,0
2024-12-15,1853657,9.47416,9.47416,0
2024-12-16,1854116,9.46804,9.46804,0
2024-12-17,1854576,9.46193,9.46193,0
2024-12-18,2687586,9.47558,9.47558,0
2024-12-19,2688252,9.47206,9.47206,0
2024-12-20,2688917,9.46855,9.46855,0
2024-12-21,2998955,7.69228,7.69228,0
2024-12-22,2999558,7.57849,7.57849,0
2024-12-23,3000156,7.46598,7.46598,0
2024-12-24,3000742,7.3557,7.3557,0
2024-12-25,3001322,7.24697,7.24697,0
2024-12-26,3001894,7.13979,7.13979,0
2024-12-27,3002456,7.03481,7.03481,0
2024-12-28,3003012,6.93137,6.93137,0
2024-12-29,3003560,6.82968,6.82968,0
2024-12-30,3004101,6.72954,6.72954,0
2024-12-31,3004634,6.63136,6.63136,0
2025-01-01,3005160,6.53493,6.53493,0
2025-01-02,3005678,6.44023,6.44023,0
2025-01-03,3006189,6.34746,6.34746,0
2025-01-04,3006695,6.25605,6.25605,0
2025-01-05,3007192,6.16673,6.16673,0
2025-01-06,3007683,6.07896,6.07896,0
2025-01-07,3008168,5.9929,5.9929,0
2025-01-08,3008648,5.9084,5.9084,0
2025-01-09,3009121,5.82581,5.82581,0
2025-01-10,3009587,5.74492,5.74492,0
2025-01-11,3010048,5.66572,5.66572,0
2025-01-12,3010504,5.58824,5.58824,0
2025-01-13,3010953,5.51246,5.51246,0
2025-01-14,3011357,5.356,5.356,0
2025-01-15,3011793,5.28035,5.28035,0
2025-01-16,3012223,5.20554,5.20554,0
2025-01-17,3012622,3.08598,3.08598,0
2025-01-18,3012867,2.94763,2.94763,0
2025-01-19,3013101,2.81585,2.81585,0
2025-01-20,3013326,2.69064,2.69064,0
2025-01-21,3013532,2.57677,2.57677,0
2025-01-22,3013746,2.4598,2.4598,0
2025-01-23,3013944,2.35414,2.35414,0
2025-01-24,2060607,4.49328,4.49328,0
