date,tvl,apy,apy_base,apy_reward
2025-03-14,27323,0.00483,0.00483,0.0
2025-03-15,27323,0.00483,0.00483,0.0
2025-03-16,27323,0.00483,0.00483,0.0
2025-03-17,27323,0.00483,0.00483,0.0
2025-03-18,38612,0.00362,0.00362,0.0
2025-03-19,41618,0.00206,0.00206,0.0
2025-03-20,50212,0.00172,0.00172,0.0
2025-03-21,274814,0.00192,0.00192,0.0
2025-03-22,413183,0.00167,0.00167,0.0
2025-03-23,432586,0.00143,0.00143,0.0
2025-03-24,392287,0.00126,0.00126,0.0
2025-03-25,139505,0.00092,0.00092,0.0
2025-03-26,202625,0.00134,0.00134,0.0
2025-03-27,423792,0.00108,0.00108,0.0
2025-03-28,538471,0.00088,0.00088,0.0
2025-03-29,603353,0.00077,0.00077,0.0
2025-03-30,817556,0.00068,0.00068,0.0
2025-03-31,1936725,0.00045,0.00045,0.0
2025-04-01,1298333,0.00046,0.00046,0.0
2025-04-02,1785269,0.00045,0.00045,0.0
2025-04-03,1713712,0.00046,0.00046,0.0
2025-04-04,10011593,0.00102,0.00102,0.0
2025-04-05,19271286,0.00057,0.00057,0.0
2025-04-06,18751047,0.00063,0.00063,0.0
2025-04-07,11972415,0.00092,0.00092,0.0
2025-04-08,5355454,0.00238,0.00238,0.0
2025-04-09,5166146,0.00222,0.00222,0.0
2025-04-10,5156865,0.00226,0.00226,0.0
2025-04-11,4339538,0.0039,0.0039,0.0
2025-04-12,4321967,0.00716,0.00716,0.0
2025-04-13,4308648,0.00547,0.00547,0.0
2025-04-14,4231253,0.00568,0.00568,0.0
2025-04-15,4203613,0.00581,0.00581,0.0
2025-04-16,4203409,0.00584,0.00584,0.0
2025-04-17,4127655,0.00612,0.00612,0.0
2025-04-18,4139249,0.00593,0.00593,0.0
2025-04-19,4124805,0.00598,0.00598,0.0
2025-04-20,4120775,0.00601,0.00601,0.0
2025-04-21,4121167,0.00623,0.00623,0.0
2025-04-22,4014767,0.00654,0.00654,0.0
2025-04-23,974120,0.06419,0.06419,0.0
2025-04-24,949226,5.38066,0.18493,5.19573
2025-04-25,892511,5.48901,0.2624,5.22661
2025-04-26,879922,5.57928,0.28706,5.29222
2025-04-27,884089,5.54511,0.29577,5.24934
2025-04-28,884162,5.5567,0.32449,5.23221
2025-04-29,884385,5.59802,0.35561,5.24241
2025-04-30,884588,0.10051,0.10051,0.0
2025-05-01,879986,0.09793,0.09793,0.0
2025-05-02,762539,0.05447,0.05447,0.0
2025-05-03,764024,0.04834,0.04834,0.0
2025-05-04,764174,0.04609,0.04609,0.0
2025-05-05,764310,0.04393,0.04393,0.0
2025-05-06,780206,0.0469,0.0469,0.0
2025-05-07,780253,0.03312,0.03312,0.0
2025-05-08,774416,0.03161,0.03161,0.0
2025-05-09,766616,0.03049,0.03049,0.0
2025-05-10,766718,0.02882,0.02882,0.0
2025-05-11,756781,0.02799,0.02799,0.0
2025-05-12,753719,0.02673,0.02673,0.0
2025-05-13,752289,0.02541,0.02541,0.0
2025-05-14,752283,0.01596,0.01596,0.0
2025-05-15,752388,0.00222,0.00222,0.0
2025-05-16,752536,0.00223,0.00223,0.0
2025-05-17,752455,0.00223,0.00223,0.0
2025-05-19,729014,0.00234,0.00234,0.0
2025-05-20,729044,0.00234,0.00234,0.0
2025-05-21,729109,0.00234,0.00234,0.0
2025-05-22,729177,0.00207,0.00207,0.0
2025-05-23,729269,0.00207,0.00207,0.0
2025-05-24,729367,0.00207,0.00207,0.0
2025-05-25,729442,0.00207,0.00207,0.0
2025-05-26,729557,0.00207,0.00207,0.0
2025-05-27,729609,0.00207,0.00207,0.0
2025-05-28,729660,0.00207,0.00207,0.0
2025-05-29,729786,0.0393,0.0393,0.0
2025-05-30,729864,0.03557,0.03557,0.0
2025-05-31,730034,0.03247,0.03247,0.0
2025-06-01,730032,0.02952,0.02952,0.0
2025-06-02,730277,0.02685,0.02685,0.0
2025-06-03,177373,0.2053,0.2053,0.0
2025-06-04,177403,0.16004,0.16004,0.0
