date,tvl,apy,apy_base,apy_reward
2024-06-06,2213621,30.54667,29.4298,1.11687
2024-06-07,2685301,24.11397,22.39534,1.71863
2024-06-08,4204093,19.33373,17.93347,1.40027
2024-06-09,5543265,46.35642,44.07832,2.2781
2024-06-10,8403867,16.18035,16.18035,0.0
2024-06-11,4871001,22.99839,22.77288,0.22551
2024-06-12,6571632,18.39695,18.32828,0.06866
2024-06-13,6217226,18.94758,18.94758,0.0
2024-06-14,6319325,18.55313,18.55313,0.0
2024-06-15,7466275,16.15704,16.15704,0.0
2024-06-16,9157760,14.36342,14.36342,0.0
2024-06-17,9207174,14.23593,14.23593,0.0
2024-06-18,10790200,13.28537,13.28537,0.0
2024-06-19,8447036,15.70987,15.70987,0.0
2024-06-20,8551301,15.61716,15.61716,0.0
2024-06-21,11798696,13.16506,13.16506,0.0
2024-06-22,11659133,13.24539,13.24539,0.0
2024-06-23,11821626,12.87077,12.87077,0.0
2024-06-24,10955940,13.34111,13.34111,0.0
2024-06-25,12819699,12.46198,12.46198,0.0
2024-06-26,12984571,12.14943,12.14943,0.0
2024-06-27,13752569,11.62102,11.62102,0.0
2024-06-28,14820031,11.36236,11.36236,0.0
2024-06-29,14615281,10.3132,10.3132,0.0
2024-06-30,15776851,9.38796,9.38796,0.0
2024-07-01,16643666,11.11324,9.85404,1.25921
2024-07-02,18162022,10.57118,9.43345,1.13773
2024-07-03,17909463,10.55337,9.45006,1.10331
2024-07-04,20049890,10.10394,9.18081,0.92312
2024-07-05,20114073,8.24371,8.24371,0.0
2024-07-06,21238760,8.35268,7.49378,0.85891
2024-07-07,21619568,8.1793,7.372,0.8073
2024-07-08,21362894,8.22205,7.39052,0.83154
2024-07-09,23363456,8.03863,7.26997,0.76865
2024-07-10,25030147,7.44783,6.90047,0.54736
2024-07-11,23870616,7.40792,6.82514,0.58279
2024-07-12,25291285,6.79486,6.23432,0.56054
2024-07-13,25319515,6.75874,6.18647,0.57227
2024-07-14,24669508,6.85001,6.24468,0.60533
2024-07-15,24851671,6.1802,6.1802,0.0
2024-07-16,24003022,7.07714,2.83995,4.23719
2024-07-17,22043796,7.54954,6.90058,0.64896
2024-07-18,22054181,7.43588,6.91594,0.51994
2024-07-19,23337801,6.21271,6.21271,0.0
2024-07-20,23969638,6.60925,5.98779,0.62146
2024-07-21,23952658,6.51114,5.89043,0.62071
2024-07-22,23603240,7.37346,6.76526,0.6082
2024-07-23,23428310,7.0095,6.40762,0.60188
2024-07-24,24327263,7.21822,6.64631,0.57191
2024-07-25,28231931,6.69094,6.32907,0.36187
2024-07-26,28154171,6.68048,6.29824,0.38223
2024-07-27,28164231,6.85141,6.34617,0.50523
2024-07-28,28192163,6.81173,6.27181,0.53993
2024-07-29,28617108,6.65794,5.98999,0.66795
