date,tvl,apy,apy_base,apy_reward
2024-06-18,137387,0.02296,0.02296,0.0
2024-06-19,144749,0.04358,0.04358,0.0
2024-06-20,147756,0.29925,0.29925,0.0
2024-06-21,1003373,31.91553,0.13524,31.78029
2024-06-22,1198722,15.58097,0.30564,15.27534
2024-06-23,1383965,15.57379,0.2304,15.34339
2024-06-24,1943778,12.03415,0.25667,11.77748
2024-06-25,1719120,12.83058,0.28287,12.5477
2024-06-26,1732558,13.96589,0.45786,13.50803
2024-06-27,2141148,0.30085,0.30085,0.0
2024-06-28,2702795,9.09966,0.17397,8.92569
2024-06-29,3217590,8.13711,0.2178,7.91931
2024-06-30,3200201,8.08558,0.23181,7.85377
2024-07-01,2212322,10.65648,0.27691,10.37957
2024-07-02,2315287,8.2444,0.27413,7.97027
2024-07-03,2364937,9.31034,0.20689,9.10345
2024-07-04,2302682,10.13828,1.43176,8.70652
2024-07-05,2372468,11.0944,2.07076,9.02364
2024-07-06,2472409,10.4275,1.34047,9.08703
2024-07-07,2755721,13.95056,1.38741,12.56316
2024-07-08,3410735,12.46486,1.37962,11.08524
2024-07-09,4686435,9.31358,0.91671,8.39687
2024-07-10,4464180,11.40048,2.75116,8.64932
2024-07-11,5739086,8.37974,1.14012,7.23962
2024-07-12,5928198,1.30605,1.30605,0.0
2024-07-13,6405342,7.88376,1.08758,6.79618
2024-07-14,6928896,6.26091,0.60395,5.65697
2024-07-15,7033169,8.49098,1.99076,6.50022
2024-07-16,7626913,7.43281,1.35029,6.08252
2024-07-17,7778911,6.81382,1.64595,5.16787
2024-07-18,5254293,11.68064,2.71851,8.96213
2024-07-19,4988700,2.10805,2.10805,0.0
2024-07-20,4878258,3.13083,3.13083,0.0
2024-07-21,4423556,6.51767,6.51767,0.0
2024-07-22,4349601,3.08752,3.08752,0.0
2024-07-23,4201205,3.55663,3.55663,0.0
2024-07-24,3804876,3.05337,3.05337,0.0
2024-07-25,6074515,2.42471,2.42471,0.0
2024-07-26,6041444,3.53228,3.53228,0.0
2024-07-27,5764709,3.46643,3.46643,0.0
2024-07-28,5750670,5.09557,5.09557,0.0
2024-07-29,5751716,4.32756,4.32756,0.0
2024-07-30,5689610,3.14387,3.14387,0.0
2024-07-31,5545358,3.20641,3.20641,0.0
2024-08-01,5533372,3.19644,3.19644,0.0
2024-08-02,5555808,3.53706,3.53706,0.0
2024-08-03,5553367,2.29928,2.29928,0.0
2024-08-04,5554025,2.82826,2.82826,0.0
2024-08-05,4611356,0.99927,0.99927,0.0
