date,tvl,apy,apy_base,apy_reward
2025-05-20,11269,0.0,0.0,0.0
2025-05-21,11269,6.16845,4.81413,1.35432
2025-05-22,11271,6.52146,4.66847,1.85299
2025-05-23,11272,6.08194,4.82953,1.25241
2025-05-24,11274,6.00752,4.72862,1.2789
2025-05-25,11275,5.99839,4.77358,1.22481
2025-05-26,11277,6.00652,4.77616,1.23037
2025-05-27,11277,6.00956,4.75762,1.25194
2025-05-28,11279,5.88821,4.69934,1.18887
2025-05-29,11281,5.97497,4.78697,1.188
2025-05-30,11782,4.30389,3.19178,1.11211
2025-05-31,11784,5.75334,4.6434,1.10994
2025-06-01,11786,4.83214,3.69933,1.13281
2025-06-02,11786,6.04376,4.93011,1.11365
2025-06-03,11788,6.46848,5.31256,1.15592
2025-06-04,11789,5.99274,4.83935,1.15339
