date,tvl,apy,apy_base,apy_reward
2025-02-25,259158,22.07921,20.5491,1.53011
2025-02-26,301496,15.07161,13.36926,1.70235
2025-02-27,497066,16.22981,14.33237,1.89744
2025-02-28,459726,11.69878,9.92315,1.77564
2025-03-01,475739,11.1641,9.49306,1.67104
2025-03-02,510117,12.64602,10.82104,1.82498
2025-03-03,556749,11.31781,9.85869,1.45912
2025-03-04,1010591,10.54544,9.17381,1.37164
2025-03-05,1034067,10.81069,9.39115,1.41954
2025-03-06,1034007,9.4382,8.15597,1.28223
2025-03-07,1151533,10.42568,9.16548,1.2602
2025-03-08,2407689,8.33066,7.09345,1.23722
2025-03-09,1651237,9.01292,7.96623,1.04669
2025-03-10,1753378,8.58857,7.62241,0.96616
2025-03-11,2116156,8.44789,7.45242,0.99547
2025-03-12,2100219,8.29255,7.25104,1.04151
2025-03-13,1394831,8.32154,7.2816,1.03994
2025-03-14,1400769,8.23342,7.16591,1.06751
2025-03-15,1400769,8.23342,7.16591,1.06751
2025-03-16,1400769,8.23342,7.16591,1.06751
2025-03-17,1400769,8.23301,7.16566,1.06735
2025-03-18,2495645,9.06051,8.00273,1.05777
2025-03-19,3363006,7.83665,6.72261,1.11404
2025-03-20,4484310,7.63119,6.52852,1.10267
2025-03-21,4878801,11.231,11.231,0.0
2025-03-22,3601690,8.85051,7.62992,1.2206
2025-03-23,3643568,7.52603,6.54084,0.98519
2025-03-24,1538764,6.54363,5.38801,1.15563
2025-03-25,4912256,3.67184,1.01282,2.65901
2025-03-26,4833895,9.14475,5.45441,3.69034
2025-03-27,9777174,5.59787,1.93437,3.6635
2025-03-28,10191689,7.31861,5.12634,2.19227
2025-03-29,9726974,7.63659,5.53108,2.10551
2025-03-30,9559344,6.82335,4.75405,2.0693
2025-03-31,7861450,6.51519,4.21291,2.30228
2025-04-01,8990558,7.46976,5.28131,2.18845
2025-04-02,10414415,6.77182,4.79677,1.97505
2025-04-03,11610822,6.40194,4.65064,1.7513
2025-04-04,26466309,6.42623,5.10686,1.31937
2025-04-05,20698609,6.12667,4.72919,1.39747
2025-04-06,18517662,6.25161,5.06169,1.18992
2025-04-07,21965150,3.91049,3.91049,0.0
2025-04-08,21844118,6.1899,5.04647,1.14343
2025-04-09,19517652,6.48165,5.0927,1.38894
2025-04-10,19353126,5.97446,4.67582,1.29864
2025-04-11,23312821,6.73707,5.49492,1.24214
2025-04-12,24437730,7.09537,5.5118,1.58357
2025-04-13,24003626,9.75418,8.00736,1.74682
2025-04-14,42644443,10.62792,9.13731,1.49061
2025-04-15,46563181,5.66611,4.65928,1.00683
2025-04-16,40664020,5.64818,4.43067,1.21751
2025-04-17,34015854,6.99351,5.75889,1.23462
2025-04-18,24912685,6.4178,5.34792,1.06987
2025-04-19,25071841,6.34535,5.18817,1.15718
2025-04-20,24407099,6.81678,5.74435,1.07243
2025-04-21,24258518,8.66248,7.45528,1.2072
2025-04-22,32691260,6.38942,5.0269,1.36252
2025-04-23,35615279,6.44279,5.28903,1.15376
2025-04-24,32506734,6.18303,4.94663,1.23641
2025-04-25,36471412,6.44412,4.91026,1.53386
2025-04-26,41350315,6.14614,4.80271,1.34342
2025-04-27,41294659,6.66343,5.40462,1.25881
2025-04-28,45636108,6.27945,5.11024,1.16921
2025-04-29,47110152,5.99922,4.84057,1.15865
2025-04-30,35782902,7.7132,6.30758,1.40562
2025-05-01,29150808,7.0533,5.05356,1.99974
2025-05-02,41331571,6.55919,4.8444,1.7148
2025-05-03,42459414,6.55035,4.82748,1.72287
2025-05-04,43105390,5.5546,3.9536,1.601
2025-05-05,34345921,5.87517,4.10272,1.77245
2025-05-06,30507476,4.8453,3.7367,1.1086
2025-05-07,27302013,5.0825,4.15042,0.93208
2025-05-08,23080387,8.34523,6.73725,1.60798
2025-05-09,19654785,13.32226,11.23186,2.0904
2025-05-10,26290346,7.47051,5.13853,2.33199
2025-05-11,29611450,7.69766,5.4424,2.25527
2025-05-12,28403894,7.78904,5.61228,2.17676
2025-05-13,31236751,9.35467,7.14973,2.20494
2025-05-14,32430714,7.40934,5.89929,1.51005
2025-05-15,40161598,8.88347,7.44776,1.43571
2025-05-16,41448087,9.99959,8.58347,1.41612
2025-05-17,41225491,8.27768,6.9214,1.35627
2025-05-19,41972254,8.2358,6.42209,1.81371
2025-05-20,41258795,7.73876,6.65153,1.08723
2025-05-21,39100265,7.71501,6.29596,1.41905
2025-05-22,39960186,10.39456,8.93678,1.45778
2025-05-23,37645333,8.79406,7.40553,1.38853
2025-05-24,37175132,7.97353,6.60314,1.37039
2025-05-25,37196508,8.34702,6.97616,1.37086
2025-05-26,34437625,7.56616,6.21148,1.35468
2025-05-27,32984843,7.69619,6.3052,1.39099
2025-05-28,32116837,11.17961,9.8326,1.34701
2025-05-29,34266091,8.23855,6.91728,1.32127
2025-05-30,34485985,8.08148,6.82192,1.25956
2025-05-31,32468022,7.05547,5.7875,1.26796
2025-06-01,34141468,7.35555,6.07727,1.27828
2025-06-02,32652146,6.98901,5.71026,1.27875
2025-06-03,31985948,6.81158,5.48927,1.3223
2025-06-04,38136300,12.5847,11.57526,1.00944
2025-06-05,39986474,8.44244,8.14879,0.29365
