date,tvl,apy,apy_base,apy_reward
2024-06-18,107783,0.0,0.0,0.0
2024-06-19,153290,0.08233,0.08233,0.0
2024-06-20,157629,0.32061,0.32061,0.0
2024-06-21,273454,6.61403,0.08076,6.53327
2024-06-22,310537,6.5757,0.14227,6.43342
2024-06-23,316029,6.78452,0.92225,5.86228
2024-06-24,309284,6.22363,0.30636,5.91726
2024-06-25,319851,6.39464,0.35554,6.03909
2024-06-26,317803,6.76178,0.44749,6.3143
2024-06-27,318189,0.35737,0.35737,0.0
2024-06-28,319441,3.17771,0.14816,3.02955
2024-06-29,318183,3.24999,0.18847,3.06152
2024-06-30,318676,3.34269,0.28735,3.05534
2024-07-01,295413,4.13594,0.42791,3.70804
2024-07-02,295209,4.16302,0.46037,3.70264
2024-07-03,294714,5.82559,0.66559,5.16
2024-07-04,295482,6.53622,0.78217,5.75405
2024-07-05,296481,10.64796,3.69355,6.95441
2024-07-06,299701,8.926,2.33105,6.59494
2024-07-07,300821,7.29019,1.39345,5.89674
2024-07-08,302670,7.97843,2.29725,5.68117
2024-07-09,304021,5.7451,1.16861,4.57649
2024-07-10,304123,7.9052,3.60988,4.29532
2024-07-11,306619,4.66313,1.09624,3.56689
2024-07-12,309988,5.20932,1.31083,3.89849
2024-07-13,314724,4.80437,1.2503,3.55406
2024-07-14,316921,2.74229,0.51876,2.22353
2024-07-15,287751,4.0391,1.44611,2.59299
2024-07-16,328794,5.16595,2.96841,2.19755
2024-07-17,327516,5.56334,3.46734,2.096
2024-07-18,371134,15.8479,3.22014,12.62776
2024-07-19,362877,3.91605,3.91605,0.0
2024-07-20,336860,6.27378,6.27378,0.0
2024-07-21,336717,7.10601,7.10601,0.0
2024-07-22,389314,5.34665,5.34665,0.0
2024-07-23,439010,3.5973,3.5973,0.0
2024-07-24,428580,2.17175,2.17175,0.0
2024-07-25,463521,0.75802,0.75802,0.0
2024-07-26,924428,2.28758,2.28758,0.0
2024-07-27,959922,0.40492,0.40492,0.0
2024-07-28,896251,2.61992,2.61992,0.0
2024-07-29,881067,2.41607,2.41607,0.0
2024-07-30,959011,1.97576,1.97576,0.0
2024-07-31,1027741,2.24946,2.24946,0.0
2024-08-01,674613,4.14576,4.14576,0.0
2024-08-02,1039364,3.01485,3.01485,0.0
2024-08-03,1360520,3.42781,3.42781,0.0
2024-08-04,1471634,1.5048,1.5048,0.0
2024-08-05,1482480,0.99403,0.99403,0.0
2024-08-06,1007806,1.12968,1.12968,0.0
2024-08-07,933297,1.22385,1.22385,0.0
2024-08-08,912624,1.60567,1.60567,0.0
2024-08-09,994002,1.95407,1.95407,0.0
2024-08-10,1011438,1.65034,1.65034,0.0
2024-08-11,1057385,1.53873,1.53873,0.0
2024-08-12,1058575,1.5279,1.5279,0.0
2024-08-13,1021078,1.54674,1.54674,0.0
2024-08-14,1016377,0.0,0.0,0.0
2024-08-15,977756,1.02442,1.02442,0.0
2024-08-16,977256,1.04776,1.04776,0.0
2024-08-17,999882,1.00157,1.00157,0.0
2024-08-18,1079891,1.07758,1.07758,0.0
2024-08-19,1117453,1.11818,1.11818,0.0
2024-08-20,1233420,1.15452,1.15452,0.0
2024-08-21,1234020,0.83904,0.83904,0.0
2024-08-22,1231518,1.06045,1.06045,0.0
2024-08-23,1220986,0.0,0.0,0.0
2024-08-24,1235563,2.87599,2.87599,0.0
2024-08-25,1327786,1.45436,1.45436,0.0
2024-08-26,1419740,1.83797,1.83797,0.0
2024-08-27,1639888,2.06707,2.06707,0.0
2024-08-28,1793242,2.88094,2.88094,0.0
2024-08-29,1796812,3.73238,3.73238,0.0
2024-08-30,1800134,2.58538,2.58538,0.0
2024-08-31,1802802,3.78879,3.78879,0.0
2024-09-01,1806120,3.74914,3.74914,0.0
2024-09-02,1821376,2.03748,2.03748,0.0
2024-09-03,1811515,2.11624,2.11624,0.0
2024-09-04,1533784,5.1881,5.1881,0.0
2024-09-05,1511022,3.71103,3.71103,0.0
2024-09-06,1484566,2.47525,2.47525,0.0
2024-09-07,1418055,2.75963,2.75963,0.0
2024-09-10,1381767,3.90846,3.90846,0.0
2024-09-11,1464953,3.18393,3.18393,0.0
2024-09-12,1856132,2.80267,2.80267,0.0
2024-09-13,1829976,2.47008,2.47008,0.0
2024-09-14,1826813,2.90159,2.90159,0.0
2024-09-15,1806188,2.49939,2.49939,0.0
2024-09-16,1762620,2.57826,2.57826,0.0
2024-09-17,1761037,2.6214,2.6214,0.0
2024-09-18,1733284,2.28156,2.28156,0.0
2024-09-19,1625495,2.57405,2.57405,0.0
2024-09-20,1616888,2.54156,2.54156,0.0
2024-09-21,1621844,1.94174,1.94174,0.0
2024-09-22,1514344,1.88574,1.88574,0.0
2024-09-23,1515051,1.87009,1.87009,0.0
2024-09-24,1250272,3.20301,3.20301,0.0
2024-09-25,1247004,2.22166,2.22166,0.0
2024-09-26,1050796,2.11375,2.11375,0.0
2024-09-27,1047452,2.5488,2.5488,0.0
2024-09-28,1037877,2.66596,2.66596,0.0
2024-09-29,1037635,2.84154,2.84154,0.0
2024-09-30,1032086,2.18673,2.18673,0.0
2024-10-01,1032553,2.30145,2.30145,0.0
2024-10-02,1032247,1.0503,1.0503,0.0
2024-10-03,1031030,1.04225,1.04225,0.0
2024-10-04,1023504,1.07797,1.07797,0.0
2024-10-05,1017849,1.04646,1.04646,0.0
2024-10-06,1001682,1.08886,1.08886,0.0
2024-10-07,998443,1.10522,1.10522,0.0
2024-10-08,937004,1.12352,1.12352,0.0
2024-10-09,921363,1.34711,1.34711,0.0
2024-10-10,721351,1.41762,1.41762,0.0
2024-10-11,720203,1.53986,1.53986,0.0
2024-10-12,719295,3.92425,3.92425,0.0
2024-10-13,719309,4.87558,4.87558,0.0
2024-10-14,717533,2.90662,2.90662,0.0
2024-10-15,717530,2.59526,2.59526,0.0
2024-10-16,715716,2.51132,2.51132,0.0
2024-10-17,713879,5.49895,5.49895,0.0
2024-10-18,699641,4.19604,4.19604,0.0
2024-10-19,697954,4.51275,4.51275,0.0
2024-10-20,695508,5.68191,5.68191,0.0
2024-10-21,705497,10.50487,10.50487,0.0
2024-10-22,711310,5.03406,5.03406,0.0
2024-10-23,715087,6.89876,6.89876,0.0
2024-10-24,685799,5.94487,5.94487,0.0
2024-10-25,686460,7.07411,7.07411,0.0
2024-10-26,686939,7.60568,7.60568,0.0
2024-10-27,771953,4.05031,4.05031,0.0
2024-10-28,773177,4.9162,4.9162,0.0
2024-10-29,771622,3.08254,3.08254,0.0
2024-10-30,747238,3.45553,3.45553,0.0
2024-10-31,740627,3.00257,3.00257,0.0
2024-11-01,739256,2.94739,2.94739,0.0
2024-11-02,730666,3.70774,3.70774,0.0
2024-11-03,723443,4.40912,4.40912,0.0
2024-11-04,716334,3.42266,3.42266,0.0
2024-11-05,710293,5.56334,5.56334,0.0
2024-11-06,704888,7.30071,7.30071,0.0
2024-11-07,590698,4.39087,4.39087,0.0
2024-11-08,585884,4.48318,4.48318,0.0
2024-11-09,581699,4.53847,4.53847,0.0
2024-11-10,573880,3.37669,3.37669,0.0
2024-11-11,569446,6.13469,6.13469,0.0
2024-11-12,557773,8.82101,8.82101,0.0
2024-11-13,552383,12.22648,12.22648,0.0
2024-11-14,518945,16.39014,16.39014,0.0
2024-11-15,519016,4.79536,4.79536,0.0
2024-11-16,795179,19.1345,19.1345,0.0
2024-11-17,1082496,17.16466,17.16466,0.0
2024-11-18,1037397,4.64795,4.64795,0.0
2024-11-19,1077279,17.49126,17.49126,0.0
2024-11-20,1073168,12.37728,12.37728,0.0
2024-11-21,1538280,3.76167,3.76167,0.0
2024-11-22,1909360,20.86336,20.86336,0.0
2024-11-23,1705236,4.20863,4.20863,0.0
2024-11-24,1518514,5.58041,5.58041,0.0
2024-11-25,2145964,11.61319,11.61319,0.0
2024-11-26,2219758,12.08781,12.08781,0.0
2024-11-27,2108772,4.31471,4.31471,0.0
2024-11-28,2070449,4.12247,4.12247,0.0
2024-11-29,2054933,3.53142,3.53142,0.0
2024-11-30,2052063,6.12164,6.12164,0.0
2024-12-01,1917309,4.73383,4.73383,0.0
2024-12-02,1407276,4.2824,4.2824,0.0
2024-12-03,1436104,18.42187,18.42187,0.0
2024-12-04,1427292,11.39921,11.39921,0.0
2024-12-05,1981652,23.90961,23.90961,0.0
2024-12-06,2006868,12.77055,12.77055,0.0
2024-12-07,1574369,11.53802,11.53802,0.0
2024-12-08,1533941,13.08576,13.08576,0.0
2024-12-09,1531294,18.22357,18.22357,0.0
2024-12-10,1437518,10.61724,10.61724,0.0
2024-12-11,1159702,11.68824,11.68824,0.0
2024-12-12,1227393,7.62976,7.62976,0.0
2024-12-13,1145523,8.52756,8.52756,0.0
2024-12-14,1150994,11.89541,11.89541,0.0
2024-12-15,1121425,12.41271,12.41271,0.0
2024-12-16,1184079,8.76821,8.76821,0.0
2024-12-17,2164928,12.76531,12.76531,0.0
2024-12-18,1904551,10.0431,10.0431,0.0
2024-12-19,1965553,9.00541,9.00541,0.0
2024-12-20,2189879,13.83941,13.83941,0.0
2024-12-21,2561378,7.63139,7.63139,0.0
2024-12-22,2563398,7.53469,7.53469,0.0
2024-12-23,2506876,6.796,6.796,0.0
2024-12-24,2553498,12.27621,12.27621,0.0
2024-12-25,2825667,16.55297,16.55297,0.0
2024-12-26,3404405,6.12718,6.12718,0.0
2024-12-27,3287595,10.91724,10.91724,0.0
2024-12-28,3355403,6.3896,6.3896,0.0
2024-12-29,3028557,6.28136,6.28136,0.0
2024-12-30,3020862,7.07514,7.07514,0.0
2024-12-31,2958531,6.36335,6.36335,0.0
2025-01-01,2919741,8.79873,8.79873,0.0
2025-01-02,3017789,6.38572,6.38572,0.0
2025-01-03,2897395,8.40635,8.40635,0.0
2025-01-04,3205568,7.90826,7.90826,0.0
2025-01-05,4297230,8.6244,8.6244,0.0
2025-01-06,4023819,7.57003,7.57003,0.0
2025-01-07,3565124,6.18347,6.18347,0.0
2025-01-08,3479765,9.55258,9.55258,0.0
2025-01-09,3455759,6.84481,6.84481,0.0
2025-01-10,3343856,6.93957,6.93957,0.0
2025-01-11,3297898,6.18089,6.18089,0.0
2025-01-12,3381991,5.44606,5.44606,0.0
2025-01-13,3133559,7.695,7.695,0.0
2025-01-14,3339969,5.82822,5.82822,0.0
2025-01-15,3195616,5.9151,5.9151,0.0
2025-01-16,3503394,4.75485,4.75485,0.0
2025-01-17,3375507,5.49741,5.49741,0.0
2025-01-18,3517983,5.79304,5.79304,0.0
2025-01-19,3795147,7.32242,7.32242,0.0
2025-01-20,3687029,6.32122,6.32122,0.0
2025-01-21,4014932,5.74692,5.74692,0.0
2025-01-22,4356153,5.25362,5.25362,0.0
2025-01-23,4033041,5.08912,5.08912,0.0
2025-01-24,3929583,9.25131,4.28143,4.96987
2025-01-25,3846952,9.41651,5.36487,4.05164
2025-01-26,4036751,9.74335,5.51695,4.22639
2025-01-27,4492215,13.92625,9.72271,4.20354
