date,tvl,apy,apy_base,apy_reward
2024-06-06,15212145,15.17502,15.17502,0.0
2024-06-07,15216157,8.18875,8.18781,0.00094
2024-06-08,15341963,8.83538,8.83425,0.00112
2024-06-09,15355138,10.6325,10.61642,0.01608
2024-06-10,15356898,7.79035,7.79035,0.0
2024-06-11,15402751,7.73278,7.73213,0.00065
2024-06-12,15357015,8.08606,8.08591,0.00014
2024-06-13,15364357,10.18637,10.18637,0.0
2024-06-14,15351960,8.16342,8.16342,0.0
2024-06-15,15365096,8.06482,8.06482,0.0
2024-06-16,15320567,7.372,7.372,0.0
2024-06-17,15415559,7.15688,7.15688,0.0
2024-06-18,15134657,7.33374,7.33374,0.0
2024-06-19,14968429,7.95089,7.95089,0.0
2024-06-20,14967790,8.02173,8.02173,0.0
2024-06-21,14968130,7.26726,7.26726,0.0
2024-06-22,14966330,7.32128,7.32128,0.0
2024-06-23,15976878,7.00677,7.00677,0.0
2024-06-24,15980244,7.17595,7.17595,0.0
2024-06-25,15956476,7.35405,7.35405,0.0
2024-06-26,15913027,6.91489,6.91489,0.0
2024-06-27,15909189,6.65843,6.65843,0.0
2024-06-28,15721551,6.62797,6.62797,0.0
2024-06-29,15793566,7.53972,7.53972,0.0
2024-06-30,15796472,6.92536,6.92536,0.0
2024-07-01,15913900,7.54122,7.54122,0.0
2024-07-02,15914244,7.35974,7.35974,0.0
2024-07-03,15951094,7.361,7.361,0.0
2024-07-04,14976664,7.57373,7.57373,0.0
2024-07-05,19408554,6.39155,6.39155,0.0
2024-07-06,19393914,6.26611,6.26611,0.0
2024-07-07,19430805,6.20671,6.20671,0.0
2024-07-08,19256423,6.28267,6.28267,0.0
2024-07-09,18043094,6.03752,6.03752,0.0
2024-07-10,19091234,5.65372,5.65372,0.0
2024-07-11,19089887,5.50206,5.50206,0.0
2024-07-12,19115270,4.88608,4.88608,0.0
2024-07-13,19130457,4.89434,4.89434,0.0
2024-07-14,19126327,4.94126,4.94126,0.0
2024-07-15,19278986,4.89965,4.89965,0.0
2024-07-16,19236802,5.23367,5.23367,0.0
2024-07-17,20919674,5.51983,5.51983,0.0
2024-07-18,20978995,5.6151,5.6151,0.0
2024-07-19,20969279,5.15876,5.15876,0.0
2024-07-20,21100454,5.01291,5.01291,0.0
2024-07-21,21109601,5.0682,5.0682,0.0
2024-07-22,23114206,5.42544,5.42544,0.0
2024-07-23,23111630,5.07444,5.07444,0.0
2024-07-24,23102396,5.40525,5.40525,0.0
2024-07-25,23130496,5.20981,5.20981,0.0
2024-07-26,23753306,5.15998,5.15998,0.0
2024-07-27,23730705,5.23972,5.23972,0.0
2024-07-28,23730225,5.37387,5.37387,0.0
2024-07-29,24349613,5.11693,5.11693,0.0
2024-07-30,24341049,5.37913,5.37913,0.0
2024-07-31,24347392,8.28831,8.28831,0.0
2024-08-01,28892834,4.90846,4.90846,0.0
2024-08-02,25337019,5.21141,5.21141,0.0
2024-08-03,24783102,4.92268,4.92268,0.0
2024-08-04,24264050,4.73187,4.73187,0.0
2024-08-05,20202652,2.57938,2.57938,0.0
