date,tvl,apy,apy_base,apy_reward
2024-06-06,3730426,15.30423,15.30423,0.0
2024-06-07,3810085,8.55078,8.55078,0.0
2024-06-08,3812579,7.38864,7.38864,0.0
2024-06-09,3809366,7.02883,7.02883,0.0
2024-06-10,3895968,5.99439,5.99439,0.0
2024-06-11,3797743,6.01743,6.01743,0.0
2024-06-12,4188298,6.3047,6.3047,0.0
2024-06-13,4203101,15.38087,15.38087,0.0
2024-06-14,4227782,15.19765,15.19765,0.0
2024-06-15,4228749,12.48816,12.48816,0.0
2024-06-16,4329399,7.30706,7.30706,0.0
2024-06-17,4226821,7.87706,7.87706,0.0
2024-06-18,4217001,16.26153,16.26153,0.0
2024-06-19,4210850,10.22615,10.22615,0.0
2024-06-20,4203876,9.32516,9.32516,0.0
2024-06-21,5780299,11.80212,11.80212,0.0
2024-06-22,5763737,8.02778,8.02778,0.0
2024-06-23,5778425,8.43724,8.43724,0.0
2024-06-24,5766389,6.47719,6.47719,0.0
2024-06-25,5577472,6.46557,6.46557,0.0
2024-06-26,5580093,6.22651,6.22651,0.0
2024-06-27,5522489,6.14994,6.14994,0.0
2024-06-28,5535970,6.19424,6.19424,0.0
2024-06-29,5531119,6.652,6.652,0.0
2024-06-30,5534906,6.45205,6.45205,0.0
2024-07-01,5582215,6.03594,6.03594,0.0
2024-07-02,4841341,5.44309,5.44309,0.0
2024-07-03,4109541,6.68237,6.68237,0.0
2024-07-04,5103130,5.93584,5.93584,0.0
2024-07-05,5101006,6.31925,6.31925,0.0
2024-07-06,5089566,6.55302,6.55302,0.0
2024-07-07,5117166,6.42222,6.42222,0.0
2024-07-08,5103321,6.30006,6.30006,0.0
2024-07-09,5315537,15.27302,15.27302,0.0
2024-07-10,5524606,8.68788,8.68788,0.0
2024-07-11,5502827,7.27525,7.27525,0.0
2024-07-12,5577966,6.78827,6.78827,0.0
2024-07-13,5643120,5.88735,5.88735,0.0
2024-07-14,5526000,6.04178,6.04178,0.0
2024-07-15,5390910,7.09348,7.09348,0.0
2024-07-16,5232887,6.53422,6.53422,0.0
2024-07-17,5238576,6.46369,6.46369,0.0
2024-07-18,4813050,6.65987,6.65987,0.0
2024-07-19,4812651,6.36142,6.36142,0.0
2024-07-20,4816144,6.33106,6.33106,0.0
2024-07-21,4829287,6.63609,6.63609,0.0
2024-07-22,4316068,11.88401,11.88401,0.0
2024-07-23,4305385,10.51791,10.51791,0.0
2024-07-24,4469351,0.0,0.0,0.0
2024-07-25,4979602,6.98315,6.98315,0.0
2024-07-26,4817525,7.05031,7.05031,0.0
2024-07-27,4909935,7.12759,7.12759,0.0
2024-07-28,4909078,6.96337,6.96337,0.0
2024-07-29,4925184,6.65612,6.65612,0.0
2024-07-30,4910368,6.71039,6.71039,0.0
2024-07-31,4899662,6.66428,6.66428,0.0
2024-08-01,4874830,6.55482,6.55482,0.0
2024-08-02,5145384,6.15715,6.15715,0.0
2024-08-03,5144467,6.01034,6.01034,0.0
2024-08-04,5141651,5.83987,5.83987,0.0
2024-08-05,4898258,4.42374,4.42374,0.0
2024-08-06,4900437,4.3191,4.3191,0.0
2024-08-07,4901025,4.17228,4.17228,0.0
2024-08-08,4936757,4.01698,4.01698,0.0
2024-08-09,4903608,4.38204,4.38204,0.0
2024-08-10,4843690,4.32593,4.32593,0.0
2024-08-11,5344428,3.39088,3.39088,0.0
2024-08-12,5343790,3.20826,3.20826,0.0
2024-08-13,5341742,3.16746,3.16746,0.0
2024-08-14,5342246,3.91421,3.91421,0.0
2024-08-15,5342808,3.87944,3.87944,0.0
2024-08-16,5340810,3.49284,3.49284,0.0
2024-08-17,5343825,3.4577,3.4577,0.0
2024-08-18,5345322,3.45976,3.45976,0.0
2024-08-19,5244913,3.85419,3.85419,0.0
2024-08-20,5242823,3.87988,3.87988,0.0
2024-08-21,4742965,4.08141,4.08141,0.0
2024-08-22,4744463,4.04743,4.04743,0.0
2024-08-23,4751872,3.98544,3.98544,0.0
2024-08-24,4745527,4.70349,4.70349,0.0
2024-08-25,4746169,5.62819,5.62819,0.0
2024-08-26,4753370,4.27236,4.27236,0.0
2024-08-27,4759234,4.3458,4.3458,0.0
2024-08-28,4759817,4.59035,4.59035,0.0
2024-08-29,4731252,4.54887,4.54887,0.0
2024-08-30,4740432,4.59145,4.59145,0.0
2024-08-31,4755436,4.56944,4.56944,0.0
2024-09-01,4754973,4.57848,4.57848,0.0
2024-09-02,4754112,4.66465,4.66465,0.0
2024-09-03,4754879,4.66128,4.66128,0.0
2024-09-04,4755383,5.85842,5.85842,0.0
2024-09-05,4782706,8.77802,8.77802,0.0
2024-09-06,4772224,6.09414,6.09414,0.0
2024-09-07,4740768,5.04808,5.04808,0.0
